,Lapatinib_ActArea,Panobinostat_ActArea,Paclitaxel_ActArea,Irinotecan_ActArea,PD-0325901_ActArea,AZD6244_ActArea,Nilotinib_ActArea,AEW541_ActArea,17-AAG_ActArea,PHA-665752_ActArea,Nutlin-3_ActArea,AZD0530_ActArea,PF2341066_ActArea,L-685458_ActArea,ZD-6474_ActArea,Sorafenib_ActArea,LBW242_ActArea,PD-0332991_ActArea,PLX4720_ActArea,RAF265_ActArea,TAE684_ActArea,TKI258_ActArea,Erlotinib_ActArea,Lapatinib_ActArea_N,Panobinostat_ActArea_N,Paclitaxel_ActArea_N,Irinotecan_ActArea_N,PD-0325901_ActArea_N,AZD6244_ActArea_N,Nilotinib_ActArea_N,AEW541_ActArea_N,17-AAG_ActArea_N,PHA-665752_ActArea_N,Nutlin-3_ActArea_N,AZD0530_ActArea_N,PF2341066_ActArea_N,L-685458_ActArea_N,ZD-6474_ActArea_N,Sorafenib_ActArea_N,LBW242_ActArea_N,PD-0332991_ActArea_N,PLX4720_ActArea_N,RAF265_ActArea_N,TAE684_ActArea_N,TKI258_ActArea_N,Erlotinib_ActArea_N
PROSTATE,1.0,0.0,0.0,1.0,,,,,0.0,,,1.0,,,0.0,,,,,1.0,,1.0,1.0,1,1,1,1,0,0,0,0,1,0,0,2,0,0,1,,0,0,,1,,1,1
STOMACH,1.0,0.8,0.4,0.0,0.8,0.8333333333333334,1.0,0.5,0.8571428571428571,0.6,0.6,0.6666666666666666,0.6666666666666666,0.5,0.875,0.6666666666666666,0.5,0.75,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,6,5,5,3,5,6,6,2,7,5,5,6,6,6,8,3,2,4,5,3,3,3,5
URINARY,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.5,1.0,0.0,0.0,1.0,0.75,0.6,0.75,2,2,2,2,3,3,1,2,3,2,5,3,3,1,3,2,3,1,2,3,4,5,4
NERVOUS,,,0.0,0.5,0.3333333333333333,0.0,0.0,0.25,0.4,0.5,0.5,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6,0.0,0.3333333333333333,,0,0,2,2,3,2,2,4,5,4,4,4,5,3,1,4,2,3,6,5,5,6,0
OVARY,0.7142857142857143,0.3333333333333333,1.0,1.0,0.5,0.25,0.0,0.3333333333333333,0.5,1.0,0.5,0.5714285714285714,0.3333333333333333,0.0,0.5,0.5714285714285714,0.5714285714285714,0.0,0.75,0.5555555555555556,0.25,0.8333333333333334,0.5714285714285714,7,6,4,4,4,4,3,3,4,1,4,7,3,4,2,7,7,2,4,9,4,6,7
HAEMATOPOIETIC,0.8421052631578947,0.9705882352941176,0.9354838709677419,1.0,0.875,0.8125,1.0,0.7777777777777778,0.7857142857142857,0.9642857142857143,0.782608695652174,0.3333333333333333,0.967741935483871,1.0,0.9,1.0,0.4444444444444444,1.0,0.7894736842105263,0.7727272727272727,0.9615384615384616,0.8571428571428571,0.7777777777777778,19,34,31,23,16,16,29,18,14,28,23,15,31,30,20,27,18,30,19,22,26,28,18
KIDNEY,0.5,,,,,,,1.0,,,0.0,0.6666666666666666,,0.0,0.0,0.0,,0.0,,1.0,,0.0,0.25,2,0,0,0,,,0,1,0,0,1,3,0,2,2,2,0,1,,1,0,2,4
THYROID,,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.0,1.0,1.0,,0.5,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1,2,2,2,2,2,2,1,1,1,2,,2,0,1,2,1,1,2,2,1,1
SKIN,0.0,0.5714285714285714,0.6,0.0,1.0,1.0,0.0,0.5,0.875,0.0,0.6,,0.0,0.5,0.0,0.6,0.7142857142857143,0.0,1.0,0.8888888888888888,1.0,0.5,0.0,1,7,5,4,15,16,3,6,8,3,5,0,4,2,3,5,7,3,17,9,1,4,1
SOFT_TISSUE,,0.75,1.0,0.5,0.5,0.0,0.0,0.0,0.6,0.25,1.0,0.0,1.0,0.3333333333333333,1.0,0.5,0.5,0.0,1.0,0.5,0.5,0.6666666666666666,,0,4,5,2,2,3,1,3,5,4,2,1,2,3,1,2,2,2,2,2,2,3,0
