Lapatinib,,,,,Selumetinib,,,,,,,,,,,,,,,,,
RFC,XGB,Lapatinib_ActArea,RFC threshold = 0.5,XGB threshold = 0.5,RFC,XGB,AZD6244_ActArea,RFC threshold = 0.5,XGB threshold = 0.5,,,,,,,,,,,,RFC accuracy,XGB accuracy
0.17,0.002125391,0,1,1,0.04,0.001542698,0,1,1,,,,,,,,,,,Lapatinib,0.882882883,0.927927928
0.43,0.29341954,1,0,0,0.24,0.00776838,0,1,1,,,,,,,,,,,Selumetinib,0.927927928,0.945945946
0.01,0.029473918,0,1,1,0.05,0.007063872,0,1,1,,,,,,,,,,,,,
0.03,0.00171241,0,1,1,0.84,0.9831828,1,1,1,,,,,,,,,,,,,
0.23,0.36988688,0,1,1,0.06,0.008452849,0,1,1,,,,,,,,,,,,,
0.72,0.98219943,1,1,1,0.06,0.047235098,0,1,1,,,,,,,,,,,,,
0.67,0.8459219,1,1,1,0.08,0.016433997,0,1,1,,,,,,,,,,,,,
0.58,0.5757194,1,1,1,0.64,0.04249797,1,1,0,,,,,,,,,,,,,
0.89,0.99286616,1,1,1,0.04,0.006561946,0,1,1,,,,,,,,,,,,,
0,0.000814153,0,1,1,0.67,0.4069538,1,1,0,,,,,,,,,,,,,
0.83,0.9879254,1,1,1,0.83,0.9913714,1,1,1,,,,,,,,,,,,,
0.74,0.99414694,0,0,0,0.91,0.9846324,1,1,1,,,,,,,,,,,,,
0.67,0.9763663,1,1,1,0.03,0.001882106,0,1,1,,,,,,,,,,,,,
0.96,0.99342585,1,1,1,0.02,0.001542698,0,1,1,,,,,,,,,,,,,
0.94,0.9985738,1,1,1,0.37,0.27482677,0,1,1,,,,,,,,,,,,,
0.21,0.002011236,0,1,1,0.72,0.7599217,0,0,0,,,,,,,,,,,,,
0.82,0.9850499,1,1,1,0.67,0.7060939,0,0,0,,,,,,,,,,,,,
0.99,0.9978345,1,1,1,0.88,0.98287535,1,1,1,,,,,,,,,,,,,
0.65,0.38072568,0,0,1,0.06,0.002502762,0,1,1,,,,,,,,,,,,,
0.91,0.9906583,1,1,1,0.35,0.12769091,0,1,1,,,,,,,,,,,,,
0.07,0.00102129,0,1,1,0.76,0.9822871,1,1,1,,,,,,,,,,,,,
0.44,0.014641391,1,0,0,0.21,0.016215052,0,1,1,,,,,,,,,,,,,
0.67,0.48062888,1,1,0,0.72,0.9809295,1,1,1,,,,,,,,,,,,,
