,Lapatinib_ActArea,Panobinostat_ActArea,Paclitaxel_ActArea,Irinotecan_ActArea,PD-0325901_ActArea,AZD6244_ActArea,Nilotinib_ActArea,AEW541_ActArea,17-AAG_ActArea,PHA-665752_ActArea,Nutlin-3_ActArea,AZD0530_ActArea,PF2341066_ActArea,L-685458_ActArea,ZD-6474_ActArea,Sorafenib_ActArea,LBW242_ActArea,PD-0332991_ActArea,PLX4720_ActArea,RAF265_ActArea,TAE684_ActArea,TKI258_ActArea,Erlotinib_ActArea,Lapatinib_ActArea_N,Panobinostat_ActArea_N,Paclitaxel_ActArea_N,Irinotecan_ActArea_N,PD-0325901_ActArea_N,AZD6244_ActArea_N,Nilotinib_ActArea_N,AEW541_ActArea_N,17-AAG_ActArea_N,PHA-665752_ActArea_N,Nutlin-3_ActArea_N,AZD0530_ActArea_N,PF2341066_ActArea_N,L-685458_ActArea_N,ZD-6474_ActArea_N,Sorafenib_ActArea_N,LBW242_ActArea_N,PD-0332991_ActArea_N,PLX4720_ActArea_N,RAF265_ActArea_N,TAE684_ActArea_N,TKI258_ActArea_N,Erlotinib_ActArea_N
STOMACH,,,,,,,,,0.75,,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NERVOUS,,,,0.7777777777777778,1.0,,0.8888888888888888,0.75,0.6666666666666666,0.7,0.7777777777777778,0.5714285714285714,0.75,0.8333333333333334,0.9090909090909091,0.7692307692307693,0.5,,0.5,,0.7142857142857143,0.75,,,,,,,,,,,,,,,,,,,,,,,,
OVARY,,0.7142857142857143,1.0,,1.0,1.0,0.875,0.8181818181818182,0.9,,0.75,0.5,0.9,0.7142857142857143,,0.3333333333333333,0.14285714285714285,1.0,,1.0,0.625,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,
HAEMATOPOIETIC,0.0,0.0,0.0,0.0,1.0,0.6363636363636364,0.0,0.1111111111111111,0.4444444444444444,0.16666666666666666,0.4444444444444444,0.7368421052631579,0.0,0.0,0.18181818181818182,0.0,0.6666666666666666,0.0,0.4,0.5454545454545454,0.0,0.0,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,
SKIN,,0.5,0.8,0.8333333333333334,0.0,0.0,,0.6666666666666666,0.6666666666666666,,0.375,,1.0,,,0.4,0.3333333333333333,0.8888888888888888,0.0,0.0,,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,
LUNG,0.7307692307692307,0.92,0.7692307692307693,0.7142857142857143,0.88,0.8,0.7272727272727273,0.6086956521739131,0.6538461538461539,0.5555555555555556,0.56,0.391304347826087,0.7619047619047619,0.5909090909090909,0.5833333333333334,0.72,0.6190476190476191,0.8095238095238095,0.7241379310344828,0.8,0.625,0.6923076923076923,0.7391304347826086,,,,,,,,,,,,,,,,,,,,,,,
BREAST,0.4,0.6666666666666666,1.0,0.8571428571428571,,0.9166666666666666,0.3333333333333333,0.5555555555555556,0.75,0.625,0.75,0.6,0.9166666666666666,0.5714285714285714,1.0,0.5,0.7142857142857143,0.5,0.9230769230769231,0.75,1.0,0.7272727272727273,0.7,,,,,,,,,,,,,,,,,,,,,,,
PANCREAS,0.2857142857142857,,0.875,,0.0,0.0,,0.4,0.4,0.5,0.0,0.0,0.2857142857142857,1.0,0.6666666666666666,0.8888888888888888,0.6,,0.42857142857142855,1.0,0.0,,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,
LARGE_INTESTINE,0.5,0.0,0.5,,1.0,0.0,,0.0,0.0,,0.2,,,0.6,0.3333333333333333,0.25,,0.3333333333333333,,0.7142857142857143,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
OESOPHAGUS,0.0,,0.25,,,,,0.0,,0.0,,0.0,1.0,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
LIVER,0.7142857142857143,,,,,,,,0.75,0.2,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
