,Lapatinib_ActArea,Panobinostat_ActArea,Paclitaxel_ActArea,Irinotecan_ActArea,PD-0325901_ActArea,AZD6244_ActArea,Nilotinib_ActArea,AEW541_ActArea,17-AAG_ActArea,PHA-665752_ActArea,Nutlin-3_ActArea,AZD0530_ActArea,PF2341066_ActArea,L-685458_ActArea,ZD-6474_ActArea,Sorafenib_ActArea,LBW242_ActArea,PD-0332991_ActArea,PLX4720_ActArea,RAF265_ActArea,TAE684_ActArea,TKI258_ActArea,Erlotinib_ActArea,Lapatinib_ActArea_N,Panobinostat_ActArea_N,Paclitaxel_ActArea_N,Irinotecan_ActArea_N,PD-0325901_ActArea_N,AZD6244_ActArea_N,Nilotinib_ActArea_N,AEW541_ActArea_N,17-AAG_ActArea_N,PHA-665752_ActArea_N,Nutlin-3_ActArea_N,AZD0530_ActArea_N,PF2341066_ActArea_N,L-685458_ActArea_N,ZD-6474_ActArea_N,Sorafenib_ActArea_N,LBW242_ActArea_N,PD-0332991_ActArea_N,PLX4720_ActArea_N,RAF265_ActArea_N,TAE684_ActArea_N,TKI258_ActArea_N,Erlotinib_ActArea_N
STOMACH,,,,,,,,,0.8333333333333334,,,,,0.5,0.8235294117647058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NERVOUS,,,,0.4,0.5,,0.0,0.25,0.5454545454545454,0.25,0.4444444444444444,0.2222222222222222,0.25,0.0,0.0,0.25,0.0,,0.6153846153846154,,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,
OVARY,,0.2,0.8571428571428571,,0.6666666666666666,0.4,0.4,0.3333333333333333,0.5714285714285714,,0.0,0.6666666666666666,0.4,0.2857142857142857,,0.6153846153846154,0.5555555555555556,0.6666666666666666,,0.8235294117647058,0.25,0.5454545454545454,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,
HAEMATOPOIETIC,0.7272727272727273,0.9705882352941176,0.9090909090909091,0.9787234042553191,0.9333333333333333,0.7878787878787878,0.9354838709677419,0.7804878048780488,0.75,0.9,0.7659574468085106,0.09523809523809523,0.9090909090909091,0.9230769230769231,0.7916666666666666,0.8387096774193549,0.38461538461538464,0.9523809523809523,0.6842105263157895,0.8,0.8666666666666667,0.84375,0.7567567567567568,,,,,,,,,,,,,,,,,,,,,,,
SKIN,,0.6153846153846154,0.7692307692307693,0.3333333333333333,0.9375,0.9696969696969697,,0.5454545454545454,0.8235294117647058,,0.46153846153846156,,0.4,,,0.6666666666666666,0.625,0.0,0.9714285714285714,0.7619047619047619,,0.75,,,,,,,,,,,,,,,,,,,,,,,,
LUNG,0.6956521739130435,0.7272727272727273,0.6842105263157895,0.75,0.8888888888888888,0.7222222222222222,0.4166666666666667,0.5263157894736842,0.6511627906976745,0.3902439024390244,0.3783783783783784,0.45454545454545453,0.37037037037037035,0.3333333333333333,0.5581395348837209,0.3448275862068966,0.5217391304347826,0.19047619047619047,0.4,0.4166666666666667,0.47619047619047616,0.42424242424242425,0.6976744186046512,,,,,,,,,,,,,,,,,,,,,,,
BREAST,0.8571428571428571,0.6153846153846154,0.3333333333333333,0.0,,0.6666666666666666,0.18181818181818182,0.25,0.0,0.0,0.0,0.5,0.0,0.36363636363636365,0.6666666666666666,0.5714285714285714,0.75,0.46153846153846156,0.0,0.2857142857142857,0.6666666666666666,0.2,0.7692307692307693,,,,,,,,,,,,,,,,,,,,,,,
PANCREAS,0.6666666666666666,,0.5,,0.9375,0.8571428571428571,,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.7272727272727273,0.782608695652174,0.47619047619047616,0.3333333333333333,0.7692307692307693,0.8333333333333334,0.5714285714285714,,0.6153846153846154,0.5714285714285714,0.8571428571428571,,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,
LARGE_INTESTINE,0.9,0.7777777777777778,0.75,,1.0,0.9655172413793104,,0.8235294117647058,0.6,,0.5,,,0.25,0.8421052631578947,0.625,,0.8,,0.25,,,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,
OESOPHAGUS,0.9523809523809523,,0.8,,,,,0.3333333333333333,,0.6666666666666666,,0.8421052631578947,0.5,,0.6666666666666666,,,,,,,,0.9565217391304348,,,,,,,,,,,,,,,,,,,,,,,
LIVER,0.0,,,,,,,,0.0,0.5714285714285714,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
