,Lapatinib,,Panobinostat,,Paclitaxel,,Irinotecan,,PD-0325901,,AZD6244,,Nilotinib,,AEW541,,17-AAG,,PHA-665752,,Nutlin-3,,AZD0530,,PF2341066,,L-685458,,ZD-6474,,Sorafenib,,LBW242,,PD-0332991,,PLX4720,,RAF265,,TAE684,,TKI258,,Erlotinib,,
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,
pred_RPPA_SVC,0.037788291,0.006991995,0.023255491,0.005201512,0.019479232,0.004217569,0.020457466,0.008765679,0.040955196,0.008281953,0.043666951,0.009764505,0.019489862,0.005496645,0.023159995,0.004582523,0.017115247,0.003377354,0.01984926,0.0061958,0.018003162,0.003778124,0.02460472,0.005564828,0.020006916,0.005773382,0.022112404,0.00417605,0.03316923,0.005263784,0.01606594,0.003416774,0.021594536,0.010659461,0.014287558,0.003286948,0.01284088,0.002491312,0.017914148,0.00498911,0.023805892,0.00605578,0.015637087,0.0036931,0.033517129,0.007196116,
pred_RPPA_RFC,0.024728211,0.010689925,0.012604135,0.005034379,0.009032402,0.003785166,0.021814572,0.008394302,0.015317158,0.006090992,0.02144833,0.010983059,0.012017244,0.002613598,0.014766414,0.005830561,0.014530491,0.003925024,0.012302276,0.003554246,0.013655065,0.004030935,0.015083072,0.004867185,0.014318511,0.004637143,0.026554304,0.006981564,0.01938692,0.006409238,0.017783221,0.005588402,0.014126197,0.0051003,0.020783862,0.007234611,0.014561752,0.006001134,0.015914314,0.005078596,0.026005775,0.007661169,0.014820376,0.003675312,0.022972945,0.006455534,
pred_RPPA_SVM,0.022137336,0.00921425,0.010368134,0.002821236,0.013421934,0.003914031,0.007077944,0.001925929,0.022501854,0.012393021,0.018375948,0.007864468,0.013419153,0.003986975,0.016941341,0.004905087,0.012374181,0.002282615,0.01583262,0.003758362,0.021992393,0.005097391,0.0241566,0.007155684,0.013096298,0.003237143,0.017831716,0.005325733,0.015322824,0.004319738,0.022691136,0.009284333,0.020905933,0.008718647,0.013726801,0.005476449,0.014228594,0.003789699,0.021862724,0.008865233,0.011739547,0.003945215,0.012453677,0.002214428,0.026789516,0.011135196,
pred_RPPA_Logistic,0.01778372,0.006413945,0.011019375,0.003380429,0.021748351,0.00748635,0.011972015,0.004680884,0.027365552,0.008653758,0.030624077,0.009241522,0.013501671,0.003833705,0.016419464,0.003058652,0.017295648,0.003667729,0.014565379,0.003164698,0.038830699,0.006354787,0.023150882,0.005344973,0.019139831,0.00547865,0.01633423,0.002906851,0.022948099,0.004640638,0.012663287,0.002720253,0.013897987,0.002126094,0.016627332,0.004102316,0.019094532,0.00469397,0.020214169,0.004206093,0.016704189,0.003246641,0.020323892,0.005099155,0.020170139,0.005057694,
pred_RPPA_Ridge,0.001178639,0.000638606,0.000982105,0.000546922,0.002940219,0.003489851,0.001459734,0.001004209,0.001095976,0.000631565,0.002694184,0.00199325,0.001592025,0.000968075,0.001550475,0.000923878,0.001533328,0.001348821,0.00189896,0.001006093,0.003632108,0.001473746,0.002609047,0.001617976,0.001245265,0.00051483,0.001542899,0.000728599,0.001197379,0.000727361,0.002227436,0.001169985,0.002044848,0.001626728,0.001614313,0.001204075,0.001487131,0.001043612,0.001940115,0.00114986,0.001371023,0.000944924,0.002006998,0.001526033,0.001845375,0.002250949,
pred_RPPA_EN,0.038367238,0.009776487,0.020499162,0.005847034,0.041169297,0.008004796,0.015294345,0.006945892,0.042615953,0.009872539,0.031719485,0.006091036,0.016281398,0.004764647,0.02603325,0.00501375,0.024098558,0.008470535,0.013940232,0.002286532,0.040851408,0.007466701,0.023204682,0.004504568,0.015191944,0.003473873,0.017496678,0.004225712,0.029716912,0.007892649,0.013429665,0.00304973,0.014720167,0.00348611,0.013419444,0.003271969,0.017008295,0.003704827,0.019858467,0.005067661,0.021087239,0.005526462,0.025526108,0.006990457,0.041975557,0.01024368,
pred_RPPA_ET,0.037010233,0.009694433,0.017555055,0.00710499,0.010566727,0.003901844,0.016408226,0.006788733,0.022085515,0.012140982,0.036021653,0.015942238,0.012037445,0.003742388,0.016572187,0.00532795,0.015641029,0.005665262,0.014213621,0.003346214,0.015449167,0.004205053,0.018121343,0.005649275,0.015764575,0.004942397,0.024392139,0.00827175,0.018446762,0.004647982,0.017751612,0.004922946,0.013365152,0.003865659,0.018130062,0.008169467,0.012430142,0.002388956,0.0175137,0.006434317,0.032027808,0.011818877,0.017757571,0.004185634,0.022525037,0.004973319,
pred_RPPA_KNN,0.009092041,0.003794364,0.003043073,0.000951751,0.003505965,0.001138546,0.004025094,0.002114681,0.010003073,0.003015114,0.007643389,0.003634146,0.003562051,0.001014893,0.004592322,0.001628129,0.004151349,0.001424158,0.009339533,0.003157884,0.004496848,0.001874985,0.004792328,0.001246381,0.006313371,0.00279002,0.008900626,0.003400219,0.006407185,0.002420196,0.005387321,0.00226703,0.010193264,0.003812671,0.004035281,0.002626058,0.00615025,0.003236271,0.003170193,0.001124298,0.007143594,0.002721872,0.00402571,0.00137352,0.010496905,0.004833937,
pred_RPPA_XGB,0.033846539,0.012743432,0.010860426,0.003870953,0.01549963,0.00696016,0.012029393,0.005267769,0.012297973,0.003699116,0.03297163,0.014878413,0.014873317,0.005084752,0.021601758,0.008382515,0.035822221,0.012482648,0.014378841,0.003083616,0.018600362,0.008043778,0.019682773,0.006721016,0.012425721,0.002378923,0.024909901,0.006620836,0.034157829,0.011801992,0.020720907,0.009806635,0.013863855,0.005465352,0.018865601,0.008864852,0.016151616,0.005362769,0.012478509,0.003022313,0.040028144,0.009297977,0.015019696,0.004136759,0.01893654,0.006523813,
