,hsa-miR-96,ebv-miR-BART12,hsa-miR-136,hsa-miR-149,hsa-miR-1266,hsa-miR-563,hsa-miR-320b,hsa-miR-548d-5p,hsa-miR-224,hsa-miR-331-3p,hsa-miR-200a,hsa-miR-591,hsa-miR-625,hsa-miR-198,hsa-miR-1973,hsa-miR-1282,hsa-miR-1260,hsa-miR-548d-3p,hsa-miR-323-5p,hsa-miR-1178,hsa-miR-654-3p,hsa-miR-205,hsa-let-7a,hsa-miR-767-3p,hsa-miR-567,hsa-miR-335,mcv-miR-M1-5p,hsa-miR-1978,hsa-miR-508-5p,hsa-miR-155
14,2.0,0.0,7.0,5.0,4.0,124.0,18.0,9.0,17.0,59.0,40.0,241.0,261.0,121.0,120.0,404.0,49.0,223.0,358.0,22.0,10.0,255.0,235.0,263.0,35.0,28.0,15.0,21.0,581.0,207.0
63,3.0,2.0,5.0,0.0,1.0,39.0,84.0,32.0,4.0,345.0,23.0,77.0,88.0,209.0,45.0,31.0,119.0,30.0,285.0,13.0,64.0,206.0,60.0,82.0,219.0,8.0,174.0,470.0,331.0,27.0
112,0.0,2.0,5.0,8.0,3.0,70.0,14.0,4.0,1.0,37.0,15.0,117.0,65.0,9.0,84.0,132.0,107.0,45.0,77.0,85.0,155.0,10.0,313.0,179.0,108.0,35.0,29.0,98.0,170.0,363.0
161,40.0,1.0,13.0,3.0,0.0,2.0,19.0,4.0,10.0,234.0,90.0,538.0,8.0,62.0,63.0,35.0,59.0,103.0,56.0,42.0,93.0,49.0,25.0,387.0,96.0,541.0,84.0,356.0,41.0,36.0
210,7.0,0.0,15.0,2.0,1.0,5.0,24.0,407.0,98.0,49.0,29.0,38.0,55.0,11.0,14.0,3.0,28.0,22.0,229.0,254.0,344.0,276.0,66.0,624.0,136.0,23.0,410.0,202.0,30.0,248.0
259,91.0,1.0,63.0,5.0,13.0,18.0,19.0,415.0,39.0,602.0,115.0,4.0,312.0,77.0,108.0,207.0,34.0,267.0,21.0,57.0,187.0,219.0,132.0,121.0,484.0,28.0,129.0,88.0,40.0,290.0
308,8.0,0.0,18.0,11.0,7.0,208.0,10.0,141.0,3.0,90.0,6.0,21.0,204.0,209.0,202.0,105.0,37.0,52.0,34.0,138.0,120.0,446.0,29.0,371.0,268.0,5.0,191.0,159.0,421.0,190.0
357,5.0,28.0,52.0,105.0,1.0,35.0,11.0,46.0,137.0,296.0,160.0,13.0,75.0,0.0,193.0,62.0,71.0,143.0,7.0,402.0,20.0,355.0,68.0,207.0,47.0,10.0,56.0,116.0,94.0,91.0
406,1.0,0.0,2.0,9.0,6.0,17.0,336.0,127.0,64.0,514.0,149.0,15.0,393.0,21.0,240.0,425.0,145.0,368.0,14.0,8.0,181.0,198.0,29.0,73.0,46.0,26.0,50.0,22.0,87.0,23.0
455,4.0,15.0,5.0,41.0,10.0,3.0,274.0,26.0,0.0,380.0,80.0,86.0,1.0,275.0,277.0,329.0,135.0,68.0,7.0,11.0,484.0,258.0,14.0,293.0,142.0,2.0,134.0,96.0,21.0,269.0
