,BREAST,NERVOUS,PANCREAS,HAEMATOPOIETIC,LARGE_INTESTINE,OVARY,OESOPHAGUS,LUNG,BONE,ENDOMETRIUM,SKIN,LIVER,URINARY,SOFT_TISSUE,AERODIGESTIVE,PLEURA,STOMACH,GANGLIA,KIDNEY,PROSTATE,THYROID,SALIVARY,BILIARY
48,0.0,5.0,2.0,1.0,12.0,6.0,10.0,9.0,14.0,8.0,18.0,7.0,4.0,13.0,15.0,20.0,3.0,11.0,22.0,16.0,19.0,17.0,21.0
97,1.0,2.0,7.0,4.0,5.0,3.0,6.0,11.0,8.0,10.0,0.0,9.0,14.0,12.0,16.0,21.0,15.0,17.0,13.0,18.0,20.0,19.0,22.0
146,13.0,0.0,8.0,5.0,1.0,4.0,6.0,3.0,9.0,2.0,12.0,16.0,11.0,18.0,7.0,21.0,10.0,14.0,20.0,15.0,19.0,17.0,22.0
195,3.0,4.0,7.0,5.0,6.0,14.0,12.0,11.0,0.0,9.0,16.0,10.0,15.0,8.0,1.0,21.0,2.0,17.0,13.0,18.0,20.0,19.0,22.0
244,3.0,4.0,1.0,5.0,6.0,0.0,12.0,2.0,7.0,8.0,10.0,9.0,14.0,11.0,16.0,21.0,15.0,17.0,13.0,18.0,20.0,19.0,22.0
293,5.0,9.0,6.0,7.0,0.0,8.0,11.0,1.0,4.0,2.0,15.0,18.0,10.0,12.0,3.0,20.0,13.0,16.0,14.0,17.0,19.0,22.0,21.0
342,7.0,12.0,0.0,11.0,8.0,1.0,5.0,10.0,4.0,9.0,15.0,6.0,2.0,14.0,3.0,21.0,13.0,16.0,20.0,17.0,19.0,18.0,22.0
391,5.0,1.0,6.0,7.0,10.0,2.0,8.0,0.0,12.0,3.0,15.0,11.0,13.0,9.0,4.0,21.0,20.0,16.0,14.0,22.0,19.0,18.0,17.0
440,0.0,3.0,1.0,5.0,6.0,4.0,7.0,11.0,8.0,10.0,16.0,9.0,14.0,12.0,2.0,21.0,15.0,17.0,13.0,18.0,20.0,19.0,22.0
489,15.0,0.0,9.0,3.0,5.0,1.0,4.0,10.0,8.0,14.0,13.0,7.0,11.0,18.0,6.0,20.0,2.0,12.0,22.0,16.0,19.0,17.0,21.0
538,14.0,7.0,0.0,1.0,17.0,8.0,5.0,2.0,4.0,13.0,6.0,10.0,11.0,9.0,15.0,3.0,12.0,16.0,20.0,18.0,19.0,21.0,22.0
