,NRAS_MUT,BRAF_MUT,KRAS.G12_13_MUT,OR2T10_DEL,BRAF.V600E_MUT,PRODH_DEL,ERBB4_DEL,DOCK10_AMP,NSF_AMP,GOLGA8A_DEL,DMBT1_DEL,NSFP1_AMP,EYA1_DEL,SEMA3C_AMP,PSG4_DEL,KRAS_MUT,SLC44A5_DEL,POU5F1B_AMP,TPTE2P3_DEL,TAG_DEL,LCE1D_DEL,LOC728875_DEL,TTN_MUT,LOC100272216_DEL,ARHGEF5_AMP,LOC284344_DEL,LOC440040_DEL,FRMPD2P1_AMP,FAM138A_DEL,OR2A7_AMP
33,6.0,4.0,12.0,0.0,24.0,50.0,86.0,21424.0,22092.0,16.0,88.0,22.0,111.0,17418.0,89.0,157.0,44.0,118.0,148.0,129.0,56.0,101.0,169.0,120.0,170.0,178.0,2199.0,122.0,107.0,67.0
82,1.0,7.0,12.0,19.0,68.0,9603.0,38.0,4.0,108.0,23.0,72.0,76.0,48.0,17415.0,11560.0,138.0,82.0,123.0,77.0,73.0,2677.0,27.0,131.0,69.0,88.0,104.0,112.0,111.0,160.0,187.0
131,7.0,4.0,17.0,64.0,37.0,126.0,10.0,3.0,31.0,47.0,81.0,36.0,63.0,17412.0,11565.0,187.0,6043.0,135.0,101.0,45.0,133.0,7466.0,100.0,32.0,181.0,71.0,2223.0,86.0,121.0,90.0
180,4.0,5.0,16.0,1.0,33.0,11616.0,35.0,2.0,39.0,64.0,95.0,83.0,54.0,17410.0,11556.0,48.0,60.0,102.0,146.0,57.0,121.0,46.0,79.0,59.0,19143.0,125.0,2054.0,111.0,156.0,113.0
229,5.0,9.0,23.0,61.0,41.0,11.0,72.0,20.0,19.0,138.0,46.0,35.0,112.0,18.0,15.0,16033.0,6027.0,22270.0,89.0,145.0,113.0,117.0,94.0,178.0,36.0,118.0,70.0,125.0,144.0,155.0
278,2.0,3.0,7.0,8.0,13.0,52.0,61.0,21433.0,129.0,96.0,164.0,50.0,149.0,17408.0,54.0,100.0,37.0,22268.0,125.0,1905.0,97.0,35.0,87.0,20411.0,174.0,106.0,2323.0,131.0,82.0,111.0
327,5.0,7.0,1.0,0.0,20170.0,21.0,38.0,31.0,24.0,33.0,91.0,52.0,75.0,17399.0,96.0,51.0,50.0,22304.0,117.0,74.0,2673.0,78.0,104.0,20455.0,140.0,142.0,101.0,172.0,150.0,13793.0
376,1.0,4.0,11.0,3.0,19.0,74.0,82.0,21419.0,47.0,76.0,125.0,182.0,58.0,17417.0,11559.0,83.0,6029.0,71.0,150.0,46.0,34.0,78.0,92.0,152.0,73.0,146.0,128.0,95.0,109.0,170.0
425,4.0,7.0,5.0,4358.0,14.0,48.0,11.0,29.0,33.0,4909.0,122.0,71.0,53.0,27.0,54.0,16013.0,55.0,78.0,108.0,153.0,162.0,7465.0,201.0,75.0,19150.0,98.0,2198.0,150.0,124.0,85.0
474,13.0,6.0,2.0,4.0,163.0,62.0,6038.0,7.0,38.0,39.0,77.0,52.0,44.0,17418.0,11559.0,87.0,64.0,116.0,90.0,35.0,2446.0,93.0,96.0,115.0,85.0,119.0,73.0,140.0,101.0,128.0
523,5.0,9.0,23.0,4344.0,20177.0,50.0,75.0,60.0,16.0,31.0,45.0,40.0,106.0,22.0,69.0,16033.0,6018.0,131.0,126.0,48.0,81.0,148.0,121.0,41.0,120.0,29.0,2321.0,133.0,119.0,13744.0
572,3.0,8.0,18.0,10.0,28.0,21.0,58.0,54.0,13.0,128.0,65.0,116.0,100.0,14.0,11562.0,16034.0,33.0,117.0,99.0,38.0,76.0,7458.0,91.0,59.0,101.0,120.0,68.0,164.0,111.0,77.0
621,2.0,5.0,19.0,1.0,10.0,71.0,32.0,23.0,14.0,82.0,119.0,181.0,47.0,33.0,110.0,16033.0,56.0,22275.0,170.0,112.0,2666.0,7462.0,97.0,74.0,89.0,106.0,99.0,125.0,143.0,13787.0
670,0.0,6.0,16.0,4344.0,28.0,50.0,27.0,90.0,22107.0,35.0,96.0,33.0,46.0,40.0,53.0,16015.0,58.0,22276.0,124.0,83.0,61.0,7454.0,149.0,174.0,64.0,175.0,12.0,139.0,125.0,82.0
719,0.0,4.0,24.0,2.0,32.0,99.0,86.0,21417.0,15.0,33.0,67.0,95.0,51.0,17417.0,158.0,85.0,6028.0,103.0,12.0,48.0,119.0,7463.0,133.0,156.0,100.0,157.0,64.0,171.0,184.0,13786.0
768,3.0,7.0,15.0,31.0,25.0,19.0,35.0,30.0,11.0,4900.0,62.0,70.0,103.0,17408.0,67.0,43.0,21.0,188.0,134.0,92.0,2666.0,60.0,152.0,73.0,143.0,69.0,89.0,106.0,147.0,144.0
817,2.0,1.0,4.0,130.0,11.0,33.0,103.0,40.0,26.0,65.0,36.0,109.0,77.0,19.0,25.0,20.0,6029.0,146.0,29.0,41.0,97.0,7460.0,196.0,145.0,82.0,133.0,184.0,100.0,93.0,135.0
866,1.0,7.0,8.0,4345.0,41.0,109.0,25.0,30.0,145.0,4897.0,73.0,81.0,70.0,43.0,39.0,16011.0,78.0,22275.0,89.0,75.0,2659.0,7460.0,94.0,82.0,122.0,116.0,98.0,152.0,154.0,127.0
915,0.0,8.0,24.0,17.0,27.0,132.0,56.0,95.0,85.0,69.0,87.0,38.0,80.0,17411.0,136.0,16013.0,59.0,108.0,19.0,153.0,77.0,169.0,126.0,66.0,75.0,122.0,18.0,149.0,160.0,13787.0
964,8.0,10.0,22.0,23.0,41.0,53.0,73.0,71.0,17.0,56.0,61.0,101.0,116.0,14.0,52.0,138.0,6026.0,148.0,155.0,192.0,21.0,7459.0,172.0,124.0,82.0,107.0,40.0,156.0,170.0,13757.0
1013,1.0,5.0,13.0,4357.0,30.0,84.0,61.0,108.0,22111.0,4907.0,91.0,83.0,113.0,54.0,70.0,23.0,6036.0,154.0,161.0,167.0,115.0,7460.0,98.0,95.0,104.0,158.0,2264.0,128.0,123.0,169.0
1062,0.0,3.0,5.0,4343.0,14.0,10610.0,80.0,46.0,22113.0,4895.0,98.0,22.0,17.0,17401.0,11558.0,49.0,35.0,180.0,109.0,138.0,2658.0,33.0,84.0,103.0,141.0,74.0,2204.0,133.0,136.0,125.0
1111,2.0,5.0,0.0,3840.0,51.0,11612.0,84.0,64.0,22095.0,76.0,129.0,50.0,124.0,21.0,14.0,25.0,6006.0,22261.0,79.0,102.0,71.0,96.0,88.0,48.0,62.0,40.0,2179.0,99.0,95.0,111.0
1160,0.0,7.0,3.0,4359.0,19.0,55.0,37.0,20.0,22112.0,113.0,105.0,52.0,90.0,22.0,25.0,127.0,89.0,22303.0,160.0,116.0,62.0,141.0,101.0,20450.0,121.0,78.0,2038.0,133.0,149.0,164.0
1209,0.0,5.0,2.0,3846.0,20113.0,43.0,20.0,57.0,22104.0,17.0,61.0,33.0,90.0,17407.0,69.0,67.0,84.0,100.0,153.0,186.0,54.0,110.0,79.0,97.0,101.0,1334.0,2310.0,93.0,130.0,169.0
1258,3.0,5.0,11.0,3848.0,29.0,52.0,35.0,85.0,22101.0,167.0,64.0,37.0,86.0,17403.0,32.0,113.0,98.0,22268.0,110.0,16.0,39.0,95.0,75.0,55.0,93.0,118.0,38.0,91.0,111.0,157.0
1307,7.0,3.0,6.0,4348.0,44.0,32.0,12.0,40.0,22109.0,82.0,74.0,33.0,95.0,14.0,11564.0,48.0,49.0,77.0,128.0,1886.0,83.0,46.0,158.0,151.0,124.0,86.0,2188.0,85.0,146.0,13787.0
1356,3.0,4.0,11.0,3845.0,33.0,89.0,130.0,1.0,22099.0,87.0,76.0,26.0,160.0,14.0,70.0,101.0,6010.0,71.0,86.0,143.0,113.0,18.0,75.0,91.0,111.0,129.0,2182.0,94.0,10743.0,45.0
1405,7.0,6.0,5.0,4350.0,20144.0,43.0,65.0,21416.0,22106.0,70.0,120.0,56.0,116.0,44.0,13.0,41.0,110.0,101.0,126.0,60.0,2412.0,7457.0,75.0,52.0,125.0,67.0,2269.0,90.0,87.0,13784.0
1454,2.0,7.0,4.0,26.0,47.0,36.0,37.0,62.0,22105.0,4895.0,96.0,52.0,48.0,17402.0,74.0,159.0,6026.0,75.0,146.0,1884.0,2673.0,23.0,93.0,125.0,71.0,58.0,2186.0,105.0,144.0,117.0
1503,8.0,1.0,2.0,9.0,40.0,76.0,29.0,21.0,31.0,75.0,91.0,129.0,94.0,53.0,11555.0,72.0,6026.0,68.0,119.0,1887.0,105.0,110.0,125.0,109.0,46.0,104.0,145.0,166.0,142.0,168.0
1552,5.0,2.0,12.0,20.0,31.0,44.0,102.0,21421.0,11.0,54.0,94.0,74.0,67.0,61.0,11562.0,69.0,6025.0,80.0,104.0,90.0,85.0,7462.0,63.0,97.0,19148.0,113.0,2350.0,131.0,125.0,170.0
1601,7.0,3.0,15.0,8.0,27.0,24.0,86.0,26.0,22109.0,68.0,46.0,133.0,92.0,58.0,35.0,16030.0,88.0,36.0,85.0,62.0,84.0,7458.0,43.0,102.0,19145.0,52.0,63.0,151.0,194.0,146.0
1650,3.0,9.0,14.0,1.0,6.0,44.0,37.0,54.0,26.0,4878.0,96.0,133.0,56.0,53.0,156.0,98.0,6007.0,62.0,123.0,135.0,127.0,7446.0,97.0,101.0,19135.0,68.0,2233.0,118.0,146.0,111.0
1699,4.0,6.0,14.0,10.0,19.0,42.0,125.0,41.0,51.0,4912.0,75.0,167.0,123.0,95.0,11564.0,71.0,6040.0,124.0,148.0,177.0,126.0,106.0,152.0,172.0,145.0,121.0,32.0,206.0,77.0,13794.0
1748,5.0,3.0,9.0,4356.0,33.0,76.0,119.0,42.0,16.0,4901.0,104.0,96.0,48.0,17415.0,22.0,31.0,6032.0,22290.0,112.0,1894.0,2671.0,7461.0,64.0,72.0,19148.0,120.0,2195.0,94.0,139.0,106.0
1797,9.0,11.0,25.0,0.0,12.0,42.0,6015.0,54.0,26.0,37.0,86.0,167.0,64.0,97.0,11556.0,36.0,6029.0,74.0,107.0,1643.0,124.0,94.0,184.0,96.0,156.0,121.0,2055.0,132.0,176.0,133.0
1846,10.0,6.0,24134.0,0.0,32.0,35.0,26.0,78.0,7.0,149.0,102.0,155.0,55.0,19.0,94.0,16.0,52.0,111.0,90.0,168.0,67.0,85.0,98.0,110.0,19141.0,1333.0,2239.0,126.0,103.0,88.0
1895,7.0,3.0,5.0,11.0,20113.0,74.0,98.0,36.0,22.0,81.0,91.0,138.0,63.0,37.0,11557.0,82.0,6015.0,78.0,92.0,106.0,116.0,7451.0,59.0,88.0,79.0,58.0,2183.0,133.0,143.0,105.0
1944,7.0,0.0,8.0,4.0,33.0,55.0,76.0,21433.0,28.0,117.0,68.0,178.0,74.0,17409.0,47.0,104.0,77.0,86.0,132.0,172.0,31.0,7450.0,48.0,119.0,19137.0,155.0,2208.0,88.0,111.0,13726.0
1993,11.0,4.0,15.0,4354.0,20144.0,52.0,44.0,21414.0,93.0,79.0,55.0,35.0,71.0,39.0,46.0,135.0,60.0,139.0,98.0,67.0,53.0,77.0,57.0,20450.0,66.0,132.0,2264.0,200.0,97.0,63.0
2042,0.0,1.0,11.0,19.0,33.0,44.0,43.0,21416.0,17.0,4898.0,63.0,57.0,112.0,17405.0,86.0,62.0,18.0,54.0,58.0,135.0,180.0,181.0,168.0,144.0,68.0,124.0,91.0,66.0,148.0,93.0
2091,18.0,7.0,26.0,5.0,20144.0,28.0,140.0,135.0,158.0,72.0,61.0,184.0,60.0,41.0,159.0,16013.0,6032.0,75.0,133.0,81.0,2663.0,197.0,157.0,94.0,62.0,92.0,109.0,49.0,100.0,131.0
2140,6.0,4.0,17.0,5.0,37.0,65.0,50.0,22.0,45.0,102.0,59.0,29.0,18.0,17403.0,11567.0,16010.0,128.0,126.0,77.0,75.0,2450.0,127.0,114.0,169.0,92.0,154.0,63.0,120.0,112.0,185.0
2189,14.0,3.0,2.0,38.0,20115.0,62.0,25.0,114.0,22113.0,133.0,86.0,41.0,136.0,17416.0,11558.0,79.0,27.0,84.0,46.0,1882.0,2655.0,66.0,125.0,51.0,40.0,110.0,102.0,93.0,123.0,90.0
2238,4.0,5.0,7.0,89.0,34.0,18.0,77.0,21420.0,158.0,4914.0,50.0,179.0,140.0,15.0,148.0,44.0,22.0,180.0,108.0,139.0,2502.0,98.0,160.0,90.0,73.0,1381.0,161.0,176.0,125.0,215.0
2287,11.0,5.0,6.0,1.0,20.0,41.0,57.0,21414.0,93.0,149.0,67.0,22765.0,166.0,115.0,11553.0,99.0,6025.0,110.0,116.0,137.0,170.0,98.0,16334.0,87.0,80.0,103.0,91.0,94.0,160.0,107.0
2336,0.0,6.0,3.0,1.0,20168.0,60.0,87.0,54.0,14.0,4904.0,70.0,49.0,104.0,17409.0,79.0,109.0,19.0,130.0,67.0,121.0,2662.0,100.0,16317.0,103.0,80.0,96.0,91.0,129.0,161.0,71.0
2385,3.0,7.0,11.0,3851.0,39.0,37.0,73.0,21416.0,21.0,148.0,50.0,22762.0,49.0,23.0,28.0,58.0,47.0,186.0,40.0,155.0,2408.0,71.0,103.0,84.0,91.0,74.0,67.0,140.0,69.0,55.0
2434,2.0,3.0,6.0,0.0,20112.0,84.0,59.0,21411.0,72.0,74.0,33.0,52.0,31.0,42.0,11551.0,97.0,46.0,124.0,81.0,132.0,32.0,147.0,16329.0,79.0,175.0,1336.0,62.0,153.0,90.0,104.0
2483,12.0,5.0,22.0,32.0,19.0,25.0,31.0,49.0,94.0,20.0,41.0,162.0,117.0,23.0,110.0,34.0,121.0,87.0,60.0,125.0,154.0,7453.0,164.0,143.0,166.0,62.0,14.0,136.0,77.0,65.0
2532,8.0,6.0,21.0,3855.0,71.0,10613.0,46.0,112.0,22111.0,59.0,78.0,32.0,29.0,9.0,47.0,12.0,83.0,84.0,85.0,183.0,173.0,7457.0,141.0,99.0,66.0,89.0,2194.0,88.0,158.0,87.0
2581,0.0,5.0,24134.0,4407.0,10.0,10230.0,36.0,24.0,22.0,61.0,48.0,120.0,5778.0,17406.0,11558.0,15.0,40.0,106.0,65.0,99.0,50.0,7451.0,144.0,84.0,88.0,74.0,2186.0,60.0,10744.0,13754.0
2630,7.0,9.0,26.0,0.0,20174.0,51.0,41.0,90.0,59.0,37.0,60.0,134.0,151.0,76.0,11562.0,16017.0,6037.0,103.0,107.0,147.0,87.0,7473.0,16336.0,108.0,197.0,130.0,42.0,139.0,154.0,117.0
2679,4.0,2.0,3.0,0.0,35.0,75.0,26.0,92.0,188.0,114.0,122.0,131.0,47.0,17415.0,119.0,43.0,6026.0,54.0,94.0,184.0,2662.0,167.0,126.0,117.0,19145.0,73.0,46.0,183.0,129.0,130.0
2728,3.0,8.0,16.0,4371.0,20174.0,12.0,87.0,1.0,48.0,116.0,144.0,118.0,183.0,27.0,11566.0,0.0,6035.0,63.0,137.0,192.0,39.0,7471.0,16340.0,124.0,187.0,115.0,100.0,108.0,77.0,149.0
2777,1.0,9.0,0.0,2.0,20.0,44.0,29.0,21416.0,28.0,4886.0,83.0,90.0,112.0,17410.0,11555.0,46.0,86.0,63.0,65.0,109.0,117.0,80.0,136.0,100.0,82.0,108.0,2187.0,124.0,106.0,120.0
2826,4.0,18.0,8.0,0.0,1.0,49.0,41.0,116.0,46.0,74.0,34.0,76.0,67.0,23.0,11568.0,93.0,61.0,88.0,73.0,1898.0,115.0,7471.0,117.0,140.0,149.0,162.0,11.0,146.0,110.0,66.0
