,NRAS_MUT,BRAF_MUT,KRAS.G12_13_MUT,OR2T10_DEL,BRAF.V600E_MUT,PRODH_DEL,ERBB4_DEL,DOCK10_AMP,NSF_AMP,GOLGA8A_DEL,DMBT1_DEL,NSFP1_AMP,EYA1_DEL,SEMA3C_AMP,PSG4_DEL,KRAS_MUT,SLC44A5_DEL,POU5F1B_AMP,TPTE2P3_DEL,TAG_DEL,LCE1D_DEL,LOC728875_DEL,TTN_MUT,LOC100272216_DEL,ARHGEF5_AMP,LOC284344_DEL,LOC440040_DEL,FRMPD2P1_AMP,FAM138A_DEL,OR2A7_AMP
2875,5.0,9.0,39.0,0.0,42.0,10615.0,61.0,21417.0,7.0,52.0,70.0,22765.0,36.0,93.0,55.0,20.0,146.0,19.0,159.0,111.0,96.0,86.0,153.0,142.0,102.0,95.0,16.0,108.0,194.0,177.0
2924,9.0,11.0,4.0,4358.0,75.0,64.0,59.0,84.0,20.0,68.0,148.0,123.0,152.0,17420.0,29.0,46.0,6034.0,97.0,130.0,101.0,30.0,7466.0,16319.0,134.0,79.0,141.0,121.0,60.0,92.0,13794.0
2973,1.0,4.0,8.0,3.0,15.0,41.0,63.0,81.0,182.0,36.0,60.0,68.0,112.0,17404.0,87.0,16034.0,6022.0,99.0,97.0,131.0,106.0,7.0,191.0,103.0,102.0,187.0,76.0,95.0,80.0,140.0
3022,2.0,7.0,14.0,4347.0,36.0,112.0,24.0,65.0,19.0,4897.0,92.0,130.0,46.0,17408.0,11559.0,70.0,64.0,59.0,170.0,43.0,55.0,7466.0,122.0,91.0,89.0,1340.0,2244.0,85.0,162.0,116.0
3071,14.0,15.0,24134.0,4367.0,68.0,64.0,52.0,197.0,114.0,103.0,191.0,88.0,203.0,89.0,58.0,35.0,69.0,116.0,92.0,80.0,136.0,138.0,119.0,20455.0,140.0,1301.0,153.0,128.0,204.0,156.0
3120,20.0,3.0,22.0,4358.0,45.0,84.0,39.0,118.0,95.0,91.0,63.0,66.0,143.0,17414.0,111.0,83.0,87.0,67.0,156.0,162.0,59.0,105.0,16320.0,169.0,165.0,73.0,2312.0,129.0,135.0,109.0
3169,0.0,17.0,19.0,6.0,20169.0,66.0,26.0,126.0,2.0,41.0,82.0,90.0,149.0,17415.0,11576.0,193.0,31.0,61.0,127.0,92.0,75.0,109.0,187.0,131.0,121.0,1390.0,43.0,155.0,107.0,123.0
3218,7.0,9.0,28.0,11.0,219.0,46.0,25.0,21419.0,1.0,31.0,93.0,118.0,100.0,17418.0,42.0,202.0,75.0,52.0,98.0,138.0,101.0,38.0,87.0,140.0,78.0,103.0,135.0,105.0,181.0,13795.0
3267,7.0,13.0,11.0,4349.0,20176.0,55.0,49.0,21418.0,4.0,142.0,70.0,37.0,149.0,44.0,82.0,170.0,89.0,158.0,134.0,121.0,58.0,41.0,94.0,138.0,19146.0,1274.0,2191.0,100.0,154.0,110.0
3316,11.0,7.0,28.0,4354.0,16.0,78.0,50.0,21418.0,22112.0,42.0,89.0,57.0,114.0,17413.0,85.0,47.0,67.0,112.0,156.0,49.0,2672.0,193.0,44.0,152.0,52.0,858.0,38.0,126.0,117.0,177.0
3365,10.0,6.0,7.0,30.0,36.0,68.0,61.0,43.0,65.0,83.0,69.0,93.0,102.0,59.0,97.0,92.0,58.0,81.0,132.0,121.0,169.0,104.0,113.0,142.0,181.0,160.0,2219.0,154.0,147.0,112.0
3414,10.0,6.0,8.0,4362.0,54.0,123.0,35.0,138.0,154.0,33.0,72.0,83.0,110.0,17401.0,47.0,37.0,6036.0,200.0,121.0,89.0,56.0,7464.0,101.0,67.0,117.0,1404.0,64.0,133.0,116.0,13792.0
3463,2.0,3.0,18.0,11.0,38.0,42.0,17.0,21418.0,92.0,80.0,86.0,64.0,109.0,17409.0,11564.0,16014.0,21.0,134.0,87.0,150.0,106.0,79.0,169.0,144.0,185.0,124.0,2202.0,146.0,120.0,13784.0
3512,2.0,7.0,5.0,1.0,17.0,39.0,38.0,152.0,22071.0,85.0,43.0,21.0,161.0,17417.0,101.0,116.0,6036.0,53.0,82.0,92.0,138.0,51.0,163.0,128.0,96.0,144.0,119.0,131.0,87.0,13794.0
3561,6.0,5.0,20.0,3.0,8.0,68.0,77.0,74.0,31.0,44.0,46.0,93.0,94.0,17417.0,11557.0,179.0,100.0,133.0,59.0,130.0,160.0,102.0,154.0,192.0,186.0,62.0,146.0,180.0,151.0,13782.0
3610,0.0,16.0,14.0,3.0,21.0,52.0,55.0,121.0,22109.0,46.0,90.0,100.0,53.0,17408.0,106.0,95.0,73.0,67.0,101.0,82.0,98.0,30.0,84.0,172.0,145.0,156.0,189.0,151.0,134.0,164.0
3659,12.0,6.0,9.0,15.0,20177.0,49.0,31.0,96.0,93.0,32.0,57.0,122.0,71.0,17418.0,75.0,164.0,44.0,68.0,70.0,192.0,141.0,101.0,16333.0,145.0,119.0,127.0,51.0,138.0,102.0,13785.0
3708,6.0,9.0,7.0,0.0,20.0,51.0,67.0,57.0,22113.0,103.0,81.0,22763.0,58.0,17412.0,117.0,63.0,6027.0,25.0,91.0,1934.0,190.0,110.0,16319.0,141.0,151.0,68.0,2330.0,113.0,131.0,13761.0
3757,7.0,10.0,9.0,2.0,14.0,19.0,45.0,59.0,112.0,42.0,202.0,22761.0,61.0,17407.0,106.0,110.0,6032.0,22272.0,56.0,43.0,2430.0,161.0,186.0,180.0,147.0,1351.0,77.0,111.0,138.0,162.0
3806,1.0,0.0,8.0,6.0,17.0,46.0,49.0,116.0,28.0,57.0,120.0,51.0,53.0,17410.0,37.0,16012.0,86.0,73.0,78.0,55.0,2661.0,114.0,85.0,113.0,112.0,79.0,2189.0,148.0,126.0,13783.0
3855,3.0,8.0,14.0,1.0,24.0,31.0,51.0,21415.0,116.0,52.0,82.0,57.0,91.0,17407.0,11559.0,16015.0,6039.0,22273.0,76.0,77.0,2422.0,67.0,179.0,144.0,126.0,87.0,149.0,104.0,92.0,163.0
3904,0.0,22.0,9.0,4348.0,11.0,42.0,28.0,70.0,53.0,152.0,39.0,15.0,73.0,17411.0,61.0,16032.0,6024.0,113.0,66.0,116.0,95.0,37.0,194.0,112.0,99.0,133.0,45.0,120.0,83.0,13785.0
3953,3.0,5.0,57.0,8.0,23.0,11620.0,55.0,48.0,21.0,201.0,91.0,114.0,73.0,17412.0,11559.0,6.0,6038.0,109.0,82.0,89.0,2555.0,185.0,120.0,157.0,173.0,1360.0,2338.0,124.0,160.0,96.0
4002,0.0,7.0,6.0,1.0,20171.0,11366.0,36.0,94.0,142.0,103.0,59.0,100.0,101.0,17409.0,98.0,54.0,42.0,22304.0,82.0,77.0,2668.0,171.0,85.0,168.0,121.0,140.0,2192.0,72.0,172.0,53.0
4051,6.0,8.0,9.0,11.0,20177.0,40.0,98.0,137.0,22111.0,87.0,51.0,93.0,60.0,17410.0,122.0,169.0,64.0,136.0,52.0,50.0,49.0,53.0,183.0,65.0,148.0,1395.0,2089.0,100.0,174.0,76.0
4100,10.0,6.0,20.0,4379.0,20178.0,36.0,65.0,133.0,200.0,4984.0,168.0,167.0,34.0,17421.0,61.0,100.0,138.0,114.0,216.0,182.0,140.0,7480.0,119.0,135.0,186.0,164.0,11.0,88.0,221.0,147.0
4149,5.0,3.0,16.0,4362.0,52.0,11622.0,44.0,7.0,63.0,56.0,117.0,22768.0,78.0,33.0,154.0,37.0,6040.0,96.0,118.0,183.0,99.0,94.0,103.0,188.0,127.0,146.0,19.0,121.0,136.0,13794.0
4198,4.0,3.0,26.0,6.0,46.0,10612.0,74.0,78.0,110.0,4971.0,40.0,89.0,69.0,35.0,88.0,13.0,25.0,106.0,64.0,41.0,2670.0,85.0,143.0,142.0,125.0,1363.0,2210.0,149.0,115.0,84.0
4247,9.0,3.0,17.0,34.0,47.0,10627.0,82.0,135.0,22092.0,112.0,150.0,152.0,99.0,15.0,36.0,12.0,6104.0,22331.0,214.0,73.0,2684.0,20.0,104.0,86.0,155.0,1293.0,162.0,147.0,198.0,33.0
4296,0.0,9.0,98.0,3.0,22.0,11611.0,29.0,37.0,22103.0,68.0,133.0,140.0,51.0,17407.0,83.0,7.0,6024.0,79.0,97.0,134.0,69.0,60.0,87.0,177.0,76.0,116.0,34.0,121.0,120.0,66.0
4345,4.0,5.0,15.0,13.0,44.0,10613.0,47.0,21417.0,22110.0,105.0,131.0,169.0,56.0,67.0,64.0,23.0,42.0,39.0,109.0,116.0,2668.0,7454.0,90.0,203.0,113.0,162.0,99.0,163.0,130.0,91.0
4394,6.0,1.0,20.0,3.0,20144.0,11617.0,59.0,79.0,83.0,4899.0,92.0,44.0,48.0,22.0,109.0,16032.0,6026.0,86.0,114.0,143.0,2450.0,145.0,65.0,151.0,115.0,903.0,47.0,104.0,123.0,85.0
4443,1.0,8.0,24.0,4354.0,62.0,20.0,150.0,47.0,23.0,4905.0,84.0,53.0,75.0,10.0,90.0,25.0,6030.0,99.0,163.0,1705.0,59.0,147.0,55.0,83.0,181.0,134.0,79.0,117.0,77.0,58.0
4492,7.0,4.0,19.0,4347.0,33.0,81.0,90.0,55.0,36.0,106.0,92.0,58.0,97.0,17409.0,96.0,16033.0,6025.0,80.0,146.0,83.0,61.0,144.0,102.0,192.0,148.0,119.0,2190.0,76.0,165.0,78.0
4541,25.0,7.0,22.0,18.0,47.0,9863.0,160.0,21422.0,105.0,61.0,5368.0,53.0,145.0,59.0,11563.0,177.0,6028.0,22304.0,118.0,1895.0,71.0,137.0,168.0,20453.0,141.0,98.0,109.0,147.0,130.0,78.0
4590,17.0,5.0,38.0,0.0,28.0,39.0,6019.0,71.0,18.0,40.0,105.0,87.0,94.0,50.0,85.0,16015.0,6033.0,53.0,143.0,111.0,95.0,46.0,58.0,142.0,48.0,1410.0,97.0,154.0,76.0,104.0
4639,4.0,5.0,13.0,0.0,15.0,73.0,86.0,22.0,109.0,11.0,124.0,94.0,115.0,16.0,141.0,178.0,104.0,22290.0,83.0,31.0,2665.0,199.0,106.0,152.0,126.0,116.0,75.0,125.0,52.0,13786.0
4688,1.0,3.0,13.0,3854.0,30.0,65.0,100.0,38.0,158.0,4893.0,28.0,95.0,163.0,10.0,78.0,16030.0,6018.0,22267.0,127.0,114.0,67.0,118.0,61.0,198.0,159.0,128.0,18.0,145.0,119.0,77.0
4737,7.0,5.0,17.0,4352.0,20177.0,71.0,46.0,53.0,6.0,4900.0,56.0,103.0,194.0,21.0,106.0,16032.0,6026.0,108.0,133.0,81.0,2673.0,105.0,82.0,74.0,152.0,1403.0,32.0,120.0,117.0,61.0
4786,63.0,9.0,10.0,4355.0,24.0,16.0,142.0,40.0,22110.0,55.0,191.0,73.0,56.0,20.0,68.0,74.0,6030.0,61.0,154.0,114.0,2670.0,7461.0,136.0,113.0,117.0,146.0,107.0,141.0,50.0,67.0
4835,3.0,2.0,21.0,62.0,17.0,71.0,137.0,49.0,10.0,155.0,5419.0,72.0,114.0,22.0,66.0,171.0,6077.0,115.0,169.0,176.0,53.0,150.0,99.0,123.0,90.0,58.0,2351.0,128.0,11232.0,65.0
4884,3.0,7.0,24.0,2.0,11.0,57.0,109.0,35.0,88.0,89.0,85.0,82.0,100.0,20.0,95.0,16019.0,6034.0,61.0,175.0,1895.0,2675.0,183.0,199.0,116.0,97.0,130.0,156.0,134.0,118.0,76.0
