,FAM21A_DEL,HLA-H_DEL,ADAM3A_DEL,ADAM5_DEL,MRGPRX1_DEL,LCE3C_DEL,RHD_DEL,LOC390660_AMP,GOLGA6L10_AMP,MIR548AI_DEL,RBFOX1_DEL,EP300_MUT,BRAF_MUT,PCCB_DEL,TPTE_DEL,HCG4B_DEL,HLA-DRB6_AMP,SORD_AMP,DMRTA1_DEL,BRAF.V600E_MUT,GSTTP1_AMP,RPS17L_AMP,GOLGA6L9_AMP,RPS17_AMP,UBE2Q2P3_AMP,CDKN2B_DEL,UBE2Q2P2_AMP,CES1P1_DEL,PCDH15_MUT,GOLGA8DP_DEL
30,0.0,11.0,2.0,1.0,25.0,8.0,20.0,4.0,3.0,116.0,9.0,6.0,71.0,10.0,5.0,110.0,7.0,34.0,40.0,73.0,12.0,18.0,17.0,16.0,14.0,36.0,15.0,19.0,24.0,69.0
79,0.0,2.0,21.0,13.0,35.0,12.0,1.0,24.0,25.0,5.0,14.0,26.0,32.0,17.0,16.0,8.0,3.0,20.0,27.0,22.0,19.0,57.0,59.0,58.0,55.0,6.0,56.0,10.0,62.0,30.0
128,0.0,13.0,15.0,11.0,60.0,3.0,33.0,4.0,5.0,27.0,72.0,16.0,39.0,1.0,45.0,40.0,19.0,52.0,22.0,44.0,30.0,10.0,6.0,9.0,7.0,74.0,8.0,76.0,63.0,26.0
177,0.0,1.0,23.0,9.0,59.0,3.0,20.0,7.0,8.0,24.0,57.0,22.0,35.0,6.0,4.0,25.0,82.0,33.0,21.0,44.0,26.0,13.0,16.0,14.0,15.0,40.0,17.0,5.0,62.0,31.0
226,0.0,3.0,40.0,31.0,17.0,33.0,1.0,10.0,11.0,14.0,55.0,257.0,15.0,9.0,26.0,23.0,28.0,2.0,30.0,39.0,18.0,6.0,5.0,4.0,7.0,22.0,8.0,21.0,41.0,27.0
275,0.0,3.0,18.0,11.0,28.0,2.0,8.0,5.0,4.0,25.0,6.0,17.0,39.0,10.0,14.0,13.0,7.0,37.0,16.0,43.0,15.0,20.0,19.0,21.0,22.0,31.0,23.0,1.0,90.0,40.0
324,0.0,4.0,32.0,33.0,3.0,2.0,1.0,7.0,6.0,41.0,23.0,5.0,51.0,9.0,25.0,49.0,69.0,16.0,26.0,56.0,19.0,14.0,13.0,15.0,11.0,31.0,12.0,8.0,57.0,43.0
373,0.0,1.0,28.0,10.0,67.0,23.0,9.0,3.0,2.0,7.0,63.0,30.0,31.0,20.0,22.0,12.0,4.0,13.0,29.0,5.0,33.0,15.0,18.0,19.0,16.0,44.0,17.0,11.0,41.0,21.0
422,2.0,52.0,34.0,22.0,4.0,11.0,10.0,32.0,33.0,81.0,21.0,18.0,181.0,23.0,35.0,85.0,0.0,16.0,38.0,132.0,13.0,29.0,28.0,27.0,30.0,1.0,31.0,7.0,131.0,24.0
471,0.0,2.0,47.0,36.0,9.0,23.0,21.0,4.0,3.0,34.0,31.0,22.0,591.0,7.0,15.0,122.0,25.0,287.0,17.0,733.0,6.0,14.0,11.0,10.0,12.0,5.0,13.0,62.0,477.0,20.0
520,0.0,19.0,23.0,27.0,3.0,4.0,10.0,8.0,9.0,167.0,11.0,1.0,86.0,12.0,49.0,388.0,7.0,41.0,16.0,99.0,5.0,47.0,45.0,46.0,44.0,62.0,43.0,2.0,70.0,14.0
569,5.0,9.0,6.0,7.0,12.0,50.0,24.0,3.0,2.0,22.0,35.0,45.0,82.0,25.0,20.0,27.0,0.0,28.0,21.0,30.0,36.0,17.0,19.0,18.0,15.0,4.0,16.0,32.0,1217.0,31.0
618,2.0,7.0,18.0,20.0,3.0,6.0,8.0,4.0,5.0,76.0,14.0,24.0,47.0,36.0,26.0,49.0,0.0,73.0,15.0,35.0,16.0,9.0,12.0,11.0,10.0,58.0,13.0,17.0,171.0,22.0
667,28.0,41.0,45.0,46.0,5.0,10.0,4.0,6.0,7.0,349.0,14.0,8.0,70.0,18.0,19.0,595.0,0.0,34.0,30.0,49.0,2.0,24.0,27.0,26.0,25.0,42.0,23.0,16.0,202.0,20.0
