,NQO1,MB21D1,SLC16A3,MAGEA6,FAM109B,AC074389.9,AC093627.9,MAGEA1,WWP2,TNFSF9,CTD-2639E6.9,LY6G5C,GOLGA8B,CCDC8,HOXC10,RP11-613F22.6,SNORA5B,PARP8,ERMP1,FOXD1,SNHG5,SMN2,ALPK3,S100A4,TFR2,HS3ST3A1,LTBP2,HTRA3,PHPT1,RP11-305M3.2
9,0.0,2.0,1.0,3.0,68.0,14.0,29.0,564.0,11.0,4.0,16.0,58.0,21.0,155.0,425.0,118.0,17.0,170.0,5.0,76.0,371.0,360.0,54.0,8.0,64.0,447.0,7.0,18.0,85.0,198.0
58,0.0,1.0,3.0,2.0,439.0,65.0,169.0,39.0,7.0,5.0,19.0,9.0,34.0,87.0,115.0,155.0,41.0,33.0,8.0,51.0,74.0,25.0,338.0,13.0,42.0,145.0,27.0,102.0,53.0,43.0
107,0.0,2.0,3.0,5.0,105.0,7.0,26.0,1.0,12.0,46.0,10.0,129.0,284.0,16.0,683.0,51.0,158.0,49.0,18.0,85.0,40.0,55.0,29.0,69.0,13.0,601.0,11.0,72.0,30.0,91.0
156,0.0,1.0,2.0,4.0,14.0,23.0,33.0,49.0,7.0,84.0,19.0,40.0,265.0,18.0,371.0,119.0,46.0,81.0,11.0,42.0,184.0,430.0,47.0,55.0,66.0,586.0,12.0,9.0,65.0,358.0
205,0.0,2.0,3.0,1.0,15.0,4.0,8.0,17.0,34.0,37.0,41.0,423.0,64.0,69.0,357.0,346.0,226.0,36.0,28.0,179.0,20.0,224.0,7.0,13.0,29.0,171.0,49.0,53.0,77.0,74.0
254,0.0,2.0,4.0,1.0,13.0,3.0,14.0,9.0,10.0,15.0,74.0,131.0,442.0,595.0,138.0,112.0,1282.0,58.0,19.0,503.0,17.0,96.0,95.0,38.0,73.0,508.0,22.0,28.0,81.0,330.0
303,0.0,2.0,1.0,4.0,63.0,76.0,11.0,127.0,3.0,13.0,92.0,325.0,39.0,60.0,116.0,27.0,46.0,172.0,6.0,119.0,37.0,2164.0,54.0,52.0,59.0,284.0,23.0,651.0,14.0,61.0
352,0.0,1.0,2.0,3.0,6.0,9.0,16.0,12.0,5.0,107.0,14.0,59.0,19.0,200.0,58.0,15.0,178.0,41.0,4.0,66.0,233.0,389.0,64.0,7.0,17.0,243.0,99.0,52.0,47.0,477.0
401,0.0,2.0,1.0,3.0,110.0,45.0,35.0,31.0,12.0,17.0,36.0,77.0,43.0,8.0,65.0,7.0,60.0,80.0,4.0,72.0,55.0,146.0,38.0,10.0,13.0,1246.0,15.0,14.0,196.0,355.0
450,0.0,1.0,2.0,3.0,42.0,5.0,28.0,13.0,11.0,87.0,23.0,213.0,75.0,25.0,181.0,31.0,94.0,24.0,10.0,89.0,188.0,134.0,61.0,86.0,34.0,883.0,16.0,55.0,259.0,84.0
499,0.0,1.0,4.0,5.0,2.0,14.0,8.0,49.0,144.0,7.0,15.0,6.0,12.0,3.0,16.0,36.0,60.0,43.0,40.0,10.0,13.0,48.0,33.0,51.0,96.0,134.0,146.0,22.0,130.0,346.0
548,0.0,1.0,3.0,9.0,22.0,14.0,25.0,70.0,151.0,15.0,13.0,37.0,8.0,2.0,33.0,19.0,295.0,251.0,10.0,5.0,35.0,12.0,23.0,18.0,61.0,17.0,85.0,27.0,155.0,30.0
597,0.0,16.0,2.0,30.0,4.0,3.0,13.0,9.0,47.0,22.0,27.0,5.0,19.0,23.0,285.0,18.0,10.0,146.0,17.0,32.0,264.0,14.0,147.0,287.0,24.0,41.0,176.0,33.0,253.0,54.0
646,0.0,3.0,2.0,7.0,1.0,5.0,14.0,10.0,95.0,53.0,22.0,11.0,6.0,4.0,37.0,8.0,60.0,26.0,9.0,62.0,56.0,12.0,29.0,38.0,48.0,19.0,116.0,16.0,279.0,54.0
695,0.0,1.0,16.0,2.0,3.0,5.0,8.0,33.0,40.0,6.0,23.0,22.0,4.0,12.0,48.0,7.0,99.0,173.0,35.0,17.0,14.0,76.0,71.0,20.0,57.0,25.0,53.0,15.0,337.0,91.0
744,0.0,8.0,9.0,3.0,6.0,18.0,13.0,5.0,42.0,4.0,7.0,30.0,2.0,1.0,14.0,17.0,90.0,37.0,22.0,34.0,38.0,116.0,54.0,67.0,326.0,160.0,66.0,79.0,147.0,75.0
793,0.0,2.0,35.0,47.0,3.0,6.0,8.0,59.0,72.0,22.0,7.0,11.0,18.0,1.0,39.0,29.0,30.0,92.0,9.0,25.0,36.0,28.0,17.0,34.0,208.0,503.0,163.0,26.0,306.0,227.0
842,0.0,2.0,10.0,241.0,1.0,6.0,16.0,24.0,95.0,5.0,7.0,36.0,17.0,4.0,12.0,14.0,34.0,161.0,15.0,18.0,43.0,37.0,28.0,102.0,20.0,77.0,19.0,64.0,207.0,104.0
891,0.0,4.0,6.0,24.0,1.0,3.0,17.0,30.0,66.0,84.0,8.0,11.0,22.0,2.0,100.0,41.0,37.0,48.0,33.0,26.0,35.0,5.0,28.0,88.0,46.0,9.0,152.0,7.0,162.0,112.0
940,0.0,1.0,26.0,14.0,2.0,8.0,5.0,18.0,42.0,16.0,3.0,13.0,10.0,4.0,12.0,39.0,90.0,85.0,38.0,6.0,21.0,19.0,131.0,128.0,87.0,11.0,97.0,15.0,217.0,70.0
989,0.0,3.0,13.0,1.0,2.0,16.0,54.0,8.0,29.0,55.0,67.0,15.0,25.0,5.0,18.0,34.0,203.0,11.0,26.0,318.0,43.0,38.0,51.0,24.0,431.0,35.0,31.0,7.0,81.0,50.0
1038,0.0,6.0,14.0,2.0,1.0,9.0,12.0,4.0,35.0,8.0,17.0,26.0,16.0,10.0,31.0,57.0,60.0,7.0,33.0,25.0,5.0,128.0,40.0,20.0,174.0,71.0,38.0,39.0,30.0,66.0
