,ESPNP_DEL,DPP6_DEL,OR51A2_DEL,PRH1-PRR4_DEL,BRAF.V600E_MUT,WDR91_DEL,TMEM230_DEL,GRIN2A_DEL,ZCCHC4_DEL,GRIN2D_DEL,GRIN2B_DEL,ZBTB44_DEL,SETD2_DEL,MRPL18_DEL,CCDC113_DEL,LINC00652_DEL,NDUFAF4_DEL,CHMP4A_DEL,STXBP6_DEL,CCDC59_DEL,RANGRF_DEL,COMMD9_DEL,LINC00339_DEL,FOXN3-AS2_DEL,MED4_DEL,TIMM21_DEL,THYN1_DEL,MRPL15_DEL,GRIK4_DEL,ABR_DEL
34,26.0,5.0,1.0,19841.0,33.0,47.0,49.0,53.0,58.0,48.0,50.0,61.0,64.0,67.0,63.0,69.0,70.0,55.0,68.0,62.0,65.0,72.0,73.0,54.0,71.0,51.0,60.0,66.0,57.0,105.0
83,11.0,5478.0,15.0,19843.0,36.0,56.0,52.0,54.0,50.0,51.0,53.0,55.0,46.0,45.0,47.0,57.0,70.0,64.0,63.0,71.0,48.0,62.0,60.0,65.0,59.0,69.0,66.0,68.0,106.0,73.0
132,1.0,18.0,0.0,30.0,43.0,52.0,50.0,48.0,57.0,51.0,49.0,58.0,62.0,60.0,72.0,70.0,66.0,63.0,71.0,55.0,67.0,61.0,69.0,73.0,65.0,47.0,64.0,68.0,96.0,75.0
181,302.0,5480.0,3.0,25.0,38.0,47.0,95.0,76.0,50.0,46.0,77.0,52.0,54.0,55.0,53.0,56.0,59.0,67.0,45.0,75.0,63.0,61.0,74.0,98.0,60.0,72.0,68.0,69.0,99.0,100.0
230,0.0,1.0,4.0,19837.0,38.0,50.0,47.0,115.0,51.0,48.0,64.0,52.0,57.0,61.0,54.0,62.0,65.0,70.0,45.0,68.0,63.0,58.0,69.0,77.0,67.0,73.0,71.0,72.0,76.0,99.0
279,30.0,5474.0,1882.0,19840.0,35.0,61.0,58.0,56.0,66.0,59.0,57.0,68.0,71.0,45.0,70.0,51.0,46.0,52.0,67.0,47.0,64.0,62.0,65.0,55.0,63.0,69.0,53.0,60.0,54.0,72.0
328,293.0,18.0,0.0,20.0,34.0,98.0,100.0,102.0,97.0,99.0,101.0,76.0,75.0,72.0,104.0,54.0,46.0,51.0,56.0,50.0,69.0,68.0,66.0,103.0,49.0,55.0,52.0,53.0,105.0,113.0
377,291.0,5482.0,27.0,23.0,45.0,55.0,52.0,49.0,57.0,54.0,51.0,58.0,64.0,70.0,59.0,72.0,73.0,71.0,48.0,62.0,199.0,120.0,116.0,67.0,75.0,50.0,68.0,66.0,78.0,98.0
426,34.0,5479.0,18.0,7.0,43.0,75.0,60.0,77.0,73.0,76.0,61.0,72.0,70.0,69.0,71.0,68.0,67.0,64.0,124.0,65.0,184.0,183.0,185.0,51.0,66.0,122.0,63.0,62.0,45.0,46.0
475,295.0,5474.0,1881.0,23.0,33.0,55.0,57.0,80.0,54.0,56.0,78.0,59.0,58.0,47.0,51.0,48.0,49.0,74.0,70.0,75.0,68.0,66.0,69.0,100.0,76.0,71.0,73.0,72.0,82.0,104.0
524,0.0,6.0,3.0,19837.0,37.0,50.0,102.0,74.0,48.0,52.0,75.0,54.0,43.0,47.0,45.0,57.0,71.0,66.0,60.0,68.0,58.0,109.0,59.0,95.0,56.0,61.0,65.0,63.0,96.0,98.0
573,2.0,16.0,0.0,19840.0,42.0,79.0,81.0,102.0,50.0,98.0,101.0,57.0,55.0,53.0,59.0,58.0,51.0,75.0,78.0,61.0,65.0,64.0,70.0,104.0,69.0,71.0,74.0,73.0,105.0,106.0
622,295.0,12.0,43.0,19840.0,32.0,51.0,50.0,52.0,72.0,49.0,57.0,60.0,58.0,63.0,61.0,65.0,73.0,69.0,64.0,70.0,59.0,53.0,62.0,54.0,71.0,66.0,68.0,67.0,55.0,96.0
671,45.0,1.0,0.0,19841.0,40.0,48.0,50.0,53.0,47.0,49.0,59.0,60.0,61.0,77.0,62.0,76.0,75.0,71.0,65.0,73.0,63.0,198.0,64.0,54.0,74.0,66.0,69.0,67.0,52.0,56.0
720,24.0,0.0,28.0,19841.0,45.0,80.0,82.0,84.0,79.0,81.0,83.0,78.0,76.0,75.0,77.0,74.0,73.0,68.0,133.0,70.0,198.0,197.0,134.0,85.0,72.0,132.0,67.0,131.0,66.0,65.0
769,1.0,18.0,1867.0,11.0,36.0,50.0,62.0,40.0,51.0,49.0,92.0,52.0,54.0,55.0,53.0,57.0,58.0,61.0,66.0,67.0,60.0,59.0,69.0,71.0,64.0,47.0,63.0,65.0,95.0,96.0
818,0.0,5475.0,5.0,43.0,36.0,52.0,46.0,94.0,53.0,47.0,69.0,54.0,59.0,63.0,56.0,66.0,55.0,68.0,49.0,62.0,67.0,64.0,58.0,71.0,65.0,60.0,48.0,45.0,97.0,98.0
867,5.0,0.0,18.0,21.0,34.0,54.0,74.0,97.0,57.0,56.0,77.0,47.0,49.0,58.0,48.0,50.0,51.0,72.0,65.0,60.0,63.0,61.0,64.0,79.0,76.0,69.0,71.0,70.0,100.0,78.0
916,6.0,1.0,0.0,19845.0,36.0,116.0,95.0,97.0,68.0,70.0,96.0,55.0,47.0,51.0,46.0,52.0,54.0,64.0,53.0,63.0,48.0,59.0,50.0,98.0,56.0,61.0,66.0,67.0,99.0,100.0
965,11.0,1.0,3.0,19838.0,32.0,61.0,59.0,57.0,62.0,60.0,56.0,65.0,68.0,58.0,66.0,67.0,64.0,55.0,46.0,52.0,164.0,119.0,102.0,69.0,63.0,54.0,53.0,49.0,47.0,48.0
1014,0.0,5.0,33.0,19840.0,42.0,82.0,84.0,66.0,81.0,83.0,68.0,80.0,78.0,85.0,79.0,77.0,74.0,112.0,212.0,70.0,186.0,185.0,187.0,65.0,73.0,128.0,126.0,169.0,51.0,52.0
1063,1.0,5473.0,34.0,19840.0,44.0,55.0,50.0,45.0,60.0,51.0,47.0,61.0,63.0,54.0,62.0,56.0,67.0,59.0,53.0,64.0,46.0,52.0,48.0,49.0,66.0,68.0,58.0,57.0,65.0,69.0
1112,7.0,5.0,1866.0,19843.0,30.0,47.0,51.0,53.0,71.0,52.0,49.0,59.0,62.0,63.0,60.0,64.0,67.0,56.0,61.0,70.0,57.0,50.0,58.0,54.0,69.0,65.0,68.0,66.0,55.0,95.0
1161,13.0,5481.0,1879.0,19837.0,42.0,80.0,53.0,50.0,62.0,59.0,52.0,78.0,76.0,75.0,77.0,74.0,79.0,68.0,64.0,69.0,168.0,124.0,122.0,51.0,71.0,65.0,67.0,66.0,57.0,58.0
1210,4.0,5475.0,37.0,0.0,34.0,61.0,51.0,47.0,53.0,50.0,48.0,69.0,67.0,66.0,68.0,65.0,64.0,62.0,57.0,70.0,55.0,54.0,56.0,46.0,63.0,58.0,60.0,59.0,49.0,71.0
1259,19.0,5473.0,25.0,24.0,41.0,79.0,81.0,103.0,56.0,98.0,101.0,55.0,54.0,51.0,61.0,63.0,65.0,75.0,71.0,69.0,53.0,57.0,64.0,104.0,66.0,47.0,76.0,77.0,105.0,106.0
1308,32.0,5478.0,1863.0,19845.0,37.0,51.0,54.0,76.0,55.0,52.0,74.0,48.0,66.0,58.0,47.0,57.0,73.0,75.0,62.0,69.0,59.0,112.0,60.0,105.0,70.0,63.0,67.0,65.0,78.0,98.0
1357,34.0,5476.0,29.0,19842.0,37.0,76.0,97.0,100.0,53.0,78.0,80.0,52.0,49.0,58.0,50.0,48.0,56.0,61.0,72.0,77.0,67.0,65.0,69.0,101.0,57.0,73.0,75.0,74.0,102.0,103.0
1406,9.0,17.0,1855.0,19837.0,20113.0,57.0,63.0,52.0,56.0,58.0,65.0,54.0,66.0,53.0,51.0,60.0,67.0,64.0,43.0,62.0,114.0,195.0,44.0,49.0,61.0,50.0,68.0,59.0,46.0,45.0
1455,13.0,16.0,10.0,19844.0,38.0,62.0,60.0,58.0,64.0,61.0,59.0,70.0,67.0,68.0,66.0,63.0,54.0,50.0,53.0,51.0,197.0,118.0,116.0,57.0,55.0,45.0,48.0,47.0,56.0,69.0
1504,9.0,18.0,4.0,7.0,36.0,46.0,49.0,53.0,72.0,48.0,55.0,58.0,60.0,61.0,57.0,62.0,65.0,56.0,69.0,73.0,64.0,63.0,68.0,54.0,66.0,70.0,59.0,71.0,52.0,67.0
1553,291.0,20.0,14.0,37.0,30.0,52.0,49.0,44.0,68.0,60.0,46.0,67.0,65.0,64.0,66.0,51.0,62.0,59.0,55.0,61.0,53.0,117.0,54.0,45.0,69.0,56.0,58.0,57.0,47.0,48.0
1602,46.0,5476.0,21.0,9.0,20120.0,75.0,78.0,81.0,74.0,77.0,79.0,73.0,71.0,70.0,72.0,172.0,131.0,188.0,184.0,189.0,181.0,180.0,183.0,82.0,130.0,185.0,187.0,186.0,65.0,84.0
1651,9.0,18.0,1865.0,15.0,34.0,60.0,71.0,56.0,61.0,58.0,49.0,62.0,64.0,66.0,63.0,67.0,68.0,54.0,69.0,55.0,47.0,46.0,70.0,53.0,59.0,57.0,51.0,65.0,52.0,50.0
1700,8.0,5477.0,25.0,27.0,32.0,47.0,51.0,53.0,46.0,50.0,52.0,66.0,54.0,58.0,55.0,59.0,60.0,65.0,56.0,64.0,48.0,115.0,49.0,67.0,63.0,57.0,62.0,61.0,91.0,69.0
1749,5.0,5474.0,27.0,25.0,40.0,52.0,56.0,50.0,49.0,47.0,48.0,77.0,76.0,75.0,78.0,74.0,73.0,69.0,63.0,71.0,61.0,60.0,62.0,51.0,72.0,64.0,68.0,65.0,55.0,107.0
1798,11.0,18.0,5.0,10.0,31.0,65.0,67.0,68.0,64.0,66.0,52.0,62.0,60.0,59.0,61.0,58.0,57.0,54.0,187.0,55.0,185.0,184.0,118.0,46.0,56.0,116.0,53.0,101.0,47.0,50.0
1847,12.0,13.0,1.0,0.0,29.0,47.0,49.0,46.0,69.0,48.0,45.0,53.0,67.0,66.0,68.0,52.0,65.0,62.0,58.0,63.0,56.0,55.0,57.0,50.0,64.0,59.0,61.0,60.0,70.0,105.0
1896,296.0,18.0,1863.0,23.0,35.0,78.0,80.0,103.0,55.0,118.0,79.0,54.0,49.0,57.0,52.0,58.0,51.0,60.0,72.0,56.0,77.0,67.0,70.0,104.0,53.0,73.0,76.0,75.0,105.0,106.0
1945,0.0,22.0,2.0,3.0,42.0,48.0,65.0,78.0,50.0,47.0,106.0,53.0,59.0,60.0,57.0,62.0,77.0,70.0,46.0,68.0,56.0,54.0,71.0,99.0,66.0,76.0,73.0,74.0,100.0,103.0
1994,1.0,0.0,40.0,19839.0,46.0,62.0,58.0,70.0,63.0,61.0,57.0,65.0,68.0,69.0,67.0,56.0,66.0,59.0,53.0,60.0,114.0,162.0,102.0,54.0,64.0,51.0,50.0,48.0,52.0,47.0
2043,9.0,18.0,1860.0,19837.0,33.0,53.0,49.0,46.0,54.0,51.0,48.0,67.0,58.0,60.0,55.0,62.0,63.0,64.0,57.0,56.0,66.0,65.0,59.0,68.0,45.0,61.0,50.0,47.0,92.0,70.0
