,PARG_AMP,MLLT3_DEL,IFNA14_DEL,IFNA16_DEL,SDHAP2_DEL,LOC728407_AMP,IFNA13_DEL,SLA2_AMP,PDCD1LG2_DEL,DENND4C_DEL,C20orf118_AMP,PCM1_MUT,DSN1_AMP,MAGI1_DEL,PTPLAD2_DEL,NDRG3_AMP,C20orf24_AMP,IFNA6_DEL,MYL9_AMP,ERMP1_DEL,MIR31HG_DEL,TGIF2-C20ORF24_AMP,MGC21881_DEL,SAMHD1_AMP,MCM3AP_MUT,MTAP_DEL,MIR4473_DEL,SOGA1_AMP,TPTE2P3_DEL,MOXD1_DEL
32,0.0,11.0,376.0,122.0,6.0,3.0,3392.0,16.0,26.0,25.0,7.0,19.0,13.0,51.0,158.0,4.0,12.0,326.0,8.0,68.0,10875.0,14.0,28.0,117.0,5.0,53.0,241.0,168.0,22.0,37.0
81,71.0,0.0,365.0,18.0,6.0,3.0,82.0,29.0,8.0,14.0,1.0,153.0,19.0,10.0,345.0,11.0,5.0,57.0,2.0,183.0,10795.0,7.0,47.0,34.0,4.0,58.0,19066.0,151.0,30.0,303.0
130,2.0,4.0,92.0,346.0,15.0,823.0,5237.0,501.0,26.0,6.0,64.0,20.0,0.0,14.0,29.0,22580.0,41.0,5223.0,426.0,69.0,963.0,53.0,3.0,13.0,273.0,74.0,39.0,886.0,80.0,8.0
179,34.0,0.0,98.0,99.0,3.0,135.0,343.0,152.0,42.0,76.0,59.0,603.0,3421.0,52.0,298.0,169.0,74.0,217.0,6.0,246.0,1437.0,159.0,85.0,702.0,20.0,1441.0,19129.0,17440.0,1.0,58.0
228,0.0,10.0,305.0,35.0,754.0,19.0,9.0,66.0,1.0,72.0,31.0,4.0,17.0,6.0,219.0,162.0,42.0,109.0,59.0,37.0,10922.0,307.0,7.0,261.0,16982.0,2479.0,8.0,17457.0,13.0,90.0
277,212.0,2.0,292.0,64.0,3.0,47.0,148.0,10.0,13.0,19.0,42.0,11496.0,339.0,95.0,371.0,50.0,36.0,637.0,21.0,66.0,799.0,53.0,4771.0,220.0,7.0,4679.0,49.0,14.0,11.0,7927.0
326,0.0,94.0,4171.0,77.0,13.0,8.0,227.0,19.0,72.0,411.0,7.0,45.0,40.0,418.0,410.0,49.0,15.0,475.0,6.0,563.0,10898.0,11.0,3991.0,58.0,621.0,335.0,34.0,1.0,21.0,71.0
375,1.0,19.0,190.0,4134.0,6.0,17.0,383.0,37.0,79.0,59.0,8.0,16705.0,2.0,39.0,5474.0,5.0,70.0,839.0,20.0,8265.0,10903.0,3.0,9.0,1643.0,17177.0,23.0,40.0,10.0,0.0,172.0
424,0.0,2.0,18.0,107.0,3.0,33.0,123.0,11.0,52.0,9.0,8.0,14.0,23007.0,47.0,86.0,10.0,21.0,73.0,28.0,2438.0,421.0,475.0,20.0,354.0,403.0,70.0,50.0,42.0,7.0,5.0
473,51.0,0.0,188.0,16.0,4.0,2556.0,762.0,3.0,276.0,18.0,8.0,29.0,66.0,14.0,310.0,13.0,17.0,4300.0,701.0,60.0,3595.0,27.0,1573.0,23.0,406.0,363.0,185.0,9.0,12.0,931.0
522,85.0,0.0,63.0,4.0,106.0,15.0,16.0,5.0,65.0,40.0,88.0,225.0,79.0,7.0,195.0,95.0,14877.0,39.0,30.0,273.0,9.0,13.0,24.0,12.0,35.0,72.0,2.0,14.0,1309.0,10.0
571,10.0,0.0,3.0,24.0,7.0,26.0,21.0,20.0,15.0,30.0,38.0,95.0,73.0,122.0,127.0,8.0,29.0,19.0,156.0,52.0,4.0,36.0,6.0,9.0,18.0,87.0,93.0,490.0,582.0,181.0
620,0.0,23.0,5.0,267.0,35.0,11.0,26.0,85.0,9500.0,54.0,28.0,111.0,32.0,46.0,3727.0,367.0,108.0,282.0,9.0,43.0,13.0,96.0,122.0,8.0,160.0,3.0,247.0,31.0,3599.0,27.0
669,2.0,9.0,1.0,14.0,123.0,3447.0,6.0,186.0,10.0,40.0,95.0,68.0,427.0,12.0,36.0,51.0,31.0,4.0,22.0,29.0,0.0,56.0,5.0,30.0,69.0,11.0,82.0,8.0,489.0,103.0
718,143.0,7.0,90.0,2.0,51.0,77.0,4.0,5.0,12.0,60.0,54.0,40.0,15.0,66.0,81.0,248.0,1.0,73.0,27.0,28.0,10909.0,24.0,22.0,765.0,8.0,138.0,74.0,11.0,31.0,50.0
767,28.0,6.0,3.0,2.0,9005.0,39.0,0.0,940.0,60.0,44.0,173.0,7.0,105.0,40.0,92.0,22554.0,85.0,23.0,2431.0,15.0,22.0,139.0,11.0,3011.0,29.0,14.0,31.0,275.0,49.0,107.0
816,39.0,0.0,3.0,21.0,76.0,3453.0,9.0,18.0,1.0,27.0,17.0,150.0,23028.0,13.0,14.0,11.0,45.0,8.0,116.0,43.0,5.0,57.0,72.0,93.0,397.0,40.0,53.0,118.0,439.0,26.0
865,184.0,74.0,69.0,68.0,1.0,8.0,211.0,3.0,5.0,73.0,22.0,521.0,366.0,24.0,61.0,27.0,11.0,401.0,16.0,25.0,35.0,30.0,0.0,443.0,17174.0,46.0,12.0,117.0,6133.0,53.0
914,25.0,2.0,44.0,48.0,0.0,23544.0,60.0,598.0,15.0,14.0,28.0,27.0,103.0,45.0,135.0,193.0,55.0,61.0,62.0,77.0,259.0,137.0,3.0,14429.0,395.0,129.0,40.0,437.0,3665.0,8.0
963,802.0,0.0,2.0,3.0,26.0,362.0,9.0,6.0,195.0,15.0,18.0,5.0,31.0,502.0,694.0,25.0,7.0,33.0,129.0,247.0,27.0,254.0,37.0,4.0,459.0,64.0,106.0,68.0,6014.0,127.0
