,RAD51,Caveolin-1,beta-Catenin,TAZ,VAV1,Paxillin,p27_pT157,Beclin,Transglutaminase,PI3K-p85,Smad4,PAI-1,YAP_pS127,VEGFR2,Fibronectin,Chk1,Rictor_pT1135,MAPK_pT202_Y204,Rb,MIG-6,INPP4B,Chk2,GSK3-alpha-beta_pS21_S9,Chk1_pS345,Rb_pS807_S811,NF2,PEA15,GSK3_pS9,PTEN,Bcl-2
0,0.0,1.0,23.0,18.0,14.0,3.0,27.0,7.0,2.0,10.0,4.0,9.0,5.0,15.0,11.0,22.0,6.0,140.0,17.0,8.0,105.0,107.0,151.0,28.0,41.0,55.0,59.0,130.0,39.0,86.0
49,0.0,1.0,15.0,3.0,50.0,9.0,45.0,43.0,2.0,7.0,5.0,4.0,26.0,21.0,14.0,12.0,8.0,162.0,19.0,18.0,32.0,75.0,87.0,51.0,11.0,39.0,30.0,46.0,27.0,119.0
98,2.0,0.0,1.0,7.0,12.0,11.0,10.0,21.0,4.0,19.0,14.0,3.0,5.0,8.0,38.0,31.0,6.0,78.0,28.0,13.0,45.0,108.0,32.0,39.0,91.0,55.0,130.0,9.0,152.0,49.0
147,0.0,1.0,9.0,11.0,7.0,3.0,17.0,30.0,2.0,23.0,77.0,10.0,19.0,21.0,4.0,74.0,36.0,43.0,35.0,6.0,18.0,60.0,155.0,24.0,38.0,48.0,8.0,28.0,32.0,31.0
196,0.0,1.0,27.0,3.0,2.0,14.0,18.0,11.0,12.0,9.0,4.0,10.0,6.0,16.0,20.0,32.0,5.0,17.0,96.0,42.0,149.0,69.0,54.0,41.0,68.0,8.0,34.0,73.0,147.0,83.0
245,0.0,2.0,15.0,6.0,5.0,11.0,13.0,108.0,20.0,14.0,12.0,1.0,3.0,28.0,8.0,65.0,4.0,37.0,31.0,25.0,82.0,139.0,57.0,62.0,48.0,7.0,10.0,93.0,76.0,64.0
294,1.0,2.0,5.0,0.0,3.0,6.0,28.0,24.0,34.0,13.0,7.0,4.0,32.0,15.0,9.0,40.0,14.0,20.0,16.0,11.0,61.0,159.0,113.0,38.0,39.0,47.0,8.0,117.0,62.0,21.0
343,0.0,2.0,17.0,4.0,9.0,6.0,14.0,40.0,7.0,8.0,18.0,1.0,15.0,13.0,21.0,35.0,5.0,16.0,27.0,29.0,51.0,148.0,81.0,42.0,53.0,25.0,10.0,26.0,46.0,56.0
392,0.0,2.0,23.0,1.0,5.0,3.0,15.0,18.0,10.0,12.0,14.0,24.0,4.0,65.0,22.0,57.0,9.0,119.0,47.0,6.0,17.0,141.0,40.0,32.0,29.0,28.0,25.0,108.0,60.0,71.0
441,0.0,3.0,6.0,1.0,7.0,2.0,39.0,29.0,71.0,10.0,25.0,5.0,4.0,8.0,37.0,49.0,16.0,70.0,58.0,14.0,33.0,9.0,78.0,20.0,45.0,40.0,21.0,131.0,35.0,125.0
