,guanosine,2-deoxycytidine,1-methylnicotinamide,inosine,C22:6 CE,cytidine,creatine,PEP,palmitoylcarnitine,pantothenate,cis/trans-hydroxyproline,3-phosphoglycerate,cystathionine,N-carbamoyl-beta-alanine,GABA,C16:0 LPE,C34:2 DAG,C36:1 DAG,valerylcarnitine,butyrylcarnitine/isobutyrylcarnitine,taurodeoxycholate,C56:3 TAG,inositol,hypoxanthine,NADP,homocysteine,serotonin,phosphocreatine,alpha-hydroxybutyrate,beta-alanine
25,0.0,1.0,4.0,13.0,2.0,15.0,6.0,17.0,9.0,20.0,40.0,25.0,56.0,3.0,29.0,7.0,14.0,39.0,46.0,22.0,16.0,38.0,8.0,31.0,10.0,18.0,64.0,28.0,5.0,50.0
74,0.0,1.0,13.0,2.0,3.0,21.0,8.0,5.0,18.0,9.0,29.0,6.0,38.0,7.0,23.0,24.0,16.0,15.0,53.0,27.0,19.0,22.0,11.0,44.0,32.0,12.0,49.0,33.0,20.0,28.0
123,1.0,0.0,2.0,3.0,10.0,24.0,14.0,18.0,7.0,25.0,15.0,32.0,42.0,9.0,36.0,4.0,58.0,6.0,45.0,11.0,22.0,8.0,56.0,30.0,17.0,13.0,52.0,12.0,5.0,38.0
172,0.0,2.0,1.0,3.0,24.0,8.0,5.0,29.0,18.0,32.0,21.0,12.0,33.0,10.0,4.0,11.0,36.0,34.0,9.0,13.0,26.0,6.0,16.0,40.0,35.0,27.0,23.0,58.0,28.0,47.0
221,1.0,0.0,3.0,2.0,4.0,21.0,8.0,15.0,11.0,32.0,20.0,14.0,25.0,5.0,44.0,7.0,10.0,6.0,34.0,18.0,26.0,29.0,40.0,16.0,13.0,37.0,52.0,35.0,9.0,63.0
270,0.0,1.0,2.0,4.0,3.0,5.0,13.0,17.0,6.0,15.0,8.0,42.0,55.0,10.0,20.0,18.0,54.0,27.0,14.0,25.0,40.0,7.0,28.0,32.0,11.0,24.0,37.0,58.0,30.0,44.0
319,0.0,2.0,1.0,8.0,7.0,19.0,6.0,10.0,22.0,16.0,14.0,20.0,52.0,9.0,5.0,3.0,48.0,12.0,34.0,31.0,37.0,15.0,38.0,21.0,27.0,11.0,26.0,47.0,4.0,57.0
368,0.0,1.0,2.0,4.0,3.0,16.0,17.0,15.0,6.0,9.0,11.0,23.0,51.0,5.0,18.0,56.0,25.0,12.0,10.0,13.0,48.0,8.0,50.0,19.0,14.0,7.0,29.0,45.0,39.0,53.0
417,0.0,1.0,18.0,8.0,4.0,27.0,2.0,11.0,12.0,17.0,16.0,13.0,7.0,5.0,14.0,19.0,30.0,3.0,15.0,29.0,20.0,35.0,37.0,50.0,25.0,6.0,51.0,44.0,10.0,23.0
466,1.0,0.0,2.0,14.0,7.0,3.0,11.0,24.0,23.0,34.0,8.0,9.0,28.0,4.0,12.0,20.0,5.0,15.0,25.0,10.0,26.0,19.0,21.0,35.0,16.0,13.0,42.0,49.0,18.0,65.0
515,0.0,2.0,1.0,20.0,14.0,7.0,16.0,4.0,6.0,23.0,42.0,11.0,45.0,3.0,18.0,17.0,5.0,9.0,38.0,15.0,10.0,13.0,12.0,19.0,22.0,47.0,26.0,53.0,48.0,33.0
564,1.0,2.0,0.0,4.0,8.0,3.0,22.0,40.0,12.0,14.0,15.0,10.0,9.0,18.0,16.0,5.0,17.0,6.0,30.0,23.0,19.0,21.0,20.0,29.0,26.0,41.0,24.0,34.0,53.0,44.0
613,2.0,9.0,0.0,1.0,7.0,8.0,3.0,6.0,38.0,12.0,61.0,10.0,21.0,14.0,5.0,15.0,20.0,22.0,17.0,36.0,26.0,43.0,23.0,18.0,16.0,63.0,4.0,13.0,64.0,54.0
662,0.0,2.0,1.0,5.0,6.0,4.0,7.0,9.0,18.0,12.0,3.0,10.0,29.0,24.0,17.0,31.0,11.0,26.0,35.0,20.0,28.0,22.0,27.0,34.0,45.0,21.0,38.0,8.0,51.0,39.0
711,1.0,2.0,0.0,6.0,9.0,26.0,12.0,5.0,4.0,40.0,23.0,10.0,16.0,14.0,28.0,3.0,17.0,13.0,25.0,7.0,8.0,29.0,11.0,18.0,36.0,31.0,37.0,20.0,35.0,57.0
760,1.0,0.0,3.0,6.0,2.0,8.0,20.0,9.0,5.0,11.0,19.0,18.0,25.0,44.0,7.0,23.0,10.0,12.0,17.0,4.0,14.0,16.0,21.0,42.0,15.0,51.0,46.0,48.0,62.0,33.0
809,0.0,4.0,1.0,2.0,5.0,3.0,16.0,13.0,48.0,28.0,12.0,9.0,22.0,17.0,30.0,7.0,8.0,6.0,35.0,23.0,57.0,10.0,36.0,15.0,25.0,46.0,64.0,14.0,65.0,47.0
858,1.0,0.0,2.0,5.0,28.0,12.0,8.0,6.0,22.0,9.0,33.0,17.0,10.0,4.0,23.0,7.0,14.0,3.0,13.0,15.0,11.0,18.0,25.0,48.0,36.0,62.0,34.0,41.0,47.0,66.0
907,0.0,1.0,8.0,14.0,3.0,9.0,12.0,11.0,10.0,22.0,25.0,4.0,47.0,26.0,17.0,15.0,6.0,42.0,2.0,16.0,5.0,35.0,7.0,38.0,31.0,19.0,20.0,34.0,49.0,65.0
956,2.0,1.0,0.0,5.0,15.0,12.0,4.0,3.0,29.0,8.0,16.0,6.0,60.0,17.0,14.0,34.0,11.0,22.0,9.0,18.0,20.0,13.0,28.0,57.0,30.0,43.0,61.0,25.0,32.0,21.0
1005,2.0,0.0,11.0,4.0,15.0,8.0,6.0,45.0,3.0,1.0,19.0,24.0,10.0,14.0,17.0,5.0,30.0,38.0,32.0,12.0,33.0,13.0,59.0,7.0,16.0,39.0,18.0,37.0,63.0,56.0
1054,0.0,1.0,4.0,3.0,15.0,9.0,11.0,8.0,5.0,7.0,10.0,17.0,6.0,40.0,54.0,2.0,38.0,51.0,12.0,41.0,14.0,24.0,19.0,21.0,22.0,27.0,16.0,20.0,43.0,32.0
1103,2.0,0.0,8.0,6.0,11.0,4.0,5.0,15.0,3.0,9.0,1.0,7.0,13.0,14.0,50.0,10.0,26.0,34.0,53.0,12.0,27.0,22.0,48.0,23.0,21.0,24.0,19.0,17.0,57.0,52.0
1152,2.0,1.0,6.0,4.0,8.0,7.0,10.0,16.0,0.0,5.0,3.0,21.0,22.0,12.0,56.0,9.0,19.0,13.0,18.0,20.0,31.0,32.0,53.0,14.0,25.0,26.0,27.0,57.0,39.0,54.0
1201,2.0,4.0,0.0,6.0,3.0,7.0,5.0,10.0,14.0,23.0,1.0,37.0,15.0,18.0,12.0,8.0,19.0,17.0,16.0,22.0,33.0,51.0,24.0,13.0,36.0,32.0,11.0,29.0,64.0,66.0
1250,2.0,0.0,8.0,1.0,15.0,24.0,7.0,11.0,3.0,6.0,5.0,26.0,21.0,14.0,38.0,4.0,47.0,10.0,18.0,40.0,13.0,9.0,56.0,16.0,20.0,28.0,12.0,19.0,51.0,36.0
1299,1.0,0.0,19.0,2.0,25.0,4.0,6.0,10.0,5.0,7.0,3.0,18.0,9.0,15.0,49.0,14.0,48.0,11.0,26.0,13.0,20.0,33.0,55.0,17.0,12.0,36.0,8.0,41.0,57.0,35.0
