,ITPRIPL1,ZNF215,SFMBT2,AEBP1,SLC38A5,AC011242.6,AC138623.1,CYBA,LBX2-AS1,PGF,RAC3,ZNF595,FNBP1P1,EFCAB4B,AP000783.1,C8orf31,CNTN3,MAGEC2,PPP1R14A,AGAP2,FRMD3,ZFP36L2,DCP1B,GNB4,CDA,TTC31,TSPAN12,ARID3A,SLC6A15,RNF144A-AS1
1529,1.0,23.0,12.0,14.0,2.0,38.0,21.0,0.0,10.0,7.0,4.0,11.0,72.0,36.0,84.0,1984.0,8.0,469.0,3.0,68.0,40.0,39.0,43.0,56.0,108.0,262.0,26.0,19.0,24.0,34.0
1578,0.0,3.0,17.0,1.0,25.0,4.0,61.0,10.0,53.0,9.0,27.0,14.0,18.0,48.0,30.0,2.0,139.0,45.0,190.0,31.0,13.0,37.0,59.0,8.0,122.0,125.0,69.0,40.0,83.0,58.0
1627,2.0,8.0,12.0,5.0,1.0,11.0,7.0,0.0,4.0,15.0,161.0,32.0,17.0,16.0,65.0,46.0,44.0,178.0,6.0,19.0,84.0,14.0,400.0,89.0,102.0,79.0,78.0,10.0,13.0,103.0
1676,1.0,6.0,30.0,13.0,2.0,24.0,139.0,0.0,38.0,43.0,17.0,9.0,65.0,105.0,29.0,7.0,48.0,4.0,3.0,46.0,14.0,39.0,154.0,85.0,59.0,729.0,49.0,58.0,26.0,80.0
1725,1.0,2.0,94.0,4.0,7.0,9.0,21.0,0.0,3.0,12.0,18.0,5.0,39.0,57.0,2651.0,13.0,101.0,20.0,10.0,16.0,126.0,23.0,32.0,62.0,60.0,125.0,6.0,15.0,40.0,356.0
1774,1.0,16.0,10.0,0.0,7.0,4.0,8.0,3.0,6.0,38.0,9.0,24.0,33.0,70.0,240.0,11.0,95.0,132.0,28.0,26.0,138.0,5.0,145.0,14.0,51.0,166.0,115.0,61.0,328.0,22.0
1823,2.0,1.0,6.0,5.0,10.0,3.0,8.0,0.0,11.0,90.0,12.0,17.0,51.0,7.0,146.0,4.0,319.0,31.0,50.0,77.0,15.0,39.0,14.0,41.0,25.0,200.0,28.0,29.0,37.0,44.0
1872,1.0,6.0,7.0,4.0,2.0,3.0,9.0,0.0,5.0,18.0,25.0,23.0,98.0,30.0,281.0,12.0,48.0,27.0,16.0,17.0,57.0,46.0,141.0,68.0,13.0,67.0,37.0,61.0,53.0,204.0
1921,2.0,51.0,12.0,3.0,4.0,41.0,11.0,0.0,1.0,15.0,8.0,36.0,26.0,29.0,128.0,5.0,33.0,38.0,7.0,32.0,49.0,48.0,171.0,59.0,14.0,112.0,13.0,94.0,30.0,137.0
1970,2.0,0.0,198.0,9.0,3.0,1.0,21.0,5.0,29.0,11.0,79.0,4.0,91.0,24.0,124.0,64.0,7.0,14.0,42.0,50.0,10.0,55.0,183.0,22.0,28.0,123.0,34.0,57.0,43.0,90.0
2019,5.0,4.0,62.0,8.0,68.0,1.0,2.0,10.0,3.0,0.0,63.0,12.0,34.0,45.0,108.0,26.0,17.0,24.0,15.0,38.0,6.0,23.0,50.0,7.0,66.0,64.0,11.0,46.0,39.0,121.0
2068,9.0,4.0,94.0,0.0,6.0,3.0,5.0,33.0,1.0,2.0,11.0,7.0,18.0,17.0,173.0,62.0,155.0,12.0,46.0,23.0,42.0,21.0,48.0,58.0,14.0,31.0,25.0,92.0,16.0,97.0
2117,12.0,0.0,73.0,5.0,21.0,1.0,8.0,3.0,7.0,27.0,29.0,2.0,25.0,56.0,159.0,9.0,14.0,19.0,16.0,11.0,4.0,30.0,6.0,20.0,152.0,81.0,24.0,72.0,23.0,52.0
2166,0.0,3.0,429.0,1.0,26.0,16.0,345.0,18.0,204.0,19.0,11.0,9.0,14.0,24.0,42.0,27.0,8.0,17.0,150.0,15.0,2.0,62.0,39.0,20.0,379.0,258.0,43.0,179.0,10.0,343.0
2215,2.0,1.0,15.0,12.0,8.0,13.0,5.0,0.0,6.0,4.0,9.0,10.0,27.0,31.0,173.0,41.0,164.0,88.0,21.0,20.0,3.0,33.0,11.0,7.0,98.0,30.0,47.0,46.0,94.0,288.0
2264,2.0,3.0,136.0,1.0,18.0,0.0,5.0,28.0,7.0,6.0,17.0,4.0,10.0,42.0,33.0,150.0,11.0,16.0,76.0,15.0,12.0,37.0,24.0,8.0,221.0,25.0,52.0,36.0,50.0,106.0
