,NF1_MUT,LOC284344_DEL,LRP1B_MUT,DICER1_MUT,MRGPRX1_DEL,ATP8A2_DEL,FAM72B_AMP,PSG4_DEL,C15orf2_MUT,SLC25A37_AMP,ANKRD36B_DEL,YSK4_MUT,LINC00421_DEL,RAD50_MUT,FZD1_MUT,ZNF705G_AMP,GJB6_DEL,PIK3C2G_MUT,GUCY2C_MUT,RGPD4_AMP,PI4KA_MUT,CHAMP1_AMP,PAXIP1_MUT,CES1_AMP,SDHAP2_DEL,CIT_MUT,LOC92249_AMP,SMG1_MUT,LPP_DEL,SPEN_MUT
1106,179.0,2.0,99.0,45.0,369.0,10289.0,23755.0,945.0,795.0,382.0,373.0,719.0,18657.0,16619.0,361.0,39.0,96.0,16546.0,1413.0,2611.0,16538.0,500.0,61.0,2751.0,6.0,234.0,19552.0,16727.0,24.0,335.0
1155,1.0,144.0,22.0,20.0,68.0,164.0,22485.0,158.0,602.0,8.0,1337.0,4387.0,184.0,9665.0,16.0,100.0,468.0,2055.0,156.0,17456.0,758.0,141.0,350.0,17791.0,11.0,135.0,22876.0,10078.0,4594.0,24.0
1204,28.0,0.0,16497.0,16636.0,1405.0,44.0,23732.0,66.0,600.0,14610.0,785.0,309.0,1776.0,16600.0,17000.0,2.0,20215.0,16526.0,16421.0,288.0,323.0,12857.0,699.0,489.0,1.0,21.0,19724.0,437.0,1087.0,1884.0
1253,4.0,565.0,80.0,1981.0,6191.0,12.0,1421.0,229.0,2563.0,14620.0,30.0,686.0,151.0,16591.0,16988.0,3.0,2586.0,60.0,1137.0,593.0,16462.0,12864.0,1718.0,7.0,9.0,260.0,1383.0,16696.0,2960.0,212.0
1302,998.0,6360.0,16480.0,16660.0,856.0,549.0,12.0,2770.0,1831.0,123.0,20.0,338.0,883.0,16621.0,117.0,28.0,346.0,48.0,251.0,765.0,82.0,193.0,738.0,10.0,0.0,229.0,155.0,16721.0,153.0,16722.0
1351,0.0,15.0,65.0,761.0,5.0,38.0,108.0,1302.0,1391.0,1192.0,759.0,17015.0,18595.0,16587.0,426.0,470.0,20219.0,741.0,24.0,913.0,16450.0,12987.0,1802.0,1.0,13.0,535.0,89.0,16684.0,1018.0,313.0
1400,14.0,1.0,3.0,16678.0,145.0,25.0,23708.0,8750.0,1664.0,1296.0,2753.0,17073.0,42.0,16616.0,24.0,38.0,20121.0,115.0,877.0,28.0,15.0,13004.0,83.0,13.0,9169.0,48.0,981.0,944.0,57.0,16711.0
1449,1.0,14.0,61.0,16662.0,5019.0,11200.0,1734.0,12231.0,16665.0,14665.0,460.0,46.0,81.0,16626.0,17011.0,19.0,264.0,16494.0,194.0,10.0,69.0,12958.0,16736.0,1523.0,20.0,2.0,542.0,16729.0,15.0,40.0
1498,16.0,79.0,557.0,71.0,60.0,2409.0,1354.0,12144.0,1.0,38.0,2722.0,12.0,18583.0,16604.0,16993.0,468.0,20105.0,28.0,70.0,48.0,49.0,12989.0,2720.0,2.0,8584.0,772.0,19802.0,564.0,1890.0,2353.0
1547,103.0,183.0,2.0,261.0,437.0,10666.0,6.0,12170.0,1.0,569.0,105.0,5.0,18607.0,212.0,789.0,430.0,25.0,345.0,11.0,14.0,295.0,21.0,1914.0,433.0,607.0,24.0,19793.0,4.0,11134.0,338.0
1596,2.0,1.0,82.0,74.0,2032.0,28.0,23697.0,44.0,56.0,2764.0,2538.0,217.0,1966.0,1742.0,16999.0,42.0,339.0,258.0,16414.0,972.0,400.0,244.0,16706.0,23.0,8592.0,974.0,655.0,18.0,3632.0,320.0
1645,1.0,8.0,33.0,784.0,1578.0,2624.0,116.0,1997.0,31.0,499.0,8577.0,329.0,478.0,309.0,16991.0,2712.0,39.0,13.0,42.0,13357.0,40.0,12964.0,2385.0,382.0,1453.0,16615.0,324.0,16.0,11085.0,16698.0
1694,18.0,12.0,60.0,16664.0,56.0,14.0,526.0,283.0,144.0,114.0,33.0,891.0,266.0,362.0,16998.0,686.0,20220.0,155.0,1464.0,97.0,1574.0,80.0,176.0,273.0,212.0,267.0,2044.0,1565.0,4073.0,164.0
1743,643.0,40.0,2.0,14.0,13.0,15.0,153.0,146.0,0.0,36.0,44.0,17021.0,193.0,1431.0,1368.0,161.0,20212.0,1066.0,1917.0,359.0,2525.0,31.0,16698.0,4.0,79.0,614.0,19724.0,16671.0,1301.0,828.0
1792,108.0,36.0,16.0,795.0,206.0,15.0,148.0,12151.0,63.0,14639.0,1067.0,516.0,2741.0,92.0,1332.0,207.0,1778.0,111.0,46.0,13389.0,16463.0,12996.0,16717.0,31.0,8638.0,16634.0,2013.0,85.0,1071.0,1549.0
1841,57.0,6.0,411.0,16649.0,15.0,80.0,23776.0,13.0,107.0,1065.0,99.0,373.0,219.0,368.0,17016.0,2759.0,20115.0,320.0,511.0,8.0,2014.0,720.0,1434.0,21.0,718.0,1043.0,19807.0,121.0,4091.0,16720.0
1890,20.0,55.0,31.0,320.0,152.0,10.0,97.0,72.0,0.0,2035.0,1304.0,278.0,3.0,21.0,17027.0,2480.0,20222.0,16467.0,586.0,5.0,16461.0,2617.0,2654.0,18086.0,991.0,2527.0,19872.0,186.0,351.0,1353.0
1939,1.0,4.0,105.0,16654.0,63.0,53.0,23731.0,0.0,2.0,14620.0,12486.0,634.0,8.0,750.0,17010.0,15.0,20222.0,2078.0,1175.0,17.0,102.0,12973.0,213.0,18077.0,1835.0,609.0,228.0,16690.0,2649.0,16693.0
1988,0.0,3556.0,37.0,397.0,6773.0,890.0,94.0,11711.0,13.0,159.0,2610.0,1552.0,476.0,39.0,98.0,16843.0,130.0,16513.0,15.0,319.0,16.0,12921.0,1139.0,925.0,7977.0,16637.0,358.0,16718.0,949.0,34.0
2037,0.0,59.0,1.0,30.0,6029.0,10247.0,204.0,1304.0,7.0,2.0,18.0,1087.0,143.0,225.0,2155.0,16362.0,149.0,1192.0,42.0,3.0,727.0,12869.0,16711.0,1069.0,108.0,16620.0,19720.0,14.0,2801.0,48.0
2086,30.0,46.0,11.0,89.0,216.0,2676.0,7.0,41.0,2.0,313.0,70.0,1.0,340.0,6891.0,14874.0,397.0,21009.0,3858.0,247.0,24.0,265.0,14399.0,150.0,15803.0,15.0,184.0,279.0,994.0,33.0,451.0
2135,0.0,66.0,29.0,70.0,256.0,11243.0,2.0,12260.0,1.0,2425.0,1931.0,22.0,26.0,16631.0,60.0,807.0,426.0,16562.0,16451.0,2806.0,16557.0,2120.0,16736.0,18152.0,77.0,1006.0,269.0,16740.0,1251.0,1794.0
2184,36.0,2483.0,9.0,15.0,5452.0,317.0,62.0,1549.0,16647.0,99.0,12544.0,204.0,18589.0,6.0,17056.0,15889.0,20111.0,1164.0,16428.0,253.0,311.0,12997.0,73.0,82.0,92.0,13.0,939.0,172.0,4210.0,124.0
2233,0.0,194.0,2.0,318.0,805.0,223.0,113.0,12474.0,43.0,14907.0,1403.0,2196.0,18593.0,8.0,118.0,16874.0,20164.0,16537.0,285.0,189.0,16532.0,13172.0,149.0,18008.0,26.0,32.0,1346.0,143.0,116.0,959.0
2282,0.0,2728.0,11.0,31.0,6741.0,5.0,190.0,181.0,3.0,2.0,1205.0,179.0,18659.0,96.0,46.0,16878.0,20172.0,12.0,1467.0,2719.0,586.0,12954.0,294.0,111.0,2003.0,16656.0,59.0,2020.0,835.0,16746.0
2331,0.0,130.0,18.0,1587.0,114.0,11229.0,2274.0,1744.0,4.0,161.0,256.0,7.0,179.0,476.0,2116.0,558.0,71.0,16564.0,31.0,127.0,1425.0,1599.0,16706.0,1114.0,1146.0,2603.0,19299.0,16725.0,48.0,1703.0
2380,1.0,28.0,0.0,77.0,2438.0,201.0,1644.0,751.0,43.0,3.0,4.0,69.0,142.0,170.0,248.0,15944.0,1226.0,1396.0,2002.0,318.0,780.0,12880.0,580.0,88.0,1357.0,45.0,255.0,635.0,1313.0,16722.0
2429,0.0,8.0,7.0,1.0,67.0,27.0,554.0,230.0,116.0,697.0,138.0,175.0,18659.0,39.0,17074.0,418.0,560.0,346.0,2116.0,31.0,105.0,12869.0,2440.0,338.0,36.0,16633.0,603.0,63.0,485.0,69.0
2478,54.0,0.0,1007.0,70.0,1.0,11219.0,118.0,1542.0,16655.0,10.0,257.0,626.0,438.0,478.0,503.0,16856.0,20119.0,16511.0,756.0,13432.0,3.0,12858.0,97.0,17987.0,8631.0,2.0,19781.0,273.0,630.0,23.0
2527,74.0,593.0,953.0,27.0,15.0,4.0,495.0,814.0,67.0,13.0,6.0,214.0,141.0,59.0,393.0,997.0,20125.0,116.0,2036.0,1046.0,349.0,8.0,129.0,63.0,8654.0,1633.0,1939.0,11.0,2907.0,108.0
2576,26.0,25.0,50.0,2.0,59.0,722.0,196.0,44.0,16629.0,74.0,618.0,761.0,1069.0,7.0,10.0,193.0,20216.0,233.0,16411.0,30.0,16515.0,175.0,786.0,115.0,8613.0,51.0,49.0,236.0,3461.0,22.0
2625,24.0,821.0,93.0,379.0,0.0,10210.0,366.0,108.0,1668.0,2.0,145.0,147.0,18646.0,675.0,6.0,16840.0,20132.0,16531.0,654.0,638.0,15.0,49.0,16736.0,170.0,8039.0,279.0,2763.0,1360.0,2918.0,16735.0
2674,0.0,2787.0,241.0,40.0,122.0,2308.0,23756.0,251.0,201.0,35.0,82.0,17046.0,235.0,1137.0,518.0,146.0,39.0,16535.0,323.0,601.0,16543.0,326.0,742.0,18114.0,965.0,16628.0,5.0,203.0,4277.0,876.0
2723,2.0,27.0,79.0,390.0,11.0,4.0,23764.0,564.0,371.0,1470.0,49.0,31.0,13.0,16608.0,45.0,15907.0,20119.0,16538.0,565.0,212.0,16534.0,117.0,616.0,57.0,7858.0,2229.0,55.0,41.0,355.0,16716.0
2772,2.0,322.0,49.0,0.0,159.0,10259.0,78.0,89.0,16637.0,1.0,53.0,12.0,222.0,76.0,416.0,150.0,712.0,10.0,1129.0,2688.0,357.0,462.0,2281.0,18085.0,900.0,743.0,1362.0,546.0,745.0,303.0
2821,53.0,88.0,11.0,29.0,32.0,55.0,551.0,18.0,204.0,5.0,349.0,449.0,808.0,14.0,137.0,2681.0,25.0,43.0,612.0,13458.0,15.0,93.0,19.0,18113.0,8628.0,1662.0,227.0,697.0,458.0,16736.0
2870,0.0,40.0,46.0,1.0,47.0,156.0,210.0,909.0,2.0,2428.0,2597.0,387.0,10.0,136.0,61.0,16838.0,260.0,5.0,30.0,13443.0,25.0,52.0,23.0,2664.0,9615.0,2530.0,19807.0,2217.0,4125.0,725.0
2919,11.0,21.0,934.0,0.0,6042.0,9.0,1515.0,12174.0,4.0,10.0,14.0,38.0,53.0,16598.0,15.0,946.0,20212.0,22.0,256.0,1100.0,16529.0,2457.0,48.0,18092.0,8623.0,172.0,19793.0,898.0,2119.0,386.0
2968,7.0,1.0,0.0,7982.0,6.0,165.0,22478.0,1376.0,1788.0,3.0,29.0,2167.0,9.0,9677.0,4133.0,25.0,8.0,177.0,66.0,16.0,71.0,336.0,65.0,55.0,1144.0,9822.0,1176.0,1529.0,5038.0,528.0
3017,294.0,0.0,179.0,17.0,21.0,5.0,6.0,3.0,377.0,46.0,105.0,17044.0,134.0,36.0,8.0,108.0,115.0,2.0,158.0,60.0,1.0,12898.0,7.0,899.0,85.0,383.0,82.0,16716.0,3637.0,512.0
3066,148.0,0.0,16504.0,76.0,31.0,43.0,199.0,168.0,7.0,12.0,52.0,37.0,104.0,29.0,13.0,89.0,17.0,1163.0,690.0,1191.0,831.0,65.0,16.0,2249.0,499.0,342.0,1094.0,171.0,184.0,28.0
3115,8.0,46.0,229.0,14.0,61.0,3.0,23772.0,12219.0,218.0,18.0,12543.0,17041.0,18598.0,1671.0,6.0,0.0,9.0,1305.0,73.0,13435.0,92.0,664.0,2043.0,18101.0,8598.0,16628.0,19796.0,16700.0,538.0,734.0
3164,29.0,0.0,116.0,40.0,27.0,7.0,6.0,20.0,13.0,16.0,12594.0,30.0,130.0,16629.0,513.0,11.0,22.0,548.0,1574.0,36.0,145.0,910.0,103.0,165.0,8660.0,28.0,1344.0,1470.0,66.0,16737.0
3213,4.0,12.0,16489.0,99.0,16.0,49.0,3.0,583.0,241.0,1.0,18.0,81.0,18608.0,1516.0,57.0,0.0,124.0,988.0,16445.0,13218.0,78.0,328.0,17.0,18144.0,8508.0,16644.0,1533.0,253.0,656.0,157.0
3262,77.0,1368.0,473.0,1034.0,0.0,5.0,36.0,481.0,392.0,25.0,1.0,2281.0,19942.0,1955.0,592.0,2.0,145.0,2469.0,262.0,17874.0,1703.0,22.0,7.0,2060.0,11.0,9354.0,1055.0,645.0,460.0,1661.0
3311,802.0,8.0,783.0,1990.0,21.0,11.0,98.0,27.0,77.0,31.0,5.0,213.0,18665.0,59.0,119.0,38.0,58.0,573.0,16445.0,2772.0,30.0,28.0,742.0,83.0,9227.0,16634.0,1255.0,598.0,1571.0,24.0
3360,2.0,42.0,295.0,57.0,5.0,13.0,1.0,69.0,16632.0,2400.0,3.0,68.0,79.0,16595.0,17057.0,12.0,17.0,1707.0,16418.0,291.0,631.0,287.0,31.0,314.0,410.0,475.0,19782.0,16704.0,1349.0,912.0
3409,29.0,2.0,16536.0,32.0,63.0,5.0,413.0,65.0,382.0,2227.0,19.0,38.0,2511.0,141.0,838.0,176.0,42.0,447.0,14.0,2688.0,62.0,12873.0,23.0,1112.0,303.0,1106.0,152.0,16712.0,43.0,71.0
3458,6.0,55.0,2734.0,17.0,952.0,130.0,56.0,54.0,481.0,24.0,13.0,51.0,18598.0,15.0,789.0,69.0,20117.0,1181.0,2.0,13467.0,458.0,163.0,16718.0,18123.0,1451.0,1286.0,1427.0,194.0,311.0,33.0
3507,71.0,43.0,23.0,1650.0,1486.0,133.0,12.0,2.0,73.0,10.0,1.0,1169.0,18604.0,680.0,205.0,2381.0,419.0,445.0,82.0,13451.0,335.0,121.0,458.0,2342.0,8580.0,658.0,19795.0,41.0,2579.0,1369.0
3556,5.0,6356.0,37.0,16649.0,52.0,10562.0,1.0,12225.0,331.0,14624.0,44.0,17045.0,18588.0,19.0,68.0,134.0,20100.0,194.0,1736.0,2343.0,221.0,34.0,18.0,18113.0,14.0,81.0,316.0,22.0,1420.0,16717.0
3605,102.0,585.0,20.0,183.0,2764.0,5.0,22682.0,4.0,2.0,1843.0,9.0,10691.0,221.0,0.0,41.0,3664.0,277.0,458.0,1311.0,1277.0,12033.0,43.0,149.0,932.0,10.0,122.0,154.0,182.0,87.0,49.0
3654,5.0,28.0,0.0,52.0,450.0,1522.0,7.0,12.0,38.0,88.0,14.0,650.0,18608.0,873.0,285.0,31.0,116.0,191.0,2.0,2007.0,16478.0,646.0,20.0,802.0,11.0,784.0,2076.0,16703.0,3121.0,350.0
3703,0.0,9.0,127.0,60.0,38.0,10282.0,23736.0,12225.0,315.0,1904.0,15.0,408.0,349.0,602.0,1680.0,2729.0,10.0,76.0,47.0,2807.0,35.0,46.0,23.0,762.0,5.0,2181.0,101.0,16724.0,720.0,905.0
3752,5.0,0.0,228.0,557.0,6059.0,76.0,2034.0,833.0,12.0,94.0,2017.0,183.0,18831.0,16595.0,1185.0,804.0,2.0,10.0,4.0,2314.0,9.0,20.0,13.0,1712.0,8611.0,26.0,19731.0,29.0,30.0,62.0
3801,0.0,1532.0,8.0,36.0,10.0,175.0,2107.0,713.0,16.0,4.0,1444.0,484.0,18588.0,1884.0,34.0,1772.0,112.0,16529.0,434.0,13444.0,202.0,575.0,490.0,17987.0,8615.0,16632.0,394.0,417.0,3038.0,367.0
3850,0.0,4.0,7.0,862.0,234.0,22.0,1520.0,1.0,16654.0,16.0,2.0,27.0,18644.0,219.0,190.0,436.0,20115.0,605.0,495.0,1247.0,153.0,51.0,1228.0,544.0,17.0,16632.0,19773.0,2002.0,19.0,44.0
3899,0.0,288.0,21.0,69.0,6089.0,17.0,594.0,11.0,1.0,31.0,1040.0,702.0,18607.0,33.0,240.0,15919.0,20109.0,16558.0,1506.0,313.0,181.0,12898.0,54.0,1271.0,24.0,16646.0,578.0,16725.0,126.0,2579.0
3948,35.0,192.0,2.0,76.0,7.0,599.0,5.0,12151.0,969.0,1289.0,328.0,15.0,455.0,82.0,89.0,15896.0,20215.0,246.0,974.0,18.0,80.0,1985.0,16710.0,50.0,8626.0,14.0,687.0,16703.0,3388.0,16705.0
3997,363.0,6320.0,131.0,100.0,1848.0,29.0,270.0,699.0,13.0,2184.0,509.0,17057.0,1475.0,203.0,16993.0,742.0,52.0,2666.0,16417.0,13375.0,16510.0,1560.0,16706.0,94.0,8573.0,16615.0,2297.0,264.0,409.0,23.0
4046,2424.0,2736.0,16544.0,1.0,130.0,10293.0,24.0,28.0,16653.0,14630.0,1470.0,145.0,304.0,795.0,2016.0,16846.0,26.0,16536.0,1476.0,42.0,2252.0,12862.0,2430.0,1158.0,7.0,1527.0,877.0,2165.0,239.0,117.0
4095,16382.0,6320.0,11.0,24.0,161.0,10246.0,12.0,5.0,102.0,2735.0,59.0,1758.0,19066.0,16591.0,428.0,2.0,20220.0,16521.0,16413.0,13413.0,16516.0,1192.0,16699.0,18088.0,8603.0,13.0,19719.0,15.0,2983.0,154.0
4144,7.0,2.0,33.0,16630.0,6888.0,10571.0,23713.0,0.0,18.0,14627.0,2587.0,3.0,342.0,16591.0,53.0,2484.0,37.0,481.0,16412.0,1555.0,163.0,12854.0,852.0,1219.0,9689.0,277.0,19779.0,1121.0,4138.0,2475.0
4193,61.0,46.0,428.0,147.0,7.0,2191.0,26.0,1499.0,16640.0,14633.0,2103.0,92.0,18576.0,32.0,1920.0,482.0,173.0,0.0,16653.0,10.0,16495.0,12854.0,622.0,411.0,1245.0,112.0,1547.0,1305.0,235.0,996.0
4242,123.0,1.0,51.0,7.0,94.0,64.0,15.0,12221.0,16643.0,14682.0,26.0,335.0,287.0,353.0,60.0,74.0,33.0,278.0,1780.0,259.0,1264.0,107.0,2058.0,18117.0,8560.0,42.0,19801.0,187.0,591.0,16717.0
4291,12.0,6275.0,106.0,99.0,998.0,19.0,34.0,62.0,113.0,55.0,1326.0,232.0,19050.0,702.0,134.0,478.0,802.0,16505.0,16398.0,137.0,31.0,6.0,276.0,228.0,8593.0,18.0,769.0,343.0,4091.0,656.0
4340,31.0,8.0,0.0,328.0,2.0,95.0,12.0,344.0,413.0,14626.0,2748.0,968.0,65.0,696.0,257.0,23.0,20211.0,16465.0,16405.0,2066.0,16460.0,110.0,16700.0,18106.0,237.0,16612.0,185.0,21.0,697.0,1179.0
4389,18.0,1092.0,43.0,1.0,146.0,44.0,108.0,17.0,110.0,22.0,1284.0,603.0,18591.0,23.0,17058.0,16826.0,1481.0,60.0,16412.0,13397.0,508.0,27.0,311.0,2072.0,333.0,384.0,284.0,16702.0,221.0,40.0
4438,3.0,6345.0,38.0,27.0,0.0,20.0,95.0,45.0,49.0,133.0,226.0,17063.0,18591.0,39.0,17065.0,907.0,811.0,231.0,2081.0,2656.0,16485.0,25.0,798.0,448.0,33.0,512.0,94.0,380.0,335.0,143.0
4487,1011.0,6328.0,4.0,65.0,33.0,473.0,2.0,19.0,902.0,14666.0,1346.0,54.0,130.0,967.0,17066.0,16833.0,20161.0,107.0,70.0,13426.0,63.0,171.0,183.0,129.0,8484.0,699.0,138.0,156.0,2541.0,16695.0
4536,54.0,117.0,4.0,191.0,36.0,113.0,608.0,24.0,733.0,2386.0,1.0,850.0,214.0,1014.0,16982.0,15899.0,20207.0,16467.0,177.0,23.0,16460.0,146.0,16697.0,164.0,8564.0,16616.0,21.0,16690.0,3322.0,16693.0
4585,1.0,28.0,4.0,254.0,5299.0,23.0,442.0,1031.0,120.0,14635.0,12507.0,17050.0,37.0,3.0,17078.0,16378.0,446.0,16550.0,5.0,13454.0,170.0,211.0,267.0,18117.0,53.0,21.0,36.0,559.0,1011.0,16709.0
4634,54.0,6266.0,16479.0,38.0,1882.0,83.0,570.0,12149.0,32.0,2278.0,472.0,109.0,18615.0,12.0,17031.0,15887.0,296.0,16531.0,60.0,2.0,71.0,192.0,697.0,18067.0,1149.0,107.0,72.0,1484.0,391.0,16712.0
4683,0.0,6247.0,235.0,19.0,6.0,10231.0,8.0,18.0,917.0,14612.0,15.0,462.0,460.0,44.0,16975.0,15862.0,20197.0,103.0,102.0,1277.0,16449.0,2433.0,16690.0,1076.0,8576.0,668.0,1336.0,363.0,1961.0,1303.0
4732,3.0,6278.0,234.0,0.0,183.0,10699.0,154.0,1458.0,16644.0,613.0,34.0,17044.0,110.0,17.0,765.0,2263.0,136.0,1626.0,262.0,336.0,65.0,12811.0,1907.0,120.0,697.0,645.0,15.0,16654.0,648.0,16655.0
4781,348.0,423.0,4.0,16631.0,11.0,301.0,23759.0,1882.0,468.0,14673.0,2720.0,16999.0,44.0,16601.0,17020.0,7.0,20103.0,250.0,256.0,528.0,16472.0,18.0,16702.0,81.0,64.0,1249.0,620.0,16697.0,822.0,89.0
4830,6.0,4.0,2599.0,180.0,5044.0,11.0,127.0,1255.0,842.0,2468.0,2.0,17025.0,7.0,171.0,17053.0,105.0,331.0,177.0,16533.0,614.0,16516.0,116.0,16706.0,122.0,89.0,16600.0,221.0,68.0,619.0,420.0
4879,0.0,6292.0,46.0,1372.0,6036.0,52.0,624.0,1297.0,2431.0,2271.0,96.0,128.0,84.0,495.0,16993.0,31.0,20102.0,13.0,103.0,13453.0,155.0,57.0,853.0,39.0,1.0,16629.0,112.0,16707.0,1039.0,362.0
