,Gab2,PKC-alpha,Bax,AMPK_alpha,c-Jun_pS73,PDCD4,Rictor_pT1135,RAD51,Caspase-7_cleavedD198,PAI-1,FRA1,Smac,JNK2,PKC-delta_pS664,MSH6,TFRC,XBP1,p70S6K_pT389,Notch1,YB-1_pS102,ACC_pS79,HSP70,Bid,IGFBP2,ADAR1,PI3K-p85,p53,p27,p90RSK_pT359_S363,Paxillin
6,0.0,6.0,4.0,29.0,13.0,20.0,89.0,1.0,16.0,47.0,155.0,26.0,139.0,58.0,7.0,35.0,10.0,15.0,5.0,164.0,117.0,138.0,2.0,41.0,121.0,92.0,56.0,51.0,50.0,55.0
55,0.0,2.0,5.0,3.0,23.0,14.0,17.0,6.0,105.0,49.0,162.0,8.0,29.0,83.0,36.0,31.0,28.0,15.0,39.0,164.0,1.0,135.0,10.0,16.0,120.0,55.0,54.0,53.0,51.0,56.0
104,1.0,7.0,10.0,122.0,15.0,56.0,83.0,16.0,109.0,42.0,147.0,11.0,139.0,24.0,20.0,0.0,4.0,6.0,52.0,164.0,115.0,134.0,108.0,135.0,119.0,74.0,45.0,49.0,44.0,17.0
153,0.0,4.0,5.0,2.0,32.0,1.0,97.0,53.0,3.0,24.0,116.0,89.0,6.0,49.0,143.0,28.0,29.0,22.0,18.0,33.0,35.0,13.0,40.0,14.0,62.0,44.0,64.0,19.0,23.0,58.0
202,6.0,0.0,1.0,4.0,2.0,8.0,14.0,27.0,13.0,50.0,5.0,21.0,139.0,90.0,10.0,81.0,37.0,20.0,48.0,164.0,34.0,135.0,104.0,136.0,31.0,64.0,55.0,60.0,24.0,47.0
251,1.0,8.0,3.0,36.0,11.0,15.0,14.0,18.0,16.0,12.0,161.0,65.0,139.0,74.0,29.0,35.0,4.0,0.0,32.0,164.0,2.0,135.0,10.0,39.0,127.0,24.0,43.0,40.0,53.0,13.0
300,0.0,5.0,12.0,2.0,19.0,16.0,69.0,14.0,109.0,36.0,136.0,7.0,138.0,84.0,93.0,35.0,32.0,3.0,9.0,164.0,6.0,24.0,29.0,25.0,121.0,85.0,44.0,26.0,17.0,60.0
349,1.0,8.0,28.0,5.0,4.0,0.0,15.0,2.0,13.0,61.0,161.0,25.0,3.0,24.0,33.0,73.0,30.0,41.0,48.0,164.0,32.0,26.0,9.0,35.0,36.0,44.0,55.0,57.0,53.0,60.0
398,0.0,1.0,36.0,6.0,15.0,7.0,27.0,17.0,107.0,45.0,158.0,11.0,138.0,88.0,127.0,3.0,35.0,2.0,25.0,10.0,38.0,133.0,13.0,134.0,119.0,89.0,49.0,22.0,41.0,44.0
447,0.0,1.0,14.0,38.0,12.0,7.0,85.0,5.0,15.0,51.0,161.0,3.0,31.0,33.0,16.0,66.0,2.0,4.0,49.0,164.0,27.0,134.0,6.0,135.0,120.0,39.0,46.0,36.0,54.0,13.0
