,CPT1B_DEL,PTEN_DEL,DYRK4_MUT,ETS1_DEL,RPL23AP82_DEL,OR4C11_DEL,CHKB-CPT1B_DEL,BRAF_MUT,SELT_DEL,THSD7B_AMP,DPP10_DEL,KLLN_DEL,CHIA_DEL,TP53_MUT,RABL2B_DEL,TBC1D3G_DEL,VCX_DEL,DBF4_MUT,ZNF826P_DEL,ZNF350_AMP,FRMPD2P1_DEL,TBC1D3H_DEL,MOV10L1_DEL,RP11-165H20.1_DEL,SGCZ_DEL,RAPGEF2_MUT,PIK3R4_MUT,SCYL2_MUT,EID3_DEL,TTTY16_DEL
28,317.0,7.0,16728.0,164.0,6.0,435.0,186.0,166.0,43.0,22834.0,80.0,53.0,6436.0,2497.0,19928.0,11886.0,185.0,16616.0,813.0,21889.0,10.0,8271.0,10030.0,5787.0,5228.0,333.0,16377.0,1002.0,109.0,6923.0
77,390.0,42.0,16791.0,0.0,152.0,6045.0,145.0,112.0,70.0,2693.0,496.0,76.0,7161.0,516.0,19988.0,1448.0,6701.0,144.0,40.0,21423.0,1232.0,8350.0,10136.0,2884.0,1221.0,100.0,19.0,16974.0,1826.0,2655.0
126,21.0,0.0,1.0,4968.0,5.0,5445.0,2.0,2482.0,11145.0,1387.0,586.0,372.0,6226.0,2630.0,77.0,655.0,6536.0,241.0,12138.0,164.0,8384.0,884.0,11455.0,5668.0,588.0,76.0,1045.0,7005.0,68.0,1516.0
175,190.0,0.0,16785.0,6679.0,3.0,170.0,30.0,301.0,1581.0,978.0,1771.0,18511.0,475.0,349.0,19986.0,11919.0,454.0,49.0,8147.0,835.0,8346.0,8329.0,153.0,3290.0,4064.0,16751.0,16451.0,1992.0,63.0,6002.0
224,402.0,0.0,2294.0,54.0,6376.0,30.0,38.0,2.0,377.0,11.0,276.0,469.0,5958.0,584.0,19993.0,965.0,5946.0,687.0,319.0,21417.0,8357.0,1195.0,10126.0,912.0,105.0,16777.0,16461.0,16999.0,43.0,1005.0
273,20662.0,217.0,96.0,335.0,14.0,28.0,711.0,11792.0,2622.0,593.0,23.0,19731.0,6969.0,11507.0,20906.0,232.0,612.0,119.0,406.0,15297.0,1445.0,137.0,11641.0,13387.0,20658.0,50.0,1065.0,307.0,4298.0,7418.0
322,4177.0,0.0,2218.0,5948.0,430.0,568.0,4213.0,1930.0,30.0,44.0,889.0,18518.0,126.0,961.0,1393.0,2290.0,15.0,852.0,517.0,21470.0,1478.0,8287.0,10099.0,7018.0,759.0,157.0,595.0,1598.0,1259.0,42.0
371,5217.0,8.0,127.0,43.0,58.0,233.0,224.0,588.0,2.0,80.0,12562.0,490.0,828.0,239.0,244.0,1043.0,81.0,16637.0,8131.0,21430.0,607.0,205.0,10105.0,644.0,532.0,16766.0,220.0,1100.0,332.0,193.0
420,185.0,32.0,575.0,820.0,478.0,7248.0,144.0,17063.0,27.0,39.0,11985.0,18507.0,2953.0,1120.0,7.0,8143.0,633.0,16651.0,2750.0,21424.0,9670.0,10083.0,28.0,6026.0,2566.0,1558.0,614.0,2049.0,10447.0,6341.0
469,892.0,6.0,15.0,49.0,74.0,69.0,3.0,36.0,170.0,22848.0,443.0,107.0,7148.0,51.0,19918.0,11899.0,58.0,1520.0,8104.0,21901.0,2622.0,788.0,38.0,3599.0,1204.0,16762.0,16388.0,1110.0,10882.0,802.0
518,389.0,12028.0,219.0,29.0,20.0,0.0,189.0,888.0,206.0,7.0,36.0,1129.0,116.0,17039.0,19949.0,73.0,35.0,1490.0,478.0,21471.0,21.0,3.0,12218.0,95.0,1040.0,16735.0,221.0,924.0,260.0,159.0
