,Akt_pS473,Raptor,PEA15,Heregulin,Claudin-7,PDK1,GATA3,HER3,SHP-2_pY542,MIG-6,p21,NF2,Bax,ACC_pS79,VAV1,MSH6,Lck,Transglutaminase,Acetyl-a-Tubulin (Lys40),YAP_pS127,4E-BP1,PEA15_pS116,PDK1_pS241,TSC1,Porin,PDCD4,Paxillin,PI3K-p110-alpha,PAI-1,p90RSK_pT573
6,0.0,18.0,40.0,135.0,150.0,8.0,10.0,134.0,7.0,9.0,36.0,4.0,1.0,118.0,35.0,94.0,141.0,67.0,127.0,72.0,29.0,38.0,41.0,68.0,78.0,43.0,14.0,56.0,49.0,50.0
55,1.0,20.0,0.0,10.0,4.0,30.0,18.0,11.0,84.0,27.0,53.0,55.0,13.0,28.0,29.0,143.0,2.0,35.0,118.0,73.0,41.0,57.0,42.0,68.0,36.0,43.0,56.0,75.0,46.0,47.0
104,30.0,14.0,8.0,21.0,7.0,25.0,18.0,133.0,11.0,24.0,52.0,55.0,118.0,2.0,29.0,93.0,139.0,82.0,115.0,1.0,3.0,60.0,47.0,28.0,85.0,37.0,38.0,61.0,39.0,42.0
153,5.0,9.0,10.0,23.0,15.0,28.0,19.0,22.0,66.0,0.0,25.0,61.0,35.0,119.0,7.0,132.0,136.0,1.0,34.0,60.0,39.0,65.0,43.0,44.0,6.0,47.0,41.0,64.0,20.0,21.0
202,8.0,4.0,2.0,27.0,1.0,16.0,137.0,135.0,11.0,31.0,6.0,29.0,22.0,117.0,40.0,38.0,141.0,28.0,25.0,72.0,39.0,41.0,55.0,73.0,0.0,46.0,47.0,43.0,48.0,49.0
251,1.0,12.0,0.0,3.0,11.0,15.0,148.0,133.0,71.0,2.0,22.0,45.0,38.0,28.0,35.0,143.0,139.0,82.0,117.0,41.0,113.0,46.0,48.0,54.0,90.0,50.0,51.0,13.0,17.0,52.0
300,0.0,16.0,25.0,13.0,151.0,1.0,146.0,140.0,74.0,3.0,37.0,87.0,29.0,44.0,34.0,2.0,42.0,33.0,30.0,39.0,115.0,85.0,46.0,32.0,82.0,45.0,58.0,61.0,50.0,51.0
349,8.0,3.0,17.0,0.0,150.0,4.0,23.0,10.0,64.0,1.0,21.0,18.0,6.0,114.0,29.0,145.0,13.0,31.0,35.0,34.0,9.0,60.0,59.0,40.0,82.0,5.0,19.0,87.0,39.0,45.0
398,29.0,19.0,13.0,7.0,18.0,3.0,160.0,9.0,8.0,4.0,35.0,155.0,41.0,1.0,31.0,44.0,40.0,32.0,36.0,43.0,42.0,48.0,12.0,70.0,59.0,52.0,54.0,50.0,6.0,56.0
447,0.0,22.0,19.0,16.0,148.0,6.0,1.0,11.0,12.0,92.0,2.0,7.0,9.0,30.0,69.0,127.0,31.0,32.0,117.0,26.0,3.0,4.0,45.0,66.0,56.0,17.0,23.0,21.0,49.0,50.0
496,38.0,16.0,20.0,8.0,19.0,44.0,14.0,15.0,6.0,34.0,2.0,56.0,35.0,0.0,27.0,93.0,1.0,36.0,116.0,3.0,30.0,10.0,5.0,65.0,88.0,40.0,39.0,26.0,42.0,47.0
545,30.0,1.0,62.0,5.0,14.0,17.0,147.0,6.0,25.0,143.0,56.0,60.0,32.0,3.0,4.0,23.0,22.0,8.0,118.0,0.0,29.0,92.0,45.0,44.0,87.0,16.0,43.0,64.0,42.0,46.0
594,1.0,25.0,5.0,7.0,23.0,43.0,3.0,135.0,10.0,30.0,39.0,55.0,24.0,0.0,63.0,28.0,140.0,37.0,118.0,2.0,27.0,38.0,42.0,65.0,33.0,14.0,44.0,9.0,57.0,47.0
643,33.0,12.0,44.0,143.0,5.0,19.0,3.0,144.0,27.0,25.0,24.0,29.0,1.0,119.0,35.0,134.0,23.0,4.0,128.0,34.0,0.0,63.0,46.0,45.0,89.0,49.0,42.0,93.0,47.0,50.0
692,1.0,19.0,5.0,13.0,14.0,16.0,132.0,15.0,74.0,42.0,2.0,48.0,24.0,32.0,31.0,27.0,35.0,0.0,30.0,33.0,29.0,91.0,9.0,65.0,20.0,44.0,45.0,61.0,46.0,47.0
741,29.0,13.0,5.0,134.0,7.0,4.0,148.0,20.0,67.0,2.0,3.0,24.0,38.0,33.0,54.0,144.0,1.0,32.0,118.0,53.0,113.0,40.0,43.0,41.0,0.0,45.0,47.0,62.0,48.0,49.0
790,121.0,16.0,23.0,9.0,149.0,43.0,17.0,11.0,75.0,33.0,30.0,86.0,4.0,1.0,3.0,143.0,36.0,41.0,117.0,0.0,2.0,44.0,22.0,64.0,24.0,45.0,46.0,8.0,49.0,51.0
839,2.0,17.0,5.0,24.0,148.0,23.0,147.0,132.0,76.0,93.0,36.0,49.0,32.0,4.0,29.0,7.0,139.0,35.0,30.0,0.0,27.0,46.0,18.0,66.0,22.0,53.0,54.0,44.0,55.0,38.0
888,32.0,10.0,7.0,21.0,149.0,17.0,136.0,4.0,19.0,25.0,3.0,49.0,39.0,35.0,34.0,143.0,2.0,6.0,117.0,1.0,40.0,76.0,26.0,60.0,85.0,44.0,46.0,63.0,47.0,48.0
937,10.0,4.0,40.0,135.0,149.0,22.0,14.0,5.0,74.0,126.0,34.0,7.0,16.0,0.0,60.0,88.0,141.0,1.0,116.0,2.0,3.0,38.0,24.0,63.0,32.0,37.0,39.0,47.0,53.0,42.0
986,0.0,20.0,39.0,10.0,130.0,16.0,147.0,134.0,92.0,143.0,54.0,4.0,12.0,28.0,29.0,5.0,139.0,68.0,8.0,62.0,26.0,41.0,43.0,67.0,7.0,42.0,58.0,40.0,45.0,46.0
1035,3.0,20.0,1.0,4.0,5.0,33.0,148.0,157.0,25.0,145.0,101.0,14.0,42.0,36.0,31.0,144.0,150.0,80.0,0.0,73.0,76.0,67.0,65.0,29.0,19.0,63.0,69.0,68.0,62.0,60.0
1084,121.0,3.0,14.0,1.0,150.0,15.0,17.0,142.0,6.0,135.0,25.0,155.0,44.0,37.0,34.0,24.0,21.0,39.0,35.0,45.0,42.0,94.0,47.0,57.0,12.0,50.0,51.0,66.0,52.0,63.0
1133,5.0,23.0,1.0,13.0,8.0,57.0,2.0,133.0,78.0,144.0,35.0,3.0,0.0,116.0,4.0,26.0,140.0,66.0,118.0,32.0,42.0,43.0,15.0,65.0,37.0,47.0,18.0,45.0,48.0,49.0
1182,4.0,87.0,50.0,6.0,149.0,15.0,147.0,135.0,3.0,34.0,40.0,30.0,110.0,33.0,37.0,31.0,140.0,42.0,35.0,64.0,28.0,48.0,52.0,68.0,2.0,54.0,61.0,46.0,57.0,58.0
1231,7.0,15.0,20.0,26.0,21.0,19.0,137.0,24.0,76.0,30.0,38.0,8.0,34.0,1.0,5.0,2.0,140.0,67.0,31.0,27.0,28.0,43.0,46.0,68.0,58.0,55.0,50.0,41.0,56.0,52.0
1280,0.0,85.0,20.0,2.0,18.0,49.0,146.0,4.0,25.0,31.0,38.0,5.0,111.0,30.0,33.0,133.0,137.0,69.0,32.0,63.0,27.0,44.0,48.0,36.0,21.0,51.0,52.0,43.0,56.0,57.0
1329,40.0,18.0,44.0,10.0,2.0,31.0,155.0,5.0,11.0,143.0,54.0,25.0,13.0,28.0,4.0,0.0,139.0,34.0,118.0,62.0,113.0,30.0,43.0,67.0,91.0,1.0,58.0,42.0,46.0,47.0
1378,3.0,18.0,19.0,9.0,110.0,7.0,14.0,152.0,21.0,1.0,17.0,12.0,2.0,4.0,26.0,138.0,144.0,25.0,8.0,27.0,0.0,46.0,48.0,73.0,40.0,50.0,51.0,45.0,52.0,53.0
1427,0.0,76.0,5.0,19.0,3.0,46.0,27.0,134.0,8.0,25.0,53.0,22.0,39.0,35.0,4.0,26.0,141.0,36.0,118.0,60.0,2.0,77.0,6.0,32.0,13.0,42.0,15.0,64.0,43.0,44.0
1476,39.0,26.0,23.0,2.0,149.0,43.0,10.0,27.0,9.0,143.0,32.0,5.0,94.0,0.0,63.0,93.0,29.0,7.0,119.0,1.0,37.0,45.0,46.0,8.0,24.0,44.0,19.0,47.0,18.0,48.0
1525,30.0,22.0,20.0,2.0,18.0,40.0,132.0,3.0,75.0,4.0,52.0,0.0,1.0,32.0,28.0,33.0,34.0,7.0,118.0,72.0,35.0,42.0,17.0,39.0,77.0,41.0,5.0,21.0,44.0,45.0
1574,37.0,11.0,57.0,134.0,14.0,19.0,5.0,133.0,26.0,24.0,21.0,2.0,41.0,4.0,36.0,12.0,23.0,7.0,117.0,1.0,113.0,16.0,18.0,29.0,87.0,47.0,48.0,90.0,49.0,50.0
1623,121.0,5.0,2.0,0.0,4.0,32.0,137.0,9.0,77.0,27.0,51.0,3.0,108.0,6.0,29.0,144.0,33.0,1.0,7.0,25.0,114.0,40.0,37.0,31.0,79.0,39.0,41.0,26.0,56.0,43.0
1672,42.0,5.0,17.0,22.0,10.0,52.0,18.0,21.0,50.0,135.0,59.0,7.0,33.0,2.0,35.0,134.0,27.0,0.0,38.0,40.0,44.0,66.0,64.0,43.0,12.0,48.0,45.0,65.0,47.0,49.0
1721,8.0,19.0,0.0,133.0,2.0,21.0,146.0,25.0,11.0,126.0,38.0,39.0,23.0,29.0,35.0,88.0,140.0,7.0,31.0,26.0,111.0,42.0,45.0,34.0,86.0,46.0,54.0,41.0,6.0,48.0
1770,3.0,30.0,27.0,10.0,121.0,26.0,11.0,158.0,33.0,6.0,20.0,12.0,41.0,2.0,78.0,146.0,7.0,0.0,70.0,1.0,44.0,28.0,60.0,34.0,46.0,25.0,24.0,58.0,64.0,65.0
1819,27.0,5.0,20.0,13.0,150.0,19.0,137.0,136.0,76.0,143.0,41.0,44.0,6.0,3.0,35.0,28.0,38.0,40.0,39.0,73.0,114.0,42.0,46.0,31.0,21.0,56.0,49.0,45.0,50.0,48.0
1868,123.0,16.0,9.0,3.0,2.0,89.0,15.0,19.0,70.0,26.0,20.0,25.0,37.0,39.0,41.0,93.0,24.0,0.0,126.0,47.0,113.0,87.0,10.0,38.0,81.0,63.0,90.0,86.0,11.0,45.0
1917,122.0,9.0,0.0,6.0,12.0,15.0,137.0,19.0,68.0,25.0,3.0,24.0,30.0,4.0,32.0,144.0,23.0,7.0,118.0,59.0,114.0,77.0,51.0,50.0,87.0,40.0,46.0,63.0,42.0,43.0
1966,4.0,13.0,1.0,136.0,151.0,48.0,16.0,135.0,76.0,3.0,24.0,34.0,36.0,30.0,31.0,28.0,2.0,35.0,118.0,63.0,27.0,92.0,45.0,66.0,20.0,49.0,59.0,62.0,55.0,60.0
2015,3.0,74.0,29.0,23.0,10.0,44.0,22.0,133.0,0.0,144.0,24.0,26.0,2.0,34.0,31.0,27.0,4.0,42.0,120.0,40.0,114.0,64.0,54.0,7.0,16.0,46.0,47.0,65.0,48.0,49.0
2064,35.0,16.0,22.0,133.0,128.0,48.0,147.0,8.0,9.0,0.0,42.0,53.0,36.0,2.0,33.0,92.0,139.0,4.0,115.0,28.0,112.0,6.0,20.0,27.0,21.0,49.0,50.0,38.0,11.0,58.0
2113,5.0,8.0,6.0,23.0,153.0,65.0,18.0,22.0,68.0,25.0,3.0,1.0,96.0,38.0,30.0,26.0,24.0,35.0,118.0,61.0,114.0,89.0,27.0,41.0,80.0,91.0,63.0,87.0,48.0,47.0
2162,0.0,13.0,18.0,134.0,6.0,64.0,1.0,24.0,2.0,30.0,3.0,29.0,97.0,42.0,41.0,9.0,27.0,43.0,119.0,35.0,113.0,31.0,89.0,34.0,82.0,77.0,63.0,86.0,49.0,21.0
2211,33.0,17.0,8.0,37.0,24.0,25.0,1.0,135.0,6.0,0.0,56.0,50.0,98.0,5.0,32.0,82.0,29.0,34.0,31.0,39.0,7.0,27.0,22.0,3.0,86.0,42.0,4.0,19.0,18.0,57.0
2260,3.0,1.0,2.0,19.0,149.0,80.0,15.0,18.0,68.0,26.0,25.0,0.0,39.0,35.0,38.0,27.0,24.0,45.0,124.0,61.0,127.0,14.0,67.0,37.0,13.0,65.0,49.0,93.0,51.0,52.0
2309,5.0,14.0,4.0,134.0,153.0,20.0,145.0,26.0,7.0,93.0,32.0,34.0,28.0,3.0,33.0,17.0,35.0,2.0,117.0,60.0,38.0,19.0,6.0,66.0,23.0,48.0,47.0,74.0,50.0,51.0
2358,1.0,75.0,30.0,22.0,15.0,17.0,2.0,140.0,81.0,132.0,64.0,29.0,38.0,4.0,39.0,28.0,24.0,34.0,37.0,50.0,115.0,92.0,93.0,48.0,6.0,59.0,46.0,5.0,21.0,51.0
2407,35.0,14.0,3.0,133.0,130.0,59.0,4.0,132.0,8.0,0.0,1.0,28.0,13.0,30.0,29.0,143.0,36.0,66.0,120.0,26.0,27.0,50.0,22.0,32.0,21.0,56.0,43.0,49.0,51.0,57.0
2456,33.0,15.0,1.0,6.0,20.0,17.0,12.0,3.0,8.0,4.0,51.0,5.0,0.0,2.0,61.0,93.0,139.0,28.0,31.0,39.0,38.0,40.0,43.0,63.0,89.0,25.0,44.0,22.0,46.0,47.0
2505,3.0,12.0,33.0,15.0,13.0,18.0,148.0,14.0,10.0,35.0,27.0,9.0,113.0,5.0,71.0,132.0,137.0,68.0,34.0,74.0,114.0,39.0,57.0,75.0,58.0,46.0,47.0,43.0,48.0,49.0
2554,5.0,42.0,4.0,142.0,13.0,25.0,0.0,14.0,6.0,33.0,1.0,95.0,3.0,2.0,67.0,30.0,24.0,36.0,31.0,63.0,27.0,43.0,45.0,41.0,26.0,59.0,47.0,44.0,48.0,49.0
2603,2.0,15.0,64.0,143.0,129.0,21.0,18.0,6.0,5.0,136.0,61.0,155.0,3.0,4.0,39.0,135.0,139.0,33.0,35.0,60.0,40.0,94.0,19.0,48.0,16.0,45.0,49.0,66.0,44.0,50.0
2652,10.0,20.0,3.0,11.0,28.0,27.0,131.0,0.0,90.0,35.0,50.0,32.0,119.0,5.0,68.0,2.0,29.0,9.0,6.0,72.0,114.0,38.0,19.0,30.0,13.0,55.0,37.0,39.0,43.0,44.0
2701,0.0,82.0,19.0,12.0,149.0,1.0,147.0,7.0,6.0,28.0,53.0,26.0,8.0,5.0,62.0,143.0,2.0,33.0,30.0,24.0,25.0,41.0,43.0,64.0,59.0,56.0,23.0,21.0,45.0,46.0
2750,36.0,85.0,21.0,10.0,40.0,17.0,14.0,131.0,0.0,142.0,54.0,83.0,1.0,31.0,63.0,30.0,138.0,37.0,118.0,61.0,114.0,45.0,8.0,66.0,78.0,6.0,20.0,44.0,57.0,47.0
