,Akt_pS473,GATA3,Syk,RAD51,Akt,TSC1,p14 Arf(BetA300-340A),PKC-alpha,beta-Catenin_pT41_S45,Chk1_pS345,Cyclin_B1,PI3K-p110-alpha,HER2_pY1248,FOXO3a,AMPK_alpha,4E-BP1_pT70,Chk1,TFRC,CDK1,Notch1,Src_pY416,VEGFR2,Tuberin_pT1462,ACC1,C-Raf(MP05-739),Rab25,TTF1,Annexin 1,Smad3,ADAR1
1181,18.0,23.0,3.0,31.0,32.0,20.0,78.0,46.0,10.0,30.0,38.0,72.0,68.0,127.0,4.0,64.0,27.0,113.0,22.0,83.0,148.0,35.0,28.0,137.0,37.0,21.0,138.0,109.0,125.0,98.0
1230,12.0,24.0,5.0,31.0,48.0,3.0,72.0,47.0,157.0,36.0,69.0,54.0,37.0,20.0,126.0,101.0,84.0,80.0,17.0,143.0,125.0,79.0,66.0,27.0,73.0,159.0,93.0,63.0,75.0,65.0
1279,8.0,34.0,2.0,25.0,23.0,14.0,24.0,38.0,86.0,163.0,53.0,37.0,55.0,71.0,68.0,75.0,156.0,62.0,78.0,74.0,3.0,22.0,26.0,124.0,152.0,91.0,123.0,60.0,90.0,121.0
1328,12.0,6.0,0.0,19.0,21.0,15.0,30.0,27.0,10.0,36.0,82.0,86.0,25.0,53.0,69.0,38.0,54.0,42.0,33.0,72.0,45.0,17.0,96.0,65.0,94.0,93.0,119.0,29.0,123.0,138.0
1377,16.0,34.0,5.0,23.0,22.0,7.0,60.0,62.0,74.0,56.0,14.0,76.0,67.0,31.0,55.0,28.0,42.0,64.0,11.0,117.0,122.0,77.0,127.0,41.0,135.0,58.0,85.0,59.0,38.0,142.0
1426,6.0,9.0,1.0,14.0,22.0,4.0,47.0,33.0,51.0,52.0,136.0,44.0,96.0,39.0,144.0,105.0,137.0,131.0,7.0,86.0,42.0,17.0,64.0,107.0,32.0,40.0,57.0,25.0,153.0,46.0
1475,83.0,12.0,52.0,4.0,105.0,26.0,32.0,36.0,55.0,13.0,11.0,47.0,46.0,68.0,21.0,44.0,18.0,41.0,78.0,39.0,127.0,9.0,94.0,89.0,22.0,107.0,60.0,57.0,23.0,48.0
1524,35.0,15.0,41.0,11.0,57.0,47.0,92.0,156.0,162.0,54.0,1.0,7.0,101.0,102.0,87.0,39.0,146.0,38.0,50.0,14.0,19.0,36.0,128.0,28.0,97.0,65.0,109.0,108.0,64.0,93.0
1573,26.0,11.0,44.0,8.0,24.0,25.0,37.0,145.0,0.0,53.0,137.0,3.0,49.0,9.0,83.0,58.0,74.0,60.0,34.0,51.0,98.0,66.0,131.0,36.0,57.0,52.0,13.0,64.0,92.0,125.0
1622,17.0,19.0,2.0,7.0,4.0,10.0,32.0,78.0,13.0,41.0,18.0,16.0,84.0,22.0,56.0,81.0,132.0,44.0,35.0,50.0,93.0,55.0,115.0,86.0,88.0,63.0,1.0,119.0,31.0,144.0
1671,18.0,17.0,7.0,23.0,71.0,22.0,26.0,119.0,55.0,21.0,41.0,149.0,91.0,20.0,36.0,27.0,47.0,50.0,0.0,51.0,32.0,64.0,138.0,135.0,117.0,33.0,48.0,63.0,46.0,137.0
1720,10.0,17.0,2.0,16.0,9.0,18.0,41.0,150.0,82.0,48.0,30.0,151.0,31.0,11.0,118.0,77.0,63.0,46.0,53.0,50.0,83.0,37.0,129.0,105.0,32.0,90.0,6.0,135.0,89.0,22.0
1769,24.0,14.0,79.0,4.0,17.0,37.0,31.0,8.0,43.0,155.0,2.0,46.0,54.0,116.0,1.0,67.0,26.0,48.0,114.0,30.0,62.0,41.0,34.0,86.0,74.0,9.0,65.0,129.0,66.0,6.0
1818,28.0,4.0,2.0,12.0,15.0,30.0,83.0,35.0,3.0,86.0,51.0,29.0,137.0,31.0,109.0,34.0,25.0,20.0,1.0,18.0,74.0,54.0,41.0,0.0,66.0,81.0,57.0,117.0,98.0,61.0
1867,29.0,18.0,7.0,6.0,72.0,73.0,56.0,31.0,36.0,71.0,43.0,8.0,99.0,17.0,79.0,67.0,103.0,78.0,76.0,45.0,122.0,47.0,26.0,65.0,94.0,21.0,14.0,114.0,98.0,135.0
1916,14.0,21.0,4.0,13.0,47.0,122.0,23.0,15.0,1.0,67.0,46.0,2.0,86.0,20.0,31.0,73.0,60.0,9.0,52.0,28.0,95.0,34.0,42.0,19.0,11.0,90.0,7.0,87.0,39.0,118.0
1965,13.0,32.0,122.0,12.0,40.0,71.0,50.0,30.0,37.0,130.0,68.0,145.0,19.0,59.0,39.0,79.0,44.0,22.0,89.0,6.0,60.0,7.0,27.0,1.0,14.0,18.0,90.0,36.0,54.0,26.0
2014,29.0,38.0,78.0,11.0,14.0,4.0,34.0,155.0,89.0,139.0,44.0,42.0,50.0,18.0,40.0,35.0,5.0,54.0,27.0,59.0,39.0,73.0,0.0,24.0,22.0,94.0,65.0,109.0,87.0,37.0
2063,24.0,27.0,23.0,18.0,42.0,124.0,37.0,96.0,112.0,13.0,31.0,14.0,62.0,113.0,1.0,95.0,47.0,52.0,57.0,109.0,115.0,46.0,36.0,41.0,29.0,73.0,66.0,74.0,102.0,155.0
2112,21.0,7.0,23.0,6.0,9.0,117.0,52.0,148.0,47.0,131.0,26.0,3.0,34.0,29.0,25.0,20.0,22.0,69.0,11.0,46.0,72.0,12.0,60.0,17.0,10.0,16.0,116.0,51.0,98.0,75.0
2161,15.0,14.0,1.0,28.0,12.0,74.0,51.0,5.0,35.0,60.0,88.0,41.0,26.0,27.0,64.0,17.0,133.0,36.0,56.0,97.0,125.0,103.0,38.0,65.0,52.0,54.0,124.0,25.0,121.0,104.0
2210,7.0,27.0,3.0,57.0,19.0,92.0,18.0,11.0,70.0,123.0,17.0,93.0,28.0,2.0,16.0,66.0,85.0,33.0,45.0,20.0,122.0,72.0,65.0,15.0,9.0,53.0,115.0,108.0,91.0,25.0
2259,18.0,62.0,2.0,63.0,23.0,7.0,20.0,112.0,90.0,22.0,60.0,135.0,17.0,56.0,107.0,88.0,27.0,43.0,65.0,29.0,47.0,64.0,41.0,116.0,32.0,115.0,15.0,39.0,94.0,11.0
2308,11.0,16.0,5.0,58.0,14.0,40.0,37.0,77.0,7.0,73.0,41.0,33.0,8.0,83.0,117.0,38.0,0.0,123.0,84.0,90.0,44.0,124.0,126.0,112.0,134.0,21.0,39.0,56.0,121.0,50.0
2357,18.0,33.0,5.0,120.0,60.0,11.0,34.0,14.0,19.0,57.0,50.0,119.0,36.0,17.0,77.0,87.0,96.0,94.0,24.0,157.0,10.0,81.0,89.0,133.0,76.0,32.0,37.0,86.0,23.0,135.0
2406,19.0,13.0,121.0,15.0,38.0,59.0,29.0,27.0,21.0,154.0,56.0,8.0,44.0,46.0,12.0,129.0,25.0,24.0,81.0,23.0,82.0,93.0,127.0,37.0,47.0,76.0,11.0,74.0,49.0,63.0
2455,29.0,14.0,11.0,9.0,1.0,20.0,28.0,51.0,45.0,69.0,47.0,122.0,13.0,40.0,15.0,7.0,41.0,53.0,103.0,46.0,5.0,137.0,49.0,32.0,80.0,48.0,55.0,34.0,50.0,87.0
2504,26.0,17.0,24.0,0.0,64.0,18.0,39.0,29.0,159.0,20.0,21.0,53.0,16.0,12.0,103.0,76.0,6.0,51.0,99.0,35.0,120.0,72.0,45.0,88.0,65.0,43.0,97.0,46.0,60.0,33.0
2553,15.0,11.0,29.0,8.0,12.0,44.0,43.0,20.0,45.0,33.0,66.0,146.0,158.0,52.0,27.0,37.0,60.0,46.0,41.0,17.0,42.0,100.0,117.0,103.0,81.0,109.0,121.0,58.0,55.0,72.0
2602,20.0,5.0,4.0,6.0,3.0,9.0,77.0,57.0,157.0,49.0,34.0,59.0,44.0,82.0,24.0,58.0,48.0,86.0,61.0,56.0,38.0,126.0,40.0,52.0,79.0,43.0,69.0,117.0,123.0,88.0
2651,15.0,27.0,10.0,37.0,35.0,49.0,7.0,38.0,29.0,9.0,84.0,44.0,136.0,45.0,107.0,125.0,153.0,89.0,86.0,25.0,115.0,93.0,105.0,52.0,70.0,53.0,5.0,13.0,43.0,98.0
2700,10.0,14.0,5.0,9.0,26.0,2.0,18.0,65.0,51.0,11.0,131.0,105.0,156.0,13.0,19.0,40.0,8.0,72.0,76.0,53.0,79.0,16.0,29.0,139.0,44.0,90.0,47.0,96.0,31.0,38.0
2749,8.0,34.0,2.0,68.0,36.0,118.0,28.0,151.0,152.0,6.0,19.0,50.0,12.0,39.0,14.0,91.0,16.0,73.0,72.0,41.0,9.0,110.0,57.0,4.0,26.0,101.0,27.0,80.0,71.0,20.0
2798,18.0,8.0,7.0,6.0,16.0,119.0,36.0,51.0,33.0,63.0,76.0,15.0,4.0,45.0,20.0,52.0,14.0,67.0,37.0,134.0,47.0,71.0,23.0,55.0,101.0,109.0,122.0,92.0,34.0,110.0
2847,32.0,9.0,18.0,3.0,113.0,131.0,71.0,13.0,2.0,1.0,102.0,81.0,55.0,74.0,27.0,132.0,4.0,38.0,105.0,8.0,6.0,28.0,52.0,44.0,54.0,0.0,61.0,45.0,29.0,130.0
2896,17.0,12.0,28.0,19.0,81.0,9.0,55.0,80.0,51.0,5.0,13.0,7.0,48.0,21.0,30.0,105.0,3.0,25.0,47.0,22.0,18.0,110.0,38.0,24.0,33.0,161.0,122.0,37.0,131.0,52.0
2945,13.0,8.0,105.0,28.0,77.0,49.0,9.0,158.0,148.0,3.0,22.0,157.0,81.0,82.0,5.0,85.0,16.0,92.0,46.0,53.0,98.0,74.0,2.0,42.0,24.0,37.0,0.0,78.0,44.0,10.0
2994,15.0,40.0,48.0,46.0,132.0,29.0,45.0,52.0,43.0,27.0,68.0,153.0,20.0,32.0,31.0,47.0,65.0,34.0,157.0,105.0,13.0,61.0,12.0,85.0,96.0,103.0,130.0,41.0,70.0,127.0
3043,12.0,19.0,120.0,25.0,48.0,1.0,76.0,70.0,135.0,38.0,5.0,53.0,37.0,161.0,59.0,142.0,109.0,24.0,87.0,14.0,82.0,2.0,32.0,74.0,50.0,29.0,57.0,47.0,20.0,49.0
3092,18.0,43.0,21.0,31.0,29.0,133.0,40.0,58.0,5.0,65.0,124.0,148.0,79.0,96.0,82.0,47.0,127.0,61.0,64.0,145.0,3.0,12.0,33.0,80.0,37.0,11.0,15.0,70.0,46.0,102.0
3141,21.0,23.0,4.0,17.0,91.0,94.0,47.0,11.0,151.0,27.0,63.0,5.0,158.0,50.0,108.0,19.0,144.0,92.0,97.0,43.0,49.0,40.0,38.0,29.0,25.0,60.0,66.0,31.0,61.0,24.0
3190,19.0,11.0,13.0,29.0,140.0,14.0,54.0,47.0,81.0,39.0,23.0,78.0,8.0,32.0,12.0,6.0,64.0,48.0,31.0,163.0,35.0,1.0,22.0,18.0,43.0,38.0,114.0,7.0,70.0,28.0
3239,13.0,37.0,85.0,58.0,18.0,127.0,32.0,147.0,43.0,25.0,89.0,8.0,24.0,26.0,42.0,17.0,91.0,99.0,139.0,9.0,11.0,34.0,20.0,133.0,16.0,110.0,0.0,87.0,75.0,35.0
3288,17.0,7.0,58.0,14.0,33.0,38.0,43.0,19.0,121.0,61.0,78.0,75.0,48.0,118.0,3.0,10.0,115.0,67.0,79.0,39.0,97.0,131.0,6.0,91.0,52.0,88.0,15.0,28.0,59.0,18.0
3337,19.0,20.0,41.0,29.0,110.0,67.0,71.0,150.0,145.0,27.0,40.0,32.0,17.0,113.0,14.0,62.0,64.0,83.0,97.0,109.0,47.0,35.0,53.0,117.0,34.0,7.0,9.0,55.0,87.0,129.0
3386,9.0,22.0,75.0,25.0,2.0,19.0,32.0,55.0,28.0,15.0,27.0,51.0,45.0,160.0,26.0,71.0,50.0,24.0,108.0,150.0,47.0,58.0,31.0,43.0,6.0,38.0,8.0,67.0,52.0,59.0
3435,16.0,18.0,4.0,28.0,142.0,112.0,70.0,8.0,2.0,61.0,57.0,65.0,54.0,21.0,100.0,116.0,58.0,64.0,52.0,74.0,97.0,3.0,136.0,39.0,25.0,67.0,135.0,51.0,35.0,138.0
3484,15.0,7.0,4.0,16.0,39.0,12.0,31.0,68.0,27.0,9.0,72.0,38.0,73.0,46.0,54.0,36.0,40.0,114.0,32.0,51.0,41.0,125.0,62.0,123.0,35.0,90.0,33.0,52.0,37.0,122.0
3533,13.0,20.0,3.0,17.0,139.0,115.0,62.0,7.0,156.0,24.0,14.0,148.0,15.0,145.0,65.0,100.0,59.0,52.0,61.0,22.0,39.0,4.0,60.0,23.0,31.0,6.0,134.0,1.0,53.0,42.0
3582,28.0,7.0,37.0,36.0,27.0,41.0,38.0,24.0,16.0,58.0,4.0,62.0,39.0,23.0,45.0,17.0,20.0,59.0,84.0,21.0,82.0,69.0,35.0,53.0,118.0,79.0,78.0,52.0,30.0,135.0
3631,48.0,38.0,39.0,88.0,15.0,62.0,76.0,104.0,22.0,20.0,54.0,56.0,9.0,129.0,45.0,21.0,40.0,91.0,25.0,4.0,64.0,65.0,6.0,130.0,53.0,28.0,27.0,11.0,19.0,126.0
