,hsa-let-7e,hsa-miR-24,hsa-miR-142-5p,hsa-miR-21,hsa-miR-22,hsa-miR-216a,hsa-miR-150,hsa-miR-574-5p,hsa-miR-10a,hsa-miR-130a,hsa-miR-222,hsa-miR-31,hsa-miR-526a+hsa-miR-518d-5p+hsa-miR-520c-5p,hsa-let-7a,hsa-miR-149,hcmv-miR-US5-1,hsa-miR-508-5p,hsa-miR-766,hsa-miR-2117,hsa-miR-320d,hsa-miR-218,hsa-miR-92a,hsa-let-7i,hsa-miR-30a,hsa-miR-513b,hsa-miR-151-3p,hsa-miR-29b,hsa-miR-491-3p,hsa-miR-99a,hsa-miR-890
1141,0.0,4.0,1.0,13.0,14.0,5.0,3.0,2.0,6.0,20.0,9.0,43.0,89.0,25.0,41.0,72.0,19.0,118.0,11.0,137.0,12.0,16.0,274.0,31.0,22.0,59.0,39.0,38.0,17.0,67.0
1190,14.0,0.0,2.0,12.0,6.0,13.0,5.0,7.0,3.0,10.0,9.0,11.0,1.0,8.0,17.0,81.0,40.0,48.0,18.0,33.0,35.0,47.0,46.0,16.0,23.0,43.0,15.0,66.0,500.0,266.0
1239,5.0,0.0,1.0,6.0,13.0,9.0,10.0,2.0,35.0,8.0,7.0,15.0,3.0,4.0,17.0,187.0,100.0,27.0,74.0,43.0,26.0,308.0,12.0,234.0,14.0,23.0,19.0,31.0,367.0,34.0
1288,5.0,0.0,3.0,4.0,17.0,30.0,10.0,2.0,9.0,6.0,49.0,18.0,1.0,13.0,11.0,32.0,36.0,147.0,16.0,23.0,8.0,131.0,53.0,74.0,81.0,68.0,27.0,34.0,98.0,12.0
1337,0.0,1.0,8.0,7.0,4.0,9.0,6.0,3.0,21.0,20.0,15.0,5.0,2.0,11.0,169.0,30.0,46.0,405.0,17.0,152.0,73.0,118.0,102.0,115.0,61.0,270.0,18.0,78.0,36.0,116.0
1386,4.0,1.0,0.0,8.0,9.0,20.0,5.0,3.0,18.0,21.0,23.0,11.0,2.0,6.0,102.0,212.0,10.0,526.0,37.0,337.0,39.0,307.0,40.0,76.0,22.0,132.0,7.0,36.0,349.0,54.0
1435,6.0,1.0,5.0,0.0,25.0,4.0,11.0,7.0,3.0,14.0,22.0,36.0,12.0,2.0,149.0,46.0,13.0,113.0,8.0,88.0,31.0,60.0,21.0,183.0,19.0,165.0,27.0,199.0,73.0,102.0
1484,0.0,7.0,1.0,14.0,4.0,2.0,3.0,5.0,28.0,23.0,16.0,447.0,17.0,8.0,107.0,11.0,20.0,115.0,21.0,22.0,157.0,38.0,18.0,56.0,12.0,60.0,15.0,124.0,29.0,24.0
1533,0.0,2.0,1.0,4.0,6.0,8.0,5.0,3.0,27.0,7.0,15.0,21.0,17.0,12.0,40.0,9.0,10.0,14.0,37.0,31.0,81.0,41.0,20.0,83.0,16.0,287.0,67.0,53.0,70.0,11.0
1582,1.0,5.0,2.0,4.0,0.0,3.0,22.0,6.0,13.0,8.0,20.0,7.0,37.0,16.0,150.0,57.0,10.0,9.0,27.0,19.0,14.0,24.0,128.0,69.0,84.0,102.0,422.0,12.0,66.0,11.0
1631,2.0,3.0,5.0,0.0,4.0,1.0,8.0,9.0,34.0,23.0,12.0,197.0,7.0,536.0,20.0,6.0,11.0,50.0,57.0,29.0,10.0,19.0,16.0,25.0,41.0,22.0,38.0,17.0,13.0,54.0
