,HAEMATOPOIETIC,SOFT_TISSUE,OVARY,OESOPHAGUS,NERVOUS,BREAST,STOMACH,ENDOMETRIUM,LIVER,LUNG,LARGE_INTESTINE,SKIN,PANCREAS,GANGLIA,AERODIGESTIVE,PROSTATE,BONE,SALIVARY,THYROID,KIDNEY,URINARY,PLEURA,BILIARY
47,1.0,3.0,0.0,5.0,12.0,2.0,6.0,8.0,13.0,10.0,9.0,7.0,11.0,14.0,15.0,16.0,4.0,17.0,18.0,19.0,20.0,21.0,22.0
96,1.0,2.0,0.0,3.0,5.0,10.0,4.0,6.0,12.0,8.0,7.0,9.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
145,1.0,0.0,2.0,4.0,10.0,7.0,6.0,14.0,13.0,5.0,8.0,9.0,11.0,16.0,15.0,17.0,3.0,18.0,19.0,20.0,12.0,21.0,22.0
194,2.0,3.0,0.0,5.0,4.0,7.0,8.0,9.0,12.0,13.0,10.0,6.0,11.0,14.0,15.0,16.0,1.0,17.0,18.0,19.0,20.0,21.0,22.0
243,1.0,2.0,0.0,3.0,6.0,7.0,4.0,11.0,8.0,9.0,13.0,5.0,10.0,12.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
292,1.0,0.0,3.0,4.0,7.0,5.0,12.0,6.0,11.0,8.0,9.0,2.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
341,1.0,0.0,2.0,3.0,8.0,5.0,13.0,14.0,10.0,12.0,6.0,7.0,11.0,16.0,15.0,17.0,4.0,18.0,19.0,20.0,9.0,21.0,22.0
390,2.0,0.0,1.0,3.0,7.0,9.0,4.0,6.0,8.0,12.0,5.0,10.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
439,0.0,1.0,2.0,3.0,6.0,14.0,5.0,11.0,10.0,8.0,13.0,9.0,7.0,15.0,16.0,17.0,4.0,18.0,19.0,20.0,12.0,21.0,22.0
488,2.0,3.0,1.0,4.0,14.0,6.0,7.0,9.0,8.0,12.0,13.0,5.0,10.0,15.0,16.0,17.0,0.0,18.0,19.0,20.0,11.0,21.0,22.0
537,1.0,0.0,2.0,9.0,5.0,3.0,8.0,13.0,7.0,11.0,12.0,6.0,10.0,14.0,15.0,16.0,4.0,17.0,18.0,19.0,20.0,21.0,22.0
586,0.0,1.0,2.0,3.0,8.0,7.0,4.0,6.0,5.0,9.0,12.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
635,1.0,0.0,2.0,5.0,4.0,7.0,6.0,10.0,8.0,9.0,13.0,11.0,14.0,15.0,16.0,17.0,3.0,18.0,19.0,20.0,12.0,21.0,22.0
684,1.0,0.0,2.0,4.0,5.0,7.0,8.0,9.0,6.0,11.0,12.0,10.0,13.0,15.0,16.0,17.0,3.0,18.0,19.0,20.0,14.0,21.0,22.0
733,2.0,0.0,3.0,5.0,6.0,7.0,1.0,9.0,10.0,12.0,8.0,11.0,14.0,16.0,15.0,17.0,4.0,18.0,19.0,20.0,13.0,21.0,22.0
782,1.0,0.0,2.0,5.0,4.0,6.0,3.0,10.0,7.0,8.0,12.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
831,0.0,17.0,1.0,3.0,5.0,7.0,10.0,6.0,4.0,11.0,9.0,8.0,12.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
880,1.0,0.0,2.0,4.0,6.0,3.0,7.0,21.0,10.0,8.0,12.0,5.0,9.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,11.0,16.0,22.0
929,1.0,18.0,3.0,5.0,6.0,7.0,2.0,10.0,8.0,9.0,13.0,4.0,12.0,14.0,15.0,16.0,0.0,17.0,19.0,20.0,11.0,21.0,22.0
978,1.0,17.0,0.0,3.0,7.0,4.0,5.0,8.0,6.0,12.0,10.0,9.0,11.0,13.0,14.0,15.0,2.0,16.0,18.0,19.0,20.0,21.0,22.0
1027,1.0,2.0,0.0,3.0,11.0,10.0,4.0,5.0,6.0,7.0,8.0,13.0,9.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
1076,1.0,0.0,20.0,3.0,10.0,8.0,4.0,5.0,6.0,11.0,9.0,2.0,7.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,12.0,21.0,22.0
1125,1.0,2.0,0.0,4.0,10.0,11.0,3.0,5.0,7.0,6.0,8.0,12.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1174,2.0,17.0,0.0,3.0,11.0,8.0,7.0,1.0,4.0,6.0,5.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1223,2.0,3.0,0.0,4.0,9.0,10.0,5.0,1.0,12.0,6.0,8.0,7.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
1272,0.0,1.0,20.0,2.0,8.0,6.0,5.0,3.0,4.0,9.0,11.0,7.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,12.0,21.0,22.0
1321,1.0,0.0,20.0,2.0,11.0,8.0,4.0,3.0,5.0,7.0,6.0,9.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,12.0,21.0,22.0
1370,0.0,1.0,20.0,2.0,10.0,12.0,9.0,3.0,5.0,8.0,7.0,6.0,4.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,11.0,21.0,22.0
1419,2.0,17.0,0.0,1.0,4.0,8.0,6.0,5.0,7.0,9.0,11.0,3.0,10.0,12.0,13.0,14.0,15.0,16.0,18.0,19.0,20.0,21.0,22.0
1468,1.0,3.0,0.0,2.0,5.0,9.0,12.0,4.0,8.0,7.0,11.0,10.0,6.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,13.0,21.0,22.0
1517,0.0,2.0,3.0,12.0,6.0,8.0,5.0,1.0,9.0,11.0,4.0,7.0,10.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
1566,1.0,0.0,4.0,12.0,7.0,2.0,9.0,11.0,14.0,8.0,10.0,3.0,6.0,15.0,16.0,17.0,5.0,18.0,19.0,20.0,13.0,21.0,22.0
1615,1.0,2.0,0.0,13.0,7.0,9.0,3.0,21.0,10.0,11.0,6.0,8.0,5.0,14.0,15.0,16.0,4.0,18.0,19.0,20.0,12.0,17.0,22.0
1664,0.0,2.0,3.0,13.0,7.0,8.0,4.0,1.0,11.0,10.0,6.0,9.0,5.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
1713,1.0,2.0,3.0,8.0,6.0,5.0,4.0,7.0,12.0,11.0,10.0,13.0,9.0,14.0,15.0,16.0,0.0,17.0,18.0,19.0,20.0,21.0,22.0
1762,0.0,2.0,4.0,13.0,7.0,8.0,3.0,21.0,1.0,9.0,10.0,12.0,6.0,14.0,15.0,16.0,5.0,18.0,19.0,20.0,11.0,17.0,22.0
1811,0.0,2.0,1.0,4.0,9.0,5.0,3.0,21.0,10.0,11.0,8.0,6.0,7.0,12.0,13.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
1860,0.0,18.0,1.0,8.0,10.0,5.0,3.0,7.0,13.0,11.0,4.0,9.0,6.0,14.0,15.0,16.0,2.0,17.0,19.0,20.0,12.0,21.0,22.0
1909,0.0,1.0,2.0,11.0,6.0,4.0,10.0,12.0,13.0,8.0,9.0,7.0,5.0,14.0,15.0,16.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
1958,2.0,1.0,3.0,9.0,6.0,5.0,8.0,10.0,14.0,12.0,11.0,7.0,13.0,16.0,15.0,17.0,4.0,18.0,19.0,20.0,0.0,21.0,22.0
2007,2.0,0.0,1.0,3.0,7.0,8.0,5.0,4.0,12.0,10.0,6.0,11.0,9.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2056,1.0,0.0,3.0,4.0,9.0,5.0,7.0,6.0,12.0,8.0,2.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
2105,1.0,0.0,2.0,9.0,10.0,4.0,8.0,6.0,12.0,7.0,5.0,11.0,13.0,14.0,15.0,16.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
2154,3.0,0.0,1.0,5.0,4.0,10.0,6.0,7.0,12.0,8.0,9.0,13.0,11.0,14.0,15.0,16.0,2.0,17.0,18.0,19.0,20.0,21.0,22.0
2203,1.0,0.0,2.0,4.0,10.0,7.0,12.0,6.0,13.0,8.0,5.0,11.0,9.0,14.0,15.0,16.0,3.0,17.0,18.0,19.0,20.0,21.0,22.0
2252,1.0,0.0,2.0,5.0,7.0,3.0,6.0,10.0,13.0,8.0,11.0,12.0,9.0,14.0,15.0,16.0,4.0,17.0,18.0,19.0,20.0,21.0,22.0
