,ZSCAN18,ZNF625,BHLHE41,NDN,CCND2,DACH1,PDE10A,HS3ST3A1,ZNF502,LY75,SNHG18,RP11-366M4.11,TSPYL5,HOXA11,LPHN2,RPL39P6,ALDH2,RP11-408B11.2,TFEB,GREM1,TESK2,XAF1,ZNF334,RTF1,ST6GALNAC5,ZNF462,CCDC8,SFMBT2,PTMAP3,ZNF763
2068,3.0,5.0,1.0,4.0,7.0,9.0,0.0,45.0,6.0,109.0,21.0,67.0,200.0,20.0,8.0,11.0,49.0,240.0,79.0,64.0,73.0,44.0,55.0,114.0,39.0,2.0,83.0,40.0,54.0,110.0
2117,29.0,14.0,3.0,1.0,2.0,9.0,63.0,32.0,139.0,64.0,0.0,201.0,10.0,17.0,6.0,412.0,203.0,160.0,117.0,1106.0,75.0,180.0,68.0,21.0,344.0,66.0,35.0,134.0,26.0,296.0
2166,9.0,5.0,6.0,1.0,3.0,45.0,0.0,30.0,11.0,44.0,7.0,32.0,127.0,16.0,77.0,8.0,14.0,65.0,78.0,241.0,206.0,10.0,189.0,23.0,12.0,13.0,205.0,15.0,82.0,307.0
2215,15.0,7.0,3.0,1.0,5.0,18.0,0.0,27.0,19.0,194.0,2.0,36.0,35.0,32.0,12.0,4.0,22.0,475.0,63.0,150.0,14.0,101.0,23.0,17.0,89.0,8.0,45.0,25.0,199.0,68.0
2264,2.0,3.0,0.0,8.0,6.0,9.0,10.0,14.0,84.0,34.0,1.0,15.0,135.0,72.0,44.0,13.0,28.0,91.0,42.0,173.0,120.0,20.0,270.0,7.0,25.0,17.0,227.0,50.0,38.0,207.0
2313,9.0,7.0,3.0,5.0,4.0,8.0,0.0,24.0,2.0,65.0,1.0,130.0,60.0,12.0,29.0,15.0,17.0,95.0,118.0,269.0,147.0,23.0,226.0,30.0,38.0,37.0,31.0,163.0,73.0,204.0
2362,3.0,6.0,5.0,0.0,4.0,9.0,1.0,16.0,7.0,18.0,2.0,339.0,70.0,11.0,50.0,64.0,197.0,289.0,135.0,332.0,106.0,43.0,30.0,32.0,28.0,23.0,48.0,100.0,125.0,62.0
2411,0.0,5.0,10.0,3.0,1.0,71.0,6.0,28.0,4.0,102.0,7.0,108.0,103.0,77.0,113.0,12.0,2.0,25.0,184.0,91.0,224.0,19.0,304.0,83.0,14.0,9.0,582.0,215.0,45.0,195.0
2460,2.0,5.0,3.0,0.0,8.0,36.0,9.0,4.0,1.0,41.0,465.0,17.0,57.0,30.0,20.0,14.0,13.0,15.0,102.0,7.0,64.0,327.0,131.0,70.0,52.0,164.0,113.0,61.0,73.0,60.0
2509,1.0,4.0,2.0,0.0,14.0,8.0,5.0,155.0,3.0,33.0,217.0,17.0,136.0,16.0,108.0,22.0,34.0,13.0,20.0,25.0,9.0,79.0,110.0,223.0,125.0,303.0,104.0,96.0,157.0,64.0
2558,3.0,0.0,4.0,2.0,8.0,10.0,7.0,55.0,1.0,168.0,39.0,20.0,61.0,77.0,14.0,9.0,28.0,96.0,22.0,11.0,33.0,154.0,129.0,159.0,88.0,51.0,27.0,74.0,41.0,24.0
2607,0.0,1.0,2.0,8.0,4.0,5.0,6.0,14.0,15.0,31.0,112.0,45.0,3.0,22.0,25.0,9.0,70.0,116.0,43.0,11.0,35.0,97.0,181.0,310.0,72.0,307.0,18.0,12.0,254.0,13.0
2656,0.0,1.0,3.0,2.0,5.0,6.0,22.0,7.0,4.0,50.0,9.0,71.0,36.0,11.0,15.0,28.0,26.0,13.0,12.0,38.0,8.0,17.0,62.0,53.0,199.0,20.0,21.0,106.0,65.0,39.0
2705,3.0,4.0,2.0,0.0,8.0,21.0,17.0,25.0,1.0,11.0,39.0,78.0,49.0,89.0,113.0,38.0,44.0,64.0,67.0,24.0,35.0,18.0,14.0,353.0,55.0,210.0,73.0,91.0,84.0,13.0
2754,1.0,4.0,3.0,0.0,59.0,11.0,5.0,9.0,2.0,81.0,62.0,112.0,116.0,13.0,36.0,60.0,7.0,56.0,31.0,10.0,12.0,16.0,79.0,132.0,14.0,434.0,37.0,49.0,244.0,22.0
2803,2.0,4.0,1.0,0.0,76.0,7.0,60.0,6.0,8.0,37.0,28.0,10.0,11.0,14.0,34.0,102.0,17.0,125.0,15.0,137.0,21.0,59.0,23.0,359.0,224.0,97.0,48.0,346.0,63.0,25.0
2852,0.0,5.0,7.0,9.0,4.0,15.0,11.0,76.0,1.0,3.0,175.0,28.0,25.0,195.0,31.0,20.0,24.0,286.0,65.0,18.0,116.0,48.0,2.0,88.0,82.0,14.0,315.0,86.0,140.0,17.0
2901,13.0,2.0,1.0,18.0,11.0,0.0,8.0,22.0,5.0,15.0,59.0,16.0,4.0,219.0,24.0,12.0,49.0,20.0,3.0,23.0,7.0,34.0,52.0,55.0,128.0,316.0,43.0,57.0,248.0,86.0
2950,2.0,0.0,10.0,1.0,74.0,47.0,4.0,14.0,263.0,106.0,49.0,24.0,412.0,26.0,46.0,6.0,12.0,5.0,261.0,60.0,42.0,266.0,1173.0,16.0,48.0,22.0,82.0,242.0,19.0,96.0
2999,0.0,1.0,5.0,2.0,31.0,76.0,129.0,6.0,453.0,42.0,23.0,49.0,3.0,98.0,32.0,152.0,4.0,14.0,95.0,245.0,18.0,162.0,287.0,7.0,462.0,184.0,63.0,203.0,51.0,236.0
3048,1.0,0.0,8.0,3.0,7.0,22.0,2.0,100.0,6.0,15.0,4.0,51.0,1706.0,41.0,43.0,91.0,5.0,9.0,70.0,62.0,83.0,24.0,10.0,11.0,156.0,71.0,158.0,42.0,69.0,131.0
3097,21.0,1.0,2.0,0.0,92.0,46.0,34.0,4.0,729.0,882.0,96.0,16.0,6.0,7.0,19.0,52.0,5.0,3.0,51.0,24.0,36.0,970.0,274.0,17.0,1881.0,179.0,28.0,203.0,113.0,64.0
3146,0.0,1.0,7.0,2.0,8.0,26.0,69.0,42.0,119.0,17.0,9.0,140.0,98.0,18.0,40.0,62.0,19.0,64.0,206.0,35.0,32.0,205.0,54.0,36.0,152.0,341.0,5.0,252.0,68.0,48.0
3195,2.0,1.0,4.0,0.0,21.0,20.0,31.0,24.0,108.0,431.0,27.0,94.0,6.0,81.0,42.0,34.0,13.0,7.0,64.0,23.0,16.0,340.0,235.0,11.0,59.0,67.0,8.0,65.0,47.0,487.0
3244,3.0,4.0,23.0,0.0,6.0,27.0,63.0,5.0,277.0,68.0,104.0,102.0,22.0,47.0,30.0,17.0,2.0,7.0,149.0,128.0,18.0,9.0,342.0,24.0,195.0,19.0,28.0,84.0,75.0,270.0
3293,0.0,2.0,12.0,1.0,13.0,22.0,38.0,3.0,89.0,10.0,196.0,17.0,19.0,978.0,26.0,16.0,4.0,9.0,53.0,106.0,70.0,91.0,164.0,86.0,789.0,55.0,52.0,133.0,118.0,174.0
3342,1.0,2.0,14.0,0.0,5.0,17.0,24.0,4.0,162.0,12.0,11.0,13.0,55.0,28.0,86.0,9.0,23.0,64.0,132.0,21.0,18.0,286.0,134.0,53.0,356.0,3.0,8.0,37.0,76.0,90.0
3391,23.0,2.0,3.0,0.0,7.0,140.0,1.0,24.0,100.0,48.0,5.0,77.0,156.0,22.0,9.0,71.0,16.0,19.0,213.0,244.0,43.0,38.0,106.0,56.0,31.0,14.0,10.0,170.0,241.0,669.0
3440,9.0,2.0,0.0,8.0,10.0,57.0,6.0,37.0,39.0,21.0,465.0,13.0,3.0,147.0,769.0,15.0,1533.0,124.0,73.0,148.0,16.0,190.0,166.0,42.0,49.0,82.0,1676.0,12.0,344.0,50.0
3489,7.0,1.0,0.0,6.0,11.0,81.0,2.0,4.0,13.0,42.0,152.0,17.0,8.0,293.0,20.0,63.0,473.0,218.0,22.0,9.0,15.0,70.0,376.0,64.0,38.0,65.0,632.0,49.0,163.0,137.0
3538,21.0,0.0,1.0,5.0,6.0,77.0,28.0,4.0,17.0,247.0,63.0,3.0,353.0,14.0,94.0,10.0,115.0,961.0,116.0,20.0,47.0,135.0,513.0,48.0,11.0,2.0,449.0,22.0,208.0,13.0
3587,10.0,1.0,0.0,6.0,2.0,118.0,61.0,16.0,35.0,43.0,189.0,30.0,163.0,19.0,332.0,7.0,237.0,190.0,14.0,3.0,9.0,205.0,7231.0,41.0,120.0,304.0,105.0,32.0,181.0,76.0
3636,13.0,3.0,5.0,0.0,197.0,183.0,49.0,15.0,21.0,122.0,399.0,25.0,9.0,263.0,45.0,2.0,69.0,372.0,23.0,1.0,12.0,128.0,7217.0,11.0,35.0,96.0,394.0,51.0,7.0,143.0
3685,52.0,9.0,0.0,26.0,1.0,73.0,127.0,40.0,6.0,12.0,252.0,10.0,4.0,292.0,96.0,5.0,76.0,309.0,103.0,2.0,11.0,61.0,733.0,19.0,14.0,66.0,1768.0,89.0,22.0,83.0
3734,14.0,2.0,1.0,10.0,3.0,207.0,8.0,7.0,24.0,45.0,638.0,38.0,37.0,17.0,383.0,6.0,222.0,43.0,147.0,0.0,11.0,304.0,1953.0,27.0,18.0,135.0,512.0,19.0,91.0,28.0
3783,6.0,1.0,4.0,0.0,14.0,52.0,15.0,59.0,2.0,112.0,1951.0,12.0,42.0,250.0,323.0,16.0,258.0,35.0,55.0,3.0,27.0,170.0,497.0,106.0,18.0,22.0,709.0,29.0,11.0,150.0
3832,5.0,0.0,3.0,9.0,10.0,55.0,447.0,35.0,1.0,96.0,91.0,4.0,26.0,80.0,335.0,17.0,217.0,190.0,18.0,12.0,6.0,39.0,747.0,13.0,48.0,120.0,508.0,49.0,46.0,41.0
3881,22.0,3.0,1.0,0.0,6.0,199.0,62.0,708.0,23.0,36.0,153.0,24.0,71.0,37.0,139.0,11.0,376.0,124.0,241.0,38.0,4.0,55.0,180.0,7.0,178.0,14.0,65.0,8.0,17.0,90.0
3930,0.0,2.0,14.0,156.0,11.0,4.0,18.0,17.0,56.0,8.0,7.0,101.0,28.0,76.0,1.0,58.0,40.0,32.0,92.0,120.0,75.0,699.0,34.0,130.0,43.0,618.0,212.0,9.0,87.0,126.0
3979,2.0,5.0,16.0,116.0,1.0,11.0,19.0,67.0,26.0,22.0,32.0,10.0,3.0,21.0,0.0,29.0,170.0,35.0,40.0,61.0,8.0,122.0,58.0,141.0,73.0,210.0,9.0,6.0,34.0,114.0
4028,0.0,6.0,1.0,64.0,10.0,4.0,11.0,9.0,2.0,3.0,40.0,95.0,45.0,16.0,5.0,359.0,41.0,38.0,15.0,70.0,13.0,49.0,35.0,189.0,17.0,72.0,7.0,33.0,229.0,92.0
4077,1.0,0.0,28.0,18.0,2.0,9.0,97.0,10.0,272.0,13.0,120.0,204.0,8.0,75.0,16.0,339.0,106.0,34.0,20.0,87.0,29.0,27.0,197.0,39.0,78.0,217.0,38.0,37.0,98.0,49.0
4126,0.0,1.0,14.0,152.0,26.0,2.0,29.0,25.0,12.0,4.0,86.0,147.0,32.0,191.0,11.0,198.0,34.0,10.0,23.0,52.0,15.0,7.0,906.0,335.0,42.0,163.0,66.0,149.0,182.0,210.0
4175,1.0,3.0,5.0,38.0,2.0,9.0,7.0,8.0,10.0,15.0,0.0,33.0,12.0,16.0,34.0,25.0,163.0,11.0,46.0,99.0,29.0,106.0,26.0,151.0,18.0,94.0,6.0,27.0,202.0,57.0
4224,0.0,1.0,17.0,57.0,3.0,12.0,20.0,13.0,2.0,11.0,111.0,308.0,7.0,15.0,22.0,64.0,10.0,27.0,104.0,47.0,39.0,52.0,113.0,288.0,25.0,207.0,60.0,8.0,120.0,50.0
4273,5.0,12.0,2.0,8.0,6.0,1.0,9.0,52.0,22.0,15.0,532.0,208.0,293.0,11.0,10.0,18.0,60.0,37.0,25.0,38.0,30.0,143.0,4.0,271.0,56.0,743.0,46.0,19.0,238.0,120.0
4322,1.0,5.0,9.0,0.0,6.0,14.0,320.0,12.0,28.0,32.0,680.0,106.0,7.0,72.0,15.0,11.0,57.0,23.0,13.0,21.0,4.0,125.0,52.0,179.0,115.0,36.0,2.0,27.0,42.0,59.0
4371,0.0,5.0,9.0,473.0,3.0,13.0,103.0,4.0,35.0,2.0,18.0,23.0,7.0,24.0,11.0,62.0,83.0,217.0,78.0,14.0,54.0,68.0,29.0,101.0,73.0,369.0,20.0,10.0,25.0,26.0
4420,2.0,0.0,1.0,10.0,61.0,27.0,3.0,9.0,46.0,8.0,158.0,308.0,232.0,273.0,103.0,148.0,20.0,15.0,217.0,33.0,75.0,427.0,18.0,199.0,74.0,144.0,313.0,69.0,47.0,76.0
4469,0.0,1.0,2.0,4.0,374.0,5.0,37.0,35.0,18.0,19.0,14.0,52.0,30.0,464.0,39.0,516.0,12.0,11.0,209.0,329.0,71.0,216.0,3.0,61.0,99.0,13.0,153.0,284.0,68.0,72.0
4518,4.0,0.0,7.0,25.0,21.0,11.0,1.0,30.0,26.0,2.0,133.0,171.0,12.0,204.0,164.0,608.0,104.0,9.0,37.0,77.0,116.0,123.0,24.0,140.0,16.0,106.0,13.0,74.0,31.0,51.0
4567,1.0,3.0,15.0,336.0,609.0,26.0,0.0,51.0,40.0,52.0,231.0,114.0,6.0,48.0,43.0,133.0,57.0,4.0,45.0,35.0,187.0,225.0,8.0,206.0,31.0,17.0,60.0,104.0,46.0,50.0
4616,2.0,0.0,3.0,205.0,122.0,1.0,22.0,177.0,20.0,8.0,199.0,163.0,112.0,98.0,94.0,105.0,158.0,23.0,40.0,53.0,31.0,50.0,4.0,32.0,10.0,125.0,314.0,111.0,118.0,13.0
4665,5.0,0.0,4.0,53.0,163.0,10.0,1.0,61.0,65.0,8.0,2.0,80.0,92.0,202.0,219.0,227.0,56.0,40.0,27.0,396.0,118.0,89.0,13.0,132.0,35.0,95.0,39.0,253.0,57.0,93.0
4714,5.0,2.0,9.0,22.0,296.0,8.0,15.0,63.0,30.0,65.0,66.0,138.0,73.0,141.0,130.0,153.0,11.0,32.0,161.0,272.0,53.0,144.0,27.0,29.0,38.0,14.0,79.0,113.0,56.0,42.0
4763,0.0,2.0,4.0,56.0,68.0,34.0,3.0,78.0,8.0,19.0,14.0,140.0,365.0,121.0,38.0,464.0,6.0,70.0,64.0,310.0,135.0,40.0,24.0,297.0,11.0,48.0,52.0,161.0,147.0,41.0
4812,20.0,0.0,8.0,109.0,661.0,2.0,10.0,44.0,81.0,34.0,37.0,283.0,33.0,124.0,187.0,59.0,1.0,40.0,184.0,230.0,141.0,61.0,217.0,35.0,618.0,3.0,87.0,534.0,5.0,149.0
4861,1.0,0.0,30.0,63.0,199.0,29.0,3.0,25.0,10.0,33.0,66.0,161.0,325.0,67.0,177.0,103.0,14.0,12.0,72.0,165.0,236.0,45.0,113.0,20.0,13.0,7.0,74.0,75.0,79.0,54.0
