,GANGLIA,LARGE_INTESTINE,OVARY,HAEMATOPOIETIC,NERVOUS,BONE,OESOPHAGUS,BREAST,PANCREAS,LUNG,ENDOMETRIUM,SKIN,LIVER,SOFT_TISSUE,AERODIGESTIVE,PROSTATE,SALIVARY,THYROID,KIDNEY,URINARY,STOMACH,PLEURA,BILIARY
47,0.0,1.0,5.0,7.0,3.0,8.0,10.0,4.0,6.0,9.0,2.0,15.0,14.0,13.0,16.0,17.0,18.0,19.0,20.0,12.0,11.0,21.0,22.0
96,13.0,0.0,1.0,4.0,5.0,2.0,6.0,7.0,3.0,10.0,8.0,12.0,9.0,17.0,14.0,15.0,16.0,18.0,19.0,20.0,11.0,21.0,22.0
145,14.0,2.0,3.0,9.0,4.0,5.0,10.0,1.0,7.0,6.0,8.0,12.0,13.0,11.0,0.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
194,0.0,1.0,8.0,5.0,4.0,6.0,14.0,3.0,2.0,9.0,7.0,12.0,13.0,11.0,15.0,16.0,17.0,18.0,19.0,20.0,10.0,21.0,22.0
243,15.0,1.0,4.0,8.0,3.0,6.0,7.0,2.0,5.0,9.0,10.0,14.0,13.0,12.0,16.0,17.0,18.0,19.0,20.0,11.0,0.0,21.0,22.0
292,14.0,2.0,3.0,9.0,5.0,1.0,12.0,4.0,6.0,8.0,7.0,11.0,13.0,17.0,0.0,15.0,16.0,18.0,19.0,10.0,20.0,21.0,22.0
341,0.0,1.0,2.0,5.0,9.0,4.0,6.0,3.0,7.0,10.0,8.0,13.0,14.0,12.0,15.0,16.0,17.0,18.0,19.0,20.0,11.0,21.0,22.0
390,0.0,3.0,4.0,9.0,5.0,7.0,12.0,6.0,8.0,11.0,15.0,10.0,16.0,13.0,1.0,17.0,18.0,19.0,20.0,2.0,14.0,21.0,22.0
439,0.0,1.0,8.0,5.0,4.0,2.0,7.0,3.0,6.0,11.0,9.0,13.0,10.0,17.0,14.0,15.0,16.0,18.0,19.0,12.0,20.0,21.0,22.0
488,14.0,0.0,7.0,4.0,6.0,5.0,8.0,2.0,3.0,9.0,1.0,10.0,13.0,18.0,15.0,16.0,17.0,19.0,20.0,12.0,11.0,21.0,22.0
537,0.0,1.0,6.0,2.0,8.0,5.0,3.0,9.0,4.0,7.0,10.0,15.0,11.0,14.0,16.0,17.0,18.0,19.0,20.0,13.0,12.0,21.0,22.0
586,0.0,1.0,4.0,2.0,6.0,5.0,3.0,8.0,7.0,10.0,9.0,12.0,11.0,16.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
635,0.0,2.0,7.0,1.0,4.0,8.0,6.0,11.0,3.0,5.0,9.0,10.0,12.0,16.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
684,0.0,1.0,7.0,2.0,6.0,4.0,5.0,15.0,3.0,9.0,8.0,10.0,14.0,13.0,16.0,17.0,18.0,19.0,20.0,12.0,11.0,21.0,22.0
733,15.0,1.0,6.0,3.0,4.0,0.0,2.0,10.0,5.0,8.0,7.0,14.0,9.0,12.0,16.0,17.0,18.0,19.0,20.0,11.0,13.0,21.0,22.0
782,0.0,1.0,6.0,5.0,3.0,9.0,2.0,10.0,4.0,8.0,7.0,13.0,12.0,18.0,15.0,16.0,17.0,19.0,20.0,14.0,11.0,21.0,22.0
831,0.0,1.0,6.0,3.0,4.0,7.0,2.0,12.0,5.0,10.0,9.0,8.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,13.0,20.0,21.0,22.0
880,0.0,1.0,5.0,3.0,6.0,7.0,4.0,10.0,8.0,9.0,2.0,12.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
929,0.0,2.0,4.0,3.0,5.0,8.0,6.0,14.0,7.0,9.0,1.0,11.0,10.0,13.0,15.0,16.0,17.0,18.0,19.0,20.0,12.0,21.0,22.0
978,0.0,1.0,5.0,2.0,4.0,3.0,7.0,8.0,6.0,9.0,10.0,12.0,11.0,16.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,21.0,22.0
