,FAM21B,PYCARD,GAMT,RP11-1094M14.1,EEF1A1,BHLHE41,HMGA2,IQGAP2,RP11-517B11.7,BTN3A1,PTEN,RPL22,FAM110C,CPNE7,IFITM2,HS1BP3,PITPNC1,NDN,DCTN1,FDXR,EIF4B,HSBP1L1,SLC35C2,ADAP2,SNCA,HSPB1,ASIC1,CORO2A,ATP10A,PNRC2
10,1.0,0.0,3.0,175.0,10.0,19.0,5.0,4.0,15.0,26.0,30.0,2.0,28.0,12.0,36.0,14.0,35.0,8.0,11.0,141.0,17.0,52.0,119.0,38.0,23.0,63.0,209.0,6.0,7.0,355.0
59,1.0,18.0,46.0,3.0,4.0,0.0,19.0,16.0,8.0,79.0,28.0,11.0,5.0,17.0,519.0,6.0,15.0,21.0,25.0,258.0,30.0,124.0,78.0,9.0,26.0,23.0,129.0,50.0,56.0,168.0
108,42.0,46.0,3.0,424.0,0.0,8.0,33.0,22.0,32.0,19.0,6.0,9.0,2.0,10.0,220.0,21.0,45.0,20.0,14.0,28.0,64.0,13.0,62.0,15.0,72.0,85.0,205.0,5.0,12.0,453.0
157,130.0,2.0,11.0,47.0,16.0,20.0,39.0,19.0,8.0,120.0,17.0,5.0,34.0,0.0,42.0,14.0,35.0,15.0,37.0,74.0,57.0,41.0,12.0,22.0,6.0,162.0,61.0,4.0,282.0,342.0
206,3.0,18.0,9.0,27.0,4.0,1.0,12.0,2.0,117.0,33.0,55.0,13.0,52.0,24.0,10.0,29.0,220.0,74.0,44.0,41.0,28.0,82.0,159.0,8.0,0.0,290.0,115.0,53.0,6.0,42.0
255,0.0,3.0,162.0,27.0,7.0,13.0,77.0,11.0,5.0,132.0,49.0,4.0,14.0,17.0,50.0,38.0,6.0,23.0,26.0,78.0,18.0,148.0,35.0,31.0,30.0,45.0,81.0,42.0,64.0,94.0
304,0.0,6.0,1.0,155.0,9.0,13.0,5.0,70.0,28.0,123.0,23.0,11.0,17.0,4.0,52.0,33.0,14.0,8.0,42.0,84.0,21.0,20.0,63.0,31.0,2.0,41.0,177.0,3.0,7.0,228.0
353,22.0,4.0,138.0,10.0,19.0,8.0,16.0,11.0,45.0,21.0,5.0,1.0,133.0,2.0,69.0,9.0,6.0,30.0,38.0,81.0,26.0,12.0,107.0,96.0,41.0,54.0,77.0,3.0,7.0,476.0
402,6.0,57.0,3.0,18.0,28.0,0.0,4.0,1.0,7.0,41.0,23.0,2.0,59.0,5.0,267.0,17.0,12.0,36.0,11.0,77.0,52.0,32.0,149.0,24.0,42.0,8.0,136.0,15.0,27.0,20.0
451,1.0,11.0,18.0,251.0,5.0,4.0,153.0,10.0,37.0,35.0,22.0,3.0,13.0,2.0,21.0,30.0,83.0,0.0,72.0,20.0,34.0,25.0,81.0,43.0,7.0,15.0,45.0,16.0,9.0,196.0
500,0.0,2.0,81.0,4.0,13.0,27.0,71.0,11.0,3.0,15.0,14.0,21.0,376.0,70.0,7.0,18.0,10.0,242.0,41.0,67.0,61.0,26.0,98.0,259.0,246.0,23.0,24.0,200.0,885.0,64.0
549,0.0,1.0,12.0,2.0,39.0,25.0,31.0,81.0,13.0,10.0,5.0,75.0,44.0,4.0,3.0,15.0,19.0,32.0,55.0,310.0,38.0,11.0,171.0,52.0,22.0,26.0,43.0,24.0,331.0,93.0
598,0.0,5.0,138.0,1.0,8.0,2.0,7.0,157.0,3.0,80.0,4.0,36.0,19.0,16.0,49.0,31.0,40.0,84.0,50.0,92.0,27.0,12.0,77.0,32.0,45.0,46.0,11.0,10.0,184.0,57.0
647,0.0,12.0,29.0,1.0,49.0,82.0,19.0,193.0,7.0,22.0,6.0,145.0,42.0,5.0,2.0,18.0,36.0,16.0,37.0,106.0,66.0,26.0,204.0,60.0,30.0,11.0,10.0,4.0,274.0,46.0
696,0.0,1.0,75.0,2.0,13.0,21.0,15.0,78.0,28.0,23.0,4.0,72.0,34.0,10.0,11.0,35.0,8.0,3.0,59.0,24.0,36.0,29.0,121.0,19.0,16.0,73.0,26.0,49.0,485.0,38.0
745,0.0,26.0,2.0,38.0,12.0,20.0,7.0,119.0,24.0,31.0,1.0,135.0,19.0,5.0,23.0,13.0,47.0,6.0,29.0,121.0,79.0,36.0,97.0,42.0,27.0,67.0,21.0,3.0,115.0,25.0
794,0.0,10.0,14.0,1.0,201.0,62.0,19.0,16.0,44.0,29.0,7.0,114.0,82.0,2.0,9.0,3.0,43.0,57.0,51.0,6.0,116.0,21.0,66.0,30.0,27.0,28.0,15.0,180.0,64.0,24.0
