,IQGAP2,ITGA9,BMPR1B,UCP2,RP11-834C11.4,RP1-97D16.1,RPL7AP28,TSPYL5,ZNF334,RASSF9,GGT6,TRIM58,ST6GALNAC5,C2orf54,SFMBT2,RP11-288H12.3,CYTH1,HIST1H2BH,CCBL2,RP11-44F14.2,ILDR1,AC016710.1,C20orf112,TMEM98,PRDM5,KCNIP2-AS1,SRBD1,AUP1,NFATC4,FOXJ1
10,0.0,3.0,4.0,34.0,1.0,38.0,427.0,630.0,35.0,26.0,17.0,9.0,57.0,2.0,20.0,21.0,130.0,5.0,37.0,18.0,11.0,116.0,65.0,13.0,24.0,25.0,96.0,16.0,205.0,49.0
59,1.0,0.0,493.0,4.0,5.0,21.0,31.0,212.0,19.0,225.0,24.0,79.0,60.0,20.0,6.0,82.0,129.0,23.0,50.0,17.0,2.0,56.0,7.0,91.0,25.0,88.0,53.0,10.0,1849.0,68.0
108,2.0,0.0,88.0,11.0,13.0,45.0,50.0,16.0,1.0,273.0,15.0,142.0,51.0,14.0,19.0,4.0,156.0,6.0,65.0,8.0,9.0,81.0,28.0,31.0,42.0,38.0,72.0,35.0,774.0,462.0
157,1.0,33.0,9.0,13.0,0.0,34.0,38.0,3.0,14.0,199.0,42.0,396.0,71.0,23.0,8.0,15.0,177.0,11.0,18.0,35.0,27.0,2069.0,29.0,192.0,51.0,62.0,36.0,10.0,64.0,4.0
206,5.0,0.0,6.0,22.0,1.0,33.0,30.0,55.0,15.0,14.0,28.0,115.0,76.0,19.0,18.0,85.0,42.0,8.0,32.0,12.0,20.0,38.0,61.0,114.0,27.0,66.0,120.0,2.0,25.0,37.0
255,1.0,7.0,3.0,36.0,2.0,38.0,89.0,35.0,29.0,63.0,8.0,386.0,75.0,67.0,62.0,149.0,60.0,144.0,13.0,70.0,9.0,318.0,24.0,97.0,77.0,88.0,52.0,0.0,378.0,155.0
304,1.0,0.0,16.0,5.0,20.0,78.0,22.0,7.0,19.0,82.0,3.0,21.0,24.0,27.0,12.0,106.0,91.0,6.0,37.0,31.0,4.0,99.0,40.0,48.0,68.0,55.0,32.0,2.0,725.0,218.0
353,0.0,1.0,3.0,15.0,4.0,87.0,64.0,93.0,80.0,29.0,13.0,195.0,89.0,39.0,14.0,34.0,71.0,38.0,43.0,23.0,9.0,337.0,2.0,44.0,109.0,7.0,62.0,16.0,472.0,22.0
402,0.0,32.0,2.0,1.0,14.0,62.0,192.0,76.0,43.0,26.0,27.0,146.0,38.0,8.0,73.0,22.0,152.0,13.0,220.0,12.0,7.0,34.0,16.0,235.0,59.0,41.0,54.0,4.0,757.0,33.0
451,0.0,4.0,8.0,67.0,1.0,19.0,243.0,164.0,6.0,32.0,45.0,819.0,206.0,9.0,133.0,16.0,79.0,22.0,86.0,11.0,10.0,128.0,56.0,12.0,26.0,68.0,35.0,7.0,27.0,23.0
500,5.0,9.0,28.0,1.0,0.0,6.0,54.0,98.0,36.0,204.0,59.0,7.0,2.0,41.0,79.0,15.0,48.0,16.0,10.0,27.0,40.0,840.0,13.0,88.0,18.0,20.0,33.0,43.0,4.0,29.0
549,7.0,23.0,14.0,16.0,6.0,8.0,17.0,33.0,0.0,63.0,3.0,15.0,24.0,50.0,116.0,1.0,25.0,11.0,2.0,42.0,22.0,531.0,12.0,62.0,18.0,56.0,69.0,13.0,4.0,136.0
598,1.0,30.0,35.0,7.0,0.0,15.0,11.0,56.0,10.0,128.0,111.0,16.0,6.0,49.0,66.0,3.0,25.0,9.0,4.0,34.0,60.0,1403.0,171.0,54.0,117.0,44.0,18.0,13.0,8.0,522.0
