,Bax,PI3K-p85,p53,CDK1,c-Jun_pS73,Beclin,VHL,c-Kit,Akt_pS473,4E-BP1_pT70,VAV1,Transglutaminase,p14 Arf(BetA300-340A),AR,Annexin 1,C-Raf_pS338,GATA3,p21,Acetyl-a-Tubulin (Lys40),Lck,AMPK_pT172,PRAS40_pT246,N-Cadherin,TTF1,FoxM1,CD31,INPP4B,AMPK_alpha,RAD51,p70S6K_pT389
0,1.0,0.0,11.0,37.0,50.0,31.0,2.0,145.0,5.0,8.0,24.0,6.0,7.0,42.0,45.0,25.0,21.0,16.0,78.0,123.0,26.0,39.0,121.0,13.0,35.0,29.0,4.0,10.0,57.0,91.0
49,3.0,2.0,38.0,11.0,1.0,91.0,0.0,56.0,15.0,43.0,14.0,13.0,9.0,8.0,33.0,6.0,4.0,25.0,17.0,27.0,5.0,39.0,19.0,45.0,16.0,50.0,60.0,58.0,42.0,26.0
98,0.0,19.0,7.0,23.0,34.0,18.0,3.0,49.0,106.0,152.0,29.0,5.0,2.0,42.0,12.0,1.0,9.0,11.0,33.0,136.0,72.0,82.0,39.0,8.0,32.0,92.0,63.0,52.0,26.0,15.0
147,0.0,4.0,38.0,40.0,12.0,60.0,2.0,37.0,6.0,24.0,79.0,15.0,3.0,28.0,87.0,42.0,52.0,18.0,25.0,7.0,26.0,27.0,9.0,13.0,154.0,50.0,5.0,30.0,76.0,34.0
196,0.0,46.0,33.0,15.0,50.0,23.0,7.0,24.0,41.0,5.0,2.0,6.0,11.0,44.0,49.0,1.0,21.0,16.0,51.0,3.0,4.0,26.0,35.0,77.0,84.0,45.0,37.0,17.0,25.0,34.0
245,1.0,46.0,109.0,3.0,45.0,21.0,4.0,119.0,10.0,7.0,8.0,51.0,13.0,68.0,6.0,0.0,2.0,140.0,23.0,59.0,5.0,27.0,107.0,44.0,65.0,11.0,18.0,83.0,52.0,12.0
294,0.0,31.0,58.0,16.0,57.0,12.0,6.0,60.0,42.0,10.0,49.0,3.0,1.0,20.0,5.0,33.0,115.0,26.0,2.0,9.0,17.0,71.0,23.0,72.0,77.0,22.0,13.0,34.0,123.0,54.0
343,7.0,12.0,6.0,21.0,87.0,32.0,9.0,41.0,30.0,0.0,35.0,23.0,1.0,17.0,3.0,2.0,22.0,58.0,27.0,97.0,8.0,18.0,33.0,83.0,11.0,55.0,16.0,36.0,52.0,65.0
392,5.0,8.0,33.0,1.0,39.0,10.0,0.0,16.0,35.0,13.0,9.0,11.0,2.0,22.0,3.0,7.0,56.0,99.0,19.0,12.0,80.0,4.0,25.0,20.0,60.0,30.0,37.0,31.0,89.0,114.0
441,53.0,20.0,4.0,3.0,141.0,96.0,2.0,0.0,17.0,32.0,63.0,5.0,42.0,18.0,22.0,1.0,14.0,31.0,7.0,37.0,51.0,95.0,91.0,10.0,19.0,15.0,8.0,34.0,58.0,29.0
