,BRAF_MUT,KRAS_MUT,KRAS.G12_13_MUT,BRAF.V600E_MUT,HLA-H_DEL,MIR548AI_DEL,TTN_MUT,BRAF.MC_MUT,NRAS_MUT,HLA-DRB1_AMP,KIAA1217_DEL,SORD_AMP,DMBT1_DEL,FAM21A_DEL,MRC1_AMP,RHD_DEL,HLA-DRB6_AMP,LINC00226_AMP,RBFOX1_DEL,SNTG2_DEL,ARHGEF5_AMP,KCNIP4_AMP,LGALS9C_DEL,ATP13A5_MUT,HCG4B_DEL,TNK2_MUT,NBPF16_DEL,IMMP2L_DEL,UNC13C_MUT,RAB3C_AMP
31,0.0,2.0,3.0,1.0,4.0,16.0,5.0,7.0,10.0,8.0,60.0,11.0,19.0,6.0,12.0,13.0,9.0,18.0,15.0,33.0,102.0,17.0,29.0,100.0,26.0,34.0,111.0,44.0,51.0,14.0
80,0.0,2.0,5.0,3.0,1.0,4.0,15.0,10.0,6.0,14.0,9.0,19.0,12.0,51.0,52.0,21.0,13.0,18.0,8.0,22.0,81.0,53.0,11.0,31.0,16.0,28.0,140.0,41.0,23.0,32.0
129,0.0,1.0,2.0,3.0,4.0,5.0,8.0,21.0,6.0,9.0,18.0,15.0,7.0,11.0,20.0,16.0,10.0,19.0,17.0,61.0,76.0,52.0,51.0,45.0,13.0,46.0,276.0,34.0,57.0,12.0
178,0.0,2.0,3.0,1.0,4.0,7.0,5.0,8.0,6.0,17.0,10.0,59.0,12.0,15.0,29.0,9.0,19.0,11.0,13.0,25.0,30.0,141.0,21.0,22.0,38.0,33.0,129.0,111.0,41.0,81.0
227,0.0,1.0,3.0,2.0,4.0,15.0,9.0,8.0,5.0,6.0,11.0,39.0,16.0,12.0,21.0,38.0,7.0,19.0,14.0,27.0,20.0,61.0,28.0,35.0,24.0,41.0,84.0,173.0,17.0,10.0
276,0.0,1.0,2.0,4.0,3.0,13.0,5.0,11.0,7.0,8.0,10.0,32.0,18.0,16.0,75.0,6.0,9.0,22.0,20.0,36.0,63.0,19.0,14.0,87.0,79.0,335.0,99.0,94.0,47.0,21.0
325,0.0,2.0,3.0,1.0,4.0,10.0,5.0,6.0,7.0,11.0,8.0,14.0,51.0,21.0,27.0,9.0,15.0,18.0,46.0,23.0,13.0,1010.0,12.0,16.0,100.0,74.0,47.0,20.0,81.0,28.0
374,0.0,1.0,2.0,3.0,8.0,22.0,5.0,16.0,4.0,7.0,43.0,20475.0,10.0,24.0,19.0,6.0,11.0,17.0,12.0,27.0,30.0,13.0,15.0,56.0,78.0,52.0,39.0,838.0,20.0,9.0
423,0.0,1.0,2.0,3.0,4.0,13.0,9.0,5.0,10.0,8.0,11.0,716.0,54.0,6.0,24.0,7.0,12.0,14.0,27.0,29.0,26.0,70.0,17.0,19.0,51.0,25.0,44.0,719.0,18.0,15.0
472,0.0,4.0,7.0,1.0,2.0,5.0,3.0,6.0,11.0,23.0,17.0,8.0,24.0,15.0,14.0,9.0,35.0,41.0,18.0,30.0,20.0,13.0,45.0,32.0,12.0,70.0,56.0,22.0,39.0,109.0
521,1.0,3.0,4.0,2.0,0.0,7.0,6.0,10.0,14.0,8.0,259.0,29.0,5.0,85.0,9.0,15.0,12.0,11.0,25.0,23.0,20.0,16.0,1335.0,17.0,13.0,34.0,113.0,57.0,42.0,68.0
570,0.0,1.0,2.0,3.0,4.0,6.0,30.0,20.0,11.0,9.0,33.0,27.0,10.0,14.0,5.0,15.0,26.0,13.0,18.0,69.0,19.0,8.0,1508.0,25.0,12.0,31.0,101.0,56.0,126.0,49.0
619,1.0,0.0,3.0,5.0,2.0,4.0,30.0,19.0,10.0,13.0,9.0,23.0,16.0,7.0,33.0,37.0,14.0,27.0,34.0,28.0,35.0,21.0,41.0,26.0,12.0,32.0,68.0,17.0,368.0,29.0
668,0.0,1.0,2.0,4.0,3.0,6.0,44.0,15.0,5.0,14.0,16.0,128.0,7.0,10.0,8.0,9.0,54.0,27.0,20.0,70.0,35.0,11.0,18.0,50.0,64.0,34.0,66.0,19.0,160.0,99.0
