,hsa-miR-548d-3p,hsa-miR-892a,hsa-miR-508-3p,hsa-miR-548c-5p,hsa-miR-574-5p,hsa-miR-591,hsa-miR-26a,hsa-miR-186,hsa-miR-27b,hsa-miR-921,hsa-miR-1245,hsa-miR-223,hsa-miR-33b,hsa-miR-658,hsa-miR-597,hsa-miR-590-5p,bkv-miR-B1-5p,hsa-miR-556-3p,hsa-miR-222,hcmv-miR-US25-2-3p,hsa-miR-1248,hsa-miR-323-5p,hsa-miR-1185,hsa-miR-423-5p,hsa-miR-296-5p,hcmv-miR-US25-2-5p,hsa-miR-31,hsa-miR-494,hsa-miR-596,hsv2-miR-H2
4327,2.0,1.0,0.0,20.0,45.0,17.0,18.0,27.0,9.0,16.0,22.0,7.0,30.0,10.0,31.0,21.0,59.0,125.0,8.0,24.0,19.0,15.0,23.0,13.0,25.0,29.0,6.0,26.0,12.0,264.0
4376,1.0,4.0,9.0,11.0,54.0,19.0,15.0,8.0,30.0,0.0,5.0,16.0,3.0,32.0,6.0,124.0,25.0,170.0,48.0,18.0,66.0,2.0,65.0,13.0,86.0,31.0,21.0,150.0,7.0,183.0
4425,35.0,3.0,5.0,4.0,1.0,12.0,60.0,25.0,0.0,16.0,2.0,27.0,23.0,8.0,21.0,11.0,9.0,20.0,235.0,22.0,37.0,36.0,108.0,31.0,48.0,110.0,42.0,40.0,7.0,92.0
4474,9.0,1.0,11.0,3.0,10.0,4.0,23.0,39.0,0.0,22.0,5.0,12.0,8.0,13.0,28.0,14.0,15.0,6.0,122.0,36.0,46.0,34.0,132.0,77.0,26.0,133.0,30.0,21.0,20.0,31.0
4523,21.0,0.0,2.0,51.0,1.0,12.0,81.0,11.0,50.0,13.0,10.0,7.0,14.0,16.0,39.0,9.0,22.0,4.0,18.0,54.0,6.0,34.0,43.0,40.0,29.0,27.0,44.0,19.0,41.0,38.0
4572,20.0,5.0,13.0,7.0,1.0,8.0,64.0,10.0,4.0,24.0,2.0,12.0,6.0,27.0,44.0,208.0,11.0,14.0,45.0,53.0,32.0,35.0,222.0,61.0,28.0,112.0,21.0,121.0,65.0,58.0
4621,20.0,3.0,2.0,7.0,0.0,11.0,18.0,26.0,1.0,29.0,43.0,4.0,28.0,6.0,105.0,27.0,33.0,80.0,5.0,12.0,14.0,52.0,75.0,56.0,108.0,160.0,9.0,23.0,46.0,118.0
4670,27.0,0.0,15.0,24.0,5.0,11.0,14.0,21.0,3.0,25.0,9.0,1.0,8.0,13.0,42.0,22.0,4.0,2.0,61.0,43.0,18.0,49.0,185.0,17.0,20.0,189.0,65.0,16.0,6.0,36.0
4719,1.0,14.0,18.0,3.0,13.0,2.0,16.0,15.0,7.0,10.0,28.0,12.0,17.0,6.0,42.0,5.0,48.0,0.0,52.0,33.0,41.0,27.0,80.0,61.0,116.0,223.0,24.0,43.0,32.0,25.0
4768,8.0,3.0,7.0,4.0,5.0,9.0,54.0,40.0,1.0,15.0,18.0,24.0,10.0,16.0,173.0,46.0,6.0,0.0,17.0,116.0,77.0,23.0,168.0,27.0,43.0,41.0,147.0,36.0,11.0,22.0
4817,31.0,1.0,7.0,2.0,4.0,9.0,16.0,22.0,0.0,17.0,10.0,21.0,8.0,36.0,13.0,28.0,23.0,5.0,45.0,20.0,27.0,39.0,81.0,60.0,111.0,253.0,33.0,42.0,26.0,11.0
4866,24.0,1.0,2.0,5.0,3.0,8.0,34.0,9.0,0.0,44.0,15.0,4.0,12.0,19.0,17.0,35.0,10.0,11.0,50.0,84.0,16.0,30.0,60.0,36.0,49.0,79.0,133.0,14.0,26.0,47.0
