,hsa-miR-425,hsa-let-7e,hsa-miR-28-3p,hsa-miR-1257,hsa-miR-302a,hsa-miR-642,hsa-miR-148a,hsa-miR-133b,hsa-miR-1307,hsa-miR-548d-3p,hsa-miR-2113,hsa-miR-331-5p,hsa-miR-10b,hsa-miR-518c,hsa-miR-218,hsa-miR-330-3p,hsa-miR-1226,hsa-miR-630,hsa-miR-15b,bkv-miR-B1-3p+jcv-miR-J1-3p,hsa-miR-1245,hsv1-miR-H1,hsa-miR-124,hsa-miR-34c-5p,hsa-miR-340,hsa-miR-302b,hsa-miR-155,hsa-miR-320d,hsa-let-7i,hsa-miR-597
3400,10.0,465.0,36.0,52.0,65.0,70.0,6.0,51.0,34.0,104.0,1.0,159.0,458.0,559.0,163.0,113.0,102.0,14.0,33.0,115.0,443.0,130.0,128.0,124.0,80.0,161.0,74.0,48.0,463.0,149.0
3449,5.0,19.0,35.0,165.0,31.0,51.0,122.0,52.0,42.0,38.0,65.0,627.0,95.0,564.0,23.0,614.0,181.0,74.0,386.0,135.0,87.0,211.0,192.0,92.0,623.0,578.0,144.0,68.0,107.0,221.0
3498,29.0,86.0,39.0,102.0,91.0,81.0,394.0,92.0,13.0,375.0,105.0,36.0,79.0,561.0,437.0,597.0,120.0,116.0,149.0,67.0,446.0,122.0,96.0,159.0,623.0,155.0,45.0,138.0,145.0,84.0
3547,526.0,25.0,46.0,68.0,135.0,92.0,47.0,73.0,17.0,9.0,126.0,622.0,54.0,550.0,93.0,19.0,65.0,89.0,30.0,98.0,42.0,91.0,33.0,160.0,616.0,106.0,127.0,15.0,113.0,124.0
3596,4.0,36.0,29.0,53.0,56.0,33.0,86.0,75.0,9.0,544.0,92.0,61.0,30.0,606.0,107.0,416.0,150.0,116.0,127.0,48.0,84.0,68.0,121.0,85.0,405.0,495.0,161.0,39.0,332.0,282.0
3645,34.0,9.0,13.0,146.0,83.0,69.0,128.0,132.0,2.0,30.0,101.0,40.0,175.0,75.0,74.0,57.0,457.0,61.0,391.0,127.0,77.0,102.0,87.0,619.0,624.0,19.0,172.0,32.0,168.0,68.0
3694,3.0,29.0,69.0,67.0,90.0,50.0,481.0,95.0,34.0,26.0,130.0,427.0,42.0,537.0,117.0,430.0,121.0,20.0,160.0,368.0,40.0,47.0,168.0,593.0,507.0,107.0,68.0,24.0,79.0,260.0
3743,1.0,42.0,61.0,85.0,80.0,116.0,382.0,131.0,5.0,230.0,51.0,23.0,40.0,44.0,128.0,36.0,443.0,364.0,84.0,100.0,16.0,28.0,152.0,70.0,613.0,30.0,52.0,625.0,121.0,197.0
3792,68.0,121.0,59.0,36.0,34.0,78.0,0.0,58.0,11.0,95.0,88.0,161.0,73.0,48.0,96.0,53.0,445.0,86.0,13.0,155.0,42.0,35.0,137.0,123.0,620.0,578.0,12.0,568.0,33.0,30.0
3841,533.0,111.0,20.0,53.0,91.0,75.0,386.0,28.0,40.0,85.0,112.0,34.0,66.0,41.0,29.0,622.0,451.0,86.0,23.0,83.0,79.0,56.0,128.0,72.0,615.0,19.0,377.0,12.0,466.0,43.0
3890,6.0,22.0,50.0,143.0,83.0,48.0,67.0,125.0,2.0,228.0,94.0,98.0,455.0,550.0,95.0,625.0,441.0,361.0,371.0,363.0,97.0,132.0,138.0,162.0,30.0,573.0,372.0,32.0,459.0,35.0
3939,530.0,11.0,33.0,55.0,77.0,18.0,389.0,150.0,39.0,202.0,403.0,62.0,35.0,90.0,137.0,32.0,29.0,98.0,140.0,28.0,443.0,288.0,87.0,614.0,61.0,571.0,379.0,93.0,106.0,20.0
3988,133.0,12.0,62.0,53.0,14.0,82.0,97.0,70.0,77.0,189.0,85.0,94.0,107.0,557.0,38.0,26.0,446.0,55.0,6.0,80.0,131.0,140.0,441.0,21.0,9.0,102.0,376.0,81.0,463.0,46.0
4037,14.0,1.0,67.0,120.0,49.0,35.0,59.0,21.0,106.0,179.0,61.0,100.0,87.0,159.0,57.0,9.0,79.0,85.0,56.0,123.0,161.0,0.0,29.0,38.0,620.0,54.0,382.0,110.0,130.0,114.0
4086,98.0,7.0,41.0,138.0,25.0,72.0,149.0,114.0,42.0,68.0,413.0,74.0,33.0,557.0,52.0,27.0,123.0,99.0,382.0,157.0,147.0,152.0,447.0,14.0,63.0,575.0,383.0,127.0,107.0,67.0
4135,117.0,4.0,19.0,465.0,86.0,37.0,84.0,51.0,120.0,211.0,139.0,106.0,80.0,88.0,47.0,140.0,74.0,113.0,72.0,267.0,121.0,290.0,81.0,78.0,2.0,109.0,70.0,104.0,97.0,79.0
4184,26.0,6.0,24.0,43.0,27.0,66.0,47.0,54.0,55.0,569.0,502.0,124.0,94.0,528.0,120.0,5.0,387.0,185.0,143.0,113.0,160.0,91.0,344.0,68.0,20.0,126.0,493.0,420.0,62.0,270.0
4233,20.0,2.0,54.0,38.0,105.0,88.0,35.0,86.0,29.0,371.0,415.0,101.0,149.0,77.0,63.0,9.0,97.0,189.0,157.0,142.0,441.0,121.0,444.0,116.0,59.0,578.0,16.0,27.0,179.0,70.0
4282,25.0,18.0,135.0,146.0,1.0,26.0,394.0,158.0,97.0,538.0,7.0,86.0,58.0,115.0,142.0,22.0,107.0,150.0,385.0,57.0,64.0,49.0,104.0,174.0,136.0,38.0,69.0,11.0,90.0,125.0
4331,521.0,13.0,36.0,107.0,87.0,81.0,124.0,131.0,11.0,177.0,73.0,30.0,41.0,78.0,48.0,31.0,134.0,18.0,101.0,86.0,440.0,117.0,148.0,120.0,24.0,595.0,373.0,60.0,121.0,143.0
4380,107.0,6.0,31.0,37.0,94.0,54.0,24.0,110.0,19.0,519.0,36.0,35.0,116.0,127.0,133.0,46.0,50.0,92.0,165.0,95.0,86.0,71.0,354.0,113.0,409.0,128.0,592.0,428.0,62.0,260.0
4429,15.0,23.0,77.0,40.0,152.0,325.0,50.0,7.0,156.0,36.0,18.0,13.0,115.0,39.0,109.0,100.0,93.0,64.0,123.0,53.0,24.0,37.0,106.0,619.0,624.0,48.0,381.0,568.0,460.0,90.0
4478,7.0,45.0,55.0,60.0,33.0,74.0,25.0,99.0,88.0,189.0,9.0,21.0,65.0,3.0,23.0,129.0,93.0,110.0,81.0,277.0,47.0,300.0,28.0,72.0,50.0,87.0,19.0,572.0,461.0,51.0
4527,26.0,161.0,71.0,64.0,111.0,120.0,16.0,160.0,17.0,0.0,38.0,628.0,114.0,19.0,104.0,83.0,86.0,24.0,125.0,271.0,140.0,134.0,166.0,619.0,622.0,93.0,50.0,569.0,461.0,219.0
4576,21.0,171.0,88.0,46.0,58.0,42.0,4.0,397.0,431.0,551.0,487.0,428.0,63.0,9.0,79.0,94.0,68.0,136.0,45.0,27.0,195.0,56.0,104.0,70.0,420.0,48.0,59.0,106.0,319.0,5.0
4625,7.0,459.0,106.0,24.0,71.0,97.0,6.0,102.0,465.0,226.0,4.0,105.0,47.0,0.0,75.0,624.0,63.0,93.0,74.0,285.0,433.0,67.0,134.0,25.0,99.0,44.0,374.0,597.0,457.0,54.0
4674,7.0,152.0,166.0,67.0,170.0,72.0,380.0,74.0,103.0,210.0,1.0,20.0,81.0,113.0,124.0,110.0,61.0,160.0,153.0,132.0,104.0,142.0,55.0,611.0,24.0,26.0,82.0,626.0,462.0,242.0
4723,44.0,463.0,103.0,23.0,43.0,77.0,17.0,128.0,116.0,200.0,63.0,140.0,91.0,3.0,39.0,626.0,86.0,93.0,135.0,155.0,443.0,136.0,75.0,14.0,54.0,81.0,378.0,629.0,35.0,121.0
4772,35.0,4.0,53.0,55.0,16.0,46.0,384.0,108.0,125.0,218.0,37.0,622.0,455.0,36.0,34.0,94.0,88.0,65.0,23.0,308.0,438.0,146.0,139.0,80.0,59.0,30.0,71.0,160.0,138.0,74.0
4821,18.0,111.0,81.0,48.0,60.0,64.0,2.0,50.0,157.0,102.0,402.0,624.0,76.0,555.0,82.0,113.0,15.0,302.0,4.0,59.0,120.0,145.0,30.0,617.0,619.0,47.0,127.0,598.0,10.0,214.0
4870,55.0,73.0,47.0,79.0,77.0,106.0,24.0,17.0,27.0,198.0,61.0,9.0,78.0,13.0,403.0,7.0,59.0,52.0,68.0,115.0,440.0,166.0,443.0,620.0,624.0,37.0,48.0,569.0,56.0,104.0
