,hsa-miR-130a,hsa-miR-222,hsa-miR-497,hsa-miR-34a,hsa-let-7e,hsa-let-7c,hsa-miR-149,hsa-miR-1260,hsa-miR-548p,hsa-miR-1978,hsa-miR-1302,hsa-miR-218,hsa-miR-582-5p,hsa-miR-553,hsa-miR-1298,hsa-miR-1233,hsa-miR-483-3p,hsa-miR-155,hsa-miR-9,hsa-miR-210,hsa-miR-1308,hsa-miR-96,hsa-miR-569,hsa-miR-877,hsa-miR-135b,hsa-miR-99a,hsa-miR-1307,hsa-miR-129-3p,hsa-miR-342-3p,hsa-miR-567
1146,7.0,14.0,17.0,42.0,459.0,460.0,84.0,38.0,118.0,22.0,67.0,59.0,73.0,49.0,115.0,135.0,68.0,74.0,336.0,43.0,136.0,257.0,9.0,57.0,61.0,95.0,52.0,50.0,29.0,87.0
1195,13.0,37.0,2.0,26.0,100.0,81.0,372.0,66.0,101.0,21.0,47.0,105.0,61.0,69.0,467.0,22.0,91.0,38.0,27.0,7.0,46.0,251.0,192.0,79.0,63.0,73.0,428.0,473.0,610.0,77.0
1244,0.0,5.0,9.0,12.0,14.0,21.0,37.0,57.0,165.0,403.0,41.0,91.0,87.0,65.0,460.0,93.0,40.0,7.0,286.0,390.0,26.0,242.0,208.0,107.0,27.0,70.0,29.0,465.0,24.0,102.0
1293,2.0,14.0,6.0,25.0,72.0,35.0,45.0,91.0,118.0,408.0,43.0,132.0,95.0,17.0,470.0,56.0,105.0,61.0,69.0,116.0,465.0,77.0,158.0,280.0,51.0,99.0,10.0,39.0,138.0,90.0
1342,8.0,9.0,6.0,26.0,38.0,57.0,371.0,109.0,23.0,412.0,78.0,30.0,55.0,102.0,10.0,58.0,29.0,130.0,81.0,126.0,1.0,310.0,90.0,140.0,40.0,94.0,64.0,472.0,629.0,129.0
1391,2.0,9.0,23.0,49.0,29.0,128.0,58.0,21.0,76.0,408.0,30.0,36.0,70.0,19.0,25.0,95.0,35.0,364.0,327.0,20.0,10.0,246.0,3.0,64.0,22.0,52.0,60.0,470.0,608.0,118.0
1440,3.0,16.0,10.0,34.0,441.0,50.0,45.0,66.0,9.0,29.0,33.0,129.0,118.0,105.0,63.0,430.0,82.0,75.0,288.0,64.0,382.0,248.0,212.0,86.0,80.0,247.0,383.0,106.0,119.0,117.0
1489,0.0,18.0,8.0,17.0,56.0,456.0,363.0,86.0,135.0,397.0,84.0,63.0,59.0,67.0,58.0,434.0,500.0,22.0,45.0,588.0,81.0,19.0,192.0,28.0,380.0,117.0,41.0,466.0,15.0,99.0
1538,13.0,10.0,17.0,31.0,82.0,112.0,28.0,92.0,76.0,402.0,47.0,68.0,77.0,38.0,461.0,128.0,90.0,37.0,282.0,110.0,35.0,45.0,2.0,23.0,382.0,109.0,95.0,125.0,116.0,86.0
1587,8.0,9.0,16.0,59.0,88.0,31.0,21.0,55.0,34.0,58.0,69.0,117.0,85.0,93.0,42.0,27.0,67.0,471.0,75.0,397.0,19.0,351.0,190.0,26.0,86.0,95.0,126.0,118.0,74.0,76.0
1636,12.0,11.0,16.0,32.0,47.0,56.0,8.0,48.0,33.0,15.0,87.0,139.0,145.0,75.0,7.0,44.0,81.0,85.0,331.0,403.0,1.0,255.0,5.0,149.0,76.0,53.0,60.0,71.0,614.0,129.0
1685,23.0,6.0,19.0,15.0,0.0,22.0,5.0,60.0,35.0,129.0,28.0,116.0,104.0,114.0,64.0,80.0,69.0,47.0,110.0,591.0,381.0,287.0,213.0,94.0,101.0,92.0,7.0,18.0,115.0,65.0
1734,2.0,9.0,48.0,51.0,76.0,458.0,33.0,39.0,49.0,136.0,50.0,64.0,122.0,56.0,43.0,23.0,506.0,127.0,12.0,398.0,466.0,153.0,7.0,29.0,427.0,124.0,92.0,93.0,66.0,70.0
1783,9.0,12.0,35.0,39.0,15.0,458.0,371.0,86.0,104.0,23.0,45.0,89.0,128.0,32.0,44.0,50.0,103.0,59.0,16.0,22.0,18.0,46.0,1.0,84.0,83.0,67.0,390.0,91.0,72.0,95.0
1832,11.0,10.0,53.0,16.0,3.0,44.0,62.0,59.0,61.0,113.0,101.0,131.0,48.0,166.0,423.0,92.0,51.0,69.0,25.0,95.0,383.0,50.0,214.0,36.0,376.0,125.0,26.0,57.0,83.0,102.0
1881,7.0,25.0,8.0,24.0,455.0,112.0,44.0,57.0,4.0,126.0,69.0,101.0,73.0,61.0,49.0,53.0,67.0,71.0,31.0,17.0,424.0,13.0,10.0,16.0,54.0,74.0,105.0,62.0,605.0,92.0
1930,13.0,15.0,36.0,39.0,22.0,41.0,369.0,31.0,192.0,51.0,64.0,91.0,214.0,20.0,45.0,25.0,507.0,33.0,355.0,14.0,12.0,11.0,2.0,75.0,122.0,134.0,43.0,468.0,49.0,23.0
1979,9.0,11.0,20.0,36.0,23.0,2.0,369.0,40.0,37.0,16.0,64.0,139.0,69.0,82.0,464.0,54.0,51.0,74.0,276.0,562.0,18.0,336.0,83.0,65.0,33.0,103.0,392.0,61.0,129.0,72.0
2028,4.0,17.0,5.0,33.0,19.0,2.0,55.0,127.0,16.0,37.0,89.0,47.0,90.0,108.0,491.0,58.0,522.0,389.0,98.0,62.0,25.0,118.0,94.0,71.0,76.0,134.0,64.0,72.0,131.0,97.0
2077,9.0,14.0,39.0,36.0,13.0,2.0,364.0,101.0,16.0,37.0,85.0,45.0,61.0,63.0,461.0,49.0,20.0,57.0,239.0,34.0,109.0,30.0,226.0,78.0,23.0,56.0,424.0,11.0,72.0,111.0
2126,11.0,7.0,50.0,63.0,12.0,16.0,363.0,25.0,38.0,32.0,46.0,585.0,52.0,74.0,462.0,44.0,500.0,354.0,85.0,39.0,10.0,28.0,4.0,90.0,71.0,48.0,422.0,102.0,14.0,17.0
2175,0.0,21.0,32.0,46.0,13.0,43.0,63.0,79.0,14.0,64.0,83.0,119.0,65.0,61.0,464.0,54.0,62.0,5.0,240.0,395.0,129.0,290.0,86.0,121.0,57.0,101.0,84.0,67.0,611.0,91.0
2224,18.0,20.0,25.0,78.0,37.0,0.0,97.0,39.0,28.0,62.0,33.0,81.0,73.0,74.0,70.0,41.0,22.0,359.0,30.0,64.0,423.0,180.0,26.0,72.0,381.0,95.0,53.0,35.0,71.0,104.0
2273,5.0,17.0,41.0,54.0,19.0,20.0,453.0,6.0,53.0,104.0,62.0,122.0,82.0,97.0,592.0,69.0,617.0,30.0,29.0,94.0,434.0,364.0,208.0,83.0,16.0,72.0,114.0,109.0,86.0,116.0
