,GABA,C56:5 TAG,beta-alanine,alpha-glycerophosphate,C22:6 LPE,butyrylcarnitine/isobutyrylcarnitine,C34:4 PC,DHAP/glyceraldehyde 3P,UMP,2-deoxycytidine,niacinamide,cystathionine,adenosine,1-methylnicotinamide,C36:4 PC-B,pantothenate,palmitoylcarnitine,uridine,valerylcarnitine,cotinine,C18:0 LPC,2-deoxyadenosine,SDMA/ADMA,leucine,homocysteine,asparagine,3-phosphoglycerate,PEP,sarcosine,N-carbamoyl-beta-alanine
21,2.0,1.0,3.0,0.0,5.0,19.0,4.0,7.0,6.0,40.0,41.0,39.0,37.0,23.0,47.0,30.0,12.0,25.0,34.0,14.0,9.0,27.0,33.0,18.0,29.0,8.0,51.0,42.0,28.0,15.0
70,0.0,1.0,11.0,2.0,5.0,21.0,6.0,10.0,4.0,20.0,9.0,24.0,27.0,19.0,8.0,18.0,3.0,7.0,13.0,17.0,14.0,22.0,37.0,47.0,41.0,15.0,62.0,50.0,12.0,42.0
119,0.0,1.0,2.0,6.0,13.0,14.0,19.0,12.0,3.0,60.0,8.0,22.0,16.0,36.0,25.0,42.0,7.0,39.0,27.0,18.0,11.0,40.0,5.0,21.0,37.0,31.0,53.0,55.0,17.0,20.0
168,4.0,3.0,21.0,1.0,10.0,64.0,25.0,5.0,2.0,33.0,11.0,27.0,51.0,57.0,17.0,23.0,18.0,0.0,26.0,12.0,13.0,49.0,7.0,47.0,56.0,15.0,52.0,46.0,6.0,29.0
217,6.0,0.0,3.0,1.0,28.0,46.0,10.0,16.0,2.0,4.0,14.0,19.0,49.0,8.0,18.0,40.0,38.0,5.0,45.0,26.0,15.0,41.0,25.0,17.0,24.0,52.0,59.0,20.0,9.0,42.0
266,0.0,2.0,11.0,5.0,4.0,44.0,50.0,3.0,6.0,10.0,21.0,1.0,59.0,24.0,23.0,9.0,29.0,7.0,17.0,16.0,19.0,8.0,27.0,48.0,41.0,46.0,25.0,57.0,49.0,66.0
315,4.0,1.0,10.0,0.0,8.0,21.0,7.0,25.0,3.0,6.0,15.0,38.0,22.0,17.0,20.0,14.0,9.0,2.0,44.0,37.0,32.0,34.0,5.0,19.0,30.0,18.0,59.0,23.0,61.0,57.0
364,1.0,2.0,6.0,0.0,4.0,3.0,5.0,15.0,9.0,34.0,21.0,61.0,43.0,36.0,7.0,24.0,19.0,23.0,40.0,41.0,31.0,20.0,11.0,37.0,8.0,26.0,60.0,12.0,25.0,50.0
413,2.0,0.0,7.0,1.0,24.0,17.0,3.0,35.0,8.0,5.0,10.0,15.0,29.0,4.0,6.0,14.0,9.0,28.0,58.0,39.0,21.0,12.0,32.0,18.0,59.0,34.0,47.0,11.0,38.0,55.0
462,2.0,1.0,36.0,0.0,16.0,26.0,8.0,6.0,11.0,3.0,5.0,12.0,7.0,19.0,14.0,21.0,10.0,25.0,28.0,23.0,32.0,49.0,60.0,27.0,24.0,15.0,37.0,42.0,41.0,46.0
511,0.0,4.0,7.0,13.0,6.0,1.0,10.0,24.0,2.0,17.0,39.0,5.0,8.0,11.0,30.0,21.0,28.0,60.0,14.0,20.0,45.0,18.0,12.0,56.0,54.0,3.0,22.0,55.0,61.0,33.0
560,0.0,19.0,2.0,4.0,9.0,3.0,1.0,11.0,5.0,13.0,10.0,22.0,29.0,52.0,15.0,32.0,6.0,23.0,42.0,8.0,31.0,26.0,16.0,56.0,14.0,18.0,12.0,37.0,30.0,27.0
609,0.0,6.0,3.0,1.0,5.0,2.0,8.0,44.0,4.0,41.0,43.0,13.0,21.0,12.0,36.0,10.0,7.0,51.0,40.0,20.0,31.0,61.0,14.0,38.0,22.0,19.0,16.0,29.0,64.0,63.0
658,1.0,6.0,5.0,0.0,3.0,4.0,15.0,8.0,2.0,17.0,43.0,13.0,30.0,21.0,25.0,11.0,58.0,12.0,34.0,14.0,61.0,27.0,9.0,40.0,26.0,46.0,18.0,16.0,28.0,57.0
