,SMARCA2_DEL,LPA_AMP,CDC73_DEL,KIAA0125_AMP,USP32P1_AMP,TTTY22_DEL,PTPRD_DEL,SLC25A37_AMP,KRT16P2_AMP,USP32P2_DEL,ADAM6_AMP,MRGPRX1_DEL,CCDC144A_AMP,FAM106CP_AMP,LGALS9C_DEL,GALNTL6_DEL,ARHGAP22_DEL,PCCB_DEL,TAG_DEL,LRRC37A2_AMP,ASAH2_DEL,PSG9_DEL,TMEM132D_DEL,BRAF_MUT,BTNL3_DEL,CCDC144B_DEL,LOC284395_DEL,SLC14A2_DEL,LAMA1_MUT,OR2T34_AMP
30,2.0,9.0,0.0,11.0,12.0,1.0,239.0,21.0,6.0,16.0,17.0,8.0,19.0,20.0,41.0,78.0,4.0,3.0,76.0,7.0,459.0,81.0,25.0,38.0,50.0,40.0,59.0,33.0,171.0,5.0
79,4.0,41.0,7.0,24.0,13.0,0.0,49.0,16.0,1.0,5.0,30.0,17.0,25.0,26.0,10.0,33.0,15.0,11.0,21.0,61.0,523.0,108.0,18.0,63.0,46.0,12.0,56.0,39.0,79.0,3.0
128,5.0,9.0,0.0,4.0,8.0,7.0,42.0,6.0,2.0,14.0,11.0,3.0,17.0,16.0,18.0,53.0,12.0,62.0,228.0,90.0,929.0,46.0,24.0,197.0,55.0,20.0,75.0,41.0,67.0,1.0
177,7.0,0.0,3.0,14.0,1.0,4.0,137.0,11.0,6.0,13.0,32.0,16.0,10.0,9.0,18.0,24.0,15.0,23.0,107.0,39.0,925.0,89.0,22.0,17.0,42.0,2.0,78.0,19.0,40.0,8.0
226,0.0,1.0,4.0,22.0,3.0,28.0,29.0,12.0,5.0,21.0,80.0,6.0,10.0,11.0,46.0,236.0,7.0,17.0,8.0,108.0,169.0,81.0,34.0,93.0,10802.0,32.0,57.0,16.0,30.0,9.0
275,1.0,43.0,0.0,10.0,7.0,4.0,278.0,6.0,2.0,5.0,56.0,17.0,23.0,24.0,8.0,30.0,21.0,57.0,40.0,31.0,1538.0,194.0,45.0,72.0,80.0,11.0,81.0,82.0,9.0,15.0
324,7.0,3.0,0.0,6.0,13.0,1.0,40.0,17.0,10.0,5.0,24.0,35.0,14.0,12.0,9.0,177.0,32.0,2.0,434.0,76.0,47.0,30.0,44.0,21.0,194.0,11.0,74.0,19.0,29.0,15.0
373,2.0,113.0,0.0,11.0,26.0,1.0,88.0,43.0,4.0,24.0,45.0,13.0,76.0,77.0,3.0,33.0,62.0,40.0,2764.0,50.0,64.0,47.0,39.0,265.0,225.0,18.0,639.0,12.0,75.0,6.0
422,4.0,106.0,1.0,2.0,21.0,0.0,177.0,20.0,3.0,8.0,7.0,5.0,63.0,62.0,11.0,699.0,9.0,6.0,36.0,25.0,665.0,14.0,10.0,19.0,196.0,45.0,406.0,17.0,16.0,29.0
471,3.0,23.0,4.0,0.0,6.0,10.0,9.0,22.0,1.0,11.0,5.0,28.0,18.0,19.0,20.0,98.0,8.0,14.0,30.0,31.0,127.0,35.0,21.0,131.0,49.0,26.0,234.0,39.0,42.0,2.0
