,LEPREL2,HERC5,CORO6,IFI27,MYEOV,CHRNB1,IFITM1,PLEKHG4,GBP5,MFAP2,EDA2R,C8orf58,ZNF625,AC005624.2,SESN1,SLFN12,ARTN,RP11-834C11.4,MT1E,GRIN2D,AFAP1-AS1,RP11-366M4.17,C3orf18,FAM110C,CCRN4L,CKB,ASIC1,RP11-132A1.4,SLFN13,GNB4
9,1.0,2.0,6.0,0.0,3.0,4.0,5.0,14.0,98.0,84.0,7.0,63.0,26.0,8.0,15.0,36.0,16.0,665.0,12.0,122.0,314.0,38.0,10.0,28.0,33.0,64.0,44.0,50.0,13.0,9.0
58,14.0,0.0,3.0,5.0,7.0,4.0,9.0,46.0,17.0,12.0,2.0,77.0,105.0,71.0,30.0,115.0,10.0,32.0,416.0,40.0,33.0,1.0,6.0,107.0,41.0,18.0,8.0,42.0,120.0,21.0
107,2.0,4.0,0.0,8.0,6.0,49.0,5.0,9.0,25.0,1.0,3.0,60.0,63.0,128.0,14.0,37.0,10.0,27.0,75.0,36.0,158.0,7.0,42.0,142.0,40.0,20.0,15.0,18.0,47.0,24.0
156,0.0,15.0,16.0,5.0,1.0,3.0,18.0,26.0,42.0,11.0,2.0,19.0,44.0,65.0,8.0,43.0,25.0,20.0,475.0,40.0,58.0,4.0,27.0,118.0,10.0,81.0,7.0,177.0,17.0,39.0
205,1.0,3.0,7.0,0.0,5.0,4.0,2.0,37.0,41.0,49.0,9.0,23.0,13.0,51.0,12.0,83.0,17.0,559.0,39.0,84.0,21.0,6.0,14.0,27.0,29.0,44.0,11.0,117.0,10.0,15.0
254,11.0,0.0,4.0,3.0,7.0,20.0,2.0,1.0,26.0,5.0,45.0,22.0,71.0,248.0,103.0,10.0,17.0,246.0,2095.0,238.0,143.0,8.0,112.0,333.0,46.0,35.0,40.0,6.0,16.0,24.0
303,0.0,3.0,2.0,4.0,6.0,5.0,58.0,7.0,54.0,9.0,8.0,157.0,21.0,101.0,35.0,368.0,16.0,19.0,89.0,13.0,419.0,1.0,12.0,180.0,38.0,44.0,27.0,31.0,39.0,82.0
352,4.0,6.0,5.0,2.0,11.0,0.0,35.0,39.0,51.0,26.0,9.0,12.0,36.0,23.0,7.0,2786.0,3.0,80.0,62.0,226.0,61.0,20.0,25.0,292.0,13.0,15.0,14.0,47.0,181.0,52.0
401,4.0,2.0,1.0,0.0,3.0,24.0,12.0,7.0,26.0,31.0,27.0,16.0,19.0,17.0,20.0,62.0,8.0,258.0,56.0,102.0,271.0,10.0,48.0,525.0,71.0,234.0,9.0,42.0,44.0,18.0
450,2.0,12.0,3.0,6.0,0.0,11.0,10.0,4.0,45.0,16.0,8.0,67.0,53.0,20.0,7.0,204.0,34.0,376.0,69.0,32.0,116.0,1.0,24.0,30.0,5.0,234.0,42.0,35.0,64.0,28.0
499,102.0,12.0,0.0,6.0,10.0,3.0,54.0,124.0,14.0,87.0,1.0,9.0,38.0,34.0,5.0,8.0,19.0,254.0,31.0,71.0,33.0,20.0,23.0,7.0,21.0,83.0,17.0,86.0,4.0,261.0
548,5.0,7.0,6.0,14.0,1.0,3.0,0.0,67.0,8.0,92.0,11.0,9.0,49.0,24.0,28.0,12.0,42.0,164.0,37.0,95.0,20.0,36.0,93.0,2.0,69.0,155.0,10.0,35.0,13.0,142.0
597,0.0,11.0,2.0,7.0,1.0,21.0,4.0,3.0,6.0,39.0,5.0,9.0,34.0,16.0,14.0,10.0,64.0,174.0,198.0,82.0,93.0,35.0,70.0,20.0,19.0,59.0,8.0,158.0,23.0,45.0
