,ETV4,SPRY2,ETV5,ZNF502,SPRY1,TOR4A,NPAS2,LEPREL2,IGF2,CMTM7,SNX18P16,EVPL,SEMA3A,LGR5,SLC2A3,DUSP6,TMC6,RP11-834C11.4,RP11-417J8.3,DKK1,SCEL,SLC16A3,RNLS,KRT18P34,GPR126,NTS,HMGA2,FAM83A,NRROS,FAM101A
8,0.0,1.0,3.0,10.0,26.0,6.0,2.0,8.0,5.0,4.0,17.0,33.0,9.0,39.0,20.0,19.0,81.0,62.0,32.0,109.0,46.0,36.0,13.0,28.0,45.0,11.0,23.0,54.0,25.0,50.0
57,3.0,2.0,18.0,13.0,19.0,6.0,4.0,0.0,10.0,5.0,1.0,12.0,11.0,71.0,8.0,487.0,83.0,15.0,9.0,101.0,17.0,153.0,51.0,14.0,77.0,24.0,122.0,25.0,40.0,29.0
106,1.0,0.0,7.0,9.0,3.0,11.0,2.0,19.0,6.0,13.0,15.0,10.0,5.0,16.0,4.0,34.0,61.0,26.0,43.0,22.0,17.0,8.0,239.0,12.0,20.0,24.0,36.0,57.0,18.0,79.0
155,1.0,0.0,18.0,2.0,17.0,8.0,3.0,4.0,7.0,14.0,27.0,11.0,5.0,6.0,12.0,38.0,70.0,30.0,20.0,64.0,35.0,25.0,9.0,10.0,41.0,24.0,77.0,32.0,36.0,53.0
204,2.0,0.0,7.0,1.0,6.0,4.0,3.0,49.0,5.0,23.0,29.0,30.0,9.0,36.0,19.0,20.0,21.0,11.0,34.0,12.0,25.0,14.0,76.0,15.0,40.0,10.0,54.0,213.0,88.0,8.0
253,0.0,1.0,3.0,9.0,4.0,6.0,11.0,2.0,7.0,12.0,17.0,10.0,13.0,18.0,42.0,53.0,25.0,63.0,16.0,15.0,8.0,89.0,57.0,30.0,173.0,20.0,21.0,56.0,34.0,65.0
302,1.0,0.0,8.0,12.0,2.0,15.0,3.0,5.0,16.0,27.0,51.0,42.0,6.0,36.0,10.0,44.0,38.0,170.0,70.0,98.0,14.0,157.0,24.0,246.0,7.0,80.0,52.0,41.0,13.0,43.0
351,1.0,0.0,15.0,11.0,3.0,2.0,5.0,18.0,6.0,8.0,14.0,32.0,9.0,4.0,24.0,44.0,47.0,191.0,171.0,28.0,25.0,20.0,33.0,7.0,42.0,38.0,39.0,64.0,16.0,19.0
400,0.0,2.0,5.0,10.0,11.0,6.0,1.0,4.0,12.0,19.0,17.0,16.0,25.0,39.0,9.0,20.0,43.0,44.0,26.0,23.0,187.0,15.0,34.0,18.0,8.0,14.0,36.0,230.0,37.0,13.0
449,0.0,1.0,5.0,18.0,8.0,40.0,3.0,2.0,10.0,21.0,36.0,24.0,6.0,11.0,22.0,13.0,25.0,28.0,37.0,26.0,9.0,115.0,14.0,4.0,363.0,74.0,17.0,68.0,23.0,39.0
498,5.0,1.0,4.0,3.0,8.0,2.0,17.0,74.0,14.0,18.0,28.0,21.0,6.0,29.0,13.0,10.0,0.0,36.0,16.0,12.0,34.0,19.0,818.0,69.0,7.0,20.0,54.0,41.0,53.0,83.0
547,0.0,1.0,4.0,8.0,3.0,2.0,21.0,32.0,14.0,41.0,26.0,25.0,13.0,16.0,11.0,10.0,7.0,46.0,74.0,6.0,52.0,12.0,228.0,93.0,5.0,18.0,19.0,34.0,68.0,84.0
596,3.0,1.0,8.0,2.0,7.0,6.0,14.0,33.0,19.0,13.0,12.0,63.0,22.0,151.0,11.0,9.0,5.0,17.0,23.0,41.0,178.0,28.0,82.0,156.0,10.0,47.0,27.0,75.0,70.0,46.0
645,1.0,3.0,9.0,24.0,10.0,0.0,15.0,316.0,6.0,11.0,20.0,169.0,21.0,4.0,14.0,2.0,5.0,50.0,183.0,26.0,38.0,17.0,191.0,137.0,8.0,55.0,12.0,7.0,142.0,35.0
694,2.0,0.0,6.0,3.0,8.0,1.0,34.0,27.0,4.0,30.0,18.0,19.0,29.0,33.0,7.0,12.0,5.0,125.0,10.0,13.0,24.0,16.0,230.0,54.0,41.0,17.0,46.0,48.0,150.0,102.0
743,2.0,1.0,3.0,7.0,12.0,0.0,6.0,22.0,9.0,20.0,25.0,17.0,19.0,23.0,16.0,5.0,4.0,255.0,32.0,15.0,50.0,14.0,159.0,56.0,10.0,37.0,31.0,47.0,57.0,120.0
792,3.0,2.0,7.0,5.0,4.0,1.0,6.0,41.0,17.0,53.0,15.0,25.0,0.0,78.0,30.0,19.0,9.0,121.0,106.0,8.0,40.0,16.0,1866.0,230.0,12.0,11.0,31.0,89.0,43.0,175.0
841,1.0,0.0,7.0,13.0,5.0,4.0,46.0,293.0,15.0,32.0,31.0,63.0,2.0,19.0,14.0,3.0,11.0,34.0,10.0,6.0,9.0,8.0,47.0,112.0,25.0,73.0,89.0,70.0,107.0,33.0
890,2.0,1.0,3.0,9.0,5.0,0.0,7.0,60.0,17.0,12.0,19.0,27.0,16.0,23.0,11.0,14.0,4.0,65.0,24.0,20.0,18.0,8.0,397.0,155.0,13.0,26.0,35.0,42.0,79.0,44.0
939,3.0,2.0,6.0,5.0,12.0,0.0,10.0,18.0,9.0,102.0,23.0,99.0,8.0,16.0,33.0,22.0,1.0,367.0,30.0,25.0,72.0,14.0,1081.0,150.0,4.0,35.0,60.0,24.0,139.0,156.0
988,0.0,2.0,3.0,1.0,4.0,28.0,108.0,14.0,12.0,9.0,8.0,403.0,33.0,10.0,45.0,13.0,77.0,29.0,11.0,32.0,16.0,21.0,5.0,247.0,123.0,39.0,6.0,628.0,18.0,7.0
1037,0.0,2.0,8.0,1.0,4.0,13.0,15.0,24.0,5.0,6.0,68.0,121.0,85.0,7.0,12.0,14.0,124.0,170.0,33.0,268.0,21.0,27.0,10.0,79.0,174.0,75.0,3.0,25.0,23.0,9.0
