,GATA3,GSK3-alpha-beta,Collagen_VI,MDMX_MDM4(BetIHC-00108),Caspase-7_cleavedD198,PREX1,Cyclin_E1,Lck,4E-BP1,4E-BP1_pT37_T46,PDCD4,Chk2,Gab2,PTEN,RAD51,Cyclin_B1,Porin,Chk1_pS345,XBP1,Bax,Smac,c-Myc,Cyclin_D1,CDK1,Raptor,Bap1 c-4,PEA15_pS116,p90RSK_pT359_S363,Stathmin,p14 Arf(BetA300-340A)
3,1.0,0.0,6.0,2.0,3.0,8.0,19.0,5.0,12.0,10.0,17.0,9.0,20.0,15.0,37.0,88.0,13.0,11.0,21.0,23.0,24.0,35.0,14.0,25.0,26.0,4.0,22.0,46.0,28.0,51.0
52,0.0,3.0,1.0,2.0,6.0,15.0,24.0,4.0,17.0,5.0,80.0,29.0,12.0,18.0,35.0,22.0,8.0,16.0,13.0,14.0,23.0,86.0,11.0,10.0,34.0,31.0,28.0,37.0,9.0,50.0
101,2.0,3.0,0.0,4.0,6.0,19.0,13.0,1.0,20.0,8.0,10.0,14.0,28.0,11.0,16.0,31.0,18.0,12.0,21.0,23.0,5.0,32.0,15.0,119.0,33.0,17.0,26.0,36.0,7.0,41.0
150,0.0,1.0,2.0,29.0,5.0,19.0,4.0,6.0,8.0,3.0,27.0,15.0,10.0,20.0,17.0,9.0,14.0,7.0,31.0,25.0,32.0,91.0,12.0,16.0,74.0,21.0,28.0,54.0,13.0,22.0
199,0.0,1.0,6.0,9.0,7.0,10.0,5.0,3.0,18.0,8.0,25.0,112.0,21.0,13.0,38.0,14.0,65.0,4.0,28.0,11.0,17.0,24.0,12.0,15.0,73.0,29.0,32.0,81.0,46.0,16.0
248,0.0,1.0,2.0,11.0,8.0,10.0,6.0,7.0,9.0,4.0,17.0,21.0,31.0,15.0,75.0,19.0,5.0,24.0,57.0,32.0,3.0,28.0,12.0,16.0,29.0,27.0,35.0,41.0,20.0,50.0
297,1.0,3.0,2.0,4.0,9.0,23.0,12.0,0.0,36.0,13.0,14.0,7.0,30.0,17.0,19.0,27.0,21.0,11.0,26.0,10.0,5.0,24.0,33.0,16.0,38.0,15.0,35.0,74.0,40.0,29.0
346,0.0,1.0,3.0,4.0,6.0,8.0,7.0,2.0,5.0,10.0,34.0,22.0,14.0,11.0,32.0,19.0,12.0,16.0,36.0,18.0,9.0,20.0,15.0,118.0,75.0,17.0,13.0,46.0,29.0,56.0
395,1.0,2.0,7.0,9.0,5.0,8.0,0.0,3.0,15.0,6.0,21.0,14.0,13.0,4.0,37.0,22.0,20.0,11.0,26.0,24.0,10.0,38.0,36.0,16.0,29.0,33.0,56.0,43.0,19.0,52.0
444,0.0,3.0,1.0,5.0,7.0,4.0,8.0,2.0,9.0,15.0,24.0,14.0,16.0,12.0,36.0,25.0,6.0,18.0,34.0,17.0,29.0,21.0,130.0,10.0,22.0,11.0,30.0,81.0,19.0,44.0
493,0.0,4.0,6.0,1.0,3.0,5.0,15.0,12.0,20.0,11.0,13.0,10.0,27.0,31.0,28.0,22.0,25.0,112.0,7.0,17.0,8.0,14.0,18.0,2.0,21.0,34.0,38.0,30.0,9.0,37.0
542,0.0,1.0,3.0,7.0,9.0,2.0,21.0,11.0,10.0,4.0,23.0,13.0,16.0,33.0,39.0,15.0,24.0,101.0,17.0,12.0,8.0,42.0,25.0,5.0,26.0,38.0,71.0,22.0,20.0,34.0
591,0.0,1.0,7.0,4.0,3.0,9.0,12.0,11.0,5.0,2.0,8.0,6.0,22.0,14.0,19.0,18.0,16.0,112.0,10.0,109.0,15.0,27.0,34.0,17.0,23.0,98.0,20.0,21.0,30.0,39.0
640,1.0,4.0,20.0,0.0,15.0,12.0,13.0,11.0,8.0,2.0,3.0,10.0,25.0,31.0,35.0,14.0,19.0,39.0,18.0,26.0,24.0,37.0,5.0,7.0,17.0,102.0,22.0,29.0,6.0,23.0
689,0.0,12.0,2.0,3.0,15.0,7.0,28.0,11.0,1.0,13.0,5.0,89.0,6.0,8.0,21.0,34.0,4.0,90.0,17.0,104.0,68.0,9.0,87.0,10.0,30.0,26.0,14.0,39.0,18.0,51.0
738,0.0,1.0,13.0,10.0,2.0,12.0,19.0,6.0,4.0,3.0,5.0,7.0,17.0,31.0,26.0,9.0,85.0,113.0,23.0,37.0,28.0,92.0,22.0,18.0,21.0,41.0,32.0,63.0,50.0,16.0
787,0.0,1.0,9.0,4.0,7.0,10.0,5.0,6.0,19.0,8.0,12.0,2.0,22.0,24.0,20.0,31.0,15.0,11.0,21.0,100.0,18.0,23.0,17.0,14.0,13.0,3.0,33.0,30.0,27.0,47.0
836,0.0,31.0,3.0,2.0,4.0,5.0,13.0,6.0,15.0,1.0,14.0,8.0,23.0,40.0,20.0,10.0,9.0,44.0,11.0,24.0,18.0,16.0,22.0,7.0,29.0,28.0,17.0,26.0,30.0,41.0
885,0.0,7.0,4.0,6.0,16.0,3.0,22.0,15.0,5.0,1.0,2.0,34.0,9.0,20.0,33.0,11.0,79.0,123.0,13.0,100.0,14.0,23.0,10.0,28.0,17.0,38.0,18.0,19.0,8.0,31.0
934,0.0,7.0,13.0,1.0,11.0,10.0,24.0,2.0,4.0,6.0,3.0,12.0,125.0,66.0,28.0,8.0,59.0,122.0,23.0,98.0,9.0,16.0,132.0,5.0,71.0,29.0,35.0,33.0,14.0,43.0
983,2.0,0.0,1.0,4.0,8.0,3.0,5.0,14.0,6.0,11.0,75.0,17.0,23.0,19.0,25.0,22.0,7.0,10.0,18.0,97.0,9.0,86.0,30.0,28.0,12.0,13.0,20.0,16.0,58.0,40.0
1032,10.0,4.0,1.0,5.0,13.0,6.0,0.0,20.0,14.0,17.0,23.0,16.0,24.0,31.0,22.0,12.0,73.0,11.0,19.0,94.0,15.0,85.0,8.0,3.0,2.0,21.0,29.0,36.0,58.0,9.0
1081,7.0,6.0,0.0,3.0,9.0,4.0,2.0,13.0,11.0,41.0,15.0,117.0,1.0,5.0,40.0,35.0,29.0,12.0,10.0,33.0,43.0,16.0,27.0,36.0,18.0,37.0,19.0,28.0,69.0,39.0
1130,5.0,1.0,0.0,4.0,8.0,3.0,2.0,29.0,10.0,15.0,86.0,19.0,27.0,9.0,40.0,18.0,31.0,21.0,6.0,102.0,16.0,20.0,11.0,17.0,13.0,14.0,81.0,7.0,88.0,12.0
1179,2.0,0.0,3.0,1.0,21.0,10.0,5.0,16.0,4.0,6.0,22.0,15.0,13.0,8.0,41.0,11.0,27.0,23.0,19.0,40.0,9.0,88.0,7.0,29.0,14.0,25.0,20.0,31.0,38.0,30.0
1228,3.0,0.0,2.0,7.0,18.0,4.0,6.0,77.0,9.0,14.0,11.0,84.0,5.0,8.0,33.0,27.0,76.0,20.0,26.0,28.0,15.0,92.0,10.0,29.0,12.0,103.0,19.0,32.0,37.0,1.0
1277,9.0,2.0,0.0,1.0,30.0,16.0,3.0,8.0,10.0,11.0,20.0,15.0,18.0,4.0,24.0,6.0,22.0,7.0,36.0,98.0,12.0,34.0,29.0,37.0,45.0,13.0,25.0,33.0,26.0,5.0
1326,7.0,5.0,0.0,2.0,10.0,3.0,6.0,19.0,1.0,9.0,13.0,18.0,11.0,8.0,21.0,25.0,34.0,16.0,15.0,96.0,4.0,33.0,17.0,32.0,14.0,26.0,28.0,23.0,77.0,54.0
1375,5.0,1.0,3.0,4.0,29.0,9.0,2.0,15.0,11.0,12.0,6.0,16.0,0.0,27.0,69.0,124.0,21.0,18.0,17.0,100.0,7.0,41.0,8.0,33.0,10.0,26.0,14.0,44.0,79.0,35.0
