,hsa-miR-518b,hsa-miR-671-5p,hsa-miR-1539,hsa-miR-28-3p,hsa-miR-339-5p,hsa-miR-1256,hsa-miR-934,hsa-miR-329,hsa-miR-216a,hsa-miR-515-3p,hsa-miR-607,hsa-miR-582-3p,hsa-miR-582-5p,hsa-miR-586,hsa-miR-587,hsa-miR-583,hsa-miR-584,hsa-miR-589,hsa-miR-581,hsa-miR-580,hsa-miR-579,hsa-miR-588,hsa-miR-598,hsa-miR-577,hsa-miR-576-5p,hsa-miR-578,hsa-miR-590-3p,hsa-miR-576-3p,hsa-miR-593,hsa-miR-590-5p
20,5.0,31.0,393.0,618.0,503.0,11.0,25.0,28.0,561.0,2.0,82.0,4.0,53.0,48.0,47.0,51.0,50.0,70.0,55.0,56.0,57.0,45.0,8.0,59.0,61.0,58.0,96.0,62.0,90.0,95.0
69,4.0,10.0,12.0,3.0,25.0,464.0,1.0,29.0,35.0,123.0,43.0,51.0,23.0,66.0,81.0,49.0,46.0,18.0,52.0,53.0,54.0,68.0,77.0,56.0,58.0,65.0,90.0,59.0,84.0,89.0
118,5.0,260.0,23.0,2.0,6.0,463.0,299.0,10.0,562.0,52.0,98.0,9.0,66.0,63.0,34.0,65.0,64.0,60.0,68.0,72.0,103.0,62.0,49.0,104.0,139.0,153.0,59.0,140.0,55.0,56.0
167,1.0,6.0,387.0,25.0,12.0,17.0,300.0,5.0,558.0,36.0,27.0,62.0,61.0,21.0,56.0,60.0,19.0,53.0,63.0,64.0,65.0,54.0,4.0,101.0,103.0,84.0,51.0,137.0,39.0,66.0
216,1.0,10.0,5.0,9.0,25.0,467.0,17.0,2.0,562.0,122.0,66.0,57.0,56.0,50.0,23.0,54.0,52.0,96.0,69.0,59.0,60.0,48.0,80.0,64.0,65.0,61.0,71.0,67.0,30.0,92.0
265,126.0,262.0,393.0,620.0,3.0,467.0,304.0,2.0,5.0,39.0,15.0,25.0,51.0,47.0,45.0,49.0,48.0,54.0,65.0,53.0,56.0,46.0,83.0,58.0,59.0,57.0,66.0,60.0,93.0,68.0
314,2.0,3.0,23.0,618.0,0.0,25.0,36.0,30.0,561.0,126.0,83.0,45.0,20.0,62.0,91.0,47.0,48.0,84.0,46.0,53.0,54.0,64.0,12.0,57.0,58.0,55.0,85.0,59.0,89.0,86.0
363,31.0,15.0,2.0,620.0,4.0,467.0,304.0,555.0,3.0,119.0,11.0,59.0,49.0,58.0,56.0,51.0,60.0,61.0,57.0,55.0,54.0,53.0,23.0,62.0,50.0,52.0,48.0,47.0,94.0,44.0
412,30.0,262.0,388.0,615.0,0.0,465.0,301.0,33.0,40.0,123.0,93.0,12.0,57.0,54.0,17.0,56.0,55.0,49.0,58.0,59.0,51.0,50.0,85.0,52.0,60.0,53.0,47.0,46.0,63.0,45.0
461,41.0,264.0,30.0,29.0,10.0,465.0,3.0,8.0,562.0,37.0,95.0,5.0,69.0,2.0,65.0,68.0,67.0,17.0,66.0,60.0,55.0,64.0,28.0,48.0,101.0,50.0,61.0,103.0,54.0,58.0
