,hsa-miR-579,hsa-miR-605,hsa-miR-520c-3p,hsa-miR-614,hsa-miR-558,hsa-miR-96,ebv-miR-BART5,hsa-miR-519e,hsa-miR-592,hsa-miR-513a-5p,hsa-miR-1299,hsa-miR-197,hsa-miR-424,hsa-miR-1256,hsa-miR-591,hsa-miR-518c,hsa-miR-545,hsa-miR-34a,hsa-miR-1297,hsa-miR-223,hsa-miR-1975,hsa-miR-708,hsa-miR-133b,hsa-miR-513a-3p,hsa-miR-151-3p,hsa-miR-526b,hsa-miR-567,hsa-miR-1302,hsa-miR-149,hsa-miR-9
1141,0.0,23.0,24.0,276.0,45.0,7.0,38.0,22.0,67.0,1.0,43.0,32.0,28.0,77.0,4.0,130.0,18.0,127.0,15.0,42.0,72.0,286.0,121.0,315.0,275.0,92.0,264.0,30.0,36.0,160.0
1190,2.0,17.0,269.0,285.0,30.0,10.0,18.0,489.0,427.0,8.0,188.0,130.0,51.0,14.0,104.0,20.0,101.0,6.0,5.0,414.0,304.0,35.0,250.0,346.0,256.0,622.0,193.0,21.0,72.0,293.0
1239,1.0,18.0,120.0,17.0,261.0,11.0,0.0,93.0,226.0,2.0,23.0,33.0,4.0,87.0,142.0,6.0,160.0,44.0,45.0,99.0,404.0,12.0,479.0,205.0,423.0,191.0,410.0,90.0,176.0,3.0
1288,0.0,7.0,44.0,37.0,192.0,8.0,9.0,244.0,31.0,1.0,2.0,13.0,52.0,17.0,4.0,133.0,119.0,3.0,120.0,10.0,152.0,84.0,217.0,143.0,102.0,42.0,296.0,100.0,238.0,113.0
1337,0.0,117.0,148.0,31.0,188.0,61.0,62.0,100.0,19.0,22.0,6.0,78.0,296.0,9.0,30.0,20.0,35.0,5.0,8.0,135.0,28.0,142.0,53.0,37.0,277.0,51.0,177.0,67.0,338.0,93.0
1386,8.0,90.0,346.0,21.0,6.0,124.0,115.0,34.0,302.0,0.0,75.0,5.0,229.0,14.0,67.0,69.0,152.0,29.0,11.0,168.0,201.0,52.0,137.0,184.0,93.0,106.0,101.0,54.0,366.0,2.0
1435,0.0,13.0,455.0,2.0,347.0,29.0,188.0,182.0,611.0,3.0,321.0,28.0,358.0,26.0,4.0,1.0,387.0,204.0,35.0,72.0,51.0,73.0,37.0,599.0,19.0,258.0,16.0,108.0,40.0,10.0
1484,17.0,26.0,194.0,1.0,198.0,3.0,462.0,50.0,0.0,21.0,5.0,8.0,6.0,363.0,289.0,161.0,310.0,121.0,213.0,57.0,174.0,499.0,243.0,108.0,36.0,29.0,131.0,44.0,4.0,14.0
1533,9.0,68.0,2.0,1.0,57.0,16.0,23.0,263.0,5.0,46.0,279.0,182.0,42.0,60.0,272.0,69.0,48.0,3.0,268.0,264.0,8.0,119.0,329.0,4.0,63.0,20.0,209.0,24.0,14.0,254.0
1582,1.0,5.0,2.0,29.0,61.0,49.0,70.0,86.0,0.0,11.0,156.0,62.0,68.0,20.0,202.0,264.0,84.0,118.0,85.0,47.0,24.0,53.0,367.0,7.0,159.0,17.0,455.0,476.0,3.0,308.0
1631,1.0,0.0,20.0,3.0,17.0,4.0,202.0,46.0,2.0,13.0,31.0,12.0,58.0,6.0,81.0,35.0,28.0,125.0,209.0,94.0,170.0,74.0,225.0,39.0,111.0,7.0,319.0,599.0,517.0,29.0
1680,2.0,10.0,9.0,230.0,58.0,3.0,15.0,7.0,1.0,78.0,4.0,116.0,64.0,16.0,98.0,422.0,34.0,105.0,513.0,327.0,307.0,25.0,46.0,69.0,423.0,24.0,129.0,29.0,157.0,77.0
1729,0.0,3.0,25.0,107.0,4.0,37.0,24.0,165.0,12.0,39.0,1.0,430.0,209.0,90.0,406.0,55.0,2.0,11.0,171.0,95.0,183.0,13.0,19.0,168.0,185.0,7.0,228.0,223.0,10.0,51.0
1778,0.0,145.0,377.0,2.0,18.0,26.0,226.0,19.0,25.0,480.0,21.0,15.0,534.0,4.0,11.0,86.0,87.0,31.0,76.0,175.0,44.0,8.0,134.0,108.0,294.0,3.0,17.0,202.0,68.0,1.0
1827,2.0,6.0,14.0,32.0,10.0,123.0,164.0,94.0,35.0,59.0,4.0,232.0,3.0,68.0,112.0,194.0,1.0,119.0,76.0,402.0,116.0,56.0,60.0,8.0,501.0,96.0,9.0,61.0,246.0,28.0
1876,2.0,113.0,461.0,20.0,77.0,13.0,15.0,30.0,28.0,332.0,19.0,577.0,45.0,171.0,98.0,179.0,62.0,26.0,160.0,4.0,31.0,73.0,431.0,110.0,452.0,61.0,23.0,132.0,227.0,1.0
1925,0.0,171.0,43.0,3.0,11.0,8.0,12.0,287.0,76.0,143.0,217.0,206.0,22.0,162.0,119.0,105.0,59.0,210.0,65.0,74.0,62.0,72.0,272.0,114.0,404.0,29.0,13.0,509.0,38.0,1.0
1974,33.0,1.0,0.0,246.0,59.0,29.0,25.0,37.0,224.0,530.0,26.0,9.0,140.0,18.0,61.0,21.0,64.0,245.0,90.0,566.0,102.0,92.0,4.0,63.0,7.0,211.0,467.0,123.0,228.0,36.0
2023,2.0,15.0,11.0,262.0,1.0,4.0,22.0,12.0,39.0,412.0,34.0,10.0,108.0,38.0,171.0,7.0,153.0,111.0,5.0,538.0,29.0,130.0,21.0,18.0,101.0,319.0,626.0,128.0,598.0,372.0
2072,2.0,0.0,7.0,321.0,8.0,36.0,255.0,1.0,380.0,263.0,136.0,6.0,181.0,335.0,79.0,35.0,69.0,56.0,170.0,37.0,106.0,9.0,62.0,231.0,133.0,301.0,46.0,493.0,39.0,305.0
2121,0.0,1.0,17.0,101.0,149.0,24.0,111.0,29.0,35.0,12.0,34.0,189.0,222.0,36.0,30.0,2.0,39.0,143.0,105.0,548.0,433.0,9.0,156.0,71.0,294.0,86.0,43.0,408.0,83.0,48.0
2170,0.0,10.0,5.0,15.0,4.0,1.0,46.0,3.0,101.0,108.0,36.0,334.0,74.0,18.0,387.0,2.0,9.0,211.0,159.0,65.0,240.0,7.0,35.0,264.0,193.0,116.0,31.0,157.0,92.0,458.0
2219,0.0,14.0,1.0,196.0,12.0,2.0,77.0,11.0,28.0,3.0,7.0,55.0,81.0,13.0,558.0,67.0,18.0,92.0,58.0,128.0,8.0,94.0,9.0,107.0,42.0,76.0,486.0,430.0,198.0,114.0
2268,2.0,0.0,15.0,104.0,7.0,5.0,95.0,9.0,25.0,4.0,11.0,136.0,402.0,44.0,585.0,312.0,58.0,242.0,84.0,52.0,1.0,436.0,482.0,107.0,150.0,22.0,47.0,540.0,416.0,616.0
2317,123.0,0.0,63.0,52.0,42.0,20.0,118.0,29.0,9.0,11.0,1.0,10.0,2.0,40.0,12.0,8.0,126.0,73.0,69.0,49.0,5.0,13.0,110.0,32.0,301.0,21.0,361.0,542.0,102.0,626.0
2366,1.0,5.0,16.0,404.0,7.0,97.0,119.0,4.0,14.0,26.0,0.0,43.0,32.0,21.0,23.0,6.0,36.0,3.0,44.0,31.0,52.0,19.0,574.0,179.0,15.0,140.0,399.0,540.0,223.0,430.0
2415,176.0,1.0,52.0,628.0,5.0,64.0,30.0,102.0,2.0,106.0,15.0,193.0,41.0,32.0,131.0,11.0,40.0,383.0,151.0,26.0,146.0,6.0,56.0,36.0,31.0,226.0,185.0,378.0,63.0,187.0
2464,9.0,1.0,3.0,90.0,5.0,16.0,24.0,38.0,0.0,107.0,61.0,73.0,39.0,19.0,2.0,80.0,37.0,279.0,57.0,547.0,626.0,499.0,157.0,340.0,70.0,92.0,48.0,397.0,300.0,13.0
