,ETV4,TMC6,CMTM7,RP11-49K24.4,DACT1,ARID4A,KIAA0586,DAAM1,HNRNPCP1,RP11-112J1.3,TIMM9,GPR135,L3HYPDH,C14orf39,PCNXL4,RBM8B,DHRS7,RP11-62H20.1,RP11-1042B17.3,CCDC175,JKAMP,SCOCP1,PPM1A,SIX6,RTN1,RP11-1042B17.1,AL132989.1,HMGB1P14,RP11-349A22.5,GCH1
13,1.0,11207.0,26.0,11532.0,78.0,101.0,97.0,76.0,77.0,102.0,99.0,62.0,49.0,61.0,51.0,64.0,50.0,53.0,66.0,47.0,58.0,48.0,59.0,65.0,57.0,67.0,105.0,106.0,107.0,52.0
62,1.0,2.0,0.0,11.0,77.0,82.0,79.0,75.0,78.0,76.0,81.0,74.0,73.0,123.0,67.0,163.0,66.0,68.0,181.0,71.0,72.0,65.0,106.0,125.0,69.0,124.0,55.0,47.0,48.0,105.0
111,0.0,11234.0,40.0,11536.0,51.0,99.0,75.0,57.0,117.0,55.0,98.0,58.0,64.0,68.0,49.0,67.0,56.0,71.0,54.0,69.0,66.0,63.0,50.0,61.0,73.0,52.0,100.0,101.0,102.0,83.0
160,0.0,11234.0,4.0,11535.0,80.0,62.0,64.0,76.0,81.0,77.0,63.0,75.0,82.0,124.0,68.0,183.0,67.0,69.0,181.0,71.0,74.0,66.0,85.0,125.0,70.0,179.0,48.0,49.0,50.0,88.0
209,8.0,11205.0,0.0,11529.0,52.0,46.0,49.0,55.0,50.0,66.0,47.0,54.0,57.0,64.0,56.0,43.0,60.0,65.0,62.0,67.0,58.0,45.0,59.0,63.0,61.0,53.0,44.0,99.0,69.0,74.0
258,5.0,4.0,2.0,11531.0,68.0,57.0,59.0,74.0,65.0,71.0,58.0,50.0,73.0,75.0,62.0,67.0,69.0,51.0,76.0,56.0,77.0,72.0,63.0,64.0,70.0,61.0,55.0,54.0,53.0,81.0
307,0.0,11231.0,21.0,11.0,79.0,63.0,81.0,77.0,80.0,78.0,73.0,75.0,82.0,125.0,69.0,205.0,68.0,70.0,183.0,72.0,74.0,66.0,104.0,126.0,71.0,182.0,49.0,50.0,51.0,123.0
356,1.0,11231.0,5.0,32.0,47.0,90.0,57.0,52.0,50.0,49.0,68.0,48.0,46.0,60.0,56.0,61.0,53.0,55.0,63.0,67.0,51.0,58.0,59.0,62.0,54.0,64.0,70.0,93.0,94.0,77.0
405,1.0,6.0,0.0,26.0,61.0,51.0,53.0,67.0,57.0,72.0,52.0,69.0,70.0,71.0,63.0,55.0,62.0,64.0,114.0,68.0,60.0,59.0,58.0,50.0,66.0,202.0,56.0,48.0,49.0,75.0
454,0.0,31.0,47.0,17.0,64.0,63.0,48.0,49.0,65.0,56.0,69.0,71.0,53.0,57.0,62.0,54.0,60.0,66.0,50.0,68.0,55.0,70.0,58.0,51.0,67.0,159.0,61.0,59.0,52.0,75.0
503,23.0,0.0,22.0,36.0,51.0,81.0,57.0,49.0,55.0,50.0,76.0,78.0,62.0,68.0,72.0,67.0,71.0,73.0,65.0,61.0,77.0,70.0,69.0,66.0,75.0,64.0,100.0,80.0,101.0,98.0
552,0.0,29.0,36.0,11539.0,94.0,99.0,97.0,53.0,74.0,72.0,98.0,51.0,50.0,67.0,59.0,68.0,61.0,58.0,70.0,56.0,47.0,64.0,66.0,69.0,71.0,48.0,100.0,101.0,102.0,85.0
601,0.0,8.0,39.0,11.0,54.0,52.0,50.0,73.0,49.0,48.0,53.0,57.0,72.0,63.0,67.0,62.0,66.0,56.0,60.0,70.0,71.0,65.0,64.0,61.0,69.0,59.0,51.0,68.0,74.0,79.0
650,4.0,3.0,1.0,11541.0,68.0,97.0,116.0,52.0,72.0,51.0,74.0,56.0,55.0,69.0,62.0,70.0,64.0,60.0,66.0,71.0,54.0,65.0,67.0,58.0,59.0,63.0,98.0,99.0,100.0,84.0
699,0.0,11.0,12287.0,12.0,47.0,98.0,95.0,49.0,66.0,48.0,75.0,46.0,50.0,73.0,70.0,65.0,69.0,71.0,72.0,62.0,51.0,68.0,67.0,64.0,53.0,63.0,99.0,100.0,101.0,82.0
748,0.0,5.0,36.0,1.0,70.0,48.0,69.0,60.0,56.0,59.0,50.0,61.0,62.0,57.0,67.0,54.0,68.0,66.0,51.0,64.0,63.0,55.0,58.0,52.0,65.0,47.0,46.0,94.0,72.0,75.0
797,0.0,1.0,26.0,11538.0,49.0,71.0,65.0,46.0,51.0,48.0,92.0,50.0,53.0,64.0,60.0,63.0,61.0,59.0,58.0,68.0,47.0,66.0,67.0,62.0,56.0,55.0,95.0,96.0,97.0,78.0
846,0.0,2.0,12283.0,11532.0,56.0,64.0,71.0,65.0,70.0,68.0,57.0,63.0,61.0,48.0,62.0,46.0,72.0,59.0,50.0,58.0,73.0,66.0,67.0,54.0,69.0,49.0,55.0,47.0,51.0,76.0
895,28.0,11234.0,26.0,7.0,61.0,53.0,55.0,65.0,60.0,62.0,54.0,66.0,72.0,99.0,79.0,117.0,50.0,78.0,119.0,75.0,74.0,63.0,51.0,161.0,77.0,181.0,68.0,116.0,82.0,98.0
944,0.0,34.0,12285.0,5.0,51.0,50.0,48.0,54.0,49.0,52.0,47.0,55.0,57.0,64.0,70.0,60.0,68.0,71.0,115.0,73.0,75.0,67.0,65.0,112.0,72.0,183.0,105.0,77.0,98.0,80.0
993,0.0,2.0,35.0,25.0,62.0,53.0,56.0,65.0,61.0,63.0,68.0,66.0,57.0,48.0,59.0,51.0,58.0,60.0,117.0,67.0,46.0,54.0,55.0,99.0,64.0,161.0,45.0,52.0,47.0,105.0
1042,0.0,11231.0,12284.0,27.0,59.0,53.0,50.0,66.0,72.0,60.0,56.0,67.0,68.0,61.0,65.0,55.0,64.0,70.0,51.0,58.0,69.0,63.0,62.0,52.0,71.0,49.0,57.0,54.0,73.0,77.0
1091,0.0,10.0,5.0,7.0,67.0,52.0,45.0,56.0,53.0,55.0,44.0,57.0,54.0,66.0,63.0,58.0,64.0,62.0,50.0,60.0,59.0,65.0,46.0,47.0,61.0,51.0,48.0,49.0,68.0,73.0
1140,0.0,7.0,12287.0,23.0,48.0,70.0,63.0,51.0,49.0,47.0,112.0,53.0,54.0,66.0,61.0,62.0,68.0,55.0,59.0,56.0,67.0,64.0,65.0,60.0,58.0,57.0,93.0,94.0,95.0,78.0
1189,0.0,28.0,14.0,11548.0,66.0,55.0,60.0,69.0,70.0,68.0,59.0,45.0,61.0,63.0,58.0,62.0,67.0,51.0,49.0,53.0,56.0,65.0,64.0,57.0,50.0,48.0,54.0,52.0,46.0,75.0
1238,0.0,16.0,12282.0,9.0,48.0,52.0,50.0,47.0,49.0,55.0,51.0,58.0,73.0,59.0,65.0,111.0,62.0,66.0,117.0,68.0,70.0,61.0,60.0,160.0,67.0,180.0,53.0,54.0,75.0,94.0
1287,2.0,11229.0,0.0,18.0,64.0,57.0,60.0,66.0,62.0,65.0,59.0,67.0,68.0,55.0,58.0,101.0,61.0,52.0,116.0,49.0,69.0,47.0,48.0,202.0,63.0,178.0,70.0,56.0,50.0,92.0
1336,2.0,11232.0,37.0,35.0,88.0,114.0,112.0,87.0,111.0,108.0,113.0,64.0,63.0,53.0,57.0,52.0,56.0,58.0,50.0,60.0,61.0,55.0,54.0,51.0,59.0,49.0,115.0,116.0,117.0,106.0
1385,0.0,11232.0,38.0,10.0,80.0,64.0,82.0,77.0,81.0,79.0,66.0,76.0,83.0,124.0,68.0,125.0,67.0,69.0,179.0,72.0,73.0,84.0,123.0,180.0,71.0,202.0,63.0,48.0,49.0,103.0
