,HLA-DRB6_AMP,HLA-DRB1_AMP,ZBTB20_AMP,HLA-DRB5_AMP,SIRPB1_AMP,FBXL7_DEL,SORD_AMP,DAP3_AMP,MSTO2P_AMP,RBFOX1_DEL,KIF26B_DEL,TAG_DEL,DUSP22_DEL,HLA-DQB1_AMP,SLC2A9_DEL,HDHD1_DEL,ODF4_DEL,LGALS9C_DEL,OR2T5_DEL,RABGAP1L_DEL,GSTT1_AMP,AUTS2_DEL,LOC391322_AMP,YY1AP1_AMP,TP63_DEL,OR2T2_DEL,MIR4767_DEL,LOC100506776_DEL,GSTTP2_AMP,BCAS1_AMP
815,0.0,1.0,7.0,3.0,6.0,2.0,8.0,24.0,25.0,131.0,11.0,5.0,20.0,36.0,22.0,8732.0,37.0,1133.0,28.0,118.0,10.0,33.0,9.0,31.0,64.0,18.0,18954.0,15.0,13.0,34.0
864,0.0,2.0,1.0,21.0,3.0,5.0,6.0,48.0,47.0,11.0,19.0,26.0,24.0,4.0,7.0,18.0,34.0,29.0,62.0,49.0,8.0,12.0,9.0,86.0,27.0,32.0,35.0,28.0,14.0,56.0
913,1.0,2.0,4.0,6.0,0.0,3.0,17.0,20.0,19.0,21.0,15.0,7.0,9.0,10.0,22.0,42.0,41.0,65.0,31.0,28.0,12.0,59.0,13.0,30.0,68.0,18.0,97.0,58.0,16.0,63.0
962,0.0,1.0,2.0,4.0,5.0,3.0,16.0,97.0,96.0,11.0,25.0,15.0,28.0,6.0,10.0,12.0,13.0,229.0,36.0,56.0,30.0,9.0,31.0,62.0,54.0,34.0,29.0,17992.0,41.0,107.0
1011,2.0,1.0,3.0,84.0,10.0,0.0,22.0,5.0,4.0,6.0,111.0,8.0,9.0,7.0,11.0,32.0,34.0,21.0,44.0,63.0,18.0,14.0,19.0,13.0,36.0,40.0,67.0,51.0,28.0,27.0
1060,2.0,3.0,0.0,38.0,1.0,7.0,4.0,9.0,10.0,39.0,12.0,5.0,41.0,8.0,11.0,18.0,272.0,6.0,31.0,46.0,23.0,57.0,22.0,14.0,13.0,45.0,30.0,270.0,42.0,19.0
1109,8.0,9.0,1.0,77.0,0.0,2.0,3.0,15.0,16.0,10.0,11.0,4.0,43.0,12.0,7.0,20.0,189.0,5.0,25.0,21.0,177.0,24.0,178.0,116.0,59.0,58.0,34.0,133.0,284.0,91.0
1158,0.0,1.0,3.0,26.0,2.0,4.0,13.0,7.0,6.0,22.0,18.0,5.0,45.0,12.0,8.0,23.0,27.0,15.0,24.0,89.0,17.0,19.0,16.0,11.0,40.0,32.0,46.0,51.0,25.0,50.0
1207,0.0,1.0,4.0,25.0,5.0,3.0,2.0,9.0,8.0,20.0,32.0,7.0,12.0,19.0,10.0,46.0,22.0,26.0,11.0,15.0,30.0,23.0,31.0,34.0,47.0,13.0,94.0,144.0,59.0,64.0
1256,1.0,2.0,0.0,32.0,5.0,4.0,14.0,9.0,8.0,37.0,16.0,12.0,3.0,6.0,27.0,159.0,61.0,10.0,15.0,308.0,23.0,45.0,22.0,42.0,100.0,17.0,341.0,307.0,44.0,30.0
1305,5.0,6.0,0.0,119.0,3.0,4.0,11.0,1.0,2.0,20.0,12.0,17.0,120.0,8.0,45.0,26.0,22.0,7.0,14.0,18.0,61.0,31.0,60.0,13.0,30.0,15.0,42.0,68.0,115.0,32.0
1354,4.0,5.0,3.0,39.0,0.0,6.0,20.0,1.0,2.0,7.0,18.0,10.0,68.0,8.0,11.0,14.0,16.0,9.0,19.0,21.0,33.0,15.0,35.0,12.0,64.0,27.0,26.0,40.0,34.0,37.0
1403,1.0,0.0,10.0,5.0,2.0,8.0,273.0,4.0,3.0,7.0,31.0,6.0,15.0,181.0,12.0,68.0,9.0,24.0,28.0,40.0,17.0,102.0,16.0,11.0,61.0,23.0,139.0,42.0,34.0,27.0
1452,2.0,1.0,0.0,35.0,4.0,31.0,110.0,5.0,6.0,10.0,11.0,14.0,23.0,3.0,57.0,29.0,52.0,12.0,18.0,136.0,21.0,56.0,20.0,9.0,27.0,22.0,53.0,16.0,40.0,24.0
1501,1.0,6.0,0.0,18.0,7.0,79.0,4.0,3.0,2.0,29.0,14.0,24.0,737.0,22.0,37.0,31.0,12.0,456.0,38.0,9.0,11.0,16.0,10.0,20.0,72.0,45.0,30.0,49.0,15.0,23.0
1550,3.0,5.0,2.0,30.0,7.0,17.0,18.0,1.0,0.0,69.0,13.0,8.0,114.0,23.0,53.0,22.0,15.0,97.0,25.0,6.0,11.0,57.0,10.0,12.0,20.0,34.0,33.0,4.0,14.0,31.0
1599,0.0,1.0,2.0,7.0,3.0,23.0,38.0,5.0,6.0,28.0,18.0,32.0,40.0,11.0,46.0,22.0,13.0,53.0,17.0,4.0,9.0,27.0,8.0,34.0,14.0,15.0,36.0,10.0,12.0,55.0
1648,0.0,3.0,6.0,5.0,8.0,25.0,50.0,1.0,2.0,52.0,17.0,27.0,24.0,166.0,62.0,16.0,63.0,49.0,31.0,23.0,10.0,38.0,11.0,4.0,45.0,79.0,30.0,7.0,15.0,35.0
1697,0.0,1.0,13.0,5.0,6.0,27.0,4.0,3.0,2.0,33.0,14.0,12.0,73.0,9.0,25.0,8.0,10.0,280.0,28.0,7.0,21.0,38.0,20.0,16.0,15.0,29.0,11.0,127.0,26.0,49.0
1746,7.0,9.0,3.0,13.0,0.0,26.0,6.0,1.0,2.0,56.0,5.0,12.0,111.0,20.0,25.0,10.0,16.0,30.0,29.0,4.0,41.0,173.0,40.0,19.0,11.0,33.0,17.0,135.0,64.0,59.0
1795,9.0,14.0,0.0,36.0,1.0,20.0,25.0,7.0,6.0,38.0,2.0,5.0,148.0,53.0,12.0,11.0,56.0,29.0,26.0,4.0,18.0,65.0,17.0,19.0,46.0,16.0,22.0,10.0,23.0,62.0
1844,0.0,2.0,1.0,4.0,6.0,15.0,8.0,10.0,9.0,13.0,16.0,12.0,30.0,17.0,14.0,20.0,5.0,61.0,31.0,3.0,23.0,11.0,22.0,154.0,38.0,24.0,35.0,21.0,43.0,36.0
1893,7.0,14.0,3.0,23.0,0.0,6.0,19.0,1.0,2.0,18.0,5.0,8.0,12.0,53.0,34.0,33.0,20.0,76.0,11.0,4.0,70.0,213.0,69.0,9.0,38.0,15.0,58.0,54.0,104.0,24.0
1942,19.0,20.0,0.0,140.0,1.0,10.0,21.0,6.0,7.0,51.0,3.0,53.0,17.0,43.0,23.0,13.0,9.0,2.0,15.0,4.0,815.0,18.0,814.0,92.0,46.0,22.0,24.0,14.0,813.0,166.0
1991,1.0,4.0,0.0,5.0,6.0,12.0,7.0,2.0,3.0,10.0,11.0,29.0,19.0,78.0,27.0,14.0,13.0,9.0,44.0,8.0,34.0,84.0,35.0,18.0,39.0,53.0,16.0,239.0,50.0,92.0
2040,1.0,2.0,0.0,4.0,9.0,3.0,6.0,23.0,24.0,8.0,18.0,31.0,14.0,11.0,7.0,17.0,5.0,20.0,61.0,10.0,548.0,16.0,549.0,83.0,45.0,47.0,34.0,126.0,1008.0,169.0
2089,0.0,1.0,2.0,4.0,27.0,3.0,9.0,6.0,5.0,18.0,11.0,39.0,13.0,15.0,22.0,17.0,10.0,58.0,44.0,14.0,569.0,24.0,570.0,12.0,72.0,48.0,23.0,200.0,1832.0,73.0
2138,0.0,1.0,2.0,3.0,10.0,4.0,8.0,5.0,6.0,16.0,12.0,10111.0,50.0,7.0,22.0,42.0,20.0,14.0,39.0,51.0,129.0,18.0,128.0,29.0,19.0,52.0,61.0,59.0,228.0,34.0
2187,0.0,1.0,2.0,5.0,9.0,3.0,11.0,7.0,8.0,13.0,26.0,68.0,22.0,58.0,10.0,21.0,42.0,4.0,31.0,12.0,103.0,19.0,102.0,18.0,70.0,29.0,24.0,41.0,152.0,741.0
2236,1.0,2.0,0.0,3.0,15.0,6.0,4.0,9.0,10.0,7.0,14.0,86.0,13.0,12.0,11.0,22.0,29.0,39.0,120.0,55.0,221.0,16.0,220.0,28.0,41.0,182.0,33.0,1180.0,399.0,48.0
2285,0.0,3.0,2.0,7.0,8.0,1.0,14.0,5.0,6.0,24.0,17.0,115.0,10.0,61.0,12.0,23.0,16.0,9.0,304.0,22.0,367.0,31.0,366.0,4.0,8729.0,439.0,32.0,13.0,365.0,65.0
2334,0.0,1.0,2.0,5.0,3.0,6.0,12.0,10.0,9.0,8.0,7.0,40.0,14.0,16.0,27.0,19.0,20.0,11.0,23.0,4.0,160.0,43.0,161.0,15.0,31.0,59.0,13.0,71.0,350.0,86.0
2383,0.0,3.0,1.0,6.0,8.0,9.0,2.0,5.0,4.0,7.0,13.0,18.0,10.0,37.0,14.0,19.0,21.0,63.0,23.0,11.0,177.0,40.0,178.0,16.0,92.0,27.0,28.0,89.0,369.0,420.0
2432,1.0,0.0,2.0,6.0,18.0,5.0,7.0,16.0,17.0,3.0,15.0,72.0,9.0,87.0,10.0,14.0,45.0,8.0,42.0,19.0,12563.0,11.0,14583.0,25.0,20.0,49.0,21.0,361.0,21372.0,320.0
2481,0.0,1.0,7.0,5.0,12.0,4.0,3.0,15.0,14.0,8.0,30.0,32.0,21.0,11.0,18.0,10.0,6.0,33.0,49.0,490.0,37.0,9.0,38.0,17.0,19.0,58.0,16.0,36.0,61.0,34.0
2530,0.0,1.0,9.0,5.0,6.0,2.0,3.0,12.0,11.0,14.0,21.0,47.0,56.0,8.0,7.0,16.0,4.0,20.0,55.0,39.0,27.0,10.0,26.0,46.0,34.0,105.0,23.0,72.0,36.0,875.0
2579,0.0,1.0,5.0,2.0,6.0,10.0,13.0,19.0,20.0,12.0,18.0,96.0,22.0,3.0,11.0,17.0,7.0,40.0,37.0,83.0,70.0,9.0,71.0,16.0,15.0,57.0,39.0,59.0,102.0,24.0
2628,0.0,1.0,7.0,3.0,4.0,12.0,2.0,5.0,6.0,11.0,23.0,9.0,10.0,8.0,49.0,45.0,14.0,13.0,28.0,43.0,377.0,34.0,376.0,16.0,21.0,32.0,78.0,384.0,675.0,84.0
2677,0.0,1.0,5.0,6.0,2.0,11.0,4.0,16.0,15.0,3.0,58.0,81.0,12.0,8.0,9.0,17.0,7.0,20.0,31.0,21.0,229.0,13.0,227.0,49.0,19.0,18.0,23.0,1225.0,228.0,206.0
2726,1.0,2.0,27.0,6.0,3.0,12.0,0.0,14.0,13.0,15.0,52.0,64.0,59.0,11.0,8.0,40.0,10.0,16.0,21.0,61.0,87.0,9.0,86.0,39.0,17.0,19.0,65.0,530.0,124.0,73.0
2775,0.0,1.0,2.0,6.0,9.0,4.0,5.0,14.0,15.0,13.0,20.0,17.0,98.0,3.0,12.0,19.0,28.0,26.0,41.0,47.0,933.0,16.0,934.0,37.0,10.0,40.0,32.0,651.0,21256.0,86.0
2824,0.0,1.0,2.0,8.0,7.0,11.0,3.0,14.0,13.0,4.0,86.0,28.0,171.0,6.0,16.0,90.0,26.0,17.0,36.0,33.0,30.0,9.0,29.0,46.0,12.0,25.0,55.0,60.0,42.0,67.0
2873,0.0,1.0,6.0,5.0,4.0,2.0,8.0,20.0,21.0,28.0,23.0,3.0,16.0,7.0,22.0,39.0,33.0,30.0,25.0,79.0,10.0,12.0,9.0,37.0,72.0,24.0,53.0,154.0,13.0,173.0
2922,0.0,1.0,13.0,3.0,5.0,6.0,126.0,11.0,12.0,16.0,24.0,121.0,7.0,9.0,14.0,19.0,2.0,306.0,26.0,34.0,185.0,21.0,186.0,25.0,17.0,27.0,23.0,71.0,369.0,653.0
2971,0.0,1.0,12.0,3.0,5.0,7.0,2.0,35.0,34.0,18.0,17.0,691.0,9.0,60.0,11.0,45.0,4.0,70.0,37.0,67.0,23.0,39.0,24.0,177.0,6.0,43.0,57.0,31.0,42.0,33.0
3020,0.0,1.0,2.0,12.0,83.0,7.0,15.0,5.0,4.0,3.0,46.0,101.0,38.0,387.0,20.0,6.0,21.0,53.0,54.0,124.0,9.0,27.0,8.0,17.0,26.0,70.0,11.0,16.0,10.0,52.0
3069,0.0,1.0,3.0,4.0,11.0,2.0,5.0,23.0,24.0,15.0,20.0,25.0,14.0,37.0,21.0,43.0,6.0,210.0,50.0,39.0,7.0,26.0,8.0,216.0,76.0,31.0,65.0,29.0,10.0,36.0
3118,0.0,1.0,10.0,3.0,30.0,2.0,4.0,13.0,12.0,7.0,8.0,20.0,15.0,509.0,59.0,48.0,27.0,9.0,23.0,32.0,146.0,150.0,145.0,41.0,17.0,39.0,78.0,6.0,313.0,66.0
3167,0.0,1.0,2.0,4.0,18.0,3.0,25.0,5.0,6.0,15.0,21.0,56.0,14.0,97.0,10.0,87.0,13.0,41.0,19.0,129.0,161.0,59.0,160.0,8.0,12.0,24.0,120.0,7.0,385.0,20.0
3216,0.0,1.0,12.0,2.0,3.0,7.0,19.0,45.0,44.0,5.0,6.0,13.0,4.0,71.0,69.0,15.0,10.0,14.0,23.0,41.0,17.0,26.0,16.0,40.0,25.0,57.0,27.0,18.0,30.0,105.0
3265,0.0,1.0,3.0,4.0,37.0,2.0,5.0,7.0,8.0,15.0,10.0,13.0,9.0,113.0,35.0,21.0,85.0,18.0,22.0,61.0,12.0,132.0,11.0,24.0,38.0,41.0,25.0,6.0,17.0,43.0
3314,0.0,2.0,1.0,4.0,51.0,3.0,5.0,12.0,11.0,6.0,9.0,131.0,39.0,241.0,34.0,20.0,7.0,8.0,99.0,29.0,50.0,30.0,49.0,45.0,67.0,152.0,21.0,13.0,70.0,178.0
3363,0.0,1.0,2.0,4.0,7.0,3.0,10.0,18.0,17.0,16.0,8.0,5.0,14.0,50.0,21.0,22.0,11.0,6.0,46.0,429.0,114.0,36.0,115.0,26.0,25.0,34.0,31.0,13.0,193.0,35.0
3412,1.0,3.0,0.0,13.0,15.0,2.0,4.0,60.0,59.0,49.0,31.0,8.0,35.0,122.0,17.0,71.0,11.0,7.0,62.0,38.0,6.0,151.0,5.0,50.0,831.0,65.0,114.0,19.0,9.0,33.0
3461,1.0,2.0,81.0,10.0,0.0,6.0,11.0,5.0,4.0,7.0,23.0,16.0,8.0,30.0,21.0,29.0,38.0,14.0,34.0,15.0,41.0,259.0,42.0,3.0,9.0,61.0,58.0,27.0,66.0,31.0
3510,0.0,1.0,8.0,6.0,5.0,10.0,7.0,2.0,3.0,4.0,20.0,85.0,22.0,21.0,13.0,14.0,19.0,15.0,37.0,12.0,130.0,31.0,132.0,9.0,11.0,39.0,17.0,16.0,131.0,62.0
3559,0.0,1.0,16.0,7.0,4.0,13.0,3.0,6.0,5.0,2.0,26.0,52.0,9.0,22.0,37.0,35.0,260.0,118.0,15.0,28.0,115.0,38.0,116.0,11.0,8.0,20.0,34.0,10.0,218.0,27.0
3608,0.0,3.0,35.0,20.0,23.0,9.0,5.0,2.0,1.0,4.0,39.0,7.0,6.0,27.0,12.0,13.0,60.0,14.0,33.0,25.0,17.0,8.0,18.0,16.0,15.0,42.0,22.0,26.0,31.0,28.0
3657,0.0,1.0,26.0,16.0,8.0,38.0,4.0,2.0,3.0,5.0,17.0,80.0,9.0,15.0,33.0,11.0,19.0,7.0,21.0,23.0,101.0,20.0,100.0,10.0,6.0,24.0,14.0,13.0,186.0,49.0
3706,0.0,4.0,17.0,20.0,9.0,11.0,7.0,1.0,2.0,3.0,12.0,82.0,6.0,128.0,8.0,27.0,70.0,61.0,15.0,68.0,14.0,31.0,13.0,10.0,5.0,18.0,37.0,16.0,19.0,35.0
3755,2.0,4.0,77.0,17.0,29.0,6.0,3.0,1.0,0.0,7.0,35.0,19.0,9.0,58.0,20.0,8.0,52.0,568.0,25.0,27.0,15.0,36.0,16.0,10.0,5.0,38.0,11.0,18.0,24.0,43.0
3804,0.0,1.0,10.0,6.0,18.0,2.0,5.0,4.0,3.0,9.0,44.0,20.0,8.0,11.0,12.0,15.0,48.0,27.0,17.0,93.0,88.0,23.0,89.0,14.0,7.0,21.0,19.0,45.0,136.0,62.0
3853,0.0,2.0,12.0,5.0,3.0,7.0,4.0,10.0,9.0,1.0,33.0,57.0,18.0,52.0,16.0,19.0,56.0,200.0,28.0,6.0,135.0,13.0,136.0,53.0,8.0,23.0,31.0,11.0,216.0,39.0
3902,0.0,1.0,16.0,7.0,43.0,13.0,8.0,5.0,4.0,3.0,14.0,118.0,31.0,30.0,11.0,26.0,38.0,153.0,20.0,10.0,34.0,12.0,35.0,17.0,6.0,53.0,32.0,18.0,47.0,27.0
3951,0.0,2.0,18.0,3.0,4.0,1.0,6.0,8.0,7.0,43.0,50.0,45.0,5.0,17.0,10.0,48.0,27.0,19.0,60.0,16.0,31.0,20.0,29.0,69.0,150.0,88.0,148.0,86.0,30.0,33.0
4000,0.0,1.0,12.0,2.0,6.0,3.0,8.0,16.0,15.0,27.0,14.0,19.0,7.0,58.0,26.0,22.0,28.0,53.0,68.0,537.0,10.0,36.0,11.0,30.0,132.0,280.0,29.0,149.0,9.0,32.0
4049,0.0,1.0,15.0,2.0,63.0,10.0,5.0,22.0,21.0,24.0,6.0,11.0,8.0,3.0,48.0,26.0,68.0,82.0,36.0,124.0,31.0,14.0,32.0,20.0,29.0,101.0,19.0,35.0,33.0,4.0
4098,1.0,4.0,54.0,3.0,5.0,0.0,7.0,8.0,9.0,24.0,11.0,10.0,2.0,19.0,34.0,51.0,249.0,20.0,29.0,50.0,76.0,72.0,77.0,16.0,74.0,84.0,95.0,30.0,75.0,12.0
4147,1.0,2.0,4.0,3.0,12.0,5.0,16.0,8.0,7.0,31.0,17.0,19.0,0.0,25.0,79.0,15.0,90.0,13.0,58.0,59.0,9.0,159.0,10.0,18.0,161.0,204.0,22.0,51.0,11.0,43.0
4196,0.0,1.0,7.0,2.0,34.0,3.0,8.0,23.0,24.0,46.0,4.0,9.0,26.0,6.0,37.0,14.0,21.0,5.0,53.0,115.0,78.0,29.0,77.0,62.0,120.0,137.0,20.0,103.0,79.0,19.0
4245,0.0,1.0,13.0,2.0,23.0,6.0,5.0,3.0,4.0,37.0,15.0,12.0,10.0,28.0,31.0,11.0,104.0,8.0,25.0,70.0,21.0,47.0,22.0,7.0,88.0,94.0,19.0,97.0,20.0,35.0
4294,0.0,1.0,13.0,2.0,3.0,11.0,9.0,14.0,15.0,48.0,10.0,7.0,8.0,24.0,32.0,12.0,140.0,16.0,30.0,193.0,5.0,86.0,6.0,31.0,40.0,71.0,19.0,22.0,4.0,18.0
4343,0.0,2.0,7.0,5.0,6.0,1.0,4.0,23.0,24.0,46.0,10.0,101.0,3.0,15.0,16.0,13.0,55.0,43.0,53.0,42.0,38.0,51.0,39.0,36.0,12.0,197.0,29.0,170.0,37.0,18.0
4392,0.0,2.0,9.0,1.0,10.0,3.0,4.0,61.0,60.0,109.0,11.0,8.0,20.0,21.0,207.0,18.0,25.0,23.0,30.0,13.0,6.0,199.0,7.0,51.0,208.0,93.0,28.0,77.0,5.0,53.0
4441,0.0,2.0,7.0,3.0,1.0,4.0,11.0,39.0,40.0,35.0,41.0,16.0,14.0,32.0,139.0,250.0,478.0,5.0,23.0,30.0,9.0,200.0,10.0,37.0,42.0,48.0,135.0,6.0,15.0,24.0
4490,0.0,1.0,2.0,11.0,3.0,10.0,6.0,7.0,8.0,18.0,14.0,5.0,27.0,4.0,45.0,35.0,430.0,9.0,66.0,107.0,16.0,21.0,17.0,15.0,49.0,80.0,20.0,12.0,28.0,51.0
4539,1.0,3.0,0.0,12.0,2.0,13.0,4.0,15.0,16.0,30.0,34.0,17.0,5.0,7.0,22.0,95.0,61.0,63.0,75.0,9.0,11.0,239.0,10.0,85.0,20.0,46.0,55.0,50.0,14.0,47.0
4588,1.0,4.0,2.0,18.0,0.0,15.0,19.0,60.0,61.0,174.0,11.0,9.0,103.0,14.0,56.0,34.0,4127.0,13.0,17.0,84.0,5.0,36.0,6.0,75.0,26.0,22.0,35.0,8.0,10.0,16.0
4637,2.0,5.0,1.0,23.0,0.0,16.0,15.0,9.0,10.0,34.0,6.0,46.0,14.0,4.0,31.0,53.0,384.0,13.0,36.0,8.0,120.0,29.0,121.0,32.0,77.0,67.0,35.0,22.0,159.0,60.0
4686,0.0,1.0,2.0,6.0,8.0,13.0,9.0,4.0,5.0,19.0,7.0,56.0,21.0,3.0,48.0,45.0,555.0,42.0,12.0,24.0,26.0,36.0,25.0,37.0,18.0,22.0,15.0,27.0,50.0,430.0
4735,1.0,3.0,0.0,20.0,2.0,29.0,8.0,35.0,34.0,11.0,15.0,5.0,44.0,4.0,51.0,259.0,4196.0,37.0,16.0,33.0,6.0,17.0,7.0,189.0,18.0,23.0,129.0,28.0,12.0,71.0
4784,2.0,4.0,1.0,11.0,0.0,16.0,3.0,40.0,41.0,22.0,10.0,62.0,96.0,5.0,21.0,77.0,1626.0,15.0,20.0,13.0,6.0,25.0,7.0,89.0,26.0,27.0,54.0,9.0,8.0,92.0
4833,0.0,2.0,1.0,16.0,5.0,62.0,3.0,14.0,15.0,18.0,11.0,10.0,29.0,4.0,101.0,9.0,622.0,6.0,24.0,25.0,22.0,45.0,21.0,122.0,57.0,32.0,7.0,40.0,30.0,35.0
4882,1.0,2.0,4.0,5.0,0.0,47.0,7.0,41.0,40.0,127.0,12.0,3.0,24.0,6.0,123.0,29.0,62.0,209.0,14.0,37.0,10.0,23.0,9.0,208.0,19.0,30.0,17.0,26.0,11.0,43.0
