,HLA-DRB6_AMP,HLA-DRB1_AMP,ZBTB20_AMP,HLA-DRB5_AMP,SIRPB1_AMP,FBXL7_DEL,SORD_AMP,DAP3_AMP,MSTO2P_AMP,RBFOX1_DEL,KIF26B_DEL,TAG_DEL,DUSP22_DEL,HLA-DQB1_AMP,SLC2A9_DEL,HDHD1_DEL,ODF4_DEL,LGALS9C_DEL,OR2T5_DEL,RABGAP1L_DEL,GSTT1_AMP,AUTS2_DEL,LOC391322_AMP,YY1AP1_AMP,TP63_DEL,OR2T2_DEL,MIR4767_DEL,LOC100506776_DEL,GSTTP2_AMP,BCAS1_AMP
31,0.0,1.0,8.0,7.0,3.0,6.0,4.0,23.0,24.0,5.0,9.0,2.0,103.0,14.0,10.0,159.0,79.0,63.0,17.0,34.0,64.0,106.0,65.0,774.0,12.0,16.0,210.0,98.0,105.0,36.0
80,1.0,3.0,0.0,10.0,14.0,15.0,5.0,8.0,7.0,12.0,9.0,6.0,33.0,76.0,20.0,524.0,41.0,63.0,16.0,19.0,142.0,120.0,143.0,70.0,77.0,17.0,1248.0,31.0,346.0,53.0
129,0.0,1.0,2.0,8.0,6.0,5.0,4.0,55.0,54.0,13.0,14.0,3.0,12.0,20.0,15.0,134.0,16.0,37.0,26.0,30.0,45.0,1525.0,44.0,154.0,19.0,22.0,210.0,52.0,69.0,61.0
178,0.0,1.0,3.0,4.0,15.0,8.0,108.0,24.0,25.0,16.0,39.0,2.0,52.0,74.0,12.0,1806.0,125.0,151.0,35.0,20.0,28.0,56.0,27.0,136.0,54.0,13.0,4562.0,18.0,36.0,17.0
227,0.0,1.0,4.0,3.0,9.0,6.0,12.0,73.0,74.0,8.0,11.0,2.0,29.0,85.0,5.0,260.0,38.0,67.0,15.0,17.0,39.0,41.0,40.0,434.0,24.0,13.0,432.0,59.0,82.0,91.0
276,0.0,1.0,3.0,2.0,5.0,4.0,23.0,88.0,87.0,10.0,11.0,8.0,6.0,90.0,7.0,341.0,32.0,121.0,19.0,17.0,48.0,185.0,47.0,430.0,25.0,22.0,524.0,34.0,73.0,96.0
325,0.0,1.0,3.0,2.0,11.0,7.0,123.0,33.0,34.0,5.0,8.0,39.0,35.0,30.0,82.0,246.0,23.0,517.0,19.0,6.0,12.0,333.0,14.0,115.0,44.0,32.0,149.0,26.0,13.0,165.0
374,0.0,1.0,2.0,6.0,3.0,5.0,14.0,17.0,18.0,4.0,20.0,9.0,259.0,12.0,11.0,174.0,254.0,13.0,37.0,114.0,192.0,38.0,191.0,154.0,24.0,26.0,579.0,10.0,298.0,54.0
423,2.0,4.0,5.0,7.0,6.0,1.0,12.0,132.0,133.0,14.0,13.0,0.0,11.0,183.0,19.0,341.0,123.0,15.0,25.0,58.0,128.0,98.0,129.0,483.0,36.0,28.0,458.0,22.0,229.0,80.0
472,0.0,2.0,3.0,4.0,21.0,9.0,1.0,47.0,48.0,5.0,38.0,19.0,37.0,36.0,12.0,356.0,56.0,52.0,85.0,22.0,7.0,378.0,6.0,383.0,34.0,70.0,411.0,396.0,20.0,83.0
521,0.0,1.0,4.0,8.0,2.0,3.0,29.0,16.0,17.0,26.0,25.0,12.0,9.0,13.0,7.0,40.0,5.0,6999.0,41.0,84.0,10.0,30.0,11.0,35.0,21.0,37.0,101.0,90.0,20.0,38.0
570,1.0,2.0,4.0,21.0,0.0,3.0,5.0,6.0,7.0,16.0,14.0,13.0,37.0,11.0,9.0,36.0,8.0,43.0,30.0,10.0,100.0,17.0,99.0,49.0,39.0,15.0,71.0,186.0,168.0,98.0
619,0.0,1.0,3.0,5.0,4.0,2.0,10.0,44.0,45.0,11.0,17.0,8.0,14.0,7.0,9.0,26.0,16.0,63.0,30.0,28.0,19.0,12.0,21.0,64.0,39.0,13.0,55.0,47.0,20.0,46.0
668,0.0,1.0,8.0,6.0,5.0,2.0,3.0,27.0,28.0,11.0,18.0,24.0,16.0,25.0,9.0,39.0,7.0,215.0,102.0,296.0,45.0,10.0,44.0,66.0,29.0,72.0,132.0,81.0,73.0,101.0
717,1.0,2.0,10.0,43.0,9.0,0.0,3.0,4.0,5.0,7.0,56.0,332.0,14.0,143.0,13.0,29.0,57.0,42.0,25.0,36.0,38.0,6.0,39.0,24.0,65.0,18.0,59.0,8.0,61.0,97.0
766,0.0,1.0,6.0,19.0,3.0,2.0,10.0,28.0,27.0,45.0,22.0,8.0,7.0,12.0,16.0,26.0,11.0,55.0,41.0,23.0,5.0,14.0,4.0,60.0,57.0,25.0,66.0,79.0,9.0,36.0
