,P-Cadherin,Akt,Shc_pY317,VHL,RSK1-2-3,EGFR_pY1068,Rab25,PRAS40_pT246,C-Raf(MP05-739),MIG-6,SCD1,VAV1,Caveolin-1,Syk,GATA3,p21,Acetyl-a-Tubulin (Lys40),4E-BP1_pS65,N-Cadherin,ADAR1,Src_pY416,YB-1,Gab2,Rictor_pT1135,Annexin_VII,Akt_pS473,HER3,beta Actin,MEK1_pS217_S221,AR
5,16.0,88.0,5.0,44.0,40.0,51.0,0.0,17.0,1.0,7.0,84.0,13.0,31.0,22.0,41.0,35.0,38.0,14.0,30.0,46.0,106.0,23.0,18.0,67.0,45.0,50.0,55.0,25.0,21.0,81.0
54,4.0,15.0,1.0,7.0,27.0,14.0,66.0,37.0,96.0,35.0,18.0,42.0,29.0,23.0,39.0,28.0,31.0,26.0,113.0,80.0,116.0,142.0,43.0,50.0,132.0,85.0,138.0,75.0,92.0,34.0
103,2.0,0.0,7.0,42.0,16.0,44.0,14.0,126.0,162.0,41.0,9.0,13.0,27.0,21.0,138.0,22.0,51.0,15.0,71.0,56.0,28.0,6.0,55.0,57.0,100.0,31.0,5.0,24.0,127.0,67.0
152,5.0,22.0,13.0,19.0,14.0,50.0,4.0,112.0,38.0,20.0,23.0,90.0,49.0,52.0,96.0,64.0,35.0,130.0,110.0,81.0,6.0,113.0,92.0,55.0,0.0,66.0,123.0,32.0,12.0,34.0
201,5.0,16.0,9.0,7.0,89.0,26.0,38.0,21.0,8.0,28.0,4.0,34.0,17.0,103.0,42.0,37.0,40.0,12.0,46.0,55.0,41.0,157.0,14.0,52.0,13.0,81.0,72.0,88.0,3.0,74.0
250,2.0,159.0,20.0,6.0,42.0,0.0,29.0,37.0,3.0,4.0,28.0,60.0,121.0,34.0,30.0,22.0,147.0,67.0,45.0,16.0,19.0,142.0,77.0,49.0,131.0,87.0,120.0,89.0,1.0,132.0
299,1.0,0.0,12.0,26.0,15.0,5.0,21.0,13.0,20.0,68.0,41.0,39.0,24.0,42.0,99.0,49.0,22.0,100.0,51.0,98.0,32.0,94.0,29.0,50.0,58.0,97.0,16.0,125.0,71.0,112.0
348,2.0,0.0,20.0,15.0,19.0,5.0,55.0,30.0,127.0,24.0,22.0,4.0,9.0,43.0,37.0,29.0,45.0,87.0,64.0,78.0,71.0,159.0,31.0,33.0,67.0,47.0,34.0,130.0,46.0,27.0
397,18.0,27.0,25.0,93.0,35.0,63.0,0.0,50.0,3.0,29.0,22.0,26.0,8.0,24.0,38.0,49.0,60.0,21.0,2.0,71.0,20.0,28.0,43.0,58.0,7.0,56.0,16.0,30.0,154.0,1.0
446,4.0,26.0,36.0,129.0,55.0,149.0,0.0,8.0,111.0,136.0,5.0,42.0,87.0,19.0,65.0,47.0,28.0,43.0,81.0,91.0,45.0,29.0,74.0,39.0,32.0,15.0,142.0,13.0,17.0,21.0
495,3.0,5.0,7.0,54.0,10.0,6.0,98.0,25.0,22.0,130.0,58.0,14.0,9.0,27.0,39.0,63.0,103.0,12.0,84.0,95.0,31.0,43.0,26.0,33.0,99.0,77.0,91.0,53.0,65.0,79.0
544,5.0,9.0,17.0,15.0,3.0,10.0,34.0,51.0,138.0,4.0,50.0,86.0,122.0,33.0,65.0,45.0,18.0,24.0,39.0,49.0,44.0,2.0,75.0,23.0,72.0,26.0,54.0,85.0,162.0,154.0
593,2.0,6.0,10.0,30.0,11.0,26.0,47.0,33.0,0.0,7.0,8.0,1.0,15.0,100.0,61.0,43.0,75.0,118.0,37.0,36.0,71.0,5.0,39.0,41.0,48.0,44.0,117.0,57.0,79.0,88.0
642,10.0,3.0,5.0,8.0,9.0,6.0,2.0,0.0,11.0,7.0,29.0,82.0,126.0,38.0,28.0,88.0,70.0,94.0,69.0,24.0,19.0,50.0,15.0,58.0,32.0,68.0,17.0,45.0,151.0,67.0
691,7.0,3.0,11.0,56.0,6.0,0.0,4.0,28.0,42.0,23.0,117.0,18.0,14.0,74.0,37.0,43.0,22.0,71.0,31.0,38.0,111.0,94.0,66.0,67.0,9.0,57.0,126.0,26.0,58.0,30.0
740,8.0,37.0,3.0,6.0,40.0,9.0,2.0,0.0,54.0,59.0,51.0,14.0,10.0,39.0,55.0,60.0,22.0,65.0,38.0,30.0,42.0,32.0,21.0,33.0,18.0,31.0,159.0,17.0,64.0,19.0
789,3.0,0.0,7.0,18.0,1.0,6.0,19.0,10.0,29.0,128.0,57.0,23.0,30.0,65.0,64.0,61.0,76.0,111.0,17.0,43.0,123.0,78.0,53.0,42.0,151.0,55.0,139.0,130.0,129.0,73.0
838,1.0,5.0,7.0,6.0,3.0,18.0,69.0,25.0,113.0,23.0,2.0,81.0,27.0,24.0,52.0,46.0,43.0,132.0,140.0,39.0,62.0,37.0,34.0,56.0,77.0,71.0,57.0,21.0,146.0,72.0
887,4.0,5.0,21.0,11.0,12.0,8.0,3.0,151.0,29.0,28.0,9.0,114.0,19.0,18.0,20.0,56.0,63.0,122.0,85.0,45.0,14.0,41.0,80.0,97.0,23.0,61.0,32.0,130.0,148.0,86.0
936,2.0,3.0,34.0,12.0,11.0,20.0,37.0,13.0,102.0,141.0,107.0,39.0,18.0,10.0,31.0,26.0,28.0,24.0,16.0,14.0,120.0,56.0,88.0,57.0,19.0,43.0,142.0,46.0,5.0,64.0
985,8.0,7.0,4.0,13.0,29.0,36.0,11.0,3.0,144.0,153.0,64.0,19.0,5.0,53.0,49.0,40.0,69.0,16.0,80.0,55.0,90.0,71.0,23.0,61.0,25.0,50.0,101.0,51.0,155.0,73.0
1034,14.0,8.0,1.0,11.0,50.0,61.0,129.0,4.0,19.0,2.0,5.0,7.0,153.0,49.0,25.0,62.0,26.0,93.0,143.0,44.0,112.0,31.0,20.0,48.0,36.0,64.0,71.0,68.0,144.0,55.0
1083,10.0,13.0,3.0,22.0,56.0,38.0,149.0,19.0,24.0,132.0,14.0,18.0,129.0,94.0,39.0,75.0,4.0,7.0,35.0,54.0,17.0,82.0,89.0,33.0,95.0,46.0,48.0,113.0,114.0,40.0
1132,5.0,4.0,8.0,54.0,3.0,26.0,101.0,151.0,0.0,136.0,9.0,10.0,149.0,44.0,39.0,92.0,50.0,86.0,58.0,56.0,2.0,22.0,35.0,31.0,90.0,30.0,103.0,15.0,135.0,63.0
