,CD49b,Caspase-7_cleavedD198,Transglutaminase,VEGFR2,C-Raf_pS338,p90RSK_pT359_S363,GSK-3-BETA,Akt_pS473,AR,Cyclin_D1,Acetyl-a-Tubulin (Lys40),4E-BP1,MIG-6,Src,AMPK_pT172,MEK1_pS217_S221,eEF2,PREX1,AMPK_alpha,IRS1,STAT5-alpha,Porin,BRCA2,ACC1,Bcl-2,TTF1,Chk1_pS345,Cyclin_B1,Beclin,GATA3
5,64.0,33.0,2.0,133.0,22.0,34.0,8.0,10.0,21.0,68.0,137.0,66.0,153.0,32.0,1.0,71.0,84.0,162.0,65.0,163.0,29.0,25.0,141.0,28.0,75.0,47.0,19.0,6.0,114.0,92.0
54,18.0,42.0,25.0,111.0,9.0,53.0,157.0,98.0,33.0,79.0,40.0,131.0,103.0,63.0,28.0,7.0,49.0,52.0,110.0,27.0,95.0,22.0,156.0,12.0,15.0,80.0,36.0,75.0,116.0,51.0
103,12.0,36.0,40.0,6.0,28.0,95.0,31.0,113.0,3.0,131.0,84.0,135.0,43.0,56.0,126.0,37.0,45.0,134.0,71.0,96.0,18.0,17.0,88.0,34.0,153.0,49.0,103.0,129.0,77.0,83.0
152,160.0,18.0,32.0,4.0,13.0,104.0,5.0,59.0,15.0,62.0,137.0,23.0,97.0,37.0,135.0,51.0,53.0,159.0,86.0,0.0,73.0,33.0,36.0,29.0,16.0,50.0,61.0,107.0,117.0,101.0
201,60.0,47.0,27.0,79.0,12.0,37.0,18.0,76.0,19.0,86.0,17.0,140.0,51.0,154.0,41.0,26.0,43.0,147.0,80.0,30.0,55.0,23.0,36.0,75.0,117.0,101.0,146.0,104.0,82.0,99.0
250,23.0,20.0,24.0,68.0,7.0,45.0,2.0,19.0,15.0,141.0,97.0,84.0,80.0,70.0,22.0,148.0,32.0,43.0,89.0,12.0,33.0,21.0,156.0,57.0,50.0,27.0,106.0,144.0,110.0,120.0
299,23.0,11.0,74.0,58.0,26.0,55.0,14.0,29.0,32.0,53.0,57.0,43.0,44.0,50.0,0.0,60.0,22.0,31.0,88.0,21.0,61.0,33.0,20.0,12.0,132.0,77.0,62.0,71.0,39.0,95.0
348,12.0,83.0,31.0,13.0,23.0,11.0,71.0,73.0,9.0,54.0,53.0,48.0,30.0,94.0,132.0,142.0,27.0,61.0,74.0,72.0,32.0,22.0,3.0,34.0,42.0,77.0,81.0,29.0,78.0,38.0
397,8.0,10.0,33.0,22.0,35.0,13.0,1.0,19.0,53.0,12.0,21.0,129.0,27.0,77.0,130.0,83.0,54.0,101.0,44.0,37.0,40.0,25.0,150.0,60.0,29.0,61.0,14.0,59.0,64.0,86.0
446,77.0,61.0,33.0,126.0,18.0,76.0,11.0,67.0,111.0,36.0,90.0,14.0,71.0,34.0,122.0,7.0,40.0,159.0,58.0,144.0,28.0,25.0,151.0,41.0,45.0,64.0,49.0,153.0,74.0,31.0
495,9.0,63.0,13.0,39.0,16.0,32.0,14.0,15.0,76.0,77.0,80.0,26.0,11.0,49.0,12.0,46.0,38.0,42.0,106.0,36.0,57.0,55.0,155.0,128.0,60.0,50.0,8.0,75.0,90.0,58.0
544,11.0,38.0,8.0,134.0,66.0,22.0,20.0,16.0,30.0,155.0,43.0,41.0,77.0,0.0,52.0,137.0,27.0,17.0,84.0,88.0,62.0,57.0,46.0,126.0,29.0,60.0,59.0,156.0,92.0,25.0
593,6.0,54.0,31.0,38.0,30.0,85.0,36.0,21.0,24.0,14.0,56.0,33.0,0.0,17.0,100.0,34.0,62.0,8.0,53.0,81.0,71.0,76.0,26.0,66.0,123.0,19.0,5.0,159.0,88.0,20.0
642,2.0,56.0,22.0,92.0,71.0,85.0,10.0,60.0,133.0,111.0,35.0,88.0,29.0,31.0,136.0,5.0,49.0,3.0,78.0,64.0,81.0,83.0,129.0,58.0,21.0,36.0,77.0,63.0,79.0,25.0
691,26.0,36.0,10.0,18.0,109.0,30.0,7.0,6.0,55.0,0.0,56.0,34.0,39.0,64.0,84.0,28.0,22.0,32.0,111.0,62.0,82.0,95.0,13.0,69.0,131.0,40.0,151.0,80.0,53.0,23.0
740,25.0,23.0,55.0,129.0,40.0,19.0,27.0,9.0,21.0,6.0,43.0,26.0,22.0,66.0,50.0,42.0,61.0,7.0,30.0,80.0,49.0,57.0,86.0,111.0,95.0,38.0,10.0,73.0,62.0,46.0
789,27.0,84.0,22.0,130.0,52.0,20.0,32.0,34.0,9.0,142.0,13.0,26.0,83.0,104.0,39.0,19.0,44.0,2.0,108.0,33.0,77.0,42.0,28.0,31.0,3.0,55.0,49.0,61.0,35.0,92.0
838,1.0,29.0,67.0,125.0,46.0,31.0,50.0,37.0,28.0,110.0,56.0,22.0,2.0,4.0,49.0,40.0,32.0,15.0,43.0,26.0,63.0,45.0,6.0,77.0,19.0,16.0,143.0,35.0,44.0,79.0
887,14.0,23.0,26.0,118.0,15.0,64.0,49.0,38.0,4.0,7.0,9.0,34.0,160.0,51.0,91.0,19.0,39.0,50.0,35.0,65.0,44.0,21.0,73.0,55.0,85.0,33.0,31.0,134.0,28.0,52.0
936,4.0,53.0,14.0,111.0,44.0,25.0,13.0,31.0,105.0,144.0,61.0,52.0,39.0,1.0,136.0,33.0,41.0,22.0,76.0,38.0,35.0,28.0,139.0,48.0,18.0,8.0,65.0,42.0,74.0,68.0
985,4.0,6.0,3.0,98.0,37.0,19.0,2.0,92.0,45.0,131.0,65.0,132.0,85.0,43.0,146.0,7.0,41.0,17.0,155.0,149.0,62.0,50.0,82.0,55.0,158.0,22.0,46.0,119.0,106.0,61.0
1034,23.0,11.0,49.0,93.0,56.0,22.0,69.0,24.0,65.0,131.0,18.0,57.0,39.0,8.0,94.0,102.0,78.0,150.0,38.0,100.0,103.0,92.0,80.0,51.0,75.0,84.0,122.0,127.0,33.0,50.0
1083,7.0,13.0,15.0,31.0,64.0,21.0,22.0,85.0,44.0,16.0,20.0,26.0,35.0,106.0,138.0,48.0,80.0,11.0,87.0,40.0,108.0,28.0,2.0,34.0,139.0,111.0,86.0,43.0,74.0,42.0
1132,17.0,21.0,19.0,2.0,51.0,34.0,90.0,37.0,24.0,9.0,7.0,69.0,10.0,3.0,159.0,14.0,54.0,74.0,77.0,112.0,45.0,68.0,59.0,66.0,29.0,91.0,47.0,116.0,128.0,36.0
1181,11.0,7.0,25.0,5.0,12.0,34.0,1.0,107.0,47.0,4.0,54.0,29.0,44.0,32.0,111.0,58.0,75.0,70.0,69.0,16.0,38.0,60.0,21.0,19.0,72.0,59.0,124.0,130.0,86.0,67.0
1230,36.0,23.0,22.0,11.0,30.0,38.0,7.0,13.0,56.0,28.0,64.0,48.0,73.0,63.0,135.0,34.0,18.0,53.0,68.0,10.0,37.0,70.0,46.0,15.0,12.0,59.0,107.0,83.0,121.0,50.0
