,HAEMATOPOIETIC,LUNG,LARGE_INTESTINE,BREAST,SKIN,OVARY,STOMACH,NERVOUS,URINARY,PANCREAS,SOFT_TISSUE,OESOPHAGUS,AERODIGESTIVE,GANGLIA,BONE,KIDNEY,ENDOMETRIUM,PLEURA,PROSTATE,LIVER,SALIVARY,THYROID,BILIARY
48,0.0,16.0,1.0,9.0,6.0,5.0,3.0,4.0,10.0,2.0,7.0,11.0,8.0,12.0,13.0,20.0,21.0,14.0,15.0,17.0,18.0,19.0,22.0
97,7.0,0.0,1.0,13.0,12.0,6.0,3.0,5.0,4.0,2.0,9.0,8.0,10.0,14.0,11.0,21.0,20.0,16.0,15.0,17.0,18.0,19.0,22.0
146,6.0,3.0,7.0,10.0,1.0,0.0,20.0,5.0,11.0,8.0,2.0,4.0,13.0,12.0,9.0,19.0,21.0,15.0,14.0,16.0,17.0,18.0,22.0
195,0.0,10.0,7.0,9.0,2.0,1.0,3.0,11.0,4.0,8.0,6.0,5.0,13.0,12.0,14.0,19.0,20.0,16.0,15.0,17.0,21.0,18.0,22.0
244,1.0,0.0,8.0,3.0,7.0,5.0,4.0,11.0,10.0,2.0,12.0,6.0,13.0,14.0,9.0,20.0,21.0,16.0,15.0,17.0,18.0,19.0,22.0
293,2.0,9.0,8.0,14.0,11.0,5.0,0.0,4.0,1.0,3.0,7.0,6.0,13.0,10.0,17.0,20.0,21.0,16.0,15.0,12.0,18.0,19.0,22.0
342,0.0,3.0,2.0,10.0,1.0,6.0,4.0,11.0,5.0,13.0,8.0,7.0,14.0,12.0,9.0,20.0,21.0,16.0,15.0,17.0,18.0,19.0,22.0
391,2.0,4.0,3.0,9.0,12.0,1.0,0.0,10.0,5.0,8.0,13.0,14.0,6.0,11.0,7.0,20.0,21.0,16.0,15.0,17.0,18.0,19.0,22.0
440,0.0,16.0,7.0,2.0,1.0,6.0,3.0,5.0,4.0,9.0,12.0,10.0,8.0,11.0,13.0,20.0,21.0,14.0,15.0,17.0,18.0,19.0,22.0
489,0.0,3.0,8.0,2.0,6.0,10.0,1.0,4.0,9.0,15.0,7.0,5.0,12.0,11.0,13.0,19.0,20.0,14.0,16.0,17.0,18.0,21.0,22.0
538,1.0,18.0,9.0,6.0,0.0,5.0,2.0,4.0,3.0,7.0,8.0,16.0,12.0,13.0,21.0,14.0,10.0,11.0,17.0,15.0,19.0,20.0,22.0
587,1.0,10.0,6.0,2.0,0.0,14.0,15.0,4.0,3.0,11.0,7.0,12.0,17.0,16.0,21.0,13.0,5.0,8.0,18.0,9.0,19.0,20.0,22.0
636,0.0,3.0,13.0,9.0,2.0,1.0,10.0,5.0,4.0,8.0,6.0,12.0,7.0,14.0,17.0,11.0,21.0,16.0,15.0,18.0,19.0,20.0,22.0
685,0.0,2.0,8.0,11.0,1.0,6.0,3.0,5.0,4.0,10.0,7.0,13.0,9.0,14.0,21.0,19.0,12.0,20.0,15.0,16.0,17.0,18.0,22.0
734,1.0,0.0,2.0,4.0,9.0,7.0,5.0,19.0,20.0,3.0,10.0,6.0,8.0,12.0,14.0,18.0,11.0,21.0,13.0,15.0,16.0,17.0,22.0
783,4.0,1.0,0.0,7.0,5.0,3.0,18.0,17.0,2.0,6.0,14.0,8.0,10.0,9.0,21.0,16.0,19.0,11.0,12.0,13.0,20.0,15.0,22.0
832,9.0,17.0,0.0,16.0,1.0,6.0,8.0,11.0,7.0,3.0,2.0,10.0,5.0,12.0,20.0,4.0,15.0,14.0,18.0,13.0,21.0,19.0,22.0
881,4.0,0.0,12.0,13.0,6.0,5.0,1.0,3.0,2.0,7.0,11.0,9.0,14.0,10.0,16.0,20.0,8.0,21.0,15.0,17.0,18.0,19.0,22.0
930,5.0,11.0,15.0,8.0,16.0,1.0,0.0,4.0,3.0,2.0,13.0,14.0,9.0,12.0,20.0,6.0,7.0,10.0,17.0,18.0,19.0,21.0,22.0
979,5.0,10.0,1.0,2.0,6.0,4.0,3.0,11.0,0.0,8.0,19.0,15.0,7.0,13.0,21.0,12.0,9.0,14.0,16.0,17.0,18.0,20.0,22.0
1028,1.0,12.0,8.0,6.0,2.0,0.0,3.0,5.0,4.0,16.0,7.0,13.0,11.0,15.0,20.0,14.0,9.0,10.0,17.0,18.0,21.0,19.0,22.0
1077,1.0,0.0,3.0,7.0,8.0,14.0,2.0,4.0,18.0,6.0,9.0,12.0,5.0,16.0,11.0,13.0,10.0,15.0,21.0,19.0,20.0,17.0,22.0
1126,2.0,0.0,11.0,9.0,6.0,1.0,10.0,4.0,3.0,8.0,7.0,5.0,12.0,14.0,13.0,20.0,21.0,16.0,15.0,17.0,18.0,19.0,22.0
1175,0.0,10.0,2.0,9.0,12.0,1.0,3.0,5.0,4.0,13.0,6.0,11.0,15.0,14.0,7.0,20.0,8.0,21.0,16.0,17.0,18.0,19.0,22.0
1224,0.0,15.0,12.0,4.0,1.0,9.0,8.0,6.0,7.0,5.0,3.0,11.0,2.0,16.0,13.0,10.0,14.0,21.0,17.0,18.0,19.0,20.0,22.0
1273,8.0,3.0,4.0,2.0,7.0,10.0,0.0,11.0,1.0,9.0,5.0,6.0,13.0,16.0,12.0,15.0,14.0,20.0,17.0,18.0,19.0,21.0,22.0
1322,0.0,3.0,7.0,2.0,11.0,4.0,9.0,10.0,1.0,8.0,6.0,5.0,12.0,15.0,13.0,20.0,14.0,21.0,16.0,17.0,18.0,19.0,22.0
1371,10.0,0.0,3.0,14.0,5.0,6.0,9.0,7.0,8.0,11.0,4.0,13.0,1.0,16.0,2.0,12.0,15.0,21.0,17.0,18.0,19.0,20.0,22.0
1420,11.0,1.0,7.0,10.0,6.0,4.0,2.0,3.0,0.0,9.0,13.0,12.0,8.0,14.0,15.0,5.0,21.0,17.0,16.0,18.0,19.0,20.0,22.0
1469,10.0,0.0,12.0,4.0,6.0,7.0,9.0,8.0,13.0,11.0,3.0,15.0,14.0,16.0,2.0,5.0,1.0,21.0,17.0,18.0,19.0,20.0,22.0
1518,2.0,15.0,4.0,0.0,3.0,1.0,8.0,7.0,10.0,6.0,5.0,16.0,11.0,9.0,12.0,20.0,14.0,13.0,17.0,21.0,18.0,19.0,22.0
1567,2.0,3.0,5.0,0.0,6.0,1.0,13.0,7.0,8.0,9.0,19.0,15.0,10.0,16.0,11.0,14.0,4.0,12.0,17.0,21.0,18.0,20.0,22.0
1616,12.0,3.0,1.0,10.0,7.0,0.0,11.0,5.0,4.0,2.0,8.0,14.0,13.0,15.0,9.0,6.0,21.0,17.0,16.0,18.0,19.0,20.0,22.0
1665,2.0,0.0,3.0,4.0,6.0,1.0,7.0,8.0,10.0,9.0,11.0,15.0,13.0,16.0,12.0,5.0,14.0,20.0,17.0,18.0,21.0,19.0,22.0
1714,10.0,0.0,1.0,3.0,4.0,8.0,7.0,5.0,6.0,9.0,2.0,16.0,15.0,12.0,13.0,11.0,21.0,14.0,17.0,18.0,19.0,20.0,22.0
1763,10.0,1.0,0.0,3.0,5.0,6.0,9.0,7.0,8.0,15.0,11.0,16.0,2.0,12.0,13.0,4.0,21.0,14.0,17.0,18.0,19.0,20.0,22.0
1812,2.0,12.0,8.0,4.0,0.0,5.0,1.0,14.0,3.0,6.0,7.0,17.0,16.0,15.0,11.0,13.0,9.0,10.0,18.0,20.0,19.0,21.0,22.0
1861,3.0,0.0,1.0,5.0,6.0,2.0,8.0,9.0,7.0,13.0,4.0,16.0,15.0,14.0,10.0,20.0,12.0,11.0,17.0,21.0,18.0,19.0,22.0
1910,2.0,7.0,3.0,1.0,10.0,0.0,14.0,4.0,13.0,6.0,11.0,16.0,15.0,17.0,5.0,12.0,8.0,9.0,18.0,21.0,19.0,20.0,22.0
1959,2.0,15.0,0.0,21.0,3.0,14.0,8.0,7.0,1.0,6.0,4.0,16.0,9.0,10.0,18.0,5.0,13.0,12.0,17.0,11.0,19.0,20.0,22.0
2008,0.0,1.0,4.0,5.0,7.0,8.0,9.0,11.0,12.0,15.0,10.0,6.0,2.0,16.0,3.0,14.0,13.0,21.0,17.0,18.0,19.0,20.0,22.0
2057,2.0,17.0,5.0,3.0,0.0,11.0,1.0,8.0,9.0,7.0,6.0,10.0,4.0,15.0,13.0,19.0,14.0,20.0,16.0,12.0,18.0,21.0,22.0
2106,1.0,3.0,2.0,14.0,7.0,0.0,4.0,6.0,5.0,9.0,19.0,11.0,8.0,15.0,21.0,10.0,13.0,12.0,16.0,17.0,18.0,20.0,22.0
2155,4.0,0.0,7.0,3.0,2.0,20.0,1.0,10.0,9.0,12.0,6.0,14.0,8.0,15.0,11.0,5.0,13.0,21.0,16.0,17.0,18.0,19.0,22.0
2204,2.0,15.0,0.0,1.0,3.0,9.0,8.0,6.0,7.0,5.0,11.0,10.0,12.0,16.0,20.0,4.0,14.0,13.0,17.0,18.0,21.0,19.0,22.0
2253,1.0,2.0,5.0,9.0,13.0,3.0,0.0,11.0,20.0,7.0,18.0,10.0,6.0,12.0,14.0,4.0,8.0,15.0,16.0,21.0,17.0,19.0,22.0
2302,6.0,5.0,1.0,16.0,0.0,2.0,11.0,8.0,9.0,3.0,10.0,4.0,7.0,17.0,13.0,20.0,15.0,14.0,18.0,12.0,21.0,19.0,22.0
2351,1.0,10.0,7.0,3.0,2.0,0.0,4.0,20.0,11.0,9.0,6.0,5.0,15.0,14.0,8.0,12.0,21.0,17.0,16.0,13.0,18.0,19.0,22.0
2400,0.0,1.0,11.0,8.0,7.0,5.0,3.0,2.0,4.0,14.0,10.0,9.0,13.0,15.0,12.0,6.0,21.0,17.0,16.0,18.0,19.0,20.0,22.0
2449,0.0,2.0,11.0,3.0,6.0,1.0,7.0,15.0,9.0,8.0,19.0,4.0,16.0,10.0,12.0,5.0,14.0,13.0,17.0,21.0,18.0,20.0,22.0
2498,9.0,15.0,1.0,4.0,0.0,7.0,12.0,10.0,8.0,6.0,2.0,5.0,20.0,16.0,3.0,21.0,14.0,13.0,17.0,11.0,18.0,19.0,22.0
2547,6.0,17.0,3.0,13.0,0.0,2.0,4.0,1.0,5.0,12.0,8.0,7.0,15.0,14.0,9.0,20.0,10.0,11.0,16.0,21.0,18.0,19.0,22.0
2596,9.0,16.0,2.0,4.0,1.0,0.0,8.0,6.0,7.0,5.0,3.0,10.0,21.0,11.0,13.0,20.0,15.0,14.0,17.0,12.0,18.0,19.0,22.0
