,Porin,C-Raf_pS338,Caspase-7_cleavedD198,Beclin,STAT5-alpha,IRS1,Claudin-7,Cyclin_E2,Acetyl-a-Tubulin (Lys40),CD49b,p90RSK_pT359_S363,P-Cadherin,Bap1 c-4,GATA3,ETS-1,Bcl-2,C-Raf(BD610151),Rb_pS807_S811,PI3K-p110-alpha,GSK-3-BETA,Src_pY416,FRA1,HSP70,CD31,G6PD,PRDX1,IGFBP2,VHL,N-Cadherin,PAI-1
2,0.0,3.0,11.0,5.0,2.0,44.0,1.0,4.0,18.0,20.0,29.0,12.0,27.0,16.0,24.0,13.0,45.0,10.0,6.0,8.0,9.0,25.0,28.0,21.0,15.0,35.0,60.0,7.0,19.0,36.0
51,0.0,6.0,4.0,14.0,21.0,17.0,1.0,12.0,8.0,11.0,16.0,3.0,7.0,23.0,13.0,40.0,30.0,15.0,9.0,22.0,32.0,2.0,62.0,5.0,51.0,27.0,34.0,55.0,29.0,67.0
100,0.0,5.0,9.0,1.0,6.0,11.0,2.0,15.0,20.0,4.0,16.0,10.0,14.0,13.0,24.0,17.0,22.0,19.0,23.0,27.0,7.0,45.0,12.0,3.0,43.0,41.0,33.0,21.0,31.0,65.0
149,0.0,1.0,3.0,8.0,7.0,18.0,4.0,9.0,27.0,56.0,42.0,2.0,14.0,35.0,28.0,32.0,13.0,15.0,12.0,10.0,16.0,5.0,6.0,37.0,48.0,29.0,43.0,25.0,46.0,51.0
198,0.0,6.0,4.0,13.0,1.0,35.0,7.0,11.0,5.0,19.0,21.0,2.0,41.0,44.0,12.0,25.0,34.0,14.0,55.0,20.0,9.0,17.0,10.0,8.0,22.0,15.0,16.0,27.0,42.0,38.0
247,0.0,4.0,7.0,6.0,5.0,41.0,3.0,10.0,19.0,23.0,2.0,1.0,55.0,37.0,24.0,17.0,14.0,9.0,11.0,21.0,16.0,22.0,26.0,12.0,31.0,8.0,15.0,30.0,32.0,42.0
296,0.0,5.0,4.0,1.0,27.0,35.0,3.0,34.0,2.0,6.0,7.0,8.0,42.0,10.0,11.0,59.0,15.0,13.0,9.0,30.0,16.0,23.0,33.0,14.0,12.0,26.0,73.0,21.0,41.0,31.0
345,0.0,8.0,1.0,2.0,14.0,29.0,11.0,3.0,5.0,10.0,25.0,4.0,18.0,9.0,7.0,12.0,24.0,32.0,22.0,21.0,6.0,23.0,16.0,38.0,48.0,19.0,20.0,33.0,41.0,42.0
394,3.0,9.0,16.0,4.0,2.0,33.0,6.0,20.0,5.0,24.0,0.0,8.0,27.0,44.0,1.0,11.0,32.0,12.0,7.0,31.0,19.0,17.0,18.0,14.0,38.0,28.0,29.0,13.0,47.0,45.0
443,0.0,4.0,8.0,5.0,2.0,18.0,1.0,22.0,7.0,12.0,11.0,3.0,19.0,51.0,6.0,24.0,26.0,21.0,27.0,15.0,13.0,9.0,28.0,34.0,101.0,53.0,29.0,39.0,33.0,14.0
