,1-methylnicotinamide,alpha-glycerophosphate,C22:6 CE,C20:4 CE,C16:0 LPE,N-carbamoyl-beta-alanine,UMP,pantothenate,oxalate,SDMA/ADMA,C22:6 LPC,C34:2 DAG,niacinamide,NADP,2-deoxycytidine,5-HIAA,isocitrate,adenosine,phosphocreatine,cytidine,carnitine,hexoses (HILIC neg),creatinine,taurodeoxycholate,3-phosphoglycerate,C56:5 TAG,pyroglutamic acid,2-deoxyadenosine,urate,creatine
25,0.0,1.0,4.0,3.0,2.0,14.0,5.0,8.0,7.0,12.0,25.0,6.0,17.0,16.0,46.0,35.0,36.0,11.0,13.0,28.0,10.0,15.0,34.0,18.0,9.0,20.0,22.0,33.0,23.0,30.0
74,0.0,1.0,7.0,2.0,9.0,12.0,3.0,4.0,19.0,6.0,11.0,13.0,5.0,8.0,23.0,30.0,56.0,14.0,10.0,48.0,42.0,18.0,26.0,24.0,27.0,21.0,54.0,36.0,41.0,46.0
123,0.0,1.0,2.0,3.0,4.0,7.0,5.0,6.0,13.0,18.0,19.0,16.0,12.0,20.0,8.0,52.0,35.0,10.0,33.0,14.0,50.0,24.0,38.0,46.0,23.0,53.0,40.0,36.0,9.0,30.0
172,0.0,2.0,3.0,1.0,4.0,7.0,6.0,5.0,9.0,8.0,30.0,16.0,21.0,23.0,11.0,51.0,12.0,17.0,13.0,18.0,41.0,15.0,44.0,25.0,19.0,20.0,33.0,14.0,10.0,28.0
221,0.0,4.0,1.0,2.0,6.0,9.0,3.0,16.0,8.0,14.0,32.0,10.0,7.0,5.0,15.0,20.0,12.0,11.0,22.0,13.0,37.0,17.0,23.0,19.0,28.0,21.0,50.0,41.0,25.0,36.0
270,0.0,1.0,3.0,2.0,5.0,11.0,4.0,6.0,14.0,22.0,24.0,7.0,55.0,26.0,19.0,23.0,13.0,12.0,8.0,29.0,28.0,16.0,21.0,30.0,15.0,9.0,33.0,10.0,17.0,41.0
319,0.0,1.0,2.0,6.0,5.0,4.0,3.0,7.0,9.0,25.0,37.0,8.0,10.0,28.0,30.0,14.0,36.0,23.0,17.0,21.0,26.0,22.0,51.0,18.0,19.0,32.0,24.0,61.0,13.0,50.0
368,0.0,2.0,1.0,4.0,6.0,3.0,12.0,7.0,5.0,44.0,39.0,15.0,11.0,9.0,10.0,43.0,24.0,18.0,8.0,16.0,42.0,26.0,48.0,13.0,21.0,53.0,58.0,27.0,35.0,25.0
417,0.0,1.0,6.0,4.0,14.0,5.0,2.0,3.0,10.0,13.0,12.0,16.0,18.0,8.0,20.0,43.0,28.0,22.0,7.0,33.0,25.0,21.0,27.0,11.0,34.0,55.0,48.0,51.0,9.0,31.0
466,0.0,1.0,4.0,2.0,5.0,6.0,12.0,3.0,7.0,34.0,30.0,33.0,8.0,36.0,14.0,10.0,21.0,37.0,13.0,22.0,35.0,26.0,42.0,44.0,19.0,41.0,16.0,43.0,15.0,31.0
515,0.0,1.0,4.0,10.0,3.0,8.0,6.0,5.0,11.0,12.0,7.0,14.0,21.0,2.0,32.0,17.0,15.0,22.0,9.0,40.0,57.0,25.0,19.0,28.0,31.0,37.0,18.0,29.0,48.0,50.0
564,0.0,4.0,2.0,1.0,3.0,6.0,5.0,16.0,7.0,18.0,17.0,8.0,20.0,31.0,10.0,41.0,13.0,21.0,9.0,34.0,45.0,14.0,19.0,30.0,28.0,54.0,23.0,11.0,43.0,52.0
613,0.0,2.0,1.0,5.0,7.0,3.0,6.0,11.0,12.0,4.0,20.0,9.0,25.0,24.0,17.0,15.0,8.0,10.0,13.0,39.0,14.0,27.0,26.0,51.0,34.0,29.0,31.0,33.0,62.0,22.0
662,0.0,4.0,6.0,3.0,1.0,7.0,2.0,16.0,14.0,8.0,11.0,10.0,49.0,34.0,40.0,28.0,5.0,59.0,13.0,36.0,57.0,9.0,15.0,17.0,35.0,22.0,12.0,18.0,26.0,25.0
711,0.0,1.0,2.0,6.0,4.0,5.0,3.0,10.0,7.0,18.0,9.0,11.0,17.0,8.0,20.0,14.0,22.0,53.0,16.0,30.0,48.0,15.0,33.0,13.0,27.0,35.0,12.0,26.0,29.0,38.0
760,0.0,3.0,1.0,4.0,2.0,5.0,6.0,17.0,7.0,13.0,15.0,11.0,21.0,30.0,35.0,9.0,16.0,24.0,10.0,32.0,55.0,18.0,8.0,14.0,48.0,54.0,49.0,26.0,51.0,22.0
809,0.0,3.0,1.0,2.0,4.0,5.0,6.0,8.0,10.0,7.0,19.0,16.0,17.0,18.0,14.0,21.0,11.0,56.0,29.0,45.0,57.0,9.0,22.0,30.0,39.0,36.0,23.0,35.0,13.0,49.0
858,0.0,2.0,1.0,5.0,3.0,4.0,6.0,7.0,18.0,10.0,13.0,9.0,22.0,8.0,29.0,26.0,12.0,17.0,16.0,57.0,21.0,11.0,20.0,30.0,47.0,46.0,33.0,15.0,34.0,42.0
907,0.0,1.0,2.0,7.0,4.0,3.0,5.0,16.0,9.0,6.0,13.0,8.0,23.0,10.0,11.0,17.0,29.0,48.0,30.0,42.0,61.0,22.0,41.0,20.0,15.0,55.0,38.0,37.0,58.0,53.0
956,0.0,1.0,2.0,8.0,3.0,7.0,5.0,13.0,4.0,6.0,12.0,24.0,17.0,11.0,46.0,63.0,10.0,26.0,15.0,34.0,50.0,29.0,23.0,30.0,38.0,55.0,31.0,18.0,9.0,19.0
1005,0.0,1.0,6.0,4.0,2.0,8.0,13.0,3.0,9.0,18.0,7.0,12.0,38.0,5.0,28.0,11.0,53.0,54.0,27.0,16.0,34.0,14.0,19.0,35.0,17.0,30.0,20.0,22.0,24.0,47.0
1054,0.0,4.0,5.0,1.0,2.0,6.0,3.0,11.0,13.0,16.0,7.0,17.0,26.0,28.0,8.0,47.0,30.0,20.0,40.0,9.0,12.0,21.0,24.0,18.0,19.0,10.0,25.0,31.0,14.0,15.0
1103,0.0,1.0,2.0,3.0,6.0,7.0,4.0,5.0,14.0,8.0,10.0,34.0,27.0,61.0,33.0,25.0,22.0,16.0,45.0,9.0,24.0,30.0,28.0,29.0,13.0,11.0,49.0,52.0,50.0,31.0
1152,0.0,1.0,11.0,6.0,3.0,4.0,2.0,9.0,7.0,5.0,16.0,30.0,8.0,27.0,15.0,50.0,22.0,24.0,20.0,10.0,42.0,31.0,41.0,62.0,21.0,14.0,33.0,23.0,38.0,18.0
1201,0.0,1.0,4.0,3.0,2.0,7.0,5.0,14.0,8.0,9.0,10.0,16.0,18.0,6.0,19.0,13.0,53.0,11.0,21.0,25.0,20.0,15.0,65.0,54.0,24.0,58.0,60.0,46.0,55.0,29.0
1250,0.0,1.0,3.0,2.0,9.0,12.0,10.0,5.0,11.0,16.0,7.0,21.0,14.0,8.0,4.0,24.0,34.0,15.0,18.0,6.0,29.0,31.0,22.0,64.0,20.0,17.0,47.0,19.0,40.0,54.0
