,alpha-Catenin,Chk1,beta-Catenin,VAV1,MSH6,RAD51,Fibronectin,C-Raf(BD610151),YAP_pS127,C-Raf(MP05-739),Claudin-7,NDRG1_pT346,CD49b,Stathmin,4E-BP1,Lck,PAI-1,AMPK_pT172,A-Raf_pS299,Chk1_pS345,Rb_pS807_S811,Bap1 c-4,p62 Lck ligand,Src_pY416,Src,VEGFR2,SF2,B-Raf_pS445,Rb,MDMX_MDM4(BetIHC-00108)
0,0.0,4.0,3.0,10.0,7.0,35.0,31.0,8.0,14.0,11.0,2.0,43.0,1.0,6.0,25.0,80.0,23.0,13.0,21.0,16.0,27.0,9.0,5.0,32.0,18.0,41.0,12.0,58.0,20.0,17.0
49,3.0,28.0,0.0,4.0,7.0,10.0,50.0,8.0,17.0,14.0,1.0,29.0,37.0,9.0,53.0,76.0,30.0,58.0,6.0,12.0,5.0,20.0,2.0,27.0,26.0,15.0,16.0,25.0,64.0,38.0
98,2.0,13.0,3.0,6.0,7.0,20.0,23.0,8.0,12.0,52.0,9.0,10.0,5.0,0.0,1.0,66.0,24.0,143.0,68.0,19.0,27.0,14.0,4.0,16.0,47.0,105.0,11.0,44.0,112.0,72.0
147,5.0,26.0,9.0,4.0,1.0,45.0,23.0,14.0,18.0,16.0,3.0,7.0,0.0,34.0,19.0,20.0,32.0,17.0,28.0,54.0,11.0,10.0,6.0,2.0,110.0,61.0,8.0,55.0,12.0,43.0
196,1.0,41.0,3.0,36.0,2.0,29.0,28.0,4.0,9.0,21.0,0.0,10.0,6.0,15.0,12.0,112.0,32.0,17.0,5.0,95.0,92.0,42.0,8.0,13.0,30.0,69.0,25.0,18.0,44.0,57.0
245,4.0,7.0,0.0,9.0,1.0,32.0,21.0,18.0,33.0,31.0,2.0,8.0,5.0,12.0,15.0,95.0,28.0,17.0,25.0,23.0,27.0,10.0,20.0,3.0,67.0,130.0,26.0,16.0,34.0,62.0
294,13.0,0.0,7.0,9.0,1.0,8.0,14.0,6.0,50.0,17.0,3.0,11.0,5.0,33.0,15.0,32.0,40.0,31.0,18.0,55.0,127.0,16.0,12.0,4.0,92.0,34.0,28.0,100.0,45.0,73.0
343,5.0,3.0,1.0,16.0,0.0,28.0,15.0,2.0,29.0,7.0,4.0,21.0,6.0,18.0,12.0,43.0,49.0,48.0,26.0,59.0,33.0,69.0,25.0,14.0,57.0,31.0,35.0,23.0,82.0,20.0
392,6.0,10.0,1.0,20.0,0.0,16.0,28.0,9.0,45.0,11.0,3.0,15.0,5.0,2.0,8.0,36.0,163.0,12.0,22.0,57.0,54.0,13.0,18.0,19.0,30.0,113.0,37.0,66.0,34.0,51.0
441,0.0,4.0,6.0,8.0,7.0,10.0,2.0,30.0,24.0,28.0,20.0,21.0,40.0,1.0,3.0,17.0,31.0,14.0,29.0,67.0,32.0,65.0,13.0,15.0,123.0,73.0,44.0,47.0,43.0,16.0
490,12.0,5.0,10.0,3.0,0.0,19.0,18.0,1.0,11.0,9.0,8.0,2.0,69.0,6.0,17.0,20.0,4.0,53.0,7.0,33.0,66.0,75.0,26.0,44.0,57.0,30.0,51.0,61.0,22.0,28.0
539,24.0,0.0,21.0,8.0,1.0,4.0,25.0,5.0,20.0,11.0,13.0,7.0,26.0,9.0,10.0,32.0,6.0,34.0,12.0,2.0,69.0,27.0,31.0,136.0,103.0,19.0,55.0,33.0,17.0,28.0
588,50.0,0.0,26.0,2.0,7.0,9.0,14.0,10.0,18.0,6.0,3.0,1.0,21.0,19.0,27.0,5.0,8.0,15.0,4.0,23.0,54.0,11.0,33.0,104.0,44.0,16.0,36.0,97.0,12.0,13.0
637,7.0,5.0,9.0,0.0,3.0,35.0,1.0,31.0,21.0,4.0,16.0,6.0,149.0,17.0,12.0,22.0,13.0,8.0,25.0,26.0,48.0,116.0,2.0,73.0,14.0,18.0,111.0,74.0,11.0,23.0
686,1.0,0.0,3.0,17.0,2.0,6.0,5.0,9.0,30.0,4.0,13.0,7.0,35.0,76.0,66.0,55.0,11.0,10.0,23.0,8.0,84.0,25.0,14.0,105.0,74.0,29.0,19.0,16.0,18.0,46.0
735,4.0,0.0,7.0,6.0,11.0,1.0,8.0,13.0,9.0,2.0,43.0,3.0,45.0,16.0,77.0,109.0,24.0,5.0,34.0,17.0,127.0,95.0,22.0,61.0,102.0,29.0,26.0,20.0,12.0,37.0
784,1.0,2.0,17.0,10.0,4.0,14.0,5.0,0.0,7.0,9.0,12.0,41.0,47.0,20.0,8.0,29.0,3.0,36.0,18.0,11.0,15.0,25.0,19.0,58.0,39.0,16.0,26.0,6.0,22.0,32.0
833,1.0,0.0,33.0,6.0,5.0,10.0,2.0,17.0,3.0,8.0,12.0,7.0,19.0,23.0,13.0,11.0,18.0,24.0,4.0,9.0,64.0,22.0,30.0,99.0,14.0,46.0,25.0,37.0,50.0,51.0
882,0.0,2.0,3.0,1.0,19.0,9.0,6.0,4.0,8.0,7.0,12.0,29.0,5.0,14.0,16.0,22.0,18.0,38.0,15.0,21.0,13.0,128.0,17.0,102.0,36.0,32.0,109.0,25.0,11.0,23.0
931,5.0,4.0,31.0,3.0,34.0,11.0,12.0,1.0,20.0,0.0,28.0,2.0,24.0,13.0,7.0,8.0,23.0,10.0,17.0,9.0,163.0,118.0,104.0,25.0,66.0,29.0,48.0,19.0,41.0,52.0
980,4.0,17.0,2.0,10.0,36.0,1.0,8.0,7.0,23.0,0.0,6.0,16.0,41.0,9.0,66.0,37.0,5.0,38.0,11.0,15.0,13.0,30.0,54.0,12.0,34.0,24.0,3.0,33.0,27.0,25.0
1029,4.0,37.0,2.0,3.0,30.0,26.0,1.0,7.0,15.0,0.0,27.0,14.0,75.0,12.0,13.0,11.0,6.0,35.0,31.0,25.0,42.0,23.0,108.0,158.0,8.0,19.0,5.0,38.0,22.0,21.0
1078,7.0,9.0,1.0,4.0,12.0,37.0,27.0,3.0,10.0,2.0,58.0,17.0,16.0,5.0,48.0,11.0,8.0,24.0,19.0,46.0,14.0,6.0,122.0,85.0,21.0,40.0,0.0,42.0,76.0,54.0
1127,4.0,10.0,2.0,12.0,6.0,9.0,21.0,0.0,5.0,1.0,24.0,78.0,20.0,7.0,14.0,85.0,37.0,91.0,28.0,49.0,44.0,76.0,141.0,36.0,39.0,26.0,3.0,52.0,58.0,18.0
1176,11.0,9.0,3.0,4.0,27.0,19.0,6.0,1.0,14.0,0.0,10.0,87.0,44.0,29.0,12.0,2.0,8.0,16.0,30.0,68.0,50.0,28.0,115.0,24.0,65.0,35.0,5.0,96.0,18.0,20.0
1225,17.0,1.0,8.0,5.0,22.0,9.0,29.0,3.0,6.0,0.0,10.0,2.0,12.0,11.0,32.0,16.0,4.0,15.0,34.0,13.0,23.0,53.0,89.0,41.0,21.0,27.0,7.0,55.0,49.0,62.0
1274,6.0,1.0,0.0,12.0,16.0,11.0,28.0,2.0,5.0,4.0,8.0,22.0,20.0,3.0,111.0,7.0,23.0,24.0,67.0,17.0,75.0,25.0,31.0,86.0,14.0,37.0,10.0,97.0,77.0,9.0
1323,2.0,1.0,12.0,26.0,8.0,7.0,15.0,16.0,14.0,0.0,6.0,10.0,4.0,5.0,17.0,13.0,39.0,29.0,11.0,23.0,20.0,3.0,31.0,103.0,27.0,61.0,28.0,57.0,71.0,22.0
1372,1.0,18.0,7.0,8.0,15.0,3.0,9.0,4.0,2.0,12.0,6.0,11.0,0.0,5.0,35.0,13.0,47.0,16.0,25.0,23.0,27.0,20.0,34.0,41.0,45.0,28.0,10.0,115.0,75.0,17.0
