,alpha-Catenin,Chk1,beta-Catenin,VAV1,MSH6,RAD51,Fibronectin,C-Raf(BD610151),YAP_pS127,C-Raf(MP05-739),Claudin-7,NDRG1_pT346,CD49b,Stathmin,4E-BP1,Lck,PAI-1,AMPK_pT172,A-Raf_pS299,Chk1_pS345,Rb_pS807_S811,Bap1 c-4,p62 Lck ligand,Src_pY416,Src,VEGFR2,SF2,B-Raf_pS445,Rb,MDMX_MDM4(BetIHC-00108)
1421,5.0,0.0,37.0,12.0,4.0,6.0,11.0,2.0,25.0,3.0,1.0,89.0,23.0,13.0,14.0,50.0,90.0,62.0,70.0,76.0,17.0,7.0,64.0,159.0,29.0,41.0,10.0,34.0,43.0,9.0
1470,0.0,8.0,7.0,21.0,19.0,1.0,2.0,3.0,4.0,11.0,10.0,29.0,32.0,6.0,30.0,13.0,15.0,31.0,59.0,14.0,16.0,23.0,70.0,140.0,5.0,12.0,18.0,26.0,82.0,56.0
1519,1.0,9.0,4.0,8.0,13.0,5.0,12.0,2.0,7.0,14.0,0.0,17.0,6.0,46.0,31.0,23.0,3.0,60.0,49.0,32.0,16.0,34.0,20.0,22.0,33.0,11.0,37.0,26.0,29.0,10.0
1568,3.0,5.0,2.0,12.0,16.0,0.0,8.0,11.0,4.0,20.0,10.0,13.0,31.0,19.0,6.0,1.0,17.0,64.0,118.0,14.0,15.0,56.0,9.0,49.0,21.0,7.0,38.0,30.0,35.0,37.0
1617,1.0,4.0,0.0,20.0,15.0,5.0,8.0,12.0,11.0,51.0,7.0,3.0,18.0,23.0,35.0,25.0,2.0,26.0,48.0,19.0,6.0,63.0,16.0,31.0,29.0,37.0,47.0,24.0,27.0,41.0
1666,1.0,3.0,0.0,37.0,10.0,23.0,4.0,12.0,13.0,21.0,6.0,7.0,5.0,38.0,2.0,32.0,16.0,35.0,33.0,9.0,20.0,149.0,51.0,53.0,28.0,11.0,68.0,36.0,113.0,22.0
1715,1.0,9.0,0.0,8.0,15.0,5.0,3.0,28.0,2.0,44.0,7.0,13.0,39.0,85.0,6.0,4.0,16.0,20.0,22.0,17.0,72.0,49.0,18.0,130.0,25.0,11.0,43.0,45.0,38.0,10.0
1764,0.0,31.0,2.0,10.0,17.0,22.0,5.0,9.0,3.0,19.0,8.0,30.0,32.0,11.0,6.0,12.0,7.0,24.0,14.0,26.0,16.0,1.0,15.0,100.0,20.0,13.0,94.0,29.0,60.0,41.0
1813,0.0,18.0,24.0,9.0,23.0,1.0,8.0,11.0,2.0,134.0,7.0,5.0,3.0,123.0,17.0,16.0,4.0,42.0,30.0,12.0,13.0,22.0,28.0,90.0,93.0,26.0,35.0,10.0,67.0,19.0
1862,5.0,2.0,27.0,7.0,20.0,9.0,0.0,14.0,1.0,72.0,26.0,10.0,17.0,15.0,28.0,13.0,16.0,22.0,29.0,3.0,6.0,4.0,42.0,50.0,39.0,18.0,36.0,56.0,74.0,8.0
1911,0.0,28.0,13.0,1.0,5.0,15.0,6.0,8.0,9.0,137.0,25.0,4.0,58.0,29.0,20.0,19.0,14.0,27.0,22.0,7.0,12.0,2.0,23.0,161.0,18.0,21.0,113.0,11.0,147.0,10.0
1960,6.0,8.0,0.0,2.0,63.0,3.0,14.0,54.0,1.0,87.0,10.0,22.0,12.0,17.0,5.0,13.0,18.0,9.0,29.0,149.0,34.0,75.0,55.0,24.0,32.0,62.0,21.0,36.0,49.0,4.0
2009,14.0,4.0,1.0,0.0,29.0,37.0,10.0,11.0,2.0,18.0,16.0,12.0,7.0,53.0,15.0,22.0,55.0,36.0,23.0,85.0,59.0,21.0,95.0,3.0,34.0,115.0,9.0,42.0,30.0,28.0
2058,2.0,1.0,13.0,3.0,31.0,23.0,15.0,11.0,0.0,24.0,10.0,4.0,6.0,12.0,63.0,5.0,18.0,9.0,7.0,16.0,54.0,32.0,116.0,14.0,50.0,44.0,17.0,81.0,128.0,29.0
2107,11.0,0.0,1.0,3.0,47.0,17.0,78.0,18.0,6.0,8.0,58.0,2.0,14.0,15.0,89.0,7.0,33.0,26.0,4.0,68.0,22.0,48.0,13.0,12.0,9.0,31.0,10.0,21.0,46.0,56.0
2156,8.0,30.0,1.0,2.0,12.0,28.0,11.0,19.0,3.0,24.0,37.0,7.0,4.0,9.0,10.0,5.0,52.0,16.0,14.0,82.0,144.0,25.0,17.0,22.0,133.0,152.0,20.0,41.0,35.0,29.0
2205,13.0,6.0,3.0,0.0,5.0,25.0,10.0,24.0,7.0,22.0,107.0,12.0,60.0,9.0,18.0,4.0,8.0,2.0,30.0,50.0,43.0,76.0,1.0,41.0,88.0,29.0,21.0,19.0,28.0,114.0
2254,7.0,28.0,1.0,8.0,0.0,39.0,20.0,11.0,23.0,9.0,22.0,4.0,3.0,5.0,14.0,16.0,15.0,12.0,2.0,25.0,84.0,18.0,35.0,17.0,115.0,31.0,33.0,145.0,72.0,19.0
2303,13.0,2.0,1.0,0.0,11.0,22.0,47.0,5.0,6.0,35.0,20.0,7.0,3.0,8.0,12.0,46.0,39.0,18.0,21.0,42.0,118.0,78.0,28.0,88.0,10.0,16.0,82.0,135.0,33.0,69.0
2352,6.0,20.0,1.0,16.0,3.0,23.0,19.0,15.0,10.0,7.0,91.0,2.0,0.0,8.0,14.0,13.0,9.0,18.0,39.0,35.0,58.0,56.0,29.0,17.0,12.0,27.0,74.0,37.0,25.0,28.0
2401,8.0,9.0,1.0,10.0,3.0,18.0,2.0,4.0,5.0,107.0,31.0,0.0,13.0,14.0,37.0,25.0,46.0,28.0,32.0,47.0,86.0,40.0,133.0,48.0,12.0,34.0,94.0,92.0,68.0,23.0
2450,8.0,1.0,4.0,11.0,0.0,5.0,22.0,9.0,21.0,14.0,2.0,6.0,116.0,3.0,13.0,7.0,49.0,23.0,52.0,20.0,41.0,35.0,30.0,25.0,17.0,43.0,15.0,118.0,37.0,18.0
2499,6.0,1.0,3.0,5.0,0.0,67.0,38.0,28.0,8.0,20.0,23.0,10.0,16.0,9.0,2.0,4.0,37.0,49.0,14.0,63.0,103.0,84.0,19.0,35.0,12.0,79.0,22.0,26.0,93.0,18.0
2548,12.0,1.0,5.0,0.0,4.0,38.0,2.0,17.0,32.0,24.0,20.0,7.0,25.0,11.0,9.0,3.0,160.0,58.0,18.0,6.0,85.0,36.0,16.0,8.0,15.0,23.0,89.0,57.0,48.0,19.0
2597,1.0,0.0,4.0,3.0,6.0,7.0,8.0,29.0,16.0,10.0,22.0,45.0,11.0,13.0,2.0,5.0,159.0,60.0,19.0,34.0,77.0,56.0,20.0,14.0,30.0,55.0,35.0,82.0,15.0,58.0
2646,2.0,3.0,4.0,1.0,23.0,6.0,7.0,13.0,12.0,37.0,52.0,42.0,15.0,29.0,8.0,0.0,68.0,81.0,95.0,102.0,57.0,20.0,64.0,9.0,85.0,32.0,58.0,34.0,16.0,48.0
2695,0.0,3.0,7.0,1.0,6.0,20.0,5.0,9.0,44.0,15.0,29.0,159.0,21.0,12.0,4.0,2.0,75.0,19.0,25.0,27.0,158.0,23.0,126.0,65.0,51.0,69.0,102.0,16.0,79.0,48.0
2744,9.0,3.0,4.0,0.0,43.0,13.0,1.0,55.0,2.0,25.0,10.0,26.0,41.0,45.0,7.0,18.0,87.0,36.0,12.0,73.0,30.0,105.0,24.0,8.0,23.0,44.0,67.0,42.0,17.0,81.0
2793,7.0,4.0,16.0,0.0,6.0,11.0,10.0,13.0,23.0,3.0,57.0,21.0,29.0,30.0,8.0,2.0,5.0,93.0,37.0,72.0,17.0,22.0,20.0,15.0,25.0,102.0,124.0,38.0,14.0,24.0
2842,2.0,4.0,6.0,3.0,23.0,15.0,5.0,16.0,24.0,0.0,21.0,11.0,31.0,12.0,1.0,18.0,125.0,7.0,9.0,59.0,37.0,39.0,13.0,14.0,72.0,25.0,51.0,52.0,35.0,92.0
2891,22.0,2.0,6.0,1.0,14.0,10.0,0.0,23.0,62.0,11.0,12.0,18.0,82.0,28.0,3.0,16.0,56.0,48.0,8.0,13.0,110.0,17.0,120.0,9.0,4.0,26.0,45.0,38.0,37.0,30.0
2940,2.0,0.0,3.0,24.0,13.0,14.0,1.0,6.0,12.0,4.0,7.0,11.0,8.0,10.0,15.0,59.0,97.0,5.0,20.0,21.0,34.0,26.0,80.0,31.0,22.0,39.0,19.0,9.0,23.0,17.0
2989,2.0,4.0,3.0,19.0,7.0,12.0,1.0,17.0,10.0,16.0,11.0,147.0,0.0,14.0,23.0,22.0,121.0,5.0,15.0,18.0,24.0,6.0,52.0,73.0,33.0,25.0,21.0,8.0,31.0,26.0
3038,4.0,7.0,2.0,20.0,3.0,12.0,5.0,8.0,24.0,60.0,19.0,29.0,1.0,15.0,25.0,30.0,67.0,0.0,21.0,14.0,16.0,54.0,128.0,41.0,58.0,35.0,13.0,6.0,36.0,55.0
3087,4.0,1.0,5.0,13.0,11.0,14.0,6.0,0.0,26.0,12.0,19.0,20.0,2.0,9.0,64.0,3.0,47.0,23.0,22.0,60.0,10.0,16.0,30.0,15.0,114.0,39.0,25.0,7.0,75.0,106.0
3136,0.0,9.0,2.0,17.0,3.0,11.0,6.0,15.0,7.0,1.0,8.0,26.0,22.0,5.0,40.0,12.0,141.0,65.0,10.0,57.0,4.0,28.0,37.0,72.0,18.0,85.0,79.0,16.0,13.0,23.0
3185,0.0,2.0,1.0,20.0,28.0,7.0,3.0,10.0,30.0,4.0,9.0,16.0,8.0,5.0,11.0,24.0,120.0,27.0,12.0,83.0,31.0,18.0,109.0,65.0,23.0,45.0,19.0,21.0,54.0,22.0
3234,1.0,0.0,4.0,23.0,10.0,35.0,7.0,5.0,8.0,16.0,11.0,9.0,24.0,6.0,36.0,101.0,30.0,3.0,45.0,58.0,2.0,74.0,25.0,19.0,13.0,145.0,17.0,15.0,21.0,73.0
3283,0.0,4.0,1.0,27.0,7.0,24.0,11.0,21.0,6.0,16.0,9.0,8.0,10.0,17.0,41.0,36.0,75.0,2.0,12.0,126.0,13.0,30.0,49.0,29.0,3.0,116.0,23.0,15.0,45.0,18.0
3332,0.0,9.0,1.0,6.0,15.0,7.0,21.0,5.0,4.0,3.0,10.0,108.0,8.0,11.0,28.0,31.0,35.0,2.0,19.0,132.0,25.0,85.0,23.0,57.0,18.0,22.0,17.0,12.0,62.0,47.0
3381,0.0,22.0,2.0,3.0,8.0,35.0,19.0,18.0,1.0,9.0,16.0,12.0,4.0,7.0,25.0,58.0,139.0,11.0,116.0,26.0,46.0,113.0,92.0,41.0,6.0,86.0,10.0,15.0,57.0,17.0
3430,0.0,2.0,16.0,18.0,1.0,15.0,25.0,11.0,4.0,29.0,44.0,8.0,3.0,48.0,12.0,7.0,40.0,70.0,10.0,9.0,5.0,6.0,13.0,17.0,34.0,22.0,47.0,30.0,21.0,57.0
3479,1.0,3.0,10.0,15.0,4.0,6.0,50.0,9.0,13.0,5.0,43.0,21.0,14.0,46.0,33.0,19.0,7.0,68.0,8.0,18.0,12.0,20.0,37.0,0.0,39.0,38.0,108.0,44.0,66.0,49.0
3528,1.0,0.0,7.0,15.0,3.0,10.0,89.0,4.0,13.0,2.0,36.0,6.0,8.0,31.0,16.0,14.0,19.0,22.0,9.0,20.0,5.0,12.0,21.0,39.0,63.0,11.0,41.0,26.0,43.0,56.0
3577,2.0,5.0,80.0,16.0,0.0,8.0,30.0,10.0,29.0,7.0,22.0,1.0,4.0,17.0,36.0,11.0,31.0,26.0,6.0,21.0,3.0,19.0,28.0,13.0,41.0,14.0,84.0,92.0,15.0,66.0
3626,1.0,3.0,32.0,15.0,2.0,5.0,23.0,7.0,25.0,0.0,11.0,30.0,10.0,56.0,33.0,9.0,29.0,16.0,4.0,38.0,6.0,8.0,12.0,20.0,35.0,14.0,42.0,44.0,39.0,72.0
3675,3.0,6.0,23.0,4.0,0.0,8.0,1.0,14.0,17.0,2.0,9.0,73.0,20.0,49.0,65.0,18.0,25.0,36.0,7.0,44.0,5.0,15.0,43.0,12.0,40.0,26.0,45.0,112.0,30.0,42.0
3724,24.0,3.0,9.0,40.0,1.0,4.0,2.0,8.0,18.0,0.0,11.0,20.0,13.0,62.0,52.0,7.0,23.0,44.0,10.0,5.0,6.0,30.0,32.0,58.0,50.0,22.0,21.0,74.0,19.0,91.0
3773,10.0,1.0,2.0,22.0,4.0,18.0,82.0,11.0,20.0,0.0,8.0,14.0,5.0,32.0,21.0,3.0,17.0,13.0,25.0,19.0,15.0,67.0,55.0,6.0,103.0,24.0,27.0,80.0,33.0,29.0
3822,0.0,1.0,5.0,11.0,8.0,9.0,115.0,6.0,10.0,2.0,15.0,4.0,3.0,53.0,89.0,25.0,18.0,29.0,92.0,20.0,7.0,24.0,36.0,26.0,13.0,31.0,28.0,65.0,27.0,80.0
3871,33.0,5.0,0.0,2.0,4.0,8.0,9.0,68.0,26.0,24.0,39.0,10.0,1.0,29.0,47.0,3.0,16.0,30.0,56.0,17.0,19.0,78.0,12.0,6.0,34.0,43.0,15.0,112.0,70.0,31.0
3920,0.0,1.0,4.0,5.0,2.0,13.0,14.0,8.0,23.0,16.0,3.0,21.0,20.0,41.0,24.0,36.0,6.0,12.0,31.0,10.0,33.0,19.0,40.0,93.0,77.0,64.0,43.0,46.0,7.0,28.0
3969,0.0,1.0,12.0,5.0,2.0,4.0,11.0,3.0,23.0,13.0,8.0,22.0,14.0,15.0,18.0,37.0,7.0,6.0,53.0,9.0,84.0,86.0,30.0,87.0,74.0,36.0,16.0,20.0,38.0,43.0
4018,0.0,1.0,18.0,6.0,2.0,13.0,10.0,4.0,21.0,5.0,8.0,26.0,9.0,19.0,11.0,78.0,20.0,3.0,50.0,7.0,63.0,37.0,25.0,29.0,52.0,131.0,12.0,24.0,14.0,34.0
4067,5.0,0.0,11.0,3.0,6.0,10.0,42.0,1.0,17.0,8.0,12.0,14.0,18.0,15.0,16.0,4.0,7.0,2.0,37.0,61.0,63.0,9.0,49.0,34.0,79.0,19.0,84.0,29.0,72.0,52.0
4116,2.0,0.0,5.0,3.0,18.0,6.0,30.0,16.0,11.0,9.0,4.0,10.0,34.0,19.0,39.0,26.0,8.0,1.0,14.0,22.0,7.0,15.0,58.0,32.0,89.0,25.0,33.0,60.0,53.0,98.0
4165,3.0,4.0,8.0,0.0,20.0,35.0,2.0,12.0,6.0,11.0,5.0,23.0,42.0,7.0,17.0,13.0,9.0,1.0,26.0,38.0,122.0,24.0,30.0,18.0,56.0,37.0,63.0,28.0,27.0,104.0
4214,1.0,36.0,0.0,5.0,8.0,29.0,3.0,7.0,6.0,4.0,31.0,2.0,21.0,10.0,14.0,19.0,12.0,9.0,139.0,53.0,40.0,13.0,45.0,59.0,71.0,33.0,96.0,17.0,26.0,44.0
4263,3.0,13.0,9.0,11.0,8.0,14.0,7.0,0.0,12.0,1.0,6.0,39.0,19.0,42.0,17.0,4.0,15.0,2.0,10.0,28.0,26.0,18.0,83.0,36.0,56.0,29.0,119.0,27.0,5.0,25.0
4312,4.0,2.0,0.0,1.0,20.0,7.0,6.0,15.0,14.0,19.0,18.0,29.0,36.0,74.0,17.0,10.0,5.0,3.0,51.0,30.0,42.0,13.0,25.0,9.0,27.0,59.0,119.0,8.0,22.0,61.0
4361,0.0,1.0,2.0,8.0,4.0,18.0,13.0,10.0,16.0,6.0,3.0,9.0,7.0,12.0,17.0,31.0,25.0,22.0,26.0,64.0,61.0,5.0,47.0,37.0,28.0,42.0,23.0,11.0,62.0,35.0
4410,3.0,2.0,15.0,1.0,6.0,4.0,37.0,8.0,9.0,10.0,16.0,14.0,0.0,11.0,17.0,20.0,13.0,26.0,35.0,33.0,5.0,138.0,18.0,135.0,22.0,81.0,115.0,23.0,7.0,38.0
4459,13.0,15.0,11.0,0.0,10.0,6.0,14.0,2.0,4.0,16.0,24.0,1.0,3.0,9.0,5.0,21.0,8.0,23.0,117.0,53.0,7.0,87.0,20.0,44.0,47.0,40.0,123.0,18.0,30.0,37.0
4508,9.0,10.0,13.0,0.0,23.0,2.0,3.0,12.0,4.0,43.0,15.0,1.0,37.0,5.0,8.0,32.0,6.0,18.0,36.0,14.0,7.0,149.0,19.0,64.0,60.0,27.0,128.0,31.0,46.0,79.0
4557,17.0,18.0,9.0,2.0,1.0,6.0,3.0,11.0,4.0,15.0,30.0,0.0,5.0,14.0,16.0,13.0,12.0,26.0,20.0,29.0,7.0,127.0,8.0,71.0,10.0,59.0,46.0,25.0,73.0,49.0
4606,1.0,9.0,3.0,0.0,13.0,10.0,5.0,11.0,7.0,89.0,26.0,6.0,12.0,14.0,21.0,16.0,4.0,20.0,145.0,131.0,15.0,136.0,8.0,19.0,17.0,92.0,137.0,36.0,48.0,30.0
4655,0.0,1.0,3.0,6.0,12.0,10.0,21.0,16.0,13.0,4.0,14.0,2.0,5.0,7.0,8.0,44.0,9.0,22.0,31.0,89.0,20.0,59.0,18.0,23.0,11.0,139.0,72.0,61.0,26.0,87.0
4704,0.0,10.0,17.0,7.0,2.0,5.0,3.0,20.0,1.0,24.0,9.0,15.0,6.0,16.0,14.0,8.0,4.0,40.0,85.0,52.0,30.0,73.0,13.0,58.0,25.0,65.0,75.0,87.0,26.0,95.0
4753,1.0,0.0,4.0,6.0,42.0,3.0,2.0,8.0,10.0,11.0,46.0,25.0,17.0,13.0,19.0,21.0,20.0,5.0,47.0,14.0,7.0,34.0,96.0,27.0,12.0,110.0,118.0,70.0,28.0,32.0
4802,9.0,0.0,11.0,6.0,3.0,1.0,2.0,14.0,4.0,12.0,49.0,7.0,5.0,31.0,16.0,21.0,8.0,59.0,27.0,10.0,13.0,82.0,35.0,19.0,15.0,20.0,134.0,69.0,46.0,72.0
4851,0.0,2.0,12.0,16.0,4.0,10.0,11.0,19.0,6.0,5.0,3.0,37.0,1.0,17.0,7.0,9.0,8.0,14.0,31.0,42.0,92.0,51.0,36.0,26.0,23.0,39.0,68.0,21.0,80.0,48.0
