,hsa-miR-548d-3p,hsa-miR-548b-5p,hsv1-miR-H2-3p,hsa-miR-1256,hsa-miR-574-5p,hsa-miR-770-5p,hsa-miR-449b,kshv-miR-K12-11,hsa-miR-1910,hsa-miR-33b,hsa-miR-22,hsa-miR-892a,hsa-miR-223,hsa-miR-604,hsa-miR-584,hsa-miR-579,hsa-miR-30c,hsa-miR-2276,hsa-miR-511,hsa-miR-451,hsa-miR-1908,hsa-miR-146b-5p,hsa-miR-222,hsa-miR-1254,hsa-miR-31,hsa-miR-486-3p,hsa-miR-205,ebv-miR-BART13,hsa-miR-1271,hsa-miR-155
15,0.0,8.0,4.0,5.0,30.0,6.0,10.0,41.0,39.0,20.0,75.0,43.0,142.0,2.0,22.0,13.0,78.0,32.0,29.0,44.0,12.0,31.0,28.0,72.0,17.0,47.0,36.0,108.0,60.0,125.0
64,3.0,85.0,1.0,21.0,84.0,7.0,5.0,0.0,13.0,6.0,24.0,88.0,79.0,71.0,43.0,31.0,26.0,92.0,59.0,36.0,23.0,18.0,38.0,33.0,82.0,329.0,47.0,34.0,20.0,161.0
113,0.0,10.0,9.0,18.0,55.0,3.0,14.0,7.0,54.0,22.0,64.0,2.0,212.0,62.0,27.0,34.0,36.0,8.0,4.0,15.0,23.0,21.0,42.0,129.0,5.0,66.0,1.0,43.0,90.0,33.0
162,6.0,35.0,93.0,50.0,110.0,3.0,0.0,31.0,8.0,14.0,120.0,54.0,135.0,123.0,69.0,51.0,77.0,21.0,1.0,53.0,11.0,61.0,5.0,34.0,40.0,80.0,52.0,140.0,39.0,46.0
211,20.0,12.0,1.0,3.0,38.0,16.0,0.0,11.0,26.0,18.0,37.0,199.0,43.0,208.0,14.0,29.0,74.0,115.0,69.0,30.0,36.0,6.0,9.0,44.0,28.0,90.0,17.0,53.0,41.0,107.0
260,2.0,42.0,5.0,20.0,7.0,3.0,4.0,6.0,34.0,14.0,66.0,182.0,51.0,117.0,141.0,63.0,60.0,114.0,1.0,39.0,0.0,37.0,15.0,47.0,16.0,134.0,31.0,58.0,9.0,13.0
309,4.0,22.0,0.0,1.0,36.0,7.0,5.0,9.0,69.0,3.0,113.0,38.0,158.0,6.0,103.0,32.0,48.0,17.0,8.0,20.0,16.0,44.0,40.0,57.0,19.0,81.0,26.0,75.0,15.0,144.0
358,13.0,4.0,2.0,14.0,10.0,8.0,1.0,0.0,31.0,7.0,71.0,52.0,244.0,107.0,109.0,49.0,58.0,32.0,11.0,43.0,12.0,106.0,38.0,16.0,21.0,89.0,24.0,116.0,27.0,67.0
407,5.0,2.0,4.0,39.0,26.0,42.0,3.0,7.0,22.0,30.0,15.0,23.0,110.0,9.0,31.0,49.0,69.0,18.0,17.0,33.0,19.0,10.0,12.0,27.0,11.0,53.0,60.0,219.0,16.0,109.0
456,4.0,59.0,3.0,24.0,48.0,49.0,1.0,40.0,161.0,34.0,11.0,293.0,7.0,10.0,154.0,232.0,12.0,58.0,0.0,56.0,8.0,33.0,209.0,39.0,47.0,105.0,2.0,17.0,108.0,82.0
