,ACOT1_DEL,HEATR4_DEL,HLA-DRB6_AMP,LINC00226_AMP,OR51A2_DEL,PRSS2_DEL,PRSS3P2_DEL,HCG4B_DEL,LOC391322_AMP,ADAM5_DEL,SIRPB1_AMP,GSTT1_AMP,ADAM3A_DEL,TAG_DEL,GSTTP2_AMP,BMPR2_AMP,UPK3B_AMP,KIAA2022_MUT,BTNL8_DEL,DEFA3_AMP,RHD_AMP,HERC2P2_AMP,PTPRC_MUT,TNK2_MUT,OR2T27_DEL,FRMPD2P1_AMP,MGA_MUT,CES1_AMP,MIR548AI_DEL,SNX29_DEL
29,5.0,4.0,12.0,226.0,10.0,1.0,0.0,16.0,14.0,2.0,47.0,13.0,3.0,66.0,11.0,43.0,49.0,18.0,17.0,95.0,25.0,9.0,22.0,23.0,15.0,125.0,68.0,20.0,98.0,26.0
78,4.0,3.0,8.0,47.0,38.0,1.0,2.0,6.0,17.0,7.0,11.0,18.0,5.0,28.0,19.0,122.0,13.0,12.0,114.0,100.0,20.0,0.0,15.0,29.0,31.0,63.0,24.0,46.0,16.0,87.0
127,9.0,8.0,19.0,5.0,4.0,2.0,3.0,6.0,27.0,1.0,33.0,28.0,0.0,11.0,32.0,23.0,7.0,65.0,20.0,84.0,53.0,95.0,42.0,16.0,43.0,163.0,134.0,74.0,52.0,10.0
176,23.0,24.0,7.0,16.0,6.0,3.0,4.0,33.0,109.0,2.0,10.0,108.0,1.0,21.0,86.0,75.0,15.0,41.0,609.0,64.0,5.0,0.0,30.0,20.0,12.0,294.0,27.0,195.0,335.0,36.0
225,6.0,7.0,14.0,246.0,2.0,1.0,0.0,8.0,44.0,12.0,78.0,45.0,9.0,237.0,41.0,71.0,5.0,13.0,47.0,52.0,117.0,15.0,16.0,49.0,10.0,21.0,20.0,77.0,11.0,26.0
274,5.0,6.0,45.0,47.0,1.0,3.0,2.0,58.0,11.0,8.0,26.0,10.0,7.0,40.0,9.0,19.0,4.0,18.0,42.0,49.0,12.0,0.0,17.0,30.0,14.0,31.0,28.0,61.0,213.0,16.0
323,13.0,12.0,11.0,141.0,0.0,2.0,1.0,6.0,4.0,9.0,33.0,3.0,8.0,10.0,5.0,21.0,98.0,23.0,20.0,117.0,17.0,22.0,79.0,112.0,18.0,51.0,60.0,37.0,57.0,15.0
372,55.0,54.0,15.0,42.0,1.0,4.0,3.0,5.0,9.0,7.0,16.0,8.0,6.0,137.0,11.0,89.0,14.0,43.0,107.0,73.0,25.0,2.0,45.0,22.0,18.0,23.0,44.0,52.0,31.0,17.0
421,3.0,4.0,40.0,12.0,10.0,8.0,7.0,33.0,13.0,2.0,35.0,14.0,1.0,11.0,17.0,24.0,16.0,54.0,29.0,42.0,31.0,55.0,21.0,45.0,25.0,39.0,44.0,177.0,18.0,192.0
470,17.0,20.0,31.0,7.0,12.0,2.0,1.0,16.0,10.0,8.0,0.0,11.0,5.0,96.0,9.0,58.0,3.0,4.0,51.0,28.0,14.0,15.0,36.0,52.0,13.0,92.0,46.0,44.0,197.0,22.0
519,2.0,1.0,5.0,8.0,4.0,7.0,6.0,17.0,21.0,945.0,10.0,20.0,921.0,0.0,41.0,13.0,3.0,14.0,24.0,40.0,88.0,139.0,44.0,38.0,26.0,11.0,27.0,19.0,54.0,36.0
568,1.0,0.0,6.0,19.0,9.0,48.0,47.0,5.0,18.0,32.0,2.0,17.0,38.0,25.0,27.0,16.0,7.0,33.0,61.0,23.0,21.0,58.0,42.0,35.0,41.0,3.0,29.0,20.0,13.0,130.0
617,6.0,7.0,2.0,8.0,33.0,0.0,1.0,4.0,92.0,42.0,3.0,91.0,46.0,36.0,141.0,14.0,37.0,13.0,34.0,45.0,17.0,9.0,88.0,25.0,150.0,5.0,11.0,22.0,10.0,51.0
666,46.0,47.0,28.0,1.0,6.0,34.0,35.0,3.0,7.0,268.0,2.0,8.0,344.0,5.0,19.0,32.0,14.0,10.0,26.0,27.0,45.0,82.0,36.0,21.0,16.0,15.0,17.0,18.0,4.0,31.0
715,68.0,69.0,1.0,0.0,6.0,8.0,9.0,21.0,2.0,139.0,31.0,3.0,134.0,15.0,7.0,12.0,4.0,48.0,18.0,16.0,36.0,76.0,38.0,26.0,22.0,5.0,77.0,19.0,35.0,30.0
764,12.0,13.0,6.0,10.0,17.0,86.0,85.0,14.0,29.0,27.0,0.0,30.0,32.0,1.0,57.0,26.0,21.0,75.0,15.0,24.0,22.0,49.0,37.0,33.0,40.0,31.0,11.0,84.0,28.0,92.0
813,6.0,5.0,1.0,39.0,17.0,70.0,69.0,21.0,4.0,213.0,13.0,3.0,210.0,12.0,8.0,24.0,22.0,18.0,7.0,14.0,33.0,665.0,29.0,28.0,23.0,10.0,26.0,30.0,2.0,50.0
862,18.0,19.0,1.0,13.0,44.0,50.0,49.0,5.0,9.0,30.0,2.0,10.0,35.0,16.0,25.0,11.0,64.0,27.0,8.0,38.0,23.0,4.0,87.0,42.0,31.0,32.0,84.0,22.0,3.0,63.0
911,24.0,23.0,9.0,79.0,3.0,19.0,18.0,0.0,4.0,126.0,1.0,5.0,116.0,50.0,8.0,6.0,14.0,35.0,20.0,68.0,64.0,423.0,92.0,37.0,44.0,39.0,43.0,12.0,7.0,49.0
960,3.0,2.0,14.0,89.0,27.0,20.0,21.0,5.0,16.0,177.0,6.0,18.0,189.0,158.0,17.0,8.0,25.0,10.0,1.0,12.0,33.0,92.0,97.0,100.0,7.0,0.0,26.0,60.0,45.0,29.0
1009,3.0,4.0,22.0,12.0,324.0,37.0,38.0,36.0,46.0,1.0,74.0,47.0,0.0,5.0,18.0,11.0,14.0,89.0,249.0,54.0,16.0,9.0,24.0,123.0,59.0,22500.0,13.0,380.0,84.0,116.0
1058,7.0,8.0,0.0,4.0,68.0,82.0,81.0,21.0,17.0,1.0,33.0,18.0,2.0,12.0,10.0,45.0,27.0,19.0,166.0,50.0,31.0,5.0,54.0,102.0,85.0,152.0,22.0,23.0,40.0,87.0
1107,0.0,1.0,8.0,2.0,135.0,18.0,17.0,15.0,12.0,4.0,10.0,11.0,5.0,28.0,6.0,20.0,14.0,7.0,428.0,37.0,22.0,3.0,63.0,80.0,25.0,60.0,29.0,225.0,26.0,209.0
1156,3.0,4.0,8.0,49.0,121.0,10.0,9.0,30.0,1.0,13.0,390.0,2.0,15.0,5.0,0.0,12.0,17.0,18.0,21.0,77.0,105.0,7.0,43.0,178.0,67.0,2992.0,29.0,62.0,31.0,70.0
1205,0.0,1.0,6.0,31.0,18.0,79.0,78.0,60.0,4.0,10.0,206.0,5.0,12.0,14.0,3.0,9.0,8.0,11.0,66.0,54.0,24.0,2.0,47.0,155.0,17.0,91.0,73.0,111.0,151.0,35.0
1254,0.0,1.0,2.0,30.0,31.0,21.0,20.0,40.0,16.0,9.0,170.0,15.0,10.0,7.0,14.0,5.0,6.0,8.0,90.0,24.0,51.0,44.0,49.0,116.0,66.0,132.0,18.0,73.0,93.0,23.0
1303,8.0,9.0,6.0,11.0,20.0,34.0,35.0,139.0,2.0,23.0,1.0,3.0,24.0,4.0,0.0,12.0,5.0,10.0,639.0,19.0,38.0,50.0,46.0,128.0,74.0,33.0,18.0,40.0,78.0,75.0
1352,0.0,1.0,2.0,59.0,76.0,41.0,42.0,11.0,17.0,10.0,35.0,18.0,9.0,78.0,8.0,5.0,14.0,13.0,71.0,20.0,28.0,4.0,87.0,200.0,39.0,129.0,38.0,56.0,6.0,23.0
1401,1.0,2.0,0.0,29.0,59.0,18.0,17.0,34.0,5.0,10.0,33.0,6.0,11.0,12.0,3.0,9.0,7.0,19.0,91.0,24.0,27.0,8.0,49.0,86.0,20.0,350.0,14.0,67.0,42.0,37.0
1450,50.0,52.0,46.0,8.0,6.0,47.0,48.0,200.0,5.0,19.0,36.0,4.0,20.0,2.0,1.0,0.0,28.0,59.0,236.0,22.0,76.0,21.0,113.0,103.0,30.0,152.0,96.0,94.0,226.0,45.0
1499,3.0,4.0,13.0,2.0,56.0,2041.0,2040.0,9.0,73.0,10.0,17.0,72.0,7.0,23.0,112.0,50.0,27.0,36.0,35.0,38.0,14.0,21.0,11.0,20.0,177.0,246.0,18.0,19.0,8.0,41.0
1548,12.0,13.0,129.0,3.0,70.0,1635.0,1634.0,43.0,56.0,11.0,65.0,57.0,5.0,55.0,62.0,31.0,18.0,6.0,2.0,16.0,44.0,42.0,9.0,27.0,53.0,113.0,7.0,30.0,48.0,15.0
1597,6.0,7.0,29.0,2.0,69.0,2451.0,2450.0,16.0,17.0,13.0,72.0,18.0,9.0,46.0,8.0,28.0,3.0,11.0,27.0,32.0,30.0,5.0,25.0,53.0,50.0,638.0,4.0,114.0,21.0,19.0
1646,30.0,34.0,9.0,32.0,20.0,14755.0,14754.0,68.0,49.0,25.0,73.0,48.0,27.0,29.0,47.0,91.0,3.0,85.0,6.0,14.0,28.0,4.0,8.0,31.0,24.0,2432.0,15.0,241.0,45.0,36.0
1695,108.0,112.0,52.0,9.0,6.0,317.0,316.0,32.0,20.0,62.0,49.0,19.0,55.0,0.0,30.0,45.0,13.0,26.0,5.0,17.0,12.0,18.0,10.0,38.0,47.0,65.0,31.0,44.0,4.0,24.0
1744,106.0,105.0,40.0,11.0,14.0,237.0,238.0,12.0,56.0,186.0,10.0,55.0,176.0,140.0,130.0,222.0,5.0,21.0,8.0,20.0,111.0,38.0,27.0,9.0,15.0,463.0,26.0,32.0,23.0,6.0
1793,5.0,6.0,25.0,1.0,16.0,2712.0,2713.0,17.0,20.0,4.0,74.0,19.0,3.0,21.0,29.0,73.0,7.0,8.0,40.0,18.0,23.0,32.0,33.0,10.0,26.0,106.0,30.0,86.0,24.0,34.0
1842,19.0,21.0,37.0,2.0,7.0,19885.0,19884.0,46.0,45.0,14.0,15.0,44.0,12.0,96.0,49.0,50.0,11.0,8.0,5.0,20.0,52.0,0.0,30.0,101.0,33.0,34.0,74.0,65.0,51.0,23.0
1891,67.0,68.0,44.0,5.0,8.0,23574.0,23575.0,9.0,22.0,80.0,114.0,23.0,76.0,4.0,36.0,84.0,10.0,13.0,12.0,32.0,24.0,197.0,78.0,39.0,51.0,26.0,21.0,75.0,7.0,57.0
1940,353.0,355.0,33.0,0.0,22.0,20220.0,20221.0,81.0,47.0,18.0,310.0,48.0,19.0,3.0,60.0,31.0,9.0,63.0,1.0,11.0,89.0,14.0,7.0,42.0,8.0,61.0,103.0,52.0,23.0,21.0
1989,402.0,429.0,27.0,22.0,45.0,15.0,14.0,122.0,3.0,11.0,23.0,4.0,9.0,7.0,2.0,6.0,72.0,108.0,12.0,10.0,99.0,93.0,38.0,237.0,51.0,28.0,401.0,41.0,800.0,8.0
2038,78.0,79.0,30.0,45.0,26.0,10.0,11.0,13.0,14.0,40.0,2.0,15.0,32.0,41.0,16.0,1.0,166.0,29.0,4.0,23.0,7.0,17.0,58.0,192.0,59.0,62.0,56.0,5.0,100.0,8.0
2087,263.0,262.0,19.0,415.0,3.0,13.0,14.0,47.0,5.0,124.0,33.0,6.0,127.0,31.0,8.0,0.0,219.0,12.0,23.0,9.0,30.0,11.0,123.0,359.0,60.0,21.0,159.0,2.0,43.0,10.0
2136,22.0,23.0,1.0,40.0,47.0,5.0,6.0,11.0,3.0,56.0,21.0,4.0,67.0,19.0,13.0,12.0,108.0,18.0,0.0,10.0,8.0,20.0,41.0,166.0,97.0,14.0,68.0,50.0,105.0,24.0
2185,17.0,16.0,50.0,28.0,10.0,27.0,26.0,25.0,2.0,76.0,22.0,3.0,81.0,5.0,4.0,7.0,44.0,14.0,24.0,78.0,18.0,8.0,173.0,255.0,163.0,38.0,145.0,30.0,65.0,11.0
2234,234.0,235.0,75.0,55.0,44.0,13.0,14.0,12.0,1.0,73.0,0.0,2.0,74.0,18.0,3.0,36.0,87.0,22.0,23.0,15.0,6.0,17.0,30.0,198.0,39.0,10.0,52.0,21.0,8.0,20.0
2283,15.0,16.0,44.0,55.0,122.0,3.0,4.0,39.0,115.0,6.0,1.0,116.0,9.0,7.0,137.0,43.0,357.0,11.0,84.0,77.0,2.0,12.0,94.0,104.0,82.0,19.0,143.0,13.0,71.0,5.0
2332,57.0,56.0,14.0,54.0,108.0,0.0,1.0,3.0,7.0,31.0,2.0,8.0,30.0,5.0,10.0,24.0,310.0,58.0,6.0,11.0,22.0,63.0,42.0,654.0,40.0,55.0,69.0,15.0,28.0,75.0
2381,2630.0,2629.0,13.0,54.0,36.0,4.0,5.0,17.0,11.0,2.0,0.0,10.0,3.0,7.0,14.0,100.0,120.0,44.0,24.0,12.0,8.0,23.0,61.0,112.0,29.0,22.0,62.0,21.0,46.0,16.0
2430,29.0,35.0,8.0,40.0,121.0,14.0,15.0,10.0,391.0,28.0,67.0,392.0,26.0,6.0,779.0,9.0,269.0,22.0,7.0,21.0,25.0,2.0,176.0,217.0,36.0,27.0,86.0,63.0,51.0,17.0
2479,2.0,3.0,1.0,26.0,113.0,17.0,18.0,7.0,21.0,10.0,19.0,20.0,8.0,34.0,24.0,282.0,38.0,89.0,1960.0,68.0,15.0,0.0,22.0,23.0,126.0,121.0,39.0,53.0,156.0,41.0
2528,0.0,1.0,2.0,5.0,16.0,23.0,24.0,29.0,73.0,233.0,54.0,72.0,224.0,50.0,96.0,48.0,83.0,11.0,7.0,19.0,20.0,4.0,14.0,22.0,117.0,12.0,25.0,9.0,222.0,15.0
2577,1.0,0.0,2.0,7.0,50.0,4.0,3.0,5.0,18.0,20.0,6.0,19.0,16.0,148.0,23.0,59.0,83.0,14.0,99.0,45.0,11.0,15.0,24.0,10.0,127.0,12.0,22.0,32.0,80.0,42.0
2626,0.0,1.0,8.0,3.0,71.0,13.0,12.0,7.0,184.0,18.0,4.0,185.0,25.0,191.0,270.0,75.0,228.0,44.0,120.0,68.0,11.0,22.0,15.0,10.0,161.0,204.0,58.0,19.0,28.0,121.0
2675,0.0,1.0,4.0,7.0,14.0,3.0,2.0,5.0,131.0,80.0,12.0,132.0,81.0,50.0,195.0,145.0,78.0,20.0,58.0,28.0,59.0,54.0,23.0,8.0,204.0,15.0,92.0,6.0,9.0,19.0
2724,1.0,0.0,2.0,18.0,5.0,32.0,31.0,30.0,8.0,132.0,46.0,7.0,123.0,42.0,12.0,59.0,246.0,72.0,53.0,45.0,49.0,28.0,52.0,13.0,50.0,3.0,128.0,4.0,204.0,11.0
2773,0.0,1.0,7.0,8.0,3.0,11.0,10.0,2.0,48.0,85.0,54.0,47.0,82.0,194.0,75.0,106.0,66.0,23.0,174.0,56.0,12.0,4.0,59.0,13.0,91.0,6.0,81.0,19.0,9.0,16.0
2822,2.0,1.0,4.0,3.0,56.0,10.0,9.0,0.0,32.0,199.0,29.0,33.0,188.0,52.0,49.0,51.0,30.0,31.0,39.0,16.0,34.0,18.0,74.0,17.0,121.0,15.0,103.0,14.0,5.0,55.0
2871,0.0,1.0,2.0,17.0,1214.0,63.0,62.0,5.0,56.0,3880.0,36.0,55.0,3024.0,197.0,29.0,81.0,155.0,35.0,39.0,61.0,10.0,3.0,50.0,18.0,72.0,8.0,21.0,161.0,4.0,66.0
2920,0.0,1.0,3.0,6.0,20.0,22.0,23.0,4.0,11.0,17.0,45.0,10.0,16.0,147.0,27.0,18.0,50.0,25.0,95.0,291.0,12.0,2.0,58.0,5.0,971.0,26.0,33.0,21.0,32.0,40.0
2969,0.0,1.0,8.0,5.0,7.0,19.0,18.0,119.0,33.0,24.0,11.0,34.0,25.0,16.0,36.0,30.0,6.0,202.0,107.0,26.0,103.0,4.0,12.0,56.0,10.0,345.0,46.0,102.0,421.0,89.0
3018,0.0,1.0,2.0,9.0,3.0,4.0,5.0,88.0,47.0,24.0,14.0,46.0,31.0,38.0,56.0,78.0,10.0,92.0,65.0,15.0,50.0,30.0,6.0,53.0,13.0,20.0,37.0,22.0,52.0,138.0
3067,8.0,10.0,11.0,5.0,2.0,50.0,51.0,79.0,4.0,31.0,7.0,3.0,35.0,14.0,9.0,27.0,13.0,377.0,203.0,45.0,18.0,12.0,15.0,64.0,37.0,401.0,56.0,189.0,1986.0,275.0
3116,0.0,1.0,2.0,4.0,12.0,7.0,6.0,97.0,68.0,81.0,3.0,69.0,101.0,50.0,84.0,13.0,21.0,128.0,405.0,23.0,9.0,8.0,14.0,30.0,5.0,241.0,43.0,42.0,863.0,314.0
3165,7.0,11.0,3.0,4.0,29.0,10.0,9.0,168.0,24.0,92.0,2.0,23.0,112.0,20.0,16.0,22.0,5.0,149.0,72.0,21.0,26.0,1.0,6.0,67.0,12.0,107.0,58.0,115.0,1007.0,193.0
3214,0.0,1.0,2.0,6.0,12.0,66.0,67.0,41.0,27.0,46.0,8.0,28.0,48.0,3.0,55.0,24.0,5.0,122.0,40.0,23.0,11.0,31.0,9.0,10.0,51.0,185.0,61.0,72.0,144.0,354.0
3263,0.0,1.0,25.0,12.0,9.0,33.0,32.0,97.0,53.0,14.0,2.0,52.0,13.0,108.0,63.0,58.0,5.0,166.0,1063.0,18.0,6.0,16.0,4.0,19.0,15.0,49.0,46.0,47.0,534.0,458.0
3312,2.0,3.0,32.0,41.0,9.0,0.0,1.0,84.0,28.0,14.0,11.0,27.0,15.0,7.0,37.0,20.0,33.0,392.0,53.0,71.0,21.0,161.0,13.0,104.0,43.0,409.0,111.0,26.0,312.0,237.0
3361,0.0,1.0,11.0,3.0,6.0,14.0,15.0,49.0,39.0,122.0,25.0,38.0,125.0,28.0,60.0,145.0,13.0,84.0,1006.0,20.0,9.0,8.0,36.0,64.0,7.0,245.0,41.0,270.0,792.0,113.0
3410,7.0,8.0,10.0,0.0,15.0,50.0,49.0,315.0,39.0,22.0,1.0,40.0,24.0,2.0,44.0,13.0,6.0,694.0,167.0,185.0,18.0,30.0,38.0,11.0,121.0,9.0,155.0,51.0,241.0,131.0
3459,12.0,13.0,46.0,18.0,8.0,76.0,77.0,5.0,1.0,19.0,2.0,0.0,21.0,6.0,7.0,126.0,3.0,11.0,118.0,28.0,9.0,207.0,41.0,20.0,14.0,1434.0,25.0,257.0,33.0,43.0
3508,7.0,8.0,11.0,9.0,24.0,28.0,27.0,13.0,4.0,2.0,12.0,3.0,1.0,0.0,5.0,18.0,10.0,16.0,6.0,23.0,105.0,36.0,25.0,30.0,39.0,182.0,26.0,46.0,94.0,96.0
3557,14.0,13.0,3.0,1.0,40.0,1679.0,1678.0,25.0,11.0,10.0,29.0,12.0,8.0,0.0,20.0,15.0,27.0,22.0,4.0,17.0,43.0,541.0,79.0,31.0,21.0,39.0,61.0,64.0,36.0,46.0
