,HERC5,LEPREL2,PLEKHG4,MYEOV,IFI27,IFITM1,CORO6,MFAP2,C8orf58,GBP5,CHRNB1,ZNF625,GRIN2D,SLFN12,SESN1,MT1E,EDA2R,GNB4,CCRN4L,C3orf18,CSF2RA,ZNF69,RAB31,ASIC1,RP11-132A1.4,FHL3,BTN2A3P,TFAP2E,RPS27L,SCARNA22
10,0.0,2.0,5.0,1.0,3.0,4.0,8.0,27.0,26.0,54.0,6.0,13.0,47.0,20.0,15.0,11.0,9.0,7.0,12.0,16.0,45.0,10.0,120.0,69.0,40.0,88.0,19.0,65.0,28.0,132.0
59,0.0,10.0,12.0,3.0,5.0,8.0,6.0,7.0,47.0,13.0,4.0,34.0,19.0,64.0,25.0,215.0,2.0,14.0,30.0,9.0,383.0,17.0,94.0,11.0,49.0,77.0,16.0,37.0,33.0,39.0
108,1.0,4.0,3.0,6.0,8.0,5.0,2.0,0.0,34.0,20.0,69.0,23.0,12.0,22.0,11.0,38.0,7.0,19.0,24.0,26.0,41.0,44.0,125.0,13.0,21.0,294.0,70.0,17.0,33.0,86.0
157,5.0,0.0,3.0,1.0,11.0,10.0,26.0,2.0,13.0,25.0,9.0,17.0,19.0,18.0,8.0,145.0,4.0,34.0,14.0,21.0,70.0,7.0,43.0,15.0,158.0,91.0,67.0,75.0,24.0,102.0
206,2.0,0.0,8.0,4.0,3.0,1.0,14.0,16.0,11.0,21.0,7.0,9.0,25.0,40.0,12.0,19.0,15.0,13.0,22.0,20.0,128.0,5.0,37.0,10.0,125.0,75.0,17.0,52.0,26.0,95.0
255,0.0,5.0,1.0,4.0,9.0,2.0,6.0,3.0,15.0,19.0,27.0,43.0,107.0,11.0,59.0,581.0,47.0,17.0,28.0,74.0,12.0,40.0,86.0,32.0,10.0,92.0,16.0,157.0,67.0,113.0
304,1.0,0.0,2.0,4.0,7.0,26.0,5.0,6.0,62.0,30.0,9.0,16.0,10.0,197.0,25.0,66.0,11.0,67.0,23.0,17.0,41.0,8.0,229.0,43.0,19.0,50.0,22.0,49.0,24.0,34.0
353,0.0,1.0,5.0,6.0,7.0,13.0,12.0,11.0,8.0,29.0,3.0,22.0,100.0,1271.0,4.0,35.0,17.0,43.0,10.0,14.0,15.0,33.0,87.0,19.0,41.0,75.0,37.0,18.0,91.0,31.0
402,1.0,2.0,0.0,4.0,6.0,9.0,5.0,12.0,10.0,17.0,34.0,14.0,33.0,27.0,20.0,38.0,42.0,13.0,44.0,41.0,199.0,3.0,107.0,8.0,32.0,120.0,22.0,24.0,16.0,207.0
451,3.0,2.0,0.0,1.0,12.0,7.0,8.0,10.0,29.0,19.0,17.0,27.0,18.0,106.0,6.0,50.0,9.0,15.0,4.0,16.0,36.0,65.0,63.0,46.0,28.0,49.0,114.0,116.0,14.0,26.0
500,1.0,40.0,26.0,9.0,10.0,25.0,2.0,49.0,4.0,11.0,8.0,19.0,23.0,3.0,5.0,22.0,0.0,203.0,12.0,21.0,43.0,36.0,13.0,15.0,152.0,18.0,63.0,88.0,91.0,30.0
549,1.0,9.0,21.0,2.0,17.0,0.0,28.0,80.0,5.0,7.0,3.0,29.0,26.0,6.0,20.0,25.0,13.0,63.0,32.0,119.0,10.0,36.0,12.0,4.0,58.0,42.0,40.0,60.0,16.0,24.0
