,Lck,Akt_pS473,HER3,PKC-pan_BetaII_pS660,Annexin 1,CDK1,Heregulin,AR,CD49b,TFRC,YB-1_pS102,MEK1_pS217_S221,beta-Catenin_pT41_S45,PRAS40_pT246,Raptor,c-Jun_pS73,Acetyl-a-Tubulin (Lys40),IGFBP2,AMPK_alpha,N-Cadherin,MIG-6,Gab2,4E-BP1_pS65,FRA1,14-3-3_zeta,Smad3,Src_pY416,Src_pY527,Bim(EP1036),FOXO3a
5,6.0,4.0,5.0,8.0,24.0,22.0,30.0,16.0,112.0,20.0,36.0,34.0,17.0,23.0,31.0,68.0,38.0,72.0,11.0,2.0,1.0,57.0,21.0,54.0,25.0,26.0,97.0,27.0,49.0,48.0
54,2.0,4.0,13.0,42.0,8.0,27.0,25.0,61.0,52.0,15.0,39.0,5.0,133.0,36.0,62.0,21.0,22.0,131.0,148.0,9.0,44.0,45.0,19.0,41.0,28.0,33.0,31.0,116.0,65.0,7.0
103,3.0,6.0,5.0,12.0,28.0,16.0,7.0,33.0,117.0,10.0,32.0,0.0,1.0,31.0,11.0,55.0,64.0,94.0,14.0,36.0,128.0,58.0,121.0,66.0,34.0,19.0,73.0,109.0,44.0,62.0
152,0.0,6.0,24.0,13.0,25.0,43.0,19.0,35.0,7.0,109.0,164.0,16.0,21.0,62.0,5.0,55.0,51.0,40.0,56.0,155.0,61.0,143.0,34.0,53.0,46.0,27.0,39.0,111.0,129.0,66.0
201,31.0,9.0,10.0,1.0,22.0,18.0,24.0,12.0,122.0,13.0,164.0,55.0,2.0,3.0,30.0,23.0,11.0,48.0,63.0,46.0,47.0,34.0,19.0,6.0,88.0,21.0,16.0,26.0,58.0,54.0
250,6.0,19.0,22.0,1.0,0.0,5.0,30.0,13.0,130.0,96.0,28.0,29.0,15.0,16.0,31.0,51.0,55.0,50.0,160.0,3.0,163.0,25.0,40.0,34.0,8.0,53.0,36.0,21.0,84.0,142.0
299,2.0,8.0,29.0,7.0,42.0,32.0,33.0,13.0,22.0,25.0,6.0,16.0,36.0,12.0,15.0,54.0,61.0,74.0,77.0,40.0,71.0,93.0,20.0,1.0,37.0,45.0,38.0,69.0,41.0,136.0
348,2.0,4.0,8.0,5.0,10.0,40.0,37.0,25.0,117.0,13.0,9.0,0.0,15.0,17.0,43.0,29.0,6.0,155.0,20.0,151.0,163.0,11.0,42.0,18.0,24.0,23.0,19.0,102.0,54.0,26.0
397,11.0,10.0,37.0,4.0,5.0,8.0,30.0,29.0,22.0,69.0,33.0,40.0,2.0,54.0,50.0,47.0,60.0,55.0,132.0,149.0,151.0,158.0,137.0,0.0,39.0,23.0,42.0,21.0,17.0,160.0
446,4.0,3.0,30.0,92.0,20.0,19.0,25.0,26.0,81.0,14.0,29.0,12.0,9.0,36.0,98.0,38.0,134.0,57.0,61.0,18.0,45.0,31.0,60.0,11.0,37.0,28.0,79.0,0.0,34.0,162.0
495,153.0,3.0,4.0,5.0,33.0,16.0,29.0,47.0,62.0,64.0,164.0,80.0,27.0,79.0,39.0,56.0,136.0,72.0,132.0,148.0,12.0,159.0,6.0,51.0,10.0,69.0,35.0,63.0,126.0,90.0
544,0.0,3.0,5.0,14.0,7.0,26.0,10.0,20.0,90.0,76.0,100.0,69.0,116.0,41.0,59.0,11.0,44.0,12.0,1.0,137.0,15.0,158.0,86.0,33.0,28.0,35.0,51.0,54.0,71.0,88.0
