,hsa-miR-148a,hsa-miR-142-5p,hsa-miR-29c,hsa-miR-378,hsa-miR-581,hsv1-miR-H4-3p,hsa-miR-27b,hsa-miR-34a,hsa-miR-125a-3p,hsa-miR-220a,ebv-miR-BART15,hsa-miR-1911,hsa-miR-609,kshv-miR-K12-7,hsa-miR-604,hsa-miR-106b,hsa-miR-449b,hsa-miR-323-5p,hsa-miR-331-5p,hsa-miR-579,hsa-miR-766,hsa-miR-1538,hsa-miR-1294,hsa-miR-662,hsa-miR-136,hcmv-miR-US5-1,hsa-miR-422a,hsa-miR-132,hsa-miR-187,hsa-miR-541
17,1.0,0.0,3.0,12.0,52.0,2.0,5.0,6.0,82.0,23.0,4.0,14.0,74.0,11.0,22.0,48.0,10.0,94.0,13.0,51.0,9.0,8.0,47.0,37.0,42.0,18.0,17.0,68.0,34.0,168.0
66,4.0,3.0,0.0,6.0,37.0,1.0,13.0,23.0,41.0,36.0,16.0,8.0,2.0,31.0,15.0,22.0,5.0,46.0,24.0,20.0,9.0,7.0,60.0,55.0,71.0,29.0,10.0,30.0,76.0,173.0
115,1.0,0.0,2.0,3.0,22.0,17.0,58.0,20.0,398.0,76.0,11.0,8.0,14.0,19.0,53.0,13.0,4.0,29.0,5.0,136.0,6.0,7.0,28.0,16.0,337.0,26.0,21.0,39.0,15.0,162.0
164,1.0,0.0,4.0,9.0,14.0,10.0,36.0,2.0,432.0,44.0,7.0,28.0,5.0,39.0,21.0,26.0,13.0,64.0,8.0,89.0,15.0,3.0,71.0,12.0,337.0,54.0,35.0,72.0,23.0,191.0
213,1.0,0.0,3.0,6.0,16.0,2.0,13.0,4.0,50.0,32.0,7.0,35.0,11.0,33.0,30.0,55.0,10.0,90.0,5.0,60.0,39.0,8.0,51.0,12.0,44.0,15.0,24.0,40.0,42.0,114.0
262,0.0,1.0,2.0,13.0,30.0,18.0,75.0,3.0,95.0,69.0,10.0,21.0,37.0,224.0,67.0,32.0,22.0,80.0,9.0,118.0,7.0,19.0,28.0,6.0,73.0,20.0,17.0,376.0,14.0,179.0
311,2.0,0.0,1.0,37.0,18.0,3.0,11.0,8.0,109.0,67.0,10.0,47.0,5.0,43.0,20.0,41.0,13.0,48.0,6.0,29.0,21.0,7.0,34.0,9.0,46.0,16.0,44.0,59.0,17.0,185.0
360,4.0,1.0,3.0,26.0,18.0,2.0,16.0,13.0,77.0,33.0,11.0,41.0,27.0,47.0,28.0,23.0,6.0,58.0,12.0,34.0,21.0,10.0,14.0,0.0,81.0,5.0,9.0,76.0,19.0,126.0
409,2.0,0.0,1.0,8.0,59.0,11.0,31.0,23.0,24.0,75.0,29.0,52.0,20.0,34.0,46.0,39.0,12.0,502.0,3.0,28.0,7.0,5.0,81.0,9.0,410.0,18.0,4.0,67.0,13.0,180.0
458,4.0,1.0,3.0,23.0,7.0,5.0,8.0,0.0,432.0,40.0,9.0,10.0,47.0,15.0,41.0,79.0,2.0,37.0,25.0,14.0,12.0,26.0,27.0,6.0,65.0,36.0,30.0,19.0,11.0,74.0
