,1-methylnicotinamide,alpha-glycerophosphate,beta-alanine,creatine,phosphocreatine,C36:1 DAG,uridine,uracil,putrescine,DHAP/glyceraldehyde 3P,inosine,alpha-glycerophosphocholine,oxalate,2-deoxyadenosine,GABA,C22:6 CE,carnitine,C36:4 PC-B,guanosine,pantothenate,malondialdehyde,niacinamide,C22:6 LPC,N-carbamoyl-beta-alanine,serotonin,palmitoylcarnitine,NADP,UMP,hypoxanthine,cystathionine
25,0.0,4.0,2.0,3.0,6.0,10.0,12.0,1.0,9.0,26.0,38.0,17.0,7.0,11.0,18.0,5.0,28.0,16.0,8.0,60.0,15.0,24.0,22.0,63.0,21.0,47.0,14.0,29.0,13.0,65.0
74,0.0,2.0,4.0,3.0,11.0,7.0,8.0,1.0,14.0,12.0,13.0,26.0,5.0,34.0,18.0,15.0,39.0,6.0,9.0,17.0,50.0,28.0,36.0,31.0,25.0,33.0,23.0,40.0,58.0,16.0
123,0.0,4.0,7.0,3.0,10.0,11.0,13.0,1.0,2.0,12.0,6.0,5.0,8.0,32.0,17.0,25.0,22.0,18.0,9.0,26.0,28.0,15.0,14.0,19.0,45.0,58.0,33.0,31.0,29.0,16.0
172,0.0,2.0,4.0,5.0,1.0,3.0,11.0,7.0,8.0,22.0,16.0,18.0,9.0,19.0,6.0,17.0,29.0,28.0,10.0,35.0,21.0,27.0,34.0,33.0,36.0,20.0,12.0,32.0,24.0,59.0
221,0.0,9.0,1.0,3.0,2.0,4.0,6.0,13.0,5.0,14.0,10.0,7.0,18.0,26.0,8.0,17.0,63.0,16.0,33.0,39.0,24.0,29.0,15.0,34.0,11.0,47.0,25.0,28.0,12.0,35.0
270,0.0,4.0,3.0,14.0,1.0,6.0,15.0,12.0,5.0,17.0,8.0,21.0,2.0,11.0,7.0,49.0,37.0,31.0,22.0,23.0,24.0,18.0,58.0,30.0,16.0,25.0,9.0,36.0,29.0,54.0
319,0.0,2.0,1.0,3.0,9.0,4.0,8.0,12.0,6.0,23.0,13.0,42.0,24.0,16.0,10.0,20.0,18.0,14.0,5.0,39.0,46.0,11.0,15.0,54.0,37.0,35.0,7.0,27.0,21.0,36.0
368,0.0,5.0,3.0,2.0,6.0,1.0,17.0,4.0,8.0,13.0,7.0,23.0,9.0,11.0,16.0,14.0,54.0,29.0,20.0,40.0,19.0,28.0,18.0,60.0,45.0,44.0,32.0,10.0,62.0,35.0
417,0.0,18.0,3.0,1.0,2.0,8.0,5.0,10.0,6.0,13.0,12.0,11.0,25.0,30.0,7.0,14.0,17.0,26.0,9.0,19.0,40.0,21.0,32.0,54.0,41.0,51.0,29.0,24.0,27.0,4.0
466,0.0,5.0,4.0,8.0,3.0,19.0,12.0,10.0,1.0,25.0,11.0,18.0,27.0,24.0,6.0,17.0,32.0,13.0,7.0,46.0,33.0,2.0,35.0,21.0,36.0,22.0,41.0,42.0,23.0,14.0
515,0.0,4.0,1.0,5.0,6.0,7.0,8.0,2.0,17.0,9.0,18.0,11.0,10.0,3.0,41.0,20.0,31.0,14.0,46.0,24.0,26.0,28.0,23.0,27.0,13.0,38.0,34.0,19.0,30.0,44.0
564,0.0,5.0,25.0,13.0,10.0,2.0,3.0,1.0,35.0,4.0,31.0,38.0,17.0,11.0,63.0,6.0,21.0,9.0,27.0,30.0,15.0,41.0,8.0,7.0,34.0,24.0,22.0,19.0,48.0,28.0
613,0.0,2.0,43.0,3.0,4.0,10.0,31.0,6.0,30.0,21.0,22.0,12.0,9.0,8.0,61.0,37.0,15.0,18.0,13.0,5.0,41.0,14.0,17.0,26.0,36.0,1.0,33.0,16.0,34.0,25.0
662,0.0,3.0,14.0,30.0,6.0,4.0,8.0,11.0,23.0,16.0,2.0,28.0,26.0,10.0,39.0,9.0,20.0,27.0,1.0,12.0,29.0,24.0,5.0,51.0,7.0,36.0,19.0,17.0,13.0,38.0
711,0.0,11.0,19.0,7.0,5.0,2.0,4.0,1.0,13.0,3.0,8.0,10.0,42.0,12.0,51.0,26.0,43.0,16.0,17.0,6.0,38.0,35.0,14.0,9.0,27.0,40.0,18.0,29.0,52.0,20.0
760,0.0,12.0,13.0,2.0,17.0,5.0,3.0,1.0,51.0,4.0,46.0,27.0,6.0,8.0,54.0,9.0,20.0,45.0,35.0,15.0,37.0,47.0,26.0,16.0,25.0,41.0,18.0,11.0,34.0,19.0
809,0.0,5.0,4.0,3.0,2.0,11.0,8.0,1.0,18.0,9.0,10.0,34.0,17.0,22.0,6.0,15.0,57.0,14.0,23.0,26.0,28.0,13.0,20.0,25.0,7.0,27.0,12.0,51.0,24.0,39.0
858,0.0,1.0,3.0,4.0,6.0,2.0,29.0,8.0,13.0,5.0,15.0,10.0,11.0,12.0,59.0,20.0,23.0,39.0,7.0,14.0,16.0,18.0,46.0,25.0,24.0,41.0,33.0,32.0,47.0,37.0
907,0.0,5.0,24.0,27.0,3.0,9.0,4.0,2.0,40.0,1.0,21.0,33.0,13.0,8.0,57.0,14.0,18.0,15.0,6.0,7.0,31.0,28.0,23.0,19.0,35.0,16.0,26.0,22.0,11.0,32.0
956,0.0,7.0,4.0,3.0,2.0,8.0,5.0,1.0,48.0,17.0,31.0,9.0,22.0,24.0,35.0,27.0,54.0,26.0,44.0,33.0,42.0,20.0,15.0,34.0,29.0,30.0,16.0,13.0,52.0,10.0
1005,0.0,3.0,21.0,11.0,6.0,7.0,1.0,2.0,14.0,9.0,5.0,8.0,4.0,30.0,20.0,15.0,10.0,17.0,12.0,31.0,44.0,38.0,33.0,40.0,41.0,13.0,19.0,25.0,52.0,34.0
1054,0.0,4.0,16.0,7.0,10.0,3.0,5.0,15.0,14.0,11.0,2.0,1.0,18.0,9.0,34.0,46.0,12.0,30.0,6.0,32.0,37.0,8.0,52.0,59.0,29.0,13.0,17.0,56.0,21.0,39.0
1103,0.0,8.0,5.0,1.0,9.0,2.0,6.0,15.0,4.0,10.0,3.0,32.0,13.0,11.0,7.0,45.0,17.0,16.0,36.0,12.0,61.0,24.0,35.0,38.0,59.0,14.0,23.0,40.0,29.0,41.0
1152,0.0,2.0,4.0,3.0,7.0,1.0,14.0,12.0,9.0,5.0,8.0,19.0,10.0,15.0,13.0,32.0,16.0,44.0,6.0,27.0,30.0,17.0,23.0,34.0,36.0,35.0,55.0,48.0,33.0,43.0
1201,0.0,2.0,13.0,5.0,10.0,1.0,11.0,22.0,12.0,16.0,3.0,7.0,6.0,9.0,4.0,56.0,14.0,25.0,8.0,15.0,28.0,18.0,36.0,60.0,35.0,20.0,19.0,49.0,24.0,50.0
1250,0.0,3.0,26.0,10.0,7.0,1.0,2.0,16.0,11.0,6.0,17.0,13.0,5.0,4.0,15.0,48.0,21.0,23.0,22.0,20.0,37.0,38.0,31.0,57.0,18.0,9.0,8.0,45.0,42.0,47.0
1299,0.0,12.0,10.0,2.0,23.0,7.0,1.0,8.0,9.0,3.0,4.0,11.0,30.0,13.0,21.0,47.0,15.0,39.0,6.0,24.0,16.0,5.0,59.0,17.0,35.0,32.0,36.0,19.0,33.0,18.0
1348,0.0,3.0,11.0,1.0,15.0,2.0,6.0,12.0,22.0,14.0,10.0,27.0,4.0,5.0,16.0,19.0,8.0,51.0,9.0,23.0,20.0,13.0,29.0,18.0,26.0,7.0,25.0,36.0,61.0,46.0
1397,0.0,5.0,16.0,6.0,10.0,1.0,15.0,8.0,11.0,4.0,3.0,19.0,20.0,9.0,57.0,61.0,7.0,25.0,2.0,13.0,22.0,21.0,33.0,39.0,27.0,14.0,24.0,34.0,42.0,12.0
1446,0.0,5.0,18.0,11.0,15.0,8.0,7.0,2.0,16.0,22.0,4.0,1.0,13.0,12.0,17.0,20.0,27.0,34.0,6.0,9.0,28.0,3.0,30.0,51.0,14.0,19.0,42.0,24.0,49.0,29.0
1495,0.0,1.0,2.0,13.0,6.0,16.0,4.0,26.0,7.0,20.0,18.0,12.0,5.0,15.0,14.0,30.0,10.0,47.0,8.0,3.0,9.0,34.0,11.0,29.0,21.0,23.0,17.0,50.0,28.0,46.0
1544,0.0,2.0,4.0,25.0,9.0,8.0,7.0,11.0,1.0,14.0,28.0,12.0,3.0,43.0,24.0,26.0,15.0,10.0,27.0,16.0,23.0,40.0,17.0,6.0,54.0,21.0,38.0,41.0,45.0,22.0
1593,0.0,7.0,1.0,2.0,20.0,10.0,4.0,9.0,6.0,14.0,48.0,5.0,42.0,17.0,13.0,32.0,18.0,15.0,41.0,26.0,3.0,27.0,21.0,11.0,40.0,39.0,8.0,12.0,16.0,50.0
1642,0.0,1.0,2.0,30.0,10.0,4.0,8.0,5.0,9.0,15.0,17.0,14.0,3.0,19.0,21.0,7.0,6.0,18.0,37.0,12.0,20.0,35.0,41.0,13.0,50.0,22.0,16.0,23.0,34.0,49.0
1691,0.0,1.0,6.0,30.0,11.0,8.0,2.0,3.0,4.0,17.0,28.0,9.0,12.0,26.0,29.0,25.0,16.0,7.0,15.0,19.0,5.0,43.0,22.0,10.0,27.0,61.0,41.0,45.0,63.0,56.0
1740,0.0,2.0,7.0,13.0,4.0,1.0,5.0,38.0,9.0,11.0,17.0,6.0,27.0,22.0,15.0,16.0,14.0,12.0,23.0,47.0,10.0,33.0,19.0,29.0,18.0,49.0,28.0,8.0,44.0,63.0
1789,0.0,2.0,10.0,5.0,3.0,14.0,4.0,6.0,1.0,17.0,32.0,7.0,13.0,28.0,20.0,9.0,16.0,53.0,43.0,12.0,15.0,23.0,25.0,8.0,26.0,11.0,35.0,19.0,29.0,21.0
1838,0.0,4.0,2.0,6.0,3.0,8.0,1.0,10.0,9.0,17.0,22.0,7.0,5.0,12.0,27.0,11.0,33.0,13.0,18.0,30.0,21.0,39.0,14.0,48.0,28.0,34.0,24.0,65.0,32.0,20.0
