,DACH2_DEL,APBA1_AMP,ZNF490_DEL,FLT3_MUT,GLI3_MUT,C1orf227_DEL,AXDND1_AMP,MTAP_DEL,FGF1_AMP,PRAMEF2_DEL,DEFB109P1_DEL,ETS1_DEL,ADARB2_DEL,DPP6_DEL,PRODH_DEL,GSTTP1_AMP,NRAS_MUT,MRC1_DEL,LOC729737_DEL,ZDHHC11_DEL,DOCK10_AMP,LRMP_AMP,AATK_AMP,PDE4DIP_AMP,FAM66A_DEL,MIR548AI_DEL,OR52N5_DEL,KIAA0125_AMP,JAK2_DEL,SHROOM2_DEL
2287,4448.0,8.0,22.0,18.0,16.0,19.0,33.0,90.0,83.0,11294.0,43.0,68.0,84.0,104.0,11366.0,79.0,10.0,62.0,7538.0,54.0,21417.0,13735.0,18726.0,49.0,180.0,129.0,168.0,119.0,95.0,2428.0
2336,50.0,17.0,42.0,21.0,30.0,23.0,45.0,66.0,63.0,11278.0,57.0,6060.0,44.0,105.0,36.0,97.0,40.0,131.0,16.0,188.0,121.0,53.0,18733.0,18719.0,132.0,124.0,190.0,61.0,137.0,146.0
2385,4513.0,16.0,11.0,17.0,100.0,6.0,16956.0,73.0,81.0,52.0,39.0,61.0,28.0,84.0,25.0,124.0,15994.0,64.0,18.0,106.0,21433.0,13751.0,66.0,143.0,187.0,136.0,129.0,147.0,2510.0,2444.0
2434,4452.0,4.0,75.0,15.0,38.0,16.0,16966.0,49.0,63.0,70.0,5289.0,6066.0,185.0,138.0,10618.0,92.0,79.0,52.0,7594.0,6145.0,21421.0,99.0,18727.0,66.0,148.0,112.0,124.0,73.0,91.0,2430.0
2483,22.0,14465.0,42.0,72.0,4.0,69.0,5.0,49.0,74.0,33.0,14.0,43.0,20013.0,129.0,30.0,163.0,15999.0,158.0,7595.0,146.0,55.0,63.0,117.0,157.0,189.0,84.0,73.0,37.0,132.0,10.0
2532,29.0,14408.0,25.0,31.0,15955.0,9.0,2.0,148.0,179.0,11304.0,63.0,50.0,68.0,131.0,10628.0,114.0,16001.0,62.0,133.0,153.0,120.0,42.0,126.0,65.0,145.0,84.0,194.0,123.0,2467.0,38.0
2581,30.0,4.0,45.0,16189.0,15950.0,3847.0,16963.0,60.0,141.0,85.0,15.0,89.0,20010.0,83.0,11621.0,69.0,15998.0,40.0,95.0,166.0,28.0,87.0,91.0,68.0,172.0,152.0,80.0,132.0,61.0,2416.0
2630,4463.0,14403.0,28.0,14.0,15953.0,5.0,16.0,39.0,139.0,19.0,5355.0,58.0,85.0,94.0,9617.0,79.0,49.0,48.0,7608.0,66.0,113.0,13726.0,121.0,95.0,117.0,115.0,55.0,200.0,143.0,52.0
2679,62.0,14525.0,83.0,1.0,15949.0,5.0,27.0,93.0,121.0,24.0,132.0,19.0,160.0,106.0,11618.0,69.0,37.0,14.0,111.0,6137.0,48.0,45.0,18734.0,102.0,113.0,31.0,57.0,135.0,86.0,2405.0
2728,4.0,20.0,44.0,8.0,38.0,9.0,31.0,213.0,171.0,52.0,93.0,12.0,188.0,132.0,98.0,172.0,16000.0,63.0,36.0,177.0,21433.0,100.0,66.0,137.0,99.0,147.0,53.0,168.0,170.0,87.0
2777,4461.0,52.0,29.0,24.0,100.0,67.0,16966.0,105.0,141.0,63.0,174.0,48.0,85.0,186.0,138.0,58.0,15997.0,45.0,120.0,163.0,21423.0,168.0,59.0,68.0,119.0,108.0,2789.0,99.0,2459.0,2418.0
2826,25.0,51.0,29.0,3.0,28.0,24.0,83.0,53.0,56.0,11280.0,5293.0,14.0,20014.0,126.0,10621.0,17.0,15996.0,125.0,18.0,121.0,43.0,103.0,18714.0,18721.0,132.0,178.0,114.0,18788.0,160.0,2433.0
2875,11.0,67.0,50.0,56.0,33.0,16.0,16962.0,25.0,89.0,15.0,5278.0,38.0,156.0,145.0,111.0,34.0,15997.0,83.0,7600.0,103.0,62.0,13736.0,150.0,70.0,114.0,78.0,45.0,96.0,28.0,24.0
2924,60.0,10.0,11540.0,16183.0,15945.0,3806.0,63.0,133.0,104.0,29.0,77.0,31.0,20004.0,132.0,74.0,49.0,15989.0,64.0,122.0,93.0,20.0,12.0,18723.0,30.0,125.0,116.0,11.0,18823.0,2509.0,2423.0
