,alpha-Catenin,VEGFR2,YAP_pS127,BRCA2,MEK1_pS217_S221,Paxillin,Chk2,IRS1,C-Raf(BD610151),Caveolin-1,Claudin-7,Cyclin_D1,Fibronectin,TFRC,CD49b,Chk1_pS345,c-Myc,Cyclin_E2,MSH6,C-Raf(MP05-739),ACC1,P-Cadherin,Akt,Porin,B-Raf,Caspase-7_cleavedD198,PI3K-p85,AR,FoxM1,Collagen_VI
5,4.0,3.0,6.0,9.0,103.0,41.0,5.0,37.0,105.0,129.0,72.0,55.0,42.0,48.0,59.0,130.0,115.0,128.0,40.0,19.0,99.0,54.0,45.0,16.0,17.0,61.0,34.0,141.0,15.0,53.0
54,28.0,20.0,0.0,5.0,9.0,10.0,11.0,57.0,35.0,83.0,22.0,36.0,38.0,23.0,106.0,1.0,54.0,67.0,33.0,12.0,43.0,69.0,76.0,49.0,41.0,40.0,32.0,56.0,45.0,85.0
103,37.0,15.0,135.0,5.0,155.0,3.0,11.0,23.0,13.0,26.0,19.0,43.0,10.0,44.0,68.0,0.0,36.0,53.0,30.0,62.0,66.0,25.0,12.0,84.0,41.0,42.0,28.0,106.0,59.0,21.0
152,19.0,21.0,6.0,4.0,14.0,17.0,22.0,23.0,71.0,9.0,2.0,39.0,26.0,42.0,61.0,0.0,3.0,132.0,32.0,30.0,110.0,33.0,99.0,35.0,37.0,36.0,66.0,121.0,5.0,67.0
201,0.0,5.0,11.0,2.0,15.0,25.0,8.0,42.0,1.0,23.0,26.0,24.0,9.0,6.0,101.0,41.0,16.0,29.0,56.0,31.0,44.0,48.0,39.0,21.0,115.0,60.0,19.0,157.0,13.0,40.0
250,6.0,15.0,112.0,4.0,0.0,8.0,7.0,18.0,71.0,154.0,22.0,58.0,42.0,9.0,65.0,77.0,13.0,145.0,67.0,64.0,62.0,70.0,10.0,16.0,23.0,83.0,20.0,118.0,2.0,108.0
299,8.0,20.0,112.0,17.0,2.0,5.0,34.0,28.0,12.0,0.0,152.0,19.0,53.0,21.0,79.0,1.0,98.0,81.0,104.0,90.0,51.0,24.0,84.0,46.0,18.0,62.0,40.0,128.0,145.0,11.0
348,14.0,7.0,8.0,0.0,141.0,30.0,6.0,36.0,11.0,33.0,146.0,40.0,27.0,55.0,58.0,92.0,64.0,91.0,63.0,22.0,111.0,18.0,16.0,59.0,41.0,73.0,48.0,10.0,37.0,60.0
397,12.0,5.0,27.0,4.0,114.0,8.0,21.0,23.0,13.0,10.0,147.0,57.0,20.0,17.0,154.0,46.0,48.0,84.0,52.0,74.0,119.0,58.0,30.0,28.0,38.0,72.0,9.0,100.0,55.0,77.0
446,26.0,6.0,0.0,3.0,147.0,11.0,1.0,70.0,31.0,18.0,41.0,22.0,51.0,50.0,59.0,4.0,48.0,129.0,107.0,49.0,74.0,47.0,111.0,42.0,55.0,56.0,61.0,32.0,37.0,136.0
495,7.0,0.0,42.0,13.0,148.0,71.0,112.0,27.0,35.0,45.0,24.0,10.0,21.0,3.0,43.0,91.0,65.0,11.0,73.0,51.0,106.0,23.0,2.0,82.0,46.0,68.0,74.0,53.0,26.0,111.0
544,46.0,87.0,0.0,45.0,143.0,60.0,103.0,42.0,41.0,22.0,9.0,23.0,18.0,31.0,12.0,142.0,25.0,29.0,90.0,15.0,11.0,148.0,76.0,70.0,93.0,20.0,39.0,4.0,36.0,78.0
593,128.0,30.0,4.0,45.0,0.0,36.0,2.0,6.0,158.0,3.0,67.0,7.0,29.0,54.0,106.0,154.0,40.0,39.0,93.0,71.0,95.0,60.0,124.0,74.0,100.0,20.0,37.0,21.0,26.0,118.0
642,55.0,0.0,17.0,6.0,5.0,66.0,1.0,13.0,106.0,70.0,8.0,32.0,40.0,28.0,14.0,134.0,24.0,38.0,96.0,11.0,105.0,26.0,118.0,88.0,91.0,41.0,60.0,12.0,4.0,81.0
691,90.0,1.0,46.0,122.0,10.0,56.0,79.0,15.0,105.0,97.0,83.0,21.0,43.0,38.0,23.0,53.0,42.0,70.0,34.0,113.0,93.0,65.0,58.0,55.0,36.0,85.0,68.0,11.0,99.0,54.0
740,42.0,2.0,0.0,16.0,1.0,31.0,105.0,6.0,12.0,61.0,69.0,22.0,60.0,44.0,29.0,129.0,18.0,3.0,50.0,26.0,11.0,4.0,84.0,65.0,43.0,142.0,78.0,149.0,66.0,67.0
789,14.0,12.0,137.0,9.0,2.0,8.0,1.0,18.0,122.0,124.0,5.0,48.0,11.0,16.0,25.0,21.0,49.0,22.0,79.0,26.0,115.0,93.0,90.0,27.0,45.0,17.0,73.0,30.0,13.0,85.0
838,8.0,15.0,0.0,14.0,1.0,27.0,2.0,18.0,4.0,30.0,142.0,61.0,100.0,29.0,16.0,120.0,74.0,28.0,56.0,67.0,135.0,69.0,45.0,64.0,60.0,89.0,62.0,43.0,7.0,44.0
887,118.0,0.0,114.0,5.0,20.0,30.0,22.0,13.0,48.0,126.0,77.0,44.0,17.0,45.0,10.0,69.0,14.0,31.0,51.0,15.0,34.0,11.0,134.0,28.0,55.0,127.0,85.0,61.0,25.0,83.0
936,155.0,4.0,0.0,3.0,11.0,41.0,24.0,54.0,135.0,25.0,5.0,61.0,33.0,59.0,36.0,159.0,76.0,28.0,44.0,23.0,45.0,17.0,97.0,104.0,80.0,14.0,156.0,13.0,19.0,60.0
985,23.0,31.0,5.0,29.0,0.0,1.0,112.0,30.0,47.0,144.0,38.0,16.0,28.0,14.0,63.0,2.0,24.0,58.0,35.0,100.0,13.0,83.0,96.0,82.0,75.0,39.0,87.0,151.0,141.0,10.0
1034,52.0,26.0,0.0,14.0,3.0,15.0,47.0,55.0,1.0,87.0,4.0,101.0,20.0,29.0,6.0,163.0,35.0,89.0,33.0,73.0,25.0,132.0,8.0,58.0,40.0,67.0,74.0,133.0,31.0,36.0
1083,12.0,7.0,1.0,18.0,0.0,26.0,61.0,21.0,8.0,93.0,33.0,24.0,60.0,20.0,82.0,156.0,39.0,91.0,92.0,87.0,4.0,97.0,52.0,103.0,44.0,50.0,13.0,41.0,98.0,14.0
1132,23.0,8.0,124.0,15.0,157.0,26.0,32.0,41.0,81.0,2.0,29.0,75.0,71.0,40.0,19.0,133.0,27.0,60.0,76.0,73.0,38.0,43.0,51.0,55.0,35.0,77.0,56.0,20.0,22.0,52.0
1181,11.0,8.0,0.0,125.0,1.0,115.0,103.0,16.0,116.0,86.0,43.0,26.0,21.0,30.0,22.0,136.0,18.0,33.0,81.0,89.0,12.0,2.0,19.0,24.0,54.0,35.0,40.0,55.0,85.0,37.0
1230,74.0,6.0,35.0,21.0,14.0,5.0,65.0,16.0,34.0,8.0,2.0,45.0,42.0,37.0,1.0,75.0,43.0,78.0,47.0,17.0,15.0,144.0,68.0,134.0,51.0,55.0,27.0,126.0,150.0,12.0
1279,35.0,8.0,118.0,22.0,107.0,147.0,53.0,63.0,19.0,29.0,62.0,9.0,17.0,24.0,152.0,112.0,58.0,36.0,74.0,38.0,40.0,12.0,57.0,23.0,44.0,37.0,73.0,15.0,7.0,6.0
1328,120.0,14.0,0.0,6.0,152.0,7.0,15.0,43.0,16.0,58.0,61.0,41.0,51.0,56.0,110.0,142.0,13.0,22.0,18.0,123.0,93.0,107.0,91.0,78.0,71.0,79.0,29.0,65.0,39.0,8.0
1377,82.0,2.0,0.0,9.0,15.0,56.0,33.0,23.0,46.0,58.0,89.0,135.0,54.0,124.0,93.0,80.0,36.0,32.0,35.0,64.0,53.0,65.0,37.0,21.0,38.0,3.0,48.0,133.0,43.0,16.0
1426,28.0,14.0,0.0,61.0,126.0,27.0,58.0,50.0,21.0,2.0,92.0,3.0,36.0,30.0,55.0,45.0,69.0,60.0,63.0,91.0,38.0,53.0,52.0,78.0,74.0,102.0,19.0,161.0,82.0,23.0
1475,6.0,12.0,10.0,11.0,19.0,34.0,61.0,17.0,117.0,65.0,16.0,22.0,50.0,27.0,51.0,4.0,107.0,97.0,57.0,58.0,24.0,114.0,76.0,53.0,35.0,75.0,89.0,20.0,59.0,79.0
1524,1.0,8.0,42.0,26.0,25.0,48.0,37.0,10.0,30.0,2.0,91.0,47.0,31.0,92.0,63.0,6.0,35.0,19.0,5.0,33.0,79.0,28.0,16.0,12.0,55.0,110.0,22.0,13.0,46.0,67.0
1573,14.0,5.0,0.0,7.0,64.0,24.0,34.0,11.0,53.0,9.0,10.0,19.0,39.0,43.0,27.0,144.0,85.0,47.0,37.0,32.0,31.0,50.0,28.0,76.0,86.0,30.0,70.0,72.0,67.0,74.0
1622,7.0,9.0,0.0,3.0,36.0,150.0,2.0,46.0,26.0,28.0,4.0,58.0,30.0,57.0,71.0,41.0,95.0,75.0,70.0,35.0,40.0,90.0,5.0,78.0,47.0,114.0,68.0,140.0,52.0,83.0
1671,7.0,14.0,25.0,16.0,142.0,40.0,1.0,4.0,38.0,0.0,5.0,31.0,19.0,51.0,30.0,95.0,78.0,27.0,92.0,67.0,49.0,143.0,9.0,44.0,64.0,128.0,54.0,41.0,57.0,59.0
1720,19.0,14.0,0.0,2.0,56.0,72.0,6.0,63.0,36.0,8.0,54.0,62.0,52.0,57.0,26.0,66.0,59.0,13.0,44.0,61.0,24.0,101.0,4.0,84.0,70.0,46.0,71.0,53.0,69.0,81.0
1769,46.0,22.0,132.0,21.0,23.0,1.0,145.0,5.0,40.0,34.0,12.0,30.0,43.0,65.0,77.0,146.0,67.0,49.0,20.0,15.0,38.0,95.0,29.0,26.0,84.0,7.0,73.0,35.0,27.0,59.0
1818,3.0,1.0,12.0,8.0,24.0,48.0,38.0,7.0,4.0,9.0,18.0,23.0,6.0,49.0,76.0,128.0,64.0,58.0,31.0,46.0,73.0,83.0,41.0,36.0,54.0,42.0,71.0,161.0,43.0,34.0
1867,3.0,19.0,24.0,10.0,9.0,61.0,8.0,14.0,101.0,5.0,36.0,66.0,21.0,33.0,48.0,155.0,77.0,34.0,117.0,28.0,42.0,47.0,20.0,23.0,59.0,159.0,57.0,129.0,43.0,104.0
1916,7.0,15.0,0.0,17.0,151.0,25.0,26.0,33.0,14.0,9.0,5.0,36.0,23.0,129.0,123.0,3.0,50.0,139.0,74.0,65.0,48.0,73.0,11.0,72.0,64.0,115.0,46.0,76.0,22.0,113.0
1965,15.0,2.0,5.0,48.0,156.0,33.0,8.0,39.0,18.0,9.0,20.0,45.0,12.0,40.0,25.0,14.0,127.0,78.0,11.0,23.0,34.0,69.0,135.0,41.0,59.0,67.0,66.0,21.0,19.0,31.0
2014,7.0,5.0,1.0,148.0,126.0,37.0,24.0,36.0,90.0,79.0,125.0,29.0,21.0,108.0,104.0,0.0,68.0,3.0,15.0,31.0,84.0,44.0,33.0,82.0,8.0,117.0,86.0,10.0,114.0,45.0
2063,78.0,39.0,118.0,6.0,2.0,7.0,98.0,12.0,18.0,97.0,37.0,4.0,33.0,73.0,61.0,19.0,54.0,72.0,68.0,31.0,38.0,29.0,87.0,36.0,93.0,64.0,40.0,96.0,141.0,106.0
2112,17.0,1.0,5.0,121.0,139.0,19.0,15.0,16.0,69.0,42.0,46.0,9.0,18.0,35.0,31.0,10.0,44.0,83.0,65.0,45.0,72.0,23.0,66.0,55.0,25.0,110.0,80.0,50.0,2.0,89.0
2161,101.0,23.0,1.0,35.0,0.0,22.0,10.0,37.0,26.0,3.0,81.0,39.0,57.0,50.0,157.0,19.0,103.0,163.0,30.0,117.0,12.0,9.0,64.0,55.0,93.0,82.0,40.0,47.0,32.0,70.0
2210,20.0,110.0,15.0,61.0,8.0,16.0,11.0,35.0,13.0,40.0,73.0,67.0,45.0,23.0,14.0,2.0,49.0,101.0,64.0,7.0,55.0,30.0,0.0,52.0,34.0,47.0,60.0,9.0,158.0,86.0
2259,5.0,13.0,36.0,17.0,0.0,37.0,39.0,61.0,105.0,82.0,139.0,6.0,27.0,14.0,145.0,2.0,10.0,18.0,86.0,23.0,34.0,26.0,41.0,33.0,38.0,99.0,22.0,15.0,59.0,64.0
2308,0.0,25.0,100.0,51.0,155.0,5.0,18.0,58.0,17.0,63.0,131.0,66.0,60.0,8.0,35.0,7.0,32.0,129.0,105.0,10.0,49.0,20.0,78.0,36.0,12.0,92.0,89.0,138.0,145.0,130.0
2357,13.0,16.0,19.0,12.0,0.0,61.0,18.0,3.0,116.0,86.0,10.0,6.0,4.0,63.0,28.0,11.0,102.0,21.0,22.0,31.0,27.0,7.0,36.0,37.0,66.0,92.0,107.0,35.0,82.0,81.0
2406,12.0,47.0,118.0,140.0,29.0,9.0,27.0,66.0,103.0,43.0,155.0,37.0,48.0,11.0,4.0,0.0,18.0,35.0,23.0,13.0,46.0,3.0,22.0,40.0,94.0,76.0,75.0,8.0,86.0,114.0
2455,41.0,14.0,1.0,6.0,4.0,12.0,19.0,33.0,3.0,142.0,145.0,23.0,162.0,46.0,20.0,27.0,24.0,36.0,56.0,109.0,88.0,32.0,30.0,45.0,62.0,37.0,95.0,110.0,51.0,21.0
2504,44.0,31.0,128.0,25.0,156.0,15.0,24.0,16.0,87.0,14.0,2.0,41.0,103.0,21.0,4.0,142.0,38.0,144.0,3.0,73.0,84.0,29.0,48.0,66.0,76.0,37.0,85.0,55.0,40.0,111.0
2553,115.0,81.0,65.0,158.0,8.0,2.0,14.0,16.0,1.0,62.0,61.0,43.0,28.0,72.0,21.0,0.0,51.0,155.0,24.0,35.0,57.0,31.0,75.0,63.0,60.0,30.0,78.0,137.0,71.0,70.0
2602,0.0,13.0,4.0,2.0,7.0,10.0,35.0,18.0,114.0,44.0,3.0,38.0,16.0,55.0,73.0,158.0,67.0,56.0,8.0,81.0,21.0,71.0,94.0,63.0,40.0,50.0,52.0,132.0,77.0,32.0
2651,74.0,8.0,67.0,11.0,51.0,12.0,72.0,37.0,141.0,62.0,100.0,21.0,61.0,29.0,43.0,3.0,50.0,25.0,0.0,22.0,40.0,56.0,23.0,17.0,81.0,59.0,49.0,27.0,60.0,118.0
2700,3.0,34.0,74.0,6.0,82.0,15.0,94.0,22.0,137.0,5.0,25.0,21.0,39.0,65.0,7.0,36.0,35.0,47.0,112.0,4.0,26.0,67.0,152.0,62.0,49.0,43.0,90.0,56.0,76.0,105.0
2749,141.0,13.0,18.0,3.0,36.0,4.0,55.0,33.0,28.0,0.0,132.0,37.0,23.0,17.0,35.0,134.0,15.0,6.0,72.0,65.0,46.0,50.0,110.0,38.0,64.0,41.0,59.0,138.0,87.0,85.0
2798,17.0,7.0,0.0,45.0,138.0,3.0,12.0,64.0,36.0,108.0,8.0,41.0,34.0,67.0,27.0,50.0,16.0,13.0,56.0,21.0,66.0,33.0,10.0,31.0,74.0,6.0,32.0,128.0,152.0,61.0
2847,107.0,22.0,1.0,4.0,60.0,2.0,44.0,40.0,5.0,33.0,37.0,89.0,20.0,52.0,78.0,149.0,27.0,140.0,110.0,23.0,47.0,31.0,14.0,30.0,75.0,57.0,158.0,117.0,3.0,146.0
2896,3.0,132.0,134.0,5.0,44.0,69.0,40.0,34.0,0.0,42.0,1.0,14.0,16.0,41.0,7.0,100.0,68.0,10.0,85.0,45.0,63.0,37.0,77.0,62.0,49.0,118.0,48.0,11.0,52.0,121.0
2945,0.0,9.0,17.0,140.0,43.0,36.0,40.0,51.0,8.0,1.0,162.0,55.0,44.0,53.0,73.0,38.0,52.0,48.0,16.0,117.0,82.0,107.0,19.0,22.0,87.0,27.0,15.0,137.0,62.0,42.0
2994,3.0,6.0,10.0,139.0,164.0,24.0,50.0,48.0,137.0,7.0,136.0,99.0,19.0,44.0,49.0,51.0,86.0,68.0,160.0,103.0,35.0,53.0,161.0,25.0,100.0,54.0,148.0,18.0,113.0,21.0
3043,45.0,1.0,0.0,32.0,15.0,112.0,72.0,16.0,22.0,5.0,91.0,37.0,141.0,70.0,3.0,4.0,51.0,62.0,40.0,107.0,131.0,48.0,11.0,46.0,87.0,54.0,61.0,161.0,55.0,66.0
3092,2.0,34.0,65.0,9.0,155.0,77.0,123.0,72.0,0.0,24.0,121.0,21.0,33.0,16.0,30.0,124.0,58.0,31.0,29.0,71.0,45.0,87.0,47.0,42.0,50.0,46.0,27.0,48.0,40.0,19.0
3141,3.0,128.0,2.0,84.0,136.0,46.0,35.0,58.0,7.0,26.0,158.0,27.0,49.0,19.0,1.0,96.0,21.0,59.0,57.0,107.0,47.0,11.0,9.0,28.0,77.0,25.0,99.0,86.0,38.0,15.0
3190,6.0,0.0,123.0,150.0,40.0,26.0,55.0,19.0,5.0,7.0,146.0,143.0,60.0,130.0,12.0,107.0,48.0,52.0,42.0,101.0,104.0,17.0,38.0,43.0,108.0,63.0,50.0,109.0,86.0,44.0
3239,0.0,1.0,94.0,121.0,152.0,5.0,22.0,35.0,98.0,119.0,9.0,26.0,15.0,23.0,79.0,138.0,30.0,37.0,116.0,104.0,70.0,84.0,34.0,13.0,40.0,25.0,81.0,51.0,64.0,50.0
3288,0.0,3.0,126.0,157.0,27.0,9.0,149.0,28.0,1.0,19.0,31.0,43.0,23.0,103.0,86.0,92.0,155.0,44.0,7.0,33.0,10.0,104.0,93.0,13.0,85.0,87.0,57.0,14.0,16.0,29.0
3337,74.0,4.0,64.0,155.0,0.0,24.0,28.0,23.0,18.0,2.0,145.0,46.0,82.0,128.0,38.0,61.0,68.0,47.0,5.0,109.0,22.0,42.0,108.0,21.0,86.0,45.0,51.0,162.0,62.0,43.0
