,alpha-Catenin,VEGFR2,YAP_pS127,BRCA2,MEK1_pS217_S221,Paxillin,Chk2,IRS1,C-Raf(BD610151),Caveolin-1,Claudin-7,Cyclin_D1,Fibronectin,TFRC,CD49b,Chk1_pS345,c-Myc,Cyclin_E2,MSH6,C-Raf(MP05-739),ACC1,P-Cadherin,Akt,Porin,B-Raf,Caspase-7_cleavedD198,PI3K-p85,AR,FoxM1,Collagen_VI
3386,2.0,0.0,10.0,11.0,16.0,7.0,18.0,27.0,53.0,41.0,151.0,15.0,35.0,82.0,17.0,4.0,8.0,61.0,6.0,146.0,20.0,26.0,55.0,56.0,23.0,72.0,33.0,29.0,87.0,104.0
3435,10.0,3.0,115.0,5.0,4.0,35.0,19.0,7.0,148.0,90.0,11.0,38.0,46.0,55.0,132.0,14.0,71.0,12.0,24.0,62.0,9.0,78.0,57.0,63.0,16.0,64.0,110.0,20.0,142.0,68.0
3484,3.0,0.0,4.0,33.0,1.0,12.0,39.0,11.0,7.0,59.0,45.0,143.0,49.0,47.0,91.0,38.0,13.0,36.0,6.0,46.0,86.0,104.0,119.0,77.0,43.0,75.0,150.0,34.0,60.0,92.0
3533,126.0,1.0,20.0,4.0,2.0,61.0,30.0,13.0,93.0,12.0,34.0,29.0,10.0,17.0,45.0,75.0,26.0,69.0,0.0,96.0,90.0,101.0,35.0,38.0,110.0,59.0,103.0,28.0,84.0,87.0
3582,0.0,2.0,16.0,4.0,14.0,69.0,74.0,20.0,1.0,111.0,3.0,34.0,121.0,17.0,84.0,68.0,56.0,86.0,32.0,103.0,27.0,164.0,19.0,43.0,72.0,22.0,146.0,21.0,55.0,26.0
3631,7.0,6.0,14.0,33.0,18.0,9.0,161.0,49.0,8.0,32.0,50.0,31.0,48.0,28.0,38.0,114.0,58.0,30.0,43.0,54.0,5.0,93.0,71.0,47.0,25.0,45.0,57.0,42.0,110.0,158.0
3680,26.0,0.0,16.0,36.0,41.0,158.0,110.0,38.0,69.0,144.0,6.0,62.0,40.0,19.0,66.0,34.0,12.0,32.0,9.0,65.0,24.0,86.0,57.0,61.0,46.0,87.0,160.0,1.0,71.0,44.0
3729,6.0,20.0,4.0,138.0,8.0,16.0,58.0,46.0,13.0,51.0,3.0,87.0,25.0,57.0,84.0,128.0,19.0,81.0,5.0,59.0,82.0,96.0,105.0,41.0,35.0,44.0,66.0,9.0,94.0,24.0
3778,2.0,1.0,61.0,6.0,43.0,155.0,132.0,18.0,136.0,72.0,17.0,55.0,34.0,11.0,107.0,0.0,64.0,32.0,38.0,70.0,10.0,90.0,119.0,45.0,84.0,25.0,159.0,151.0,4.0,52.0
3827,9.0,15.0,5.0,40.0,0.0,25.0,47.0,35.0,63.0,11.0,27.0,17.0,16.0,52.0,42.0,6.0,56.0,21.0,39.0,51.0,26.0,95.0,34.0,70.0,91.0,67.0,49.0,30.0,61.0,86.0
3876,2.0,4.0,117.0,132.0,14.0,15.0,101.0,16.0,55.0,73.0,33.0,71.0,52.0,38.0,164.0,5.0,13.0,0.0,36.0,108.0,21.0,42.0,87.0,43.0,51.0,23.0,44.0,151.0,91.0,103.0
3925,2.0,1.0,138.0,6.0,163.0,143.0,12.0,59.0,125.0,76.0,121.0,54.0,89.0,19.0,10.0,15.0,111.0,5.0,42.0,11.0,23.0,86.0,136.0,55.0,82.0,32.0,63.0,132.0,142.0,69.0
3974,0.0,42.0,2.0,65.0,91.0,33.0,47.0,54.0,140.0,113.0,143.0,48.0,31.0,12.0,64.0,21.0,29.0,6.0,39.0,86.0,50.0,38.0,5.0,71.0,25.0,36.0,19.0,137.0,41.0,98.0
4023,46.0,3.0,0.0,14.0,21.0,6.0,16.0,43.0,106.0,11.0,64.0,51.0,63.0,53.0,56.0,8.0,29.0,83.0,52.0,15.0,73.0,58.0,126.0,42.0,26.0,49.0,50.0,47.0,144.0,32.0
4072,14.0,124.0,0.0,20.0,9.0,1.0,93.0,62.0,33.0,10.0,45.0,35.0,42.0,5.0,24.0,32.0,31.0,108.0,157.0,12.0,47.0,38.0,44.0,40.0,21.0,17.0,8.0,48.0,113.0,36.0
4121,1.0,108.0,29.0,14.0,152.0,160.0,100.0,83.0,71.0,93.0,6.0,38.0,45.0,42.0,23.0,142.0,44.0,17.0,47.0,70.0,25.0,87.0,137.0,59.0,19.0,53.0,24.0,89.0,7.0,20.0
4170,23.0,3.0,55.0,18.0,123.0,2.0,7.0,15.0,1.0,78.0,29.0,27.0,79.0,42.0,38.0,9.0,20.0,87.0,13.0,108.0,52.0,26.0,40.0,54.0,24.0,35.0,10.0,126.0,163.0,56.0
4219,0.0,134.0,135.0,80.0,44.0,16.0,111.0,27.0,29.0,55.0,14.0,34.0,37.0,46.0,9.0,24.0,11.0,12.0,28.0,5.0,48.0,20.0,6.0,21.0,106.0,91.0,57.0,142.0,94.0,68.0
4268,0.0,7.0,70.0,4.0,155.0,23.0,71.0,27.0,143.0,108.0,144.0,50.0,95.0,26.0,34.0,42.0,102.0,47.0,20.0,35.0,111.0,49.0,135.0,89.0,17.0,90.0,29.0,137.0,39.0,62.0
4317,1.0,0.0,36.0,124.0,44.0,28.0,66.0,11.0,98.0,29.0,67.0,47.0,12.0,77.0,38.0,6.0,52.0,40.0,43.0,25.0,105.0,65.0,60.0,57.0,14.0,26.0,73.0,97.0,106.0,111.0
4366,37.0,1.0,12.0,2.0,31.0,56.0,16.0,48.0,143.0,63.0,26.0,19.0,101.0,23.0,15.0,157.0,21.0,74.0,50.0,58.0,27.0,85.0,22.0,47.0,87.0,35.0,38.0,134.0,148.0,43.0
4415,6.0,10.0,59.0,17.0,55.0,109.0,4.0,101.0,26.0,87.0,18.0,79.0,155.0,45.0,12.0,3.0,44.0,48.0,69.0,43.0,113.0,33.0,110.0,67.0,11.0,25.0,89.0,112.0,108.0,139.0
4464,15.0,13.0,44.0,12.0,27.0,153.0,5.0,16.0,81.0,11.0,45.0,131.0,40.0,23.0,51.0,17.0,55.0,137.0,60.0,39.0,52.0,24.0,111.0,90.0,34.0,74.0,20.0,139.0,67.0,36.0
4513,1.0,48.0,5.0,16.0,7.0,78.0,30.0,17.0,2.0,8.0,11.0,21.0,90.0,123.0,33.0,130.0,12.0,4.0,53.0,52.0,108.0,46.0,15.0,128.0,63.0,41.0,44.0,138.0,79.0,129.0
4562,11.0,14.0,0.0,7.0,1.0,36.0,16.0,54.0,116.0,72.0,32.0,25.0,44.0,61.0,40.0,22.0,2.0,28.0,27.0,21.0,93.0,26.0,55.0,108.0,106.0,3.0,67.0,78.0,50.0,5.0
4611,16.0,73.0,0.0,23.0,14.0,154.0,40.0,20.0,18.0,17.0,31.0,91.0,75.0,37.0,38.0,1.0,74.0,82.0,147.0,80.0,49.0,106.0,126.0,159.0,43.0,68.0,157.0,103.0,119.0,66.0
4660,6.0,15.0,136.0,18.0,49.0,65.0,10.0,67.0,115.0,32.0,152.0,81.0,27.0,59.0,163.0,36.0,19.0,9.0,121.0,14.0,56.0,62.0,99.0,114.0,16.0,76.0,13.0,22.0,63.0,33.0
4709,9.0,43.0,0.0,25.0,1.0,49.0,19.0,62.0,54.0,138.0,41.0,21.0,75.0,87.0,59.0,46.0,47.0,29.0,2.0,23.0,34.0,28.0,6.0,128.0,106.0,30.0,149.0,136.0,134.0,48.0
4758,6.0,13.0,0.0,5.0,29.0,69.0,4.0,83.0,117.0,30.0,25.0,45.0,58.0,71.0,56.0,163.0,7.0,18.0,125.0,40.0,54.0,37.0,23.0,94.0,92.0,89.0,48.0,22.0,32.0,8.0
4807,1.0,36.0,2.0,63.0,78.0,31.0,27.0,41.0,110.0,135.0,26.0,107.0,49.0,85.0,37.0,120.0,136.0,106.0,65.0,14.0,69.0,16.0,0.0,53.0,82.0,66.0,147.0,35.0,6.0,3.0
4856,3.0,17.0,71.0,15.0,156.0,148.0,18.0,47.0,29.0,4.0,96.0,66.0,28.0,52.0,60.0,1.0,8.0,45.0,163.0,44.0,112.0,24.0,0.0,79.0,12.0,40.0,22.0,106.0,144.0,36.0
