,LEPREL2,TSPYL5,LDOC1,EMR1,AGAP4,DUSP23,PXDN,ZNF229,PTPN13,WNK4,RPS6KA6,WNT5B,AC005624.2,ENPP2,CTF1,VWDE,ZNF347,RP11-561C5.4,CHST7,S100A4,HENMT1,SH3BP1,ZYG11A,TTC31,C1orf233,AP006222.2,RP11-89K21.1,ZNF502,ZNF239,OSR1
8,1.0,0.0,17.0,4.0,8.0,10.0,5.0,13.0,7.0,47.0,84.0,42.0,34.0,369.0,14.0,22.0,29.0,233.0,318.0,20.0,2.0,24.0,107.0,32.0,6.0,166.0,49.0,165.0,11.0,72.0
57,1.0,0.0,9.0,3.0,4.0,56.0,15.0,21.0,16.0,18.0,40.0,30.0,493.0,771.0,32.0,106.0,10.0,299.0,134.0,2.0,5.0,91.0,785.0,112.0,43.0,17.0,67.0,77.0,11.0,180.0
106,1.0,2.0,14.0,4.0,0.0,8.0,3.0,31.0,5.0,12.0,58.0,91.0,332.0,893.0,30.0,19.0,7.0,280.0,1377.0,22.0,6.0,51.0,329.0,56.0,15.0,136.0,26.0,84.0,9.0,47.0
155,1.0,0.0,2.0,7.0,9.0,4.0,3.0,11.0,103.0,12.0,19.0,20.0,33.0,146.0,8.0,18.0,6.0,83.0,261.0,50.0,10.0,40.0,532.0,29.0,41.0,251.0,137.0,28.0,23.0,79.0
204,1.0,0.0,19.0,2.0,8.0,22.0,3.0,6.0,24.0,34.0,271.0,18.0,85.0,134.0,170.0,21.0,14.0,103.0,27.0,12.0,4.0,334.0,33.0,38.0,96.0,192.0,72.0,52.0,9.0,371.0
253,0.0,7.0,66.0,13.0,8.0,3.0,2.0,6.0,9.0,5.0,47.0,34.0,149.0,268.0,27.0,29.0,21.0,134.0,85.0,31.0,1.0,101.0,95.0,57.0,4.0,254.0,207.0,81.0,17.0,97.0
302,1.0,0.0,23.0,5.0,12.0,20.0,6.0,9.0,4.0,49.0,61.0,99.0,36.0,749.0,80.0,13.0,19.0,146.0,133.0,15.0,2.0,18.0,249.0,29.0,8.0,81.0,106.0,55.0,3.0,56.0
351,0.0,1.0,12.0,8.0,11.0,5.0,2.0,15.0,4.0,30.0,95.0,31.0,109.0,296.0,27.0,38.0,3.0,378.0,742.0,14.0,6.0,44.0,45.0,85.0,10.0,141.0,241.0,32.0,18.0,48.0
400,2.0,1.0,98.0,21.0,0.0,19.0,3.0,4.0,33.0,70.0,25.0,221.0,56.0,148.0,258.0,53.0,10.0,473.0,717.0,11.0,5.0,48.0,20.0,16.0,29.0,58.0,62.0,22.0,8.0,44.0
449,2.0,0.0,55.0,6.0,7.0,44.0,1.0,95.0,12.0,8.0,53.0,39.0,325.0,256.0,30.0,25.0,5.0,364.0,176.0,81.0,4.0,320.0,135.0,71.0,10.0,294.0,119.0,107.0,11.0,47.0
