,PKC-alpha,Shc_pY317,Gab2,c-Jun_pS73,TFRC,AMPK_alpha,FRA1,GSK3_pS9,Bax,G6PD,NDRG1_pT346,XBP1,4E-BP1_pS65,Smac,ADAR1,Cyclin_E1,p70S6K_pT389,Cyclin_B1,Rictor_pT1135,RAD51,ASNS,MSH6,p90RSK_pT359_S363,Fibronectin,IGFBP2,JNK2,4E-BP1,YB-1_pS102,N-Cadherin,Lck
1181,28.0,19.0,30.0,37.0,16.0,20.0,35.0,106.0,46.0,40.0,18.0,25.0,6.0,75.0,80.0,9.0,26.0,11.0,76.0,78.0,124.0,102.0,82.0,103.0,53.0,60.0,134.0,86.0,158.0,63.0
1230,7.0,5.0,9.0,52.0,16.0,53.0,13.0,24.0,28.0,63.0,144.0,68.0,15.0,121.0,58.0,82.0,20.0,151.0,99.0,66.0,98.0,148.0,80.0,56.0,57.0,31.0,45.0,111.0,3.0,102.0
1279,0.0,19.0,16.0,43.0,10.0,81.0,68.0,74.0,50.0,12.0,1.0,32.0,14.0,90.0,35.0,22.0,98.0,65.0,109.0,70.0,103.0,97.0,17.0,159.0,76.0,39.0,71.0,114.0,8.0,67.0
1328,11.0,118.0,19.0,15.0,45.0,56.0,29.0,159.0,35.0,71.0,21.0,72.0,51.0,117.0,14.0,33.0,6.0,16.0,107.0,103.0,60.0,61.0,75.0,30.0,32.0,17.0,67.0,18.0,12.0,40.0
1377,4.0,3.0,8.0,38.0,16.0,43.0,7.0,28.0,70.0,53.0,1.0,90.0,47.0,36.0,24.0,18.0,74.0,14.0,105.0,55.0,17.0,13.0,31.0,46.0,81.0,39.0,114.0,80.0,161.0,131.0
1426,1.0,88.0,21.0,24.0,39.0,44.0,18.0,5.0,32.0,2.0,78.0,61.0,9.0,76.0,19.0,8.0,31.0,110.0,10.0,92.0,73.0,87.0,15.0,95.0,93.0,33.0,40.0,37.0,161.0,27.0
1475,8.0,124.0,11.0,50.0,18.0,17.0,83.0,141.0,31.0,33.0,128.0,16.0,4.0,10.0,20.0,131.0,32.0,162.0,87.0,44.0,57.0,132.0,7.0,29.0,54.0,3.0,19.0,70.0,129.0,12.0
1524,29.0,109.0,14.0,2.0,15.0,12.0,26.0,10.0,69.0,19.0,13.0,40.0,58.0,89.0,100.0,85.0,86.0,50.0,49.0,22.0,6.0,25.0,56.0,119.0,34.0,67.0,21.0,53.0,43.0,30.0
1573,6.0,26.0,15.0,20.0,89.0,14.0,82.0,145.0,30.0,32.0,5.0,44.0,72.0,40.0,4.0,59.0,84.0,23.0,97.0,39.0,1.0,87.0,148.0,117.0,36.0,21.0,55.0,38.0,141.0,102.0
1622,8.0,13.0,22.0,12.0,86.0,63.0,76.0,17.0,24.0,27.0,5.0,23.0,93.0,90.0,70.0,30.0,48.0,72.0,46.0,33.0,138.0,94.0,6.0,158.0,15.0,98.0,38.0,109.0,56.0,104.0
1671,4.0,2.0,10.0,23.0,64.0,59.0,68.0,141.0,21.0,149.0,76.0,19.0,127.0,8.0,111.0,106.0,36.0,156.0,74.0,26.0,20.0,135.0,14.0,163.0,41.0,84.0,117.0,87.0,105.0,60.0
1720,5.0,42.0,19.0,48.0,20.0,17.0,25.0,30.0,31.0,39.0,65.0,6.0,124.0,69.0,77.0,133.0,34.0,11.0,51.0,21.0,143.0,22.0,74.0,7.0,81.0,136.0,75.0,97.0,144.0,57.0
1769,8.0,86.0,28.0,2.0,77.0,50.0,57.0,31.0,15.0,13.0,5.0,81.0,56.0,34.0,17.0,19.0,66.0,45.0,82.0,47.0,9.0,1.0,73.0,23.0,53.0,88.0,85.0,11.0,37.0,75.0
1818,16.0,123.0,12.0,1.0,40.0,25.0,10.0,31.0,58.0,28.0,7.0,82.0,126.0,51.0,56.0,37.0,105.0,140.0,71.0,27.0,6.0,84.0,68.0,109.0,53.0,19.0,24.0,67.0,36.0,88.0
1867,11.0,5.0,14.0,40.0,50.0,31.0,71.0,66.0,34.0,10.0,12.0,41.0,2.0,81.0,53.0,139.0,33.0,113.0,82.0,29.0,7.0,111.0,146.0,99.0,55.0,106.0,92.0,59.0,142.0,68.0
1916,6.0,116.0,16.0,25.0,34.0,36.0,5.0,1.0,24.0,48.0,153.0,59.0,37.0,2.0,41.0,7.0,72.0,28.0,79.0,75.0,52.0,8.0,27.0,70.0,15.0,43.0,49.0,69.0,29.0,44.0
1965,10.0,4.0,19.0,32.0,59.0,22.0,41.0,7.0,21.0,45.0,90.0,9.0,77.0,53.0,57.0,63.0,47.0,27.0,61.0,25.0,135.0,54.0,31.0,161.0,33.0,157.0,95.0,28.0,0.0,78.0
