,SLFN11,KHDC1,RPSAP53,AP000783.1,XIST,TSPYL5,SLC38A5,MX2,RP11-177C12.1,HNRNPUL1,HIC1,AC093627.9,SMAP1,RUVBL2,EIF3D,KRT17P3,LEPREL2,RP11-649A18.7,CARD11,BCL11A,ZNF215,EEF1A1,RPSAP47,CDCA7L,SLFN12,SPTBN2,PM20D2,ARHGAP4,MAGEC2,SSRP1
10,0.0,2.0,24.0,7.0,649.0,1.0,16.0,206.0,5.0,62.0,199.0,11.0,44.0,14.0,18.0,9.0,79.0,39.0,12.0,8.0,36.0,43.0,61.0,21.0,6.0,30.0,17.0,58.0,360.0,41.0
59,0.0,7.0,57.0,2.0,256.0,1.0,26.0,12.0,5.0,33.0,157.0,3.0,8.0,51.0,42.0,9.0,59.0,152.0,22.0,24.0,30.0,39.0,78.0,37.0,11.0,23.0,83.0,52.0,29.0,108.0
108,0.0,8.0,29.0,6.0,636.0,1.0,2.0,5.0,14.0,13.0,188.0,28.0,27.0,34.0,46.0,16.0,70.0,88.0,32.0,56.0,30.0,66.0,65.0,31.0,4.0,9.0,12.0,20.0,39.0,75.0
157,0.0,3.0,31.0,10.0,7669.0,1.0,2.0,163.0,11.0,105.0,487.0,4.0,49.0,89.0,38.0,22.0,28.0,56.0,72.0,21.0,287.0,63.0,40.0,42.0,26.0,14.0,70.0,16.0,198.0,147.0
206,0.0,2.0,31.0,8.0,297.0,1.0,14.0,23.0,11.0,17.0,116.0,12.0,4.0,18.0,26.0,9.0,51.0,54.0,36.0,20.0,109.0,71.0,61.0,80.0,5.0,6.0,33.0,63.0,42.0,345.0
255,0.0,1.0,37.0,46.0,61.0,2.0,8.0,45.0,18.0,25.0,270.0,3.0,35.0,30.0,7.0,12.0,204.0,74.0,33.0,10.0,17.0,41.0,19.0,14.0,16.0,9.0,21.0,39.0,11.0,73.0
304,0.0,7.0,32.0,16.0,520.0,1.0,10.0,6.0,56.0,3.0,102.0,27.0,13.0,37.0,80.0,54.0,21.0,28.0,101.0,77.0,36.0,89.0,94.0,70.0,41.0,18.0,19.0,14.0,25.0,42.0
353,0.0,3.0,6.0,1.0,1005.0,2.0,102.0,72.0,5.0,17.0,88.0,81.0,12.0,31.0,38.0,18.0,367.0,60.0,8.0,11.0,19.0,119.0,65.0,153.0,7.0,35.0,45.0,166.0,82.0,44.0
402,0.0,15.0,58.0,1.0,313.0,3.0,19.0,6.0,10.0,42.0,85.0,24.0,11.0,36.0,53.0,57.0,18.0,55.0,122.0,13.0,100.0,107.0,7.0,186.0,12.0,43.0,49.0,8.0,2.0,191.0
451,0.0,5.0,8.0,2.0,224.0,1.0,3.0,19.0,6.0,41.0,68.0,20.0,7.0,26.0,71.0,30.0,48.0,70.0,10.0,52.0,15.0,56.0,40.0,18.0,14.0,4.0,65.0,39.0,17.0,149.0
500,0.0,1.0,5.0,2.0,3.0,4.0,7.0,52.0,19.0,9.0,27.0,13.0,40.0,10.0,22.0,17.0,34.0,8.0,64.0,42.0,15.0,29.0,6.0,30.0,21.0,51.0,33.0,160.0,49.0,18.0
549,0.0,1.0,4.0,5.0,13.0,6.0,2.0,25.0,9.0,19.0,10.0,40.0,28.0,17.0,63.0,14.0,56.0,15.0,3.0,30.0,21.0,39.0,73.0,64.0,12.0,222.0,16.0,102.0,185.0,33.0
598,0.0,2.0,12.0,5.0,16.0,3.0,4.0,24.0,14.0,23.0,9.0,15.0,50.0,43.0,56.0,20.0,30.0,36.0,21.0,18.0,280.0,31.0,128.0,97.0,35.0,33.0,10.0,19.0,1480.0,32.0
647,0.0,1.0,7.0,3.0,4.0,2.0,65.0,30.0,11.0,10.0,6.0,16.0,26.0,33.0,56.0,82.0,37.0,5.0,18.0,74.0,102.0,43.0,19.0,191.0,15.0,75.0,32.0,55.0,73.0,38.0
696,0.0,1.0,14.0,5.0,3.0,2.0,6.0,32.0,9.0,20.0,13.0,28.0,19.0,37.0,96.0,11.0,26.0,8.0,18.0,12.0,263.0,22.0,42.0,58.0,54.0,116.0,10.0,105.0,107.0,43.0
745,0.0,1.0,4.0,9.0,2.0,6.0,8.0,171.0,14.0,5.0,13.0,31.0,22.0,46.0,33.0,23.0,82.0,3.0,28.0,21.0,42.0,12.0,18.0,52.0,57.0,10.0,53.0,55.0,396.0,19.0
794,0.0,2.0,11.0,31.0,45.0,1.0,42.0,36.0,15.0,17.0,129.0,18.0,13.0,32.0,23.0,19.0,25.0,3.0,64.0,9.0,857.0,26.0,60.0,134.0,95.0,43.0,61.0,63.0,632.0,20.0
843,0.0,1.0,2.0,9.0,12.0,7.0,3.0,286.0,15.0,21.0,11.0,289.0,24.0,13.0,47.0,46.0,403.0,14.0,41.0,28.0,33.0,29.0,20.0,51.0,40.0,395.0,17.0,177.0,379.0,8.0
892,0.0,1.0,3.0,2.0,93.0,25.0,6.0,4.0,32.0,64.0,8.0,18.0,94.0,21.0,49.0,126.0,9.0,27.0,67.0,22.0,140.0,23.0,30.0,14.0,15.0,89.0,60.0,69.0,36.0,52.0
941,0.0,1.0,5.0,2.0,110.0,3.0,25.0,14.0,30.0,49.0,4.0,55.0,64.0,24.0,9.0,31.0,13.0,21.0,22.0,34.0,77.0,29.0,8.0,51.0,17.0,189.0,59.0,222.0,1770.0,7.0
990,0.0,1.0,42.0,24.0,3.0,18.0,4.0,2.0,7.0,12.0,59.0,19.0,13.0,152.0,139.0,20.0,26.0,114.0,8.0,30.0,283.0,14.0,181.0,125.0,32.0,21.0,5.0,31.0,360.0,62.0
1039,0.0,1.0,4.0,8.0,6.0,150.0,12.0,3.0,5.0,14.0,27.0,24.0,37.0,19.0,53.0,283.0,218.0,225.0,18.0,23.0,86.0,17.0,36.0,48.0,13.0,202.0,16.0,11.0,172.0,74.0
1088,0.0,1.0,18.0,36.0,8.0,40.0,4.0,2.0,21.0,10.0,25.0,14.0,42.0,39.0,116.0,26.0,355.0,109.0,15.0,102.0,73.0,12.0,71.0,20.0,29.0,35.0,7.0,16.0,76.0,56.0
1137,0.0,1.0,9.0,7.0,11.0,3.0,14.0,2.0,25.0,5.0,20.0,17.0,10.0,85.0,111.0,32.0,50.0,130.0,13.0,69.0,352.0,23.0,86.0,57.0,26.0,6.0,18.0,48.0,131.0,35.0
1186,0.0,1.0,89.0,6.0,8.0,16.0,3.0,2.0,11.0,19.0,14.0,25.0,36.0,57.0,101.0,22.0,82.0,635.0,20.0,61.0,24.0,7.0,152.0,43.0,28.0,15.0,4.0,18.0,29.0,111.0
1235,0.0,1.0,30.0,4.0,17.0,35.0,3.0,2.0,16.0,8.0,13.0,22.0,7.0,41.0,49.0,59.0,15.0,71.0,6.0,166.0,75.0,24.0,160.0,93.0,12.0,27.0,14.0,66.0,114.0,70.0
1284,0.0,1.0,28.0,2.0,5.0,36.0,7.0,4.0,19.0,10.0,21.0,6.0,33.0,73.0,66.0,17.0,25.0,61.0,31.0,20.0,40.0,15.0,70.0,45.0,59.0,16.0,12.0,35.0,135.0,74.0
1333,0.0,1.0,30.0,6.0,25.0,83.0,3.0,2.0,20.0,7.0,32.0,15.0,24.0,21.0,235.0,27.0,50.0,128.0,36.0,191.0,133.0,14.0,104.0,67.0,39.0,10.0,9.0,37.0,44.0,91.0
1382,0.0,1.0,59.0,3.0,27.0,7.0,4.0,2.0,14.0,13.0,224.0,5.0,10.0,107.0,144.0,101.0,38.0,122.0,8.0,77.0,191.0,9.0,150.0,78.0,37.0,18.0,11.0,28.0,21.0,76.0
