,XBP1,Lck,eEF2,Chk2,Src_pY416,FRA1,Notch1,PTEN,Cyclin_B1,GAPDH,MSH6,Myosin IIa pS1943,PDCD4,Caspase-7_cleavedD198,Porin,CD49b,Annexin 1,Caveolin-1,VAV1,Bax,PI3K-p110-alpha,MDMX_MDM4(BetIHC-00108),AMPK_pT172,4E-BP1,Chk1_pS345,MYH11,Stathmin,Src_pY527,p38_pT180_Y182,C-Raf(BD610151)
2109,0.0,2.0,7.0,1.0,6.0,4.0,5.0,3.0,30.0,12.0,25.0,8.0,11.0,9.0,14.0,15.0,19.0,17.0,20.0,26.0,37.0,22.0,45.0,18.0,31.0,10.0,42.0,33.0,40.0,13.0
2158,0.0,1.0,5.0,6.0,2.0,7.0,3.0,15.0,18.0,22.0,10.0,4.0,11.0,9.0,13.0,27.0,8.0,12.0,19.0,16.0,44.0,20.0,58.0,26.0,17.0,14.0,25.0,33.0,37.0,21.0
2207,0.0,1.0,4.0,3.0,7.0,11.0,2.0,29.0,17.0,9.0,10.0,5.0,16.0,8.0,15.0,12.0,6.0,23.0,18.0,14.0,39.0,38.0,35.0,37.0,40.0,19.0,21.0,20.0,30.0,13.0
2256,0.0,1.0,6.0,2.0,15.0,5.0,8.0,33.0,13.0,7.0,11.0,12.0,3.0,10.0,19.0,14.0,4.0,40.0,9.0,21.0,22.0,18.0,34.0,39.0,17.0,29.0,71.0,41.0,25.0,16.0
2305,0.0,2.0,4.0,1.0,5.0,7.0,10.0,11.0,6.0,12.0,17.0,13.0,24.0,15.0,9.0,3.0,8.0,14.0,26.0,19.0,32.0,37.0,30.0,27.0,18.0,29.0,16.0,25.0,22.0,31.0
2354,0.0,1.0,2.0,8.0,5.0,3.0,10.0,22.0,17.0,14.0,19.0,7.0,4.0,11.0,33.0,9.0,6.0,16.0,23.0,15.0,21.0,27.0,30.0,12.0,42.0,25.0,24.0,38.0,32.0,20.0
2403,0.0,1.0,4.0,7.0,9.0,12.0,3.0,14.0,16.0,23.0,40.0,6.0,10.0,8.0,18.0,5.0,2.0,17.0,37.0,11.0,48.0,21.0,43.0,20.0,24.0,26.0,19.0,29.0,25.0,13.0
2452,0.0,1.0,2.0,17.0,16.0,12.0,35.0,7.0,4.0,9.0,30.0,19.0,13.0,3.0,14.0,5.0,23.0,15.0,8.0,10.0,20.0,45.0,6.0,82.0,37.0,25.0,34.0,21.0,11.0,31.0
2501,0.0,1.0,2.0,4.0,6.0,14.0,13.0,12.0,5.0,20.0,40.0,11.0,3.0,21.0,8.0,9.0,24.0,17.0,7.0,30.0,33.0,28.0,10.0,44.0,25.0,22.0,31.0,16.0,15.0,19.0
2550,0.0,3.0,1.0,4.0,29.0,18.0,5.0,7.0,2.0,14.0,12.0,17.0,20.0,9.0,16.0,8.0,15.0,10.0,6.0,27.0,61.0,21.0,11.0,52.0,31.0,22.0,39.0,37.0,13.0,19.0
2599,0.0,1.0,2.0,6.0,13.0,29.0,11.0,5.0,4.0,19.0,17.0,7.0,3.0,8.0,18.0,20.0,12.0,15.0,14.0,25.0,28.0,24.0,10.0,60.0,31.0,22.0,55.0,21.0,9.0,45.0
2648,0.0,1.0,3.0,6.0,16.0,17.0,5.0,9.0,8.0,4.0,20.0,11.0,12.0,14.0,2.0,7.0,27.0,18.0,10.0,36.0,33.0,61.0,15.0,52.0,30.0,19.0,40.0,32.0,13.0,26.0
2697,0.0,1.0,5.0,2.0,8.0,15.0,21.0,4.0,3.0,10.0,25.0,6.0,29.0,11.0,19.0,22.0,12.0,9.0,7.0,48.0,35.0,31.0,17.0,24.0,33.0,14.0,57.0,13.0,16.0,32.0
2746,0.0,1.0,2.0,4.0,8.0,6.0,11.0,13.0,3.0,22.0,16.0,10.0,5.0,12.0,18.0,7.0,37.0,30.0,15.0,46.0,28.0,26.0,14.0,17.0,32.0,36.0,81.0,21.0,23.0,48.0
2795,0.0,1.0,2.0,4.0,7.0,34.0,6.0,9.0,5.0,16.0,17.0,8.0,12.0,15.0,19.0,3.0,11.0,14.0,10.0,28.0,38.0,18.0,13.0,37.0,29.0,21.0,61.0,42.0,22.0,31.0
2844,0.0,1.0,4.0,7.0,9.0,14.0,19.0,8.0,5.0,26.0,15.0,10.0,13.0,6.0,16.0,17.0,20.0,11.0,12.0,32.0,18.0,23.0,3.0,52.0,24.0,22.0,33.0,28.0,2.0,45.0
2893,0.0,1.0,2.0,7.0,21.0,28.0,16.0,6.0,4.0,5.0,13.0,8.0,18.0,9.0,15.0,11.0,43.0,17.0,3.0,35.0,45.0,34.0,12.0,48.0,14.0,29.0,75.0,38.0,10.0,33.0
2942,0.0,2.0,1.0,3.0,5.0,19.0,4.0,8.0,10.0,12.0,17.0,9.0,20.0,14.0,23.0,6.0,27.0,7.0,13.0,11.0,18.0,15.0,26.0,28.0,29.0,45.0,21.0,25.0,36.0,38.0
2991,0.0,2.0,10.0,1.0,5.0,20.0,11.0,6.0,18.0,15.0,21.0,14.0,8.0,12.0,33.0,29.0,4.0,17.0,26.0,7.0,34.0,16.0,24.0,13.0,31.0,35.0,3.0,22.0,30.0,58.0
3040,0.0,5.0,7.0,6.0,19.0,18.0,13.0,3.0,14.0,15.0,11.0,12.0,1.0,2.0,20.0,16.0,9.0,27.0,4.0,8.0,39.0,24.0,22.0,28.0,31.0,23.0,44.0,26.0,29.0,21.0
3089,0.0,2.0,3.0,1.0,15.0,16.0,5.0,9.0,6.0,20.0,18.0,10.0,21.0,4.0,35.0,25.0,7.0,28.0,27.0,26.0,33.0,19.0,22.0,14.0,40.0,36.0,12.0,11.0,32.0,57.0
3138,0.0,1.0,9.0,3.0,2.0,14.0,18.0,10.0,16.0,6.0,88.0,7.0,25.0,15.0,26.0,17.0,4.0,23.0,11.0,24.0,32.0,22.0,21.0,13.0,5.0,44.0,39.0,19.0,45.0,50.0
3187,0.0,2.0,1.0,7.0,5.0,22.0,14.0,10.0,9.0,11.0,18.0,4.0,19.0,12.0,20.0,8.0,15.0,23.0,3.0,27.0,45.0,26.0,16.0,6.0,24.0,47.0,25.0,32.0,60.0,29.0
3236,0.0,1.0,3.0,2.0,4.0,16.0,11.0,8.0,7.0,5.0,22.0,10.0,9.0,15.0,25.0,33.0,6.0,13.0,14.0,12.0,40.0,20.0,19.0,24.0,28.0,45.0,17.0,27.0,38.0,46.0
3285,0.0,1.0,7.0,2.0,3.0,8.0,17.0,4.0,10.0,15.0,32.0,24.0,20.0,6.0,9.0,29.0,13.0,19.0,16.0,5.0,18.0,25.0,37.0,23.0,22.0,39.0,33.0,30.0,71.0,31.0
3334,0.0,1.0,3.0,2.0,4.0,12.0,10.0,6.0,7.0,24.0,28.0,21.0,17.0,15.0,33.0,26.0,14.0,5.0,8.0,9.0,42.0,36.0,23.0,20.0,25.0,27.0,19.0,13.0,52.0,43.0
3383,0.0,7.0,4.0,3.0,1.0,17.0,14.0,10.0,8.0,12.0,2.0,29.0,37.0,24.0,22.0,15.0,6.0,36.0,13.0,9.0,35.0,27.0,42.0,32.0,16.0,65.0,28.0,20.0,45.0,83.0
3432,0.0,1.0,2.0,19.0,3.0,21.0,30.0,4.0,9.0,10.0,23.0,11.0,6.0,12.0,7.0,17.0,20.0,13.0,47.0,15.0,27.0,31.0,8.0,18.0,34.0,22.0,14.0,49.0,66.0,38.0
3481,0.0,4.0,1.0,21.0,3.0,9.0,29.0,12.0,14.0,5.0,2.0,20.0,13.0,23.0,6.0,11.0,7.0,10.0,22.0,31.0,17.0,42.0,16.0,15.0,36.0,39.0,27.0,35.0,66.0,18.0
3530,0.0,2.0,4.0,11.0,1.0,31.0,40.0,3.0,16.0,9.0,12.0,5.0,26.0,21.0,7.0,6.0,27.0,15.0,36.0,34.0,48.0,55.0,18.0,19.0,29.0,25.0,8.0,13.0,56.0,32.0
3579,0.0,7.0,6.0,10.0,1.0,13.0,30.0,12.0,3.0,8.0,9.0,11.0,2.0,19.0,4.0,5.0,16.0,15.0,45.0,18.0,37.0,33.0,31.0,25.0,34.0,41.0,22.0,32.0,46.0,26.0
3628,0.0,2.0,1.0,18.0,3.0,4.0,23.0,6.0,8.0,27.0,17.0,25.0,15.0,24.0,13.0,11.0,7.0,5.0,12.0,19.0,38.0,35.0,22.0,9.0,36.0,26.0,29.0,33.0,30.0,14.0
3677,0.0,5.0,4.0,14.0,2.0,31.0,30.0,1.0,9.0,3.0,6.0,10.0,12.0,13.0,7.0,45.0,33.0,8.0,36.0,21.0,27.0,55.0,29.0,15.0,35.0,16.0,18.0,37.0,40.0,22.0
3726,0.0,2.0,1.0,17.0,3.0,19.0,27.0,4.0,6.0,10.0,11.0,8.0,7.0,18.0,12.0,9.0,23.0,15.0,48.0,16.0,13.0,29.0,24.0,5.0,20.0,42.0,30.0,31.0,36.0,38.0
3775,0.0,3.0,2.0,15.0,1.0,18.0,27.0,6.0,20.0,7.0,13.0,9.0,14.0,24.0,4.0,10.0,25.0,8.0,38.0,26.0,16.0,12.0,11.0,19.0,37.0,29.0,22.0,47.0,55.0,23.0
3824,0.0,1.0,2.0,11.0,5.0,21.0,23.0,4.0,12.0,3.0,34.0,9.0,6.0,8.0,10.0,7.0,15.0,16.0,28.0,17.0,36.0,40.0,13.0,14.0,24.0,29.0,18.0,20.0,31.0,27.0
3873,0.0,1.0,2.0,9.0,3.0,16.0,37.0,5.0,11.0,10.0,12.0,14.0,7.0,13.0,41.0,20.0,8.0,15.0,23.0,25.0,18.0,28.0,36.0,4.0,45.0,35.0,6.0,60.0,66.0,68.0
3922,0.0,1.0,2.0,5.0,4.0,13.0,11.0,10.0,12.0,3.0,43.0,17.0,7.0,9.0,16.0,6.0,15.0,22.0,14.0,23.0,34.0,21.0,19.0,41.0,37.0,31.0,8.0,48.0,32.0,33.0
3971,0.0,1.0,3.0,2.0,14.0,8.0,13.0,4.0,11.0,10.0,6.0,7.0,39.0,5.0,12.0,9.0,17.0,76.0,27.0,38.0,15.0,33.0,16.0,43.0,26.0,29.0,18.0,57.0,22.0,54.0
4020,0.0,2.0,4.0,1.0,6.0,3.0,13.0,19.0,11.0,20.0,7.0,10.0,8.0,16.0,18.0,14.0,5.0,32.0,15.0,23.0,17.0,25.0,29.0,43.0,38.0,22.0,12.0,44.0,9.0,36.0
4069,0.0,1.0,2.0,3.0,4.0,16.0,18.0,8.0,13.0,15.0,7.0,6.0,5.0,9.0,44.0,10.0,17.0,37.0,12.0,42.0,11.0,19.0,31.0,20.0,27.0,21.0,29.0,23.0,14.0,30.0
4118,0.0,9.0,2.0,1.0,7.0,6.0,31.0,5.0,11.0,24.0,4.0,8.0,12.0,3.0,28.0,19.0,23.0,46.0,27.0,39.0,13.0,16.0,18.0,17.0,60.0,15.0,10.0,25.0,14.0,48.0
4167,0.0,3.0,1.0,2.0,4.0,17.0,36.0,5.0,16.0,6.0,8.0,7.0,13.0,14.0,11.0,20.0,10.0,15.0,30.0,37.0,27.0,19.0,22.0,18.0,39.0,28.0,9.0,32.0,48.0,53.0
4216,0.0,3.0,2.0,1.0,9.0,20.0,18.0,4.0,13.0,7.0,5.0,8.0,12.0,11.0,10.0,16.0,17.0,78.0,42.0,31.0,15.0,41.0,19.0,47.0,44.0,23.0,6.0,21.0,22.0,43.0
4265,0.0,1.0,3.0,2.0,11.0,13.0,16.0,6.0,18.0,12.0,4.0,14.0,10.0,9.0,17.0,8.0,5.0,15.0,22.0,33.0,20.0,36.0,40.0,44.0,43.0,52.0,7.0,21.0,45.0,34.0
4314,0.0,3.0,1.0,2.0,6.0,10.0,17.0,14.0,11.0,4.0,8.0,5.0,13.0,7.0,12.0,18.0,32.0,25.0,26.0,22.0,9.0,19.0,39.0,23.0,28.0,31.0,20.0,41.0,16.0,33.0
4363,0.0,5.0,3.0,2.0,1.0,11.0,9.0,4.0,12.0,10.0,7.0,29.0,21.0,6.0,20.0,8.0,14.0,24.0,26.0,27.0,22.0,31.0,61.0,39.0,18.0,32.0,40.0,36.0,16.0,33.0
4412,0.0,1.0,2.0,8.0,4.0,6.0,5.0,12.0,13.0,10.0,18.0,25.0,20.0,7.0,3.0,23.0,27.0,35.0,28.0,9.0,21.0,11.0,15.0,31.0,57.0,59.0,63.0,47.0,95.0,17.0
4461,0.0,1.0,2.0,3.0,7.0,9.0,4.0,10.0,44.0,5.0,11.0,23.0,12.0,13.0,17.0,21.0,32.0,29.0,33.0,24.0,6.0,15.0,68.0,49.0,37.0,57.0,38.0,18.0,76.0,19.0
4510,0.0,1.0,2.0,4.0,13.0,14.0,7.0,38.0,18.0,9.0,11.0,12.0,19.0,8.0,3.0,5.0,48.0,28.0,39.0,15.0,31.0,16.0,10.0,34.0,36.0,71.0,35.0,25.0,89.0,22.0
4559,0.0,1.0,2.0,3.0,14.0,10.0,4.0,16.0,26.0,20.0,6.0,12.0,35.0,5.0,9.0,19.0,13.0,42.0,15.0,8.0,23.0,17.0,11.0,50.0,18.0,46.0,29.0,34.0,71.0,30.0
4608,0.0,4.0,1.0,2.0,7.0,5.0,21.0,18.0,33.0,3.0,6.0,9.0,11.0,8.0,10.0,13.0,15.0,34.0,46.0,12.0,29.0,26.0,17.0,45.0,64.0,68.0,32.0,30.0,28.0,35.0
4657,0.0,1.0,2.0,24.0,15.0,14.0,4.0,13.0,10.0,17.0,3.0,11.0,7.0,8.0,5.0,12.0,30.0,6.0,34.0,27.0,16.0,9.0,28.0,36.0,18.0,67.0,20.0,43.0,52.0,25.0
4706,0.0,1.0,4.0,3.0,5.0,8.0,7.0,30.0,34.0,20.0,15.0,14.0,12.0,6.0,2.0,10.0,9.0,16.0,53.0,23.0,17.0,25.0,19.0,33.0,26.0,72.0,22.0,31.0,63.0,28.0
4755,0.0,2.0,1.0,5.0,7.0,8.0,3.0,14.0,22.0,28.0,18.0,10.0,15.0,6.0,24.0,17.0,11.0,21.0,13.0,4.0,39.0,9.0,12.0,31.0,35.0,38.0,16.0,23.0,54.0,29.0
4804,0.0,2.0,1.0,4.0,9.0,14.0,10.0,7.0,23.0,16.0,3.0,22.0,8.0,6.0,5.0,27.0,15.0,19.0,24.0,12.0,26.0,18.0,11.0,36.0,52.0,64.0,31.0,33.0,84.0,20.0
4853,0.0,1.0,2.0,5.0,3.0,6.0,11.0,19.0,20.0,10.0,16.0,24.0,23.0,12.0,4.0,22.0,15.0,27.0,34.0,8.0,13.0,9.0,21.0,73.0,36.0,61.0,17.0,28.0,64.0,42.0
