,GSTTP1_AMP,PRB1_AMP,LOC653786_DEL,GOLGA8DP_DEL,LOC440970_DEL,MAST4_MUT,LRRC37A2_AMP,CADM2_DEL,AATK_AMP,LRMP_AMP,NCOA7_DEL,CES1P1_DEL,DNAH8_MUT,SIGLEC14_DEL,NSFP1_AMP,ARL17B_AMP,TAS2R43_AMP,C18orf61_DEL,LOC728407_AMP,DPP6_DEL,ZBTB20_AMP,NSF_AMP,LRRC37A_AMP,FBXO31_DEL,LOC348120_AMP,PKHD1_MUT,ARSB_DEL,LILRA6_DEL,EP300_MUT,ASTN1_MUT
3804,0.0,32.0,4.0,5.0,8.0,29.0,6.0,243.0,9.0,82.0,167.0,2.0,3.0,52.0,15.0,155.0,33.0,39.0,25.0,1.0,63.0,13.0,258.0,74.0,1712.0,43.0,134.0,20.0,10.0,201.0
3853,1.0,4.0,24.0,22.0,8.0,5.0,12.0,9.0,10.0,37.0,7.0,0.0,6.0,2335.0,21.0,25.0,170.0,65.0,307.0,2.0,46.0,43.0,108.0,17.0,104.0,159.0,74.0,18.0,3.0,122.0
3902,0.0,48.0,13.0,44.0,11.0,7.0,3.0,17.0,8.0,157.0,19.0,27.0,96.0,57.0,2.0,111.0,10.0,113.0,16.0,4.0,1.0,9.0,46.0,14.0,90.0,1081.0,83.0,24.0,379.0,40.0
3951,3.0,52.0,25.0,19.0,8.0,5.0,48.0,24.0,4.0,1.0,7.0,35.0,1384.0,54.0,59.0,17.0,10.0,44.0,55.0,267.0,0.0,193.0,9.0,46.0,12.0,62.0,20.0,184.0,126.0,23.0
4000,27.0,10.0,4.0,2.0,1.0,54.0,8.0,7.0,23.0,24.0,30.0,34.0,44.0,3.0,11.0,12.0,5.0,80.0,89.0,13.0,0.0,29.0,6.0,98.0,134.0,19.0,28.0,49.0,35.0,22.0
4049,27.0,24.0,15.0,2.0,5.0,14.0,130.0,7.0,8.0,18.0,0.0,32.0,6.0,1.0,187.0,226.0,3.0,37.0,33.0,30.0,4.0,380.0,138.0,166.0,53.0,110.0,10.0,71.0,38.0,9.0
4098,20.0,32.0,42.0,55.0,2.0,3.0,15.0,16.0,48.0,59.0,24.0,0.0,5.0,14.0,19.0,12.0,10.0,31.0,625.0,4.0,21.0,40.0,6.0,66.0,18.0,25.0,366.0,22.0,9.0,13.0
4147,11.0,0.0,49.0,3.0,2.0,9.0,54.0,19.0,10.0,14.0,21.0,1.0,4.0,22.0,73.0,32.0,24.0,53.0,90.0,46.0,8.0,314.0,31.0,52.0,7.0,15.0,43.0,17.0,72.0,5.0
4196,20.0,3.0,16.0,12.0,2.0,13.0,25.0,6.0,23.0,53.0,26.0,4.0,19.0,1.0,33.0,21.0,0.0,46.0,377.0,36.0,24.0,105.0,11.0,181.0,9.0,5.0,15.0,38.0,14.0,49.0
4245,0.0,41.0,24.0,9.0,4.0,8.0,10.0,5.0,19.0,45.0,34.0,20.0,14.0,16.0,13.0,3.0,7.0,114.0,29.0,12.0,11.0,15.0,1.0,40.0,302.0,51.0,21.0,231.0,53.0,60.0
4294,3.0,43.0,10.0,17.0,13.0,23.0,31.0,18.0,19.0,15.0,44.0,5.0,6.0,2.0,40.0,62.0,1.0,47.0,46.0,0.0,4.0,135.0,39.0,53.0,176.0,35.0,20.0,25.0,42.0,50.0
4343,9.0,14.0,30.0,7.0,12.0,16.0,5.0,6.0,34.0,27.0,50.0,8.0,4.0,1.0,3.0,15.0,2.0,106.0,56.0,0.0,11.0,13.0,10.0,97.0,21.0,25.0,36.0,29.0,28.0,19.0
4392,18.0,6.0,1.0,4.0,8.0,32.0,3.0,7.0,59.0,50.0,38.0,15.0,2.0,0.0,11.0,14.0,5.0,66.0,542.0,85.0,13.0,23.0,10.0,61.0,76.0,45.0,125.0,31.0,16.0,12.0
4441,86.0,6.0,33.0,114.0,16.0,48.0,24.0,12.0,130.0,11.0,15.0,108.0,4.0,368.0,14.0,0.0,347.0,22.0,19.0,59.0,205.0,77.0,5.0,29.0,50.0,74.0,54.0,42.0,189.0,23.0
4490,525.0,3.0,19.0,45.0,2.0,35.0,14.0,47.0,22.0,53.0,0.0,21.0,9.0,1.0,6.0,4.0,765.0,36.0,17.0,721.0,32.0,28.0,13.0,146.0,155.0,82.0,24.0,52.0,15655.0,66.0
4539,21.0,15.0,18.0,14.0,28.0,11.0,6.0,109.0,22.0,13.0,33.0,128.0,1.0,132.0,4.0,3.0,319.0,32.0,23.0,1704.0,0.0,5.0,2.0,57.0,1054.0,449.0,534.0,310.0,261.0,36.0
4588,27.0,75.0,25.0,52.0,0.0,10.0,12.0,20.0,147.0,5.0,9.0,35.0,1.0,16.0,6.0,2.0,170.0,13.0,31.0,467.0,17.0,23.0,4.0,148.0,34.0,43.0,219.0,64.0,99.0,24.0
4637,37.0,6.0,63.0,54.0,0.0,22.0,33.0,27.0,43.0,11.0,50.0,1.0,12.0,13.0,30.0,34.0,123.0,20.0,287.0,129.0,17.0,104.0,52.0,31.0,10.0,44.0,98.0,61.0,206.0,78.0
4686,761.0,5.0,12.0,29.0,8.0,11.0,6.0,58.0,23.0,22.0,17.0,20.0,10.0,574.0,9.0,4.0,1675.0,51.0,28.0,98.0,33.0,15.0,7.0,53.0,3.0,82.0,566.0,38.0,65.0,37.0
4735,20.0,3.0,61.0,82.0,0.0,45.0,2.0,21.0,36.0,8.0,7.0,12.0,13.0,24.0,1.0,10.0,27.0,28.0,39.0,223.0,64.0,5.0,14.0,26.0,58.0,42.0,57.0,118.0,306.0,41.0
4784,9.0,1.0,51.0,12.0,0.0,3.0,81.0,7.0,4.0,6.0,40.0,58.0,146.0,219.0,57.0,31.0,1306.0,33.0,14.0,37.0,27.0,436.0,32.0,35.0,2.0,135.0,28.0,89.0,249.0,73.0
4833,3.0,16.0,15.0,88.0,1.0,5.0,23.0,82.0,13.0,20.0,4.0,42.0,598.0,63.0,18.0,8.0,805.0,55.0,21.0,1381.0,37.0,46.0,17.0,61.0,62.0,59.0,490.0,99.0,15379.0,221.0
4882,12.0,2.0,7.0,19.0,3.0,16.0,124.0,32.0,43.0,17.0,36.0,1.0,6.0,110.0,107.0,9.0,525.0,13.0,18.0,575.0,79.0,545.0,10.0,24.0,134.0,33.0,76.0,39.0,286.0,5.0
