,CMTM7,ETV4,S100A4,TRPV2,HOXB7,SPRY2,SPRY4,SH3TC2,ABO,TOR4A,HMGA2,SNX18P16,ETV5,MYEOV,EVPL,TMEM101,EMP1,SPRY1,SLC17A9,SLC16A3,C15ORF31,TMC6,RP11-49K24.4,NPAS2,RP11-114H23.1,NRROS,STRA6,TMTC2,KHDRBS3,ITGA6
9,0.0,3.0,1.0,4.0,5.0,36.0,8.0,7.0,14.0,29.0,32.0,20.0,10.0,2.0,15.0,103.0,17.0,839.0,18.0,42.0,24.0,131.0,28.0,74.0,27.0,25.0,12.0,44.0,22.0,40.0
58,1.0,2.0,0.0,3.0,5.0,12.0,11.0,17.0,6.0,30.0,7.0,22.0,31.0,4.0,21.0,49.0,41.0,102.0,8.0,23.0,10.0,34.0,14.0,39.0,15.0,35.0,86.0,54.0,177.0,96.0
107,3.0,1.0,0.0,2.0,4.0,6.0,5.0,15.0,19.0,26.0,13.0,62.0,17.0,14.0,7.0,18.0,24.0,88.0,9.0,21.0,86.0,85.0,31.0,36.0,27.0,20.0,37.0,42.0,39.0,23.0
156,1.0,5.0,0.0,4.0,3.0,7.0,9.0,29.0,22.0,60.0,6.0,42.0,13.0,2.0,40.0,224.0,17.0,275.0,59.0,97.0,250.0,30.0,31.0,41.0,82.0,33.0,27.0,19.0,71.0,8.0
205,0.0,2.0,1.0,3.0,8.0,7.0,5.0,6.0,14.0,35.0,26.0,154.0,18.0,9.0,15.0,73.0,12.0,52.0,13.0,34.0,39.0,89.0,43.0,159.0,31.0,30.0,21.0,23.0,75.0,32.0
254,0.0,3.0,1.0,4.0,65.0,9.0,27.0,14.0,10.0,7.0,32.0,33.0,13.0,6.0,21.0,18.0,222.0,142.0,2.0,24.0,23.0,58.0,81.0,22.0,5.0,46.0,30.0,50.0,182.0,28.0
303,4.0,1.0,3.0,6.0,0.0,5.0,8.0,27.0,22.0,7.0,9.0,28.0,14.0,2.0,11.0,39.0,10.0,50.0,12.0,129.0,43.0,193.0,65.0,44.0,42.0,37.0,93.0,104.0,68.0,59.0
352,1.0,3.0,0.0,2.0,5.0,4.0,9.0,59.0,6.0,32.0,20.0,12.0,42.0,7.0,107.0,16.0,102.0,57.0,11.0,27.0,63.0,160.0,15.0,96.0,36.0,81.0,13.0,47.0,17.0,86.0
401,1.0,2.0,0.0,17.0,4.0,10.0,8.0,5.0,24.0,18.0,16.0,39.0,42.0,3.0,19.0,37.0,38.0,45.0,12.0,21.0,245.0,36.0,13.0,75.0,9.0,47.0,7.0,20.0,154.0,46.0
450,1.0,2.0,0.0,21.0,5.0,22.0,14.0,6.0,9.0,29.0,232.0,39.0,25.0,3.0,4.0,49.0,61.0,313.0,24.0,84.0,34.0,79.0,62.0,30.0,15.0,56.0,19.0,75.0,20.0,17.0
499,0.0,3.0,1.0,4.0,2.0,6.0,16.0,22.0,12.0,7.0,53.0,17.0,32.0,10.0,5.0,13.0,36.0,72.0,40.0,9.0,106.0,58.0,65.0,79.0,23.0,48.0,11.0,37.0,8.0,122.0
548,0.0,3.0,2.0,13.0,1.0,12.0,7.0,31.0,11.0,9.0,24.0,8.0,16.0,5.0,4.0,19.0,15.0,99.0,14.0,35.0,459.0,160.0,52.0,131.0,17.0,42.0,10.0,88.0,64.0,216.0
597,0.0,2.0,1.0,8.0,3.0,5.0,10.0,19.0,12.0,27.0,26.0,14.0,13.0,38.0,15.0,28.0,44.0,52.0,7.0,65.0,342.0,56.0,41.0,34.0,4.0,47.0,17.0,46.0,11.0,88.0
646,1.0,2.0,0.0,64.0,4.0,3.0,5.0,13.0,18.0,25.0,38.0,6.0,16.0,268.0,8.0,11.0,14.0,53.0,23.0,27.0,99.0,56.0,195.0,57.0,22.0,45.0,10.0,50.0,17.0,412.0
695,0.0,2.0,1.0,50.0,4.0,3.0,6.0,15.0,17.0,39.0,71.0,72.0,33.0,27.0,9.0,12.0,76.0,61.0,5.0,22.0,256.0,37.0,49.0,20.0,7.0,42.0,31.0,13.0,25.0,98.0
744,0.0,1.0,2.0,7.0,10.0,5.0,6.0,41.0,16.0,15.0,92.0,3.0,19.0,8.0,12.0,14.0,29.0,31.0,4.0,52.0,56.0,120.0,46.0,76.0,13.0,22.0,9.0,130.0,66.0,91.0
793,0.0,1.0,2.0,8.0,5.0,3.0,12.0,48.0,13.0,212.0,34.0,17.0,31.0,59.0,9.0,6.0,14.0,10.0,11.0,66.0,72.0,33.0,57.0,167.0,54.0,26.0,88.0,20.0,19.0,77.0
842,1.0,2.0,3.0,16.0,0.0,4.0,6.0,14.0,71.0,9.0,54.0,24.0,13.0,12.0,5.0,26.0,28.0,15.0,62.0,65.0,159.0,25.0,161.0,33.0,20.0,22.0,10.0,46.0,47.0,61.0
891,0.0,2.0,1.0,12.0,4.0,3.0,15.0,29.0,26.0,51.0,18.0,36.0,30.0,5.0,8.0,7.0,6.0,35.0,42.0,77.0,76.0,106.0,50.0,65.0,28.0,34.0,31.0,67.0,33.0,66.0
940,0.0,1.0,2.0,25.0,53.0,3.0,8.0,7.0,21.0,5.0,23.0,62.0,14.0,66.0,18.0,6.0,44.0,26.0,4.0,27.0,362.0,10.0,164.0,20.0,28.0,40.0,17.0,55.0,36.0,50.0
989,1.0,3.0,2.0,4.0,0.0,5.0,11.0,74.0,30.0,8.0,12.0,9.0,14.0,7.0,21.0,50.0,25.0,46.0,62.0,95.0,29.0,54.0,37.0,514.0,43.0,41.0,13.0,44.0,85.0,185.0
1038,1.0,4.0,0.0,2.0,3.0,16.0,10.0,19.0,35.0,7.0,109.0,8.0,17.0,5.0,26.0,67.0,52.0,137.0,15.0,58.0,240.0,76.0,69.0,50.0,34.0,30.0,24.0,78.0,49.0,56.0
1087,1.0,3.0,0.0,4.0,2.0,5.0,20.0,21.0,12.0,8.0,53.0,15.0,31.0,22.0,19.0,55.0,16.0,17.0,13.0,29.0,6.0,28.0,33.0,109.0,70.0,14.0,85.0,79.0,61.0,139.0
1136,0.0,1.0,9.0,2.0,4.0,3.0,6.0,18.0,15.0,7.0,5.0,96.0,11.0,46.0,20.0,32.0,14.0,8.0,13.0,53.0,30.0,26.0,315.0,60.0,12.0,21.0,99.0,47.0,105.0,75.0
1185,1.0,0.0,2.0,5.0,3.0,7.0,10.0,18.0,4.0,6.0,22.0,20.0,12.0,46.0,67.0,34.0,24.0,38.0,14.0,28.0,9.0,25.0,64.0,686.0,88.0,45.0,16.0,106.0,17.0,185.0
1234,0.0,1.0,3.0,5.0,24.0,4.0,8.0,6.0,25.0,2.0,10.0,15.0,13.0,33.0,32.0,41.0,50.0,36.0,77.0,21.0,7.0,18.0,610.0,58.0,123.0,56.0,44.0,39.0,149.0,69.0
1283,0.0,4.0,3.0,2.0,1.0,9.0,10.0,7.0,45.0,11.0,22.0,5.0,31.0,16.0,12.0,14.0,17.0,153.0,40.0,18.0,13.0,28.0,95.0,44.0,39.0,35.0,55.0,25.0,150.0,21.0
1332,3.0,2.0,4.0,1.0,0.0,6.0,9.0,38.0,7.0,5.0,8.0,11.0,28.0,12.0,37.0,40.0,65.0,32.0,50.0,34.0,10.0,54.0,41.0,172.0,103.0,234.0,17.0,48.0,42.0,66.0
1381,0.0,1.0,2.0,7.0,4.0,6.0,8.0,15.0,9.0,3.0,10.0,17.0,13.0,21.0,75.0,30.0,37.0,29.0,32.0,35.0,23.0,25.0,140.0,193.0,85.0,51.0,40.0,86.0,20.0,103.0
1430,1.0,2.0,0.0,7.0,3.0,13.0,14.0,10.0,28.0,6.0,18.0,40.0,12.0,26.0,16.0,59.0,8.0,9.0,309.0,11.0,39.0,23.0,66.0,48.0,62.0,22.0,27.0,19.0,157.0,46.0
1479,0.0,3.0,1.0,6.0,56.0,2.0,7.0,5.0,16.0,66.0,4.0,8.0,18.0,15.0,36.0,30.0,21.0,9.0,25.0,32.0,274.0,169.0,40.0,10.0,11.0,12.0,74.0,79.0,160.0,20.0
1528,0.0,2.0,1.0,15.0,4.0,5.0,6.0,10.0,8.0,14.0,12.0,19.0,24.0,16.0,62.0,57.0,101.0,25.0,28.0,20.0,130.0,65.0,40.0,56.0,47.0,18.0,531.0,86.0,351.0,50.0
1577,2.0,1.0,4.0,6.0,0.0,3.0,5.0,37.0,18.0,32.0,13.0,9.0,15.0,16.0,20.0,22.0,21.0,7.0,731.0,64.0,72.0,177.0,60.0,50.0,56.0,43.0,86.0,49.0,167.0,23.0
1626,2.0,1.0,0.0,14.0,7.0,3.0,17.0,43.0,31.0,73.0,11.0,9.0,28.0,5.0,22.0,30.0,38.0,13.0,54.0,25.0,39.0,87.0,82.0,108.0,114.0,15.0,76.0,202.0,583.0,105.0
